HOG	OG	Gene Tree Parent Clade	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker
N3.HOG0000052	OG0000000	n144		bc2001_g2840.t1	bc2002_g11484.t1		
N3.HOG0000053	OG0000000	n149		bc2001_g6514.t1	bc2002_g10670.t1		
N3.HOG0000054	OG0000000	n150		bc2001_g18821.t1	bc2002_g4557.t1		
N3.HOG0000055	OG0000000	n152		bc2001_g1676.t1	bc2002_g3146.t1		
N3.HOG0000056	OG0000000	n153		bc2001_g920.t1, bc2001_g19314.t1	bc2002_g1253.t1, bc2002_g11204.t1		
N3.HOG0000057	OG0000000	n156		bc2001_g15726.t1, bc2001_g1598.t1	bc2002_g15305.t1		
N3.HOG0000058	OG0000000	n158		bc2001_g8672.t1	bc2002_g17234.t1		
N3.HOG0000059	OG0000000	n162		bc2001_g12516.t1	bc2002_g10112.t1		
N3.HOG0000060	OG0000000	n163		bc2001_g2230.t1	bc2002_g4928.t1, bc2002_g9534.t1		
N3.HOG0000061	OG0000000	n165		bc2001_g12352.t1	bc2002_g5137.t1		
N3.HOG0000062	OG0000000	n166		bc2001_g15899.t1, bc2001_g8567.t1	bc2002_g17118.t1		
N3.HOG0000063	OG0000000	n172		bc2001_g8469.t1	bc2002_g9440.t1		
N3.HOG0000064	OG0000000	n173		bc2001_g4404.t1	bc2002_g10511.t1		
N3.HOG0000065	OG0000000	n183		bc2001_g3064.t1, bc2001_g19563.t1, bc2001_g3055.t1	bc2002_g10012.t1		
N3.HOG0000066	OG0000000	n186		bc2001_g8077.t1	bc2002_g18449.t1		
N3.HOG0000067	OG0000000	n187		bc2001_g9252.t1	bc2002_g9578.t1		
N3.HOG0000068	OG0000000	n188		bc2001_g13820.t1	bc2002_g4497.t2		
N3.HOG0000069	OG0000000	n189		bc2001_g5030.t1	bc2002_g19728.t1		
N3.HOG0000070	OG0000000	n190		bc2001_g10903.t1	bc2002_g5374.t1		
N3.HOG0000071	OG0000000	n191		bc2001_g10755.t1	bc2002_g6079.t1		
N3.HOG0000072	OG0000000	n196		bc2001_g12395.t1	bc2002_g10242.t1		
N3.HOG0000073	OG0000000	n198		bc2001_g7062.t1	bc2002_g4777.t1		
N3.HOG0000074	OG0000000	n199		bc2001_g669.t1	bc2002_g4014.t1		
N3.HOG0000075	OG0000000	n200		bc2001_g14481.t1	bc2002_g19865.t1		
N3.HOG0000076	OG0000000	n202		bc2001_g10389.t1	bc2002_g7505.t1		
N3.HOG0000077	OG0000000	n203		bc2001_g5909.t1	bc2002_g1080.t1		
N3.HOG0000078	OG0000000	n206		bc2001_g1184.t1	bc2002_g8302.t1, bc2002_g18611.t1		
N3.HOG0000079	OG0000000	n208		bc2001_g12036.t1	bc2002_g1844.t1		
N3.HOG0000080	OG0000000	n214		bc2001_g18195.t1	bc2002_g15712.t1		
N3.HOG0000081	OG0000000	n215		bc2001_g13832.t1	bc2002_g15888.t1		
N3.HOG0000082	OG0000000	n221		bc2001_g3969.t1	bc2002_g14437.t1, bc2002_g14778.t1		
N3.HOG0000083	OG0000000	n223		bc2001_g8276.t1	bc2002_g6202.t1		
N3.HOG0000084	OG0000000	n224		bc2001_g7108.t1	bc2002_g196.t1		
N3.HOG0000085	OG0000000	n225		bc2001_g17822.t1	bc2002_g422.t1		
N3.HOG0000086	OG0000000	n226		bc2001_g5734.t1	bc2002_g8877.t1		
N3.HOG0000087	OG0000000	n228		bc2001_g15288.t1	bc2002_g5874.t1		
N3.HOG0000088	OG0000000	n230		bc2001_g17522.t1	bc2002_g5211.t1		
N3.HOG0000089	OG0000000	n232		bc2001_g5247.t1	bc2002_g3382.t1		
N3.HOG0000090	OG0000000	n241		bc2001_g8655.t1	bc2002_g17217.t1		
N3.HOG0000091	OG0000000	n242		bc2001_g10077.t1	bc2002_g16965.t1		
N3.HOG0000092	OG0000000	n243		bc2001_g5685.t1	bc2002_g14711.t1		
N3.HOG0000093	OG0000000	n249		bc2001_g2651.t1	bc2002_g14821.t1		
N3.HOG0000094	OG0000000	n251		bc2001_g3320.t1	bc2002_g18028.t1		
N3.HOG0000095	OG0000000	n252		bc2001_g19404.t1	bc2002_g2813.t1		
N3.HOG0000096	OG0000000	n253		bc2001_g14766.t1	bc2002_g9614.t1		
N3.HOG0000097	OG0000000	n254		bc2001_g6833.t1	bc2002_g262.t1		
N3.HOG0000098	OG0000000	n255		bc2001_g17797.t1	bc2002_g12300.t1		
N3.HOG0000099	OG0000001	n2		bc2001_g9852.t1	bc2002_g11785.t1, bc2002_g11918.t1		
N3.HOG0000100	OG0000001	n7		bc2001_g4373.t1	bc2002_g18328.t1		
N3.HOG0000101	OG0000001	n8		bc2001_g14221.t1	bc2002_g18358.t1		
N3.HOG0000102	OG0000001	n12		bc2001_g4259.t1	bc2002_g5561.t1, bc2002_g2670.t1		
N3.HOG0000103	OG0000001	n21		bc2001_g2943.t2, bc2001_g2943.t1	bc2002_g11595.t1		
N3.HOG0000104	OG0000001	n23		bc2001_g3626.t1, bc2001_g3626.t2	bc2002_g6140.t1		
N3.HOG0000105	OG0000001	n27		bc2001_g5150.t1	bc2002_g3485.t1		
N3.HOG0000106	OG0000001	n29		bc2001_g5146.t1	bc2002_g3488.t1		
N3.HOG0000107	OG0000001	n30		bc2001_g644.t1	bc2002_g1689.t1		
N3.HOG0000108	OG0000001	n32		bc2001_g15028.t1	bc2002_g19066.t1		
N3.HOG0000109	OG0000001	n38		bc2001_g6151.t1	bc2002_g12895.t1		
N3.HOG0000110	OG0000001	n39		bc2001_g3294.t1	bc2002_g12893.t1		
N3.HOG0000111	OG0000001	n40		bc2001_g6476.t1	bc2002_g10627.t1		
N3.HOG0000112	OG0000001	n45		bc2001_g11238.t1	bc2002_g8015.t1		
N3.HOG0000113	OG0000001	n46		bc2001_g13252.t1	bc2002_g13344.t1		
N3.HOG0000114	OG0000001	n47		bc2001_g9420.t1	bc2002_g2326.t1		
N3.HOG0000115	OG0000001	n48		bc2001_g7492.t1	bc2002_g13931.t1		
N3.HOG0000116	OG0000001	n49		bc2001_g5789.t2, bc2001_g5789.t1	bc2002_g963.t1		
N3.HOG0000117	OG0000001	n53		bc2001_g18980.t1	bc2002_g5669.t1, bc2002_g5669.t2		
N3.HOG0000118	OG0000001	n55		bc2001_g19407.t1, bc2001_g19407.t2	bc2002_g2810.t1		
N3.HOG0000119	OG0000001	n57		bc2001_g1700.t1	bc2002_g3176.t1		
N3.HOG0000120	OG0000001	n61		bc2001_g5670.t1	bc2002_g12205.t1		
N3.HOG0000121	OG0000001	n62		bc2001_g5992.t1	bc2002_g14236.t1		
N3.HOG0000122	OG0000001	n63		bc2001_g11028.t1	bc2002_g5250.t1		
N3.HOG0000123	OG0000001	n67		bc2001_g17654.t1	bc2002_g595.t1		
N3.HOG0000124	OG0000001	n68		bc2001_g17737.t1	bc2002_g512.t1		
N3.HOG0000125	OG0000001	n70		bc2001_g10597.t1	bc2002_g15159.t1		
N3.HOG0000126	OG0000001	n72		bc2001_g6026.t2	bc2002_g14201.t1		
N3.HOG0000127	OG0000001	n74		bc2001_g16346.t1	bc2002_g8611.t1		
N3.HOG0000128	OG0000001	n76		bc2001_g13068.t1	bc2002_g16336.t1		
N3.HOG0000129	OG0000001	n78		bc2001_g5100.t1	bc2002_g19797.t1		
N3.HOG0000130	OG0000001	n79		bc2001_g4973.t1	bc2002_g19669.t1		
N3.HOG0000131	OG0000001	n87		bc2001_g10657.t1	bc2002_g15089.t1		
N3.HOG0000132	OG0000001	n88		bc2001_g10569.t1	bc2002_g728.t1		
N3.HOG0000133	OG0000001	n89		bc2001_g4958.t1	bc2002_g19654.t1		
N3.HOG0000134	OG0000001	n90		bc2001_g9238.t1	bc2002_g18431.t1		
N3.HOG0000135	OG0000001	n91		bc2001_g8326.t1	bc2002_g140.t1		
N3.HOG0000136	OG0000001	n92		bc2001_g1908.t1	bc2002_g7349.t1		
N3.HOG0000137	OG0000001	n94		bc2001_g8837.t1	bc2002_g9111.t1		
N3.HOG0000138	OG0000001	n95		bc2001_g8522.t1	bc2002_g2596.t1		
N3.HOG0000139	OG0000001	n101		bc2001_g543.t2	bc2002_g16527.t2		
N3.HOG0000140	OG0000001	n104		bc2001_g5675.t1	bc2002_g7589.t1		
N3.HOG0000141	OG0000001	n105		bc2001_g19682.t1, bc2001_g19682.t2	bc2002_g16668.t1		
N3.HOG0000142	OG0000001	n107		bc2001_g19539.t1, bc2001_g19539.t2	bc2002_g1987.t1		
N3.HOG0000143	OG0000001	n111		bc2001_g10665.t1	bc2002_g15077.t1		
N3.HOG0000144	OG0000001	n114		bc2001_g628.t1	bc2002_g1674.t1, bc2002_g1674.t2		
N3.HOG0000145	OG0000001	n116		bc2001_g12086.t1	bc2002_g12283.t1		
N3.HOG0000146	OG0000001	n117		bc2001_g1096.t1, bc2001_g1096.t2	bc2002_g4232.t1		
N3.HOG0000147	OG0000001	n119		bc2001_g15504.t1	bc2002_g17766.t1		
N3.HOG0000148	OG0000001	n120		bc2001_g12826.t2, bc2001_g12826.t1	bc2002_g2963.t1		
N3.HOG0000149	OG0000001	n126		bc2001_g12460.t1	bc2002_g10169.t1		
N3.HOG0000150	OG0000001	n127		bc2001_g12479.t1	bc2002_g10151.t1		
N3.HOG0000151	OG0000001	n132		bc2001_g19584.t1	bc2002_g2038.t1		
N3.HOG0000152	OG0000001	n133		bc2001_g19617.t1	bc2002_g2072.t1		
N3.HOG0000153	OG0000001	n134		bc2001_g12197.t1	bc2002_g18599.t1		
N3.HOG0000154	OG0000001	n137		bc2001_g17070.t1	bc2002_g7984.t1		
N3.HOG0000155	OG0000001	n138		bc2001_g9555.t1	bc2002_g9820.t1		
N3.HOG0000156	OG0000001	n139		bc2001_g141.t1	bc2002_g8747.t1		
N3.HOG0000157	OG0000001	n143		bc2001_g10586.t2	bc2002_g714.t1		
N3.HOG0000158	OG0000001	n144		bc2001_g10586.t1	bc2002_g714.t2		
N3.HOG0000159	OG0000001	n149		bc2001_g6449.t2, bc2001_g6449.t1	bc2002_g10600.t1		
N3.HOG0000160	OG0000001	n151		bc2001_g18888.t1	bc2002_g4524.t1		
N3.HOG0000161	OG0000001	n154		bc2001_g16260.t1	bc2002_g8530.t1		
N3.HOG0000162	OG0000001	n155		bc2001_g11904.t1	bc2002_g13159.t1		
N3.HOG0000163	OG0000001	n156		bc2001_g1806.t1	bc2002_g5573.t1, bc2002_g3991.t1		
N3.HOG0000164	OG0000001	n159		bc2001_g13305.t1	bc2002_g15370.t1		
N3.HOG0000165	OG0000001	n160		bc2001_g4485.t2, bc2001_g4485.t1	bc2002_g10426.t1		
N3.HOG0000166	OG0000001	n163		bc2001_g3989.t1	bc2002_g1392.t1		
N3.HOG0000167	OG0000001	n164		bc2001_g12744.t1	bc2002_g15327.t1		
N3.HOG0000168	OG0000001	n167		bc2001_g7657.t1	bc2002_g14111.t1		
N3.HOG0000169	OG0000001	n168		bc2001_g17710.t1	bc2002_g537.t1		
N3.HOG0000170	OG0000001	n169		bc2001_g12373.t1, bc2001_g687.t1	bc2002_g4035.t1		
N3.HOG0000171	OG0000001	n174		bc2001_g7522.t1	bc2002_g13963.t1		
N3.HOG0000172	OG0000001	n175		bc2001_g17936.t1, bc2001_g1575.t1	bc2002_g15282.t1		
N3.HOG0000173	OG0000002	n1		bc2001_g13487.t1	bc2002_g9158.t1		
N3.HOG0000174	OG0000002	n6			bc2002_g4454.t1, bc2002_g6603.t1, bc2002_g4311.t1, bc2002_g8063.t1		
N3.HOG0000175	OG0000002	n10			bc2002_g10662.t1, bc2002_g476.t1, bc2002_g10006.t1		
N3.HOG0000176	OG0000002	n14			bc2002_g904.t1, bc2002_g19621.t1, bc2002_g3554.t1		
N3.HOG0000177	OG0000002	n18			bc2002_g14623.t1, bc2002_g12049.t1		
N3.HOG0000178	OG0000002	n20			bc2002_g5163.t1, bc2002_g5855.t1, bc2002_g7457.t1		
N3.HOG0000179	OG0000002	n23			bc2002_g12712.t1, bc2002_g3360.t1, bc2002_g12066.t1, bc2002_g6625.t1, bc2002_g16678.t1, bc2002_g10185.t1, bc2002_g18843.t1, bc2002_g11635.t1, bc2002_g6091.t1, bc2002_g11720.t1, bc2002_g17969.t1, bc2002_g3018.t1, bc2002_g7949.t1, bc2002_g3441.t1, bc2002_g12319.t1, bc2002_g8582.t1, bc2002_g18246.t1, bc2002_g8654.t1, bc2002_g12133.t1, bc2002_g9488.t1, bc2002_g5442.t1, bc2002_g12759.t1, bc2002_g7176.t1, bc2002_g13125.t1, bc2002_g19010.t1, bc2002_g5727.t1, bc2002_g1231.t1, bc2002_g5034.t1, bc2002_g7691.t1, bc2002_g18735.t1, bc2002_g4129.t1, bc2002_g3104.t1, bc2002_g8209.t1, bc2002_g19527.t1, bc2002_g9043.t1, bc2002_g13024.t1, bc2002_g6311.t1, bc2002_g16973.t1, bc2002_g10825.t1, bc2002_g11313.t1, bc2002_g18238.t1, bc2002_g12277.t1, bc2002_g7285.t1, bc2002_g5173.t1, bc2002_g3199.t1, bc2002_g16293.t1, bc2002_g18087.t1, bc2002_g2210.t1, bc2002_g5628.t1, bc2002_g14087.t1, bc2002_g19039.t1, bc2002_g12822.t1		
N3.HOG0000180	OG0000002	n75		bc2001_g2584.t1	bc2002_g17085.t1, bc2002_g17076.t1, bc2002_g6037.t1, bc2002_g4716.t1, bc2002_g11345.t1, bc2002_g15755.t1, bc2002_g6431.t1, bc2002_g10780.t1, bc2002_g9522.t1, bc2002_g5501.t1, bc2002_g14242.t1, bc2002_g20043.t1, bc2002_g7067.t1, bc2002_g12862.t1, bc2002_g18661.t1, bc2002_g7159.t1, bc2002_g1061.t1, bc2002_g19135.t1, bc2002_g16418.t1, bc2002_g9008.t1, bc2002_g10463.t1, bc2002_g173.t1, bc2002_g4428.t1, bc2002_g18556.t1, bc2002_g668.t1, bc2002_g7441.t1, bc2002_g5142.t1, bc2002_g10077.t1, bc2002_g2737.t1, bc2002_g11547.t1, bc2002_g7486.t1, bc2002_g17890.t1, bc2002_g3121.t1, bc2002_g574.t1, bc2002_g16556.t1, bc2002_g5586.t1, bc2002_g14703.t1, bc2002_g3096.t1, bc2002_g2865.t1, bc2002_g19373.t1, bc2002_g1580.t1, bc2002_g2563.t1, bc2002_g2729.t1, bc2002_g18341.t1, bc2002_g7920.t1, bc2002_g3426.t1, bc2002_g6379.t1, bc2002_g5478.t1, bc2002_g12354.t1, bc2002_g1310.t1, bc2002_g5984.t1, bc2002_g8055.t1, bc2002_g14445.t1, bc2002_g10868.t1, bc2002_g694.t1, bc2002_g12548.t1, bc2002_g18267.t1, bc2002_g8467.t1, bc2002_g8491.t1, bc2002_g19355.t1, bc2002_g8127.t1, bc2002_g2584.t1, bc2002_g15734.t1, bc2002_g8104.t1, bc2002_g10807.t1, bc2002_g17754.t1, bc2002_g9596.t1, bc2002_g5682.t1, bc2002_g18044.t1, bc2002_g15101.t1, bc2002_g2769.t1, bc2002_g15096.t1, bc2002_g13354.t1, bc2002_g19965.t1, bc2002_g19167.t1, bc2002_g17566.t1, bc2002_g13838.t1, bc2002_g5976.t1, bc2002_g1926.t1, bc2002_g613.t1, bc2002_g114.t1, bc2002_g14954.t1, bc2002_g4172.t1, bc2002_g17684.t1, bc2002_g15412.t2, bc2002_g8087.t1, bc2002_g4945.t1, bc2002_g15141.t1		
N3.HOG0000181	OG0000002	n163		bc2001_g5073.t1	bc2002_g14842.t1, bc2002_g7108.t1, bc2002_g19122.t1, bc2002_g16019.t1, bc2002_g15903.t2		
N3.HOG0000182	OG0000003	n3		bc2001_g7453.t2, bc2001_g7453.t1	bc2002_g13890.t1		
N3.HOG0000183	OG0000003	n11		bc2001_g705.t1, bc2001_g4942.t1, bc2001_g6841.t1			
N3.HOG0000184	OG0000003	n27		bc2001_g13300.t1	bc2002_g18581.t1, bc2002_g2544.t1		
N3.HOG0000185	OG0000003	n29		bc2001_g7804.t1	bc2002_g19316.t1		
N3.HOG0000186	OG0000003	n30		bc2001_g1568.t1	bc2002_g15276.t1		
N3.HOG0000187	OG0000003	n31		bc2001_g13621.t3, bc2001_g13621.t2, bc2001_g13621.t4, bc2001_g13621.t1	bc2002_g6555.t1		
N3.HOG0000188	OG0000003	n35		bc2001_g9468.t1, bc2001_g9468.t2	bc2002_g302.t1, bc2002_g11206.t1		
N3.HOG0000189	OG0000003	n45		bc2001_g17425.t2, bc2001_g17425.t1, bc2001_g6401.t1, bc2001_g10730.t1, bc2001_g1528.t1	bc2002_g3004.t1, bc2002_g3004.t2		
N3.HOG0000190	OG0000003	n51		bc2001_g4187.t1	bc2002_g17091.t1		
N3.HOG0000191	OG0000003	n52		bc2001_g14194.t1, bc2001_g14194.t2	bc2002_g4096.t1		
N3.HOG0000192	OG0000003	n54		bc2001_g18697.t1	bc2002_g13649.t1		
N3.HOG0000193	OG0000003	n55		bc2001_g3458.t1	bc2002_g1864.t2, bc2002_g1864.t1		
N3.HOG0000194	OG0000003	n69		bc2001_g7309.t1	bc2002_g5044.t1		
N3.HOG0000195	OG0000003	n72		bc2001_g12524.t1	bc2002_g1448.t2, bc2002_g871.t1		
N3.HOG0000196	OG0000003	n74		bc2001_g17576.t1	bc2002_g3847.t1, bc2002_g3591.t1		
N3.HOG0000197	OG0000003	n76		bc2001_g13055.t2	bc2002_g19129.t2		
N3.HOG0000198	OG0000003	n78		bc2001_g9957.t1, bc2001_g16451.t1, bc2001_g19026.t1			
N3.HOG0000199	OG0000003	n81		bc2001_g17672.t1, bc2001_g17981.t1	bc2002_g580.t1		
N3.HOG0000200	OG0000003	n83		bc2001_g1489.t1, bc2001_g19615.t1, bc2001_g4724.t1, bc2001_g18738.t1, bc2001_g13039.t1, bc2001_g8798.t1, bc2001_g9479.t1	bc2002_g9747.t1		
N3.HOG0000201	OG0000003	n90		bc2001_g6213.t1	bc2002_g19973.t1		
N3.HOG0000202	OG0000003	n97		bc2001_g17267.t1, bc2001_g6472.t1	bc2002_g10623.t1		
N3.HOG0000203	OG0000003	n99		bc2001_g6583.t1	bc2002_g8703.t1		
N3.HOG0000204	OG0000003	n100		bc2001_g9773.t1, bc2001_g9773.t2	bc2002_g17361.t1, bc2002_g1552.t1, bc2002_g5957.t1		
N3.HOG0000205	OG0000003	n104		bc2001_g10699.t1	bc2002_g15040.t1		
N3.HOG0000206	OG0000003	n105		bc2001_g11118.t1	bc2002_g8145.t1		
N3.HOG0000207	OG0000003	n106		bc2001_g9572.t1, bc2001_g9572.t2	bc2002_g9837.t1		
N3.HOG0000208	OG0000003	n108		bc2001_g397.t1	bc2002_g1934.t1		
N3.HOG0000209	OG0000003	n112		bc2001_g1898.t1	bc2002_g7337.t1		
N3.HOG0000210	OG0000003	n113		bc2001_g2442.t1	bc2002_g2293.t2, bc2002_g2293.t1		
N3.HOG0000211	OG0000003	n118		bc2001_g6328.t1	bc2002_g13098.t1		
N3.HOG0000212	OG0000003	n124		bc2001_g14867.t1	bc2002_g13702.t1		
N3.HOG0000213	OG0000003	n125		bc2001_g11965.t1, bc2001_g14187.t1	bc2002_g11092.t1		
N3.HOG0000214	OG0000003	n127		bc2001_g4658.t1	bc2002_g6268.t1		
N3.HOG0000215	OG0000003	n128		bc2001_g9184.t1	bc2002_g2503.t1		
N3.HOG0000216	OG0000003	n129		bc2001_g917.t1, bc2001_g19493.t1			
N3.HOG0000217	OG0000003	n130		bc2001_g19212.t3, bc2001_g19212.t2			
N3.HOG0000218	OG0000004	n1		bc2001_g10457.t1	bc2002_g841.t1		
N3.HOG0000219	OG0000004	n5			bc2002_g9435.t1, bc2002_g11489.t1		
N3.HOG0000220	OG0000004	n10		bc2001_g7652.t1	bc2002_g14106.t1		
N3.HOG0000221	OG0000004	n11		bc2001_g6885.t1	bc2002_g1738.t1		
N3.HOG0000222	OG0000004	n12			bc2002_g13742.t1, bc2002_g16492.t1, bc2002_g12268.t1		
N3.HOG0000223	OG0000004	n19		bc2001_g923.t1	bc2002_g11199.t1		
N3.HOG0000224	OG0000004	n20		bc2001_g6517.t1	bc2002_g10675.t1		
N3.HOG0000225	OG0000004	n21		bc2001_g13823.t1	bc2002_g9959.t1, bc2002_g14560.t1		
N3.HOG0000226	OG0000004	n24			bc2002_g8323.t1, bc2002_g8191.t1, bc2002_g14680.t1, bc2002_g13942.t1, bc2002_g13942.t2, bc2002_g15875.t1, bc2002_g19723.t1, bc2002_g10017.t1		
N3.HOG0000227	OG0000004	n35		bc2001_g14806.t1	bc2002_g4395.t1		
N3.HOG0000228	OG0000004	n36		bc2001_g15695.t1	bc2002_g8201.t1, bc2002_g15570.t1		
N3.HOG0000229	OG0000004	n38			bc2002_g15071.t1, bc2002_g13046.t1		
N3.HOG0000230	OG0000004	n43		bc2001_g4935.t1	bc2002_g19629.t1		
N3.HOG0000231	OG0000004	n44		bc2001_g14709.t1, bc2001_g7845.t1, bc2001_g17499.t1, bc2001_g18198.t1, bc2001_g256.t1	bc2002_g191.t1		
N3.HOG0000232	OG0000004	n49		bc2001_g3264.t2	bc2002_g7145.t2		
N3.HOG0000233	OG0000004	n58		bc2001_g11463.t1	bc2002_g12619.t1		
N3.HOG0000234	OG0000004	n59		bc2001_g8217.t1	bc2002_g18606.t1, bc2002_g256.t1		
N3.HOG0000235	OG0000004	n61		bc2001_g10109.t1	bc2002_g16927.t1		
N3.HOG0000236	OG0000004	n62			bc2002_g11145.t1, bc2002_g6197.t1		
N3.HOG0000237	OG0000004	n63		bc2001_g12598.t1	bc2002_g6020.t1		
N3.HOG0000238	OG0000004	n64		bc2001_g3869.t1	bc2002_g417.t1, bc2002_g12776.t1		
N3.HOG0000239	OG0000004	n66		bc2001_g3207.t1, bc2001_g973.t1			
N3.HOG0000240	OG0000004	n67		bc2001_g10789.t2, bc2001_g15729.t1, bc2001_g7031.t1	bc2002_g1110.t1		
N3.HOG0000241	OG0000004	n76		bc2001_g12554.t1	bc2002_g10069.t1		
N3.HOG0000242	OG0000004	n80		bc2001_g12068.t1	bc2002_g12305.t1		
N3.HOG0000243	OG0000004	n81		bc2001_g12976.t1	bc2002_g3180.t1, bc2002_g7673.t1		
N3.HOG0000244	OG0000004	n83			bc2002_g8929.t1, bc2002_g4240.t1, bc2002_g15431.t1		
N3.HOG0000245	OG0000004	n85		bc2001_g14503.t2	bc2002_g19892.t1		
N3.HOG0000246	OG0000004	n90		bc2001_g8008.t1	bc2002_g15594.t1		
N3.HOG0000247	OG0000004	n94		bc2001_g13989.t1	bc2002_g3312.t1, bc2002_g2702.t1, bc2002_g10899.t1		
N3.HOG0000248	OG0000004	n97		bc2001_g16920.t1	bc2002_g14784.t1, bc2002_g16313.t1		
N3.HOG0000249	OG0000004	n99			bc2002_g8235.t1, bc2002_g17110.t1		
N3.HOG0000250	OG0000004	n100		bc2001_g11283.t1	bc2002_g6362.t1		
