Geneid,Chr,Start,End,Strand,Length,mapped_to_Icas2
g21,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,52979;53144;53400;53766;54061;54233;54443;54782;55114;55387;55649;55900;56188;56457;56678;57097;57251;57499;57741;57866;58073,52992;53324;53599;53873;54130;54354;54693;55028;55245;55566;55774;56074;56355;56588;56986;57182;57368;57648;57798;57972;58390,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3252,49912
g22,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,58642;58922;59129;59417;59727;59962;60205;60528;60782;61103;61340;61548;61762;61918;62172;62413;62591;62793;63032;63216,58732;58998;59270;59575;59883;60123;60424;60655;60989;61182;61480;61662;61833;62091;62315;62503;62715;62942;63091;63467,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2748,26099
g23,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,63535;63725;63972;64419;64670;64829;65010;65229;65593;65789;65924;66123;66312;66601;66781;66978;67194,63630;63906;64337;64547;64753;64927;65150;65445;65703;65839;66016;66227;66500;66704;66898;67112;67199,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2226,17864
g24,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,67579;67688;67971;68268;68468;68616;68754;69064;69306;69497;69771;70806,67616;67849;68178;68383;68535;68671;68876;69218;69400;69635;70705;70879,+;+;+;+;+;+;+;+;+;+;+;+,2169,6517
g25,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,71052;71555;71890;72869;73282;73449;73648;73879;74101;74434;74665;74821,71397;71743;72795;73187;73363;73514;73780;73971;74302;74501;74698;74947,-;-;-;-;-;-;-;-;-;-;-;-,2565,22130
g26,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,75335;75763;75956;76165;76609;76978;77222;77499;77675;78202;78477;78688;78816;79181;79416;79598;79758;80086,75670;75855;76076;76480;76899;77065;77291;77593;78045;78341;78582;78742;78986;79283;79503;79680;79990;80097,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2772,34970
g27,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,80241;80241;80606;80606;81180;81180;81305;81591;81591;81875;81875;82098;82098;82305;82349;82417;82724;82724;83119;83119;83440;83440,80499;80499;81026;81026;81391;81217;81391;81772;81772;81986;81986;82303;82259;82329;82626;82626;82959;82959;83347;83347;83644;83644,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2365,8986
g28,contig_1001;contig_1001;contig_1001;contig_1001,83824;84097;84437;84721,83968;84270;84615;85512,+;+;+;+,1290,4722
g29,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,85631;85829;86000;86209;86403;86746;86961;87207,85725;85913;86119;86319;86648;86866;87101;87355,-;-;-;-;-;-;-;-,1068,1070
g30,contig_1001;contig_1001,87629;87938,87772;88012,+;+,219,0
g31,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,88140;88398;88596;88971;89203;89311;89550,88323;88495;88873;89082;89233;89435;89729,+;+;+;+;+;+;+,1008,7627
g32,contig_1001;contig_1001;contig_1001,90466;90653;91096,90580;90964;91439,+;+;+,771,5173
g33,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,91496;91673;91858;92060;92231;92533,91539;91785;91934;92145;92457;92612,-;-;-;-;-;-,627,1256
g34,contig_1001;contig_1001;contig_1001;contig_1001,92675;92927;93123;93312,92789;93016;93250;93434,+;+;+;+,456,4369
g35,contig_1001,95343,96335,+,993,0
g36,contig_1001,96341,97159,-,819,0
g37,contig_1001,99726,101111,-,1386,0
g38,contig_1001,101841,102353,-,513,0
g39,contig_1001;contig_1001,102629;102910,102748;104712,+;+,1923,0
g40,contig_1001;contig_1001;contig_1001;contig_1001,104784;105311;106032;106988,105205;105583;106673;107105,-;-;-;-,1455,0
g41,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,107852;107852;109335;109471;109471;109778;109778;110103;110103;110289;110289;110570;110570;110697;110697;110893;110893;111061;111061;111271;111271;111490;111490;111680;111680;111846;111846;111987;111987;112155;112155;112352;112352;112520;112520;112740;112740;112945;112945;113103;113103;113306;113306;113498;113498;113672;113672;114023;114023;114148;114148;114290;114290;114458;114458,109220;109220;109370;109683;109683;109961;109961;110194;110194;110464;110464;110614;110614;110796;110796;110962;110962;111157;111157;111336;111336;111585;111585;111770;111770;111917;111917;112084;112084;112245;112245;112424;112424;112646;112646;112842;112842;113024;113024;113229;113229;113415;113415;113563;113563;113912;113912;114081;114081;114201;114201;114381;114381;114620;114620,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4191,47019
g42,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,114862;115124;115217;115396;115582;115701;115856;116043;116216;116463;116594;116781;116920,115039;115153;115333;115499;115635;115791;115941;116136;116360;116504;116656;116809;117110,+;+;+;+;+;+;+;+;+;+;+;+;+,1224,3103
g43,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,117235;117235;117400;117400;117559;117559;117861;117861;118211;118211;118395;118395;118592;118592;118930;118930,117333;117333;117500;117500;117779;117779;118051;118051;118288;118288;118492;118492;118834;118834;119188;119116,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,1290,11872
g44,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,119259;119430;119569;119762;119977;120120;120323;120628;120806;120963;121168;121368;121542;121691,119339;119500;119679;119891;120034;120214;120490;120741;120891;121017;121247;121450;121613;122058,+;+;+;+;+;+;+;+;+;+;+;+;+;+,1572,17139
g45,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,122119;122359;122565;122808;123035;123220;123413,122289;122501;122678;122909;123149;123327;123610,+;+;+;+;+;+;+,951,5069
g46,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,123652;123888;124085;124267;124562;124701;124835;125040;125301;125576;126416;126823;127042;127055;127802;127802;128093;128093;128496;128496;128761;128761;128983;128983;129220;129220;129471;129471;129832;129832,123770;123999;124174;124339;124607;124763;124960;125189;125487;126348;126589;126848;127702;127702;128018;128018;128342;128342;128683;128683;128865;128865;129090;129090;129355;129355;129724;129724;130105;130105,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,4132,23188
g47,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,130260;130276;130489;130771;130771;130943,130418;130654;130654;130846;131189;131189,-;-;-;-;-;-,814,36738
g48,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,131468;131710;131831;131982;132350;132630;132799;133064;133291,131564;131745;131899;132258;132518;132711;132924;133135;133544,+;+;+;+;+;+;+;+;+,1182,15273
g49,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,133700;134068;134310;134506;134847;135118;135370;135557;135771;135991;136153;136297;136408;136587;136715;136877;137034;137157,133975;134211;134417;134734;135045;135250;135454;135656;135908;136075;136212;136341;136495;136630;136808;136959;137077;137388,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2187,21464
g50,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,137489;137685;137912;138077;138295;138493;138632;138797;139021;139393;139568;139836;140114;140350;140545;140705;140863;141026;141248;141420;141694;141970;142141;142340;142582;142729;142938,137618;137802;137978;138222;138397;138545;138721;138941;139296;139464;139734;140014;140217;140465;140632;140767;140948;141109;141326;141606;141855;142044;142243;142461;142640;142851;142967,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3027,15280
g51,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,143056;143267;143406;143564;143793;144022;144294;144490;144724;144990;145142;145339;145564,143208;143342;143498;143724;143946;144138;144390;144654;144888;145069;145247;145462;145755,+;+;+;+;+;+;+;+;+;+;+;+;+,1683,13515
g52,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,145760;145857;146124;146328;146774;146899;147212;147367;147531;147758,145779;146010;146246;146657;146834;147082;147303;147446;147690;147882,-;-;-;-;-;-;-;-;-;-,1329,4206
g53,contig_1001;contig_1001;contig_1001,147981;148186;148590,148095;148524;149302,+;+;+,1167,9177
g54,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,149483;149623;149882;150145;150348;150644;150985;151213;151450;151806;152050,149552;149807;150060;150256;150537;150889;151041;151344;151710;151972;152127,+;+;+;+;+;+;+;+;+;+;+,1677,40170
g55,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,152436;152646;152740;152837;153056,152577;152676;152754;152971;153059,-;-;-;-;-,327,32912
g56,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,153220;153360;153613;153866;154131;154967;155174;155331;155634;155785;155991;156534;157000,153258;153521;153790;153990;154868;154996;155233;155480;155712;155906;156473;156839;157356,+;+;+;+;+;+;+;+;+;+;+;+;+,2829,8598
g57,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,157503;157836;157985;158326;158556;158894;159121;159276;159451;159840,157725;157923;158231;158471;158801;159032;159188;159388;159723;159910,-;-;-;-;-;-;-;-;-;-,1614,8758
g58,contig_1001;contig_1001;contig_1001;contig_1001,160081;160470;161120;161855,160352;161007;161637;162065,+;+;+;+,1539,17874
g59,contig_1001;contig_1001;contig_1001;contig_1001,162568;162771;163117;163299,162691;163001;163176;163984,+;+;+;+,1101,5983
g60,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,164108;164380;164620;164897;165048;165247;165456;165572;165716;165862;166022;166224;166378;166626;166954;167152;167431;167565;167783;168317;168472;168698;168833;169039;169266;169480;169734;169888;170108;170323;170601;170847;171073;171342;171605;171914,164232;164558;164718;164963;165152;165350;165468;165634;165767;165949;166099;166300;166476;166863;167041;167329;167470;167655;167869;168383;168620;168768;168908;169186;169365;169577;169805;169992;170212;170485;170743;170965;171224;171502;171827;172239,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4149,88165
g61,contig_1001;contig_1001,172685;172797,172728;174000,-;-,1248,108892
g62,contig_1001;contig_1001;contig_1001;contig_1001,174425;174606;174787;175000,174516;174708;174879;175266,+;+;+;+,555,3638
g63,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,175481;175847;176121;176648;176887;177112;177572,175561;176038;176326;176799;176984;177463;177975,+;+;+;+;+;+;+,1485,46418
g64,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,178186;178445;178554;178763;178914;179187;179389;179523;179904;180329;180546;180868;181436;182389,178353;178479;178642;178851;179036;179297;179458;179733;180248;180458;180724;181302;182254;182536,-;-;-;-;-;-;-;-;-;-;-;-;-;-,2952,28043
g65,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,182719;183044;183337;184158;184375;184649;184866;185111;185294;185582;185810;185957;186263;186425;186660;186851;187037;187359;187672;187836;188184;188705;188941;189068;189447,182973;183271;184094;184235;184549;184774;185017;185185;185480;185710;185877;186111;186328;186551;186772;186959;187244;187573;187755;188105;188630;188816;188995;189255;189500,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,4434,69862
g66,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,189668;189845;190112;190320;190615;190824;191055;191242;191417;191562;191747;191944;192073;192373,189750;189970;190225;190503;190687;190926;191138;191331;191467;191637;191853;192002;192214;192442,-;-;-;-;-;-;-;-;-;-;-;-;-;-,1362,13077
g67,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,192936;193122;193401;193707;194059;194355;194734;194992;195283;195539;195739;195880;196219;196520,193051;193333;193601;193943;194252;194650;194888;195156;195451;195642;195811;196086;196429;196696,+;+;+;+;+;+;+;+;+;+;+;+;+;+,2517,13755
g68,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,196839;196839;197080;197080;197451;197451;197701;197701;198018;198018;198385,196985;196985;197232;197232;197621;197621;197943;197943;198262;198056;198433,-;-;-;-;-;-;-;-;-;-;-,1008,9077
g69,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,198731;198731;198946;198946;199138;199138;199398;199398;199692;199692;199919;199919;200112;200112;200335;200335;200543;200543;200777;200777;200965;200965;201214;201214;201487;201487;201724;201724;201829;201829;202011;202011;202216;202374;202614;202614;202816;202816;202991;202991;203213;203213;203439;203439,198776;198776;199068;199068;199317;199317;199615;199615;199848;199848;200008;200008;200249;200249;200463;200463;200677;200677;200899;200899;201102;201102;201418;201418;201633;201633;201754;201754;201928;201928;202504;202151;202308;202504;202717;202717;202892;202892;203114;203114;203362;203362;203667;203667,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3138,20374
g70,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,204058;204368;204663;204900;205053;205296;205546;205728;205925;206163;206407;206561;206751;207020,204210;204568;204778;204956;205178;205448;205621;205826;206061;206311;206473;206677;206910;207127,-;-;-;-;-;-;-;-;-;-;-;-;-;-,1719,16925
g71,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,207271;207629;207837;208157;208504;208862,207488;207707;208041;208388;208692;209069,+;+;+;+;+;+,1131,4814
g72,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,209461;209618;209817;210040;210263;210509;210805;210994;211149;211365;211630,209504;209721;209965;210132;210420;210675;210895;211080;211230;211516;211792,-;-;-;-;-;-;-;-;-;-;-,1290,6346
g73,contig_1001,212305,212664,+,360,9792
g74,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,212812;213021;213348;213555;213728;214350;214587;214806;215170;215490;215692;215850;216164;216527;216779;216948;217102;217322;217887,212936;213222;213479;213632;214260;214486;214726;215066;215399;215610;215784;215939;216415;216698;216853;217029;217235;217770;217901,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3321,17168
g75,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,217940;218137;218333;218506;218743;219039;219372;219575;219844;220007;220204;220335;220540;220809;220975;221168;221423;221762,218025;218160;218391;218647;218888;219180;219501;219672;219917;220084;220277;220424;220714;220899;221091;221294;221680;221914,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2064,11668
g76,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,221959;222494;222777;222998;223365;223716;223992;224193;224440;224895;225146;225455;225727;226023;226362;226657;227094;227283;227507;227765;228224;228496;229133;229382,222422;222647;222932;223257;223605;223896;224107;224350;224782;225021;225377;225605;225894;226272;226519;226950;227207;227377;227677;228092;228399;229044;229253;229453,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,5079,34708
g77,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,229684;229684;230074;230074;230326;230326;230542;230542;231009;231024;231411;231411;231580;231580;231821;231821;232044;232044;232308;232308,229998;229998;230227;230227;230462;230462;230890;230890;231214;231214;231522;231522;231731;231731;231963;231963;232225;232225;232564;232564,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2007,5440
g78,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,232718;232945;233129;233248;233400;233827;234091;234383;234603;234994;235251;235508;235849;235960,232859;233066;233167;233324;233688;234018;234292;234464;234879;235108;235421;235715;235888;236355,-;-;-;-;-;-;-;-;-;-;-;-;-;-,2352,25611
g79,contig_1001;contig_1001,236963;238026,237878;240004,-;-,2895,0
g80,contig_1001;contig_1001,242076;242188,242132;243093,-;-,963,0
g81,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,243785;244250;244711;244963;245168;245365;245607;245808;246064;246262;246526,243850;244480;244861;245048;245260;245529;245681;245963;246165;246453;246621,+;+;+;+;+;+;+;+;+;+;+,1413,45456
g82,contig_1001;contig_1001;contig_1001;contig_1001,246863;247511;247721;247876,247442;247651;247795;247988,+;+;+;+,909,554
g83,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,248096;248096;248319;248319;248472;248472;248601;248601;248771;248771;248863;248863;249023;249023;249308;249308;249527;249527;249741;249741;249969;249969;250083;250083;250300;250300;250506;250506;250695;250935;250935;251171;251171;251417;251417;251611;251611,248204;248204;248395;248395;248532;248532;248699;248699;248793;248793;248949;248949;249211;249211;249440;249440;249653;249653;249908;249908;250016;250016;250229;250229;250419;250419;250628;250628;250817;251090;251090;251296;251296;251542;251542;251824;251824,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,2256,4415
g84,contig_1001;contig_1001;contig_1001,251967;252191;252326,252107;252218;252453,+;+;+,297,2400
g85,contig_1001;contig_1001;contig_1001;contig_1001,252575;252817;253254;253467,252717;253106;253330;253565,-;-;-;-,609,11484
g86,contig_1001,253725,254117,-,393,7167
g87,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,254468;254669;255029;255390;255691;255941,254600;254879;255315;255602;255826;256151,-;-;-;-;-;-,1191,11703
g88,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,256220;256588;257268;257422;257587;257792;257941,256397;257196;257330;257483;257719;257866;258098,+;+;+;+;+;+;+,1278,3822
g89,contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001;contig_1001,258460;258460;258666;258666;258838;258838;259038;259038;259379;259379;259601;259601;259814;259911;260098;260098;260346;260346;260744;260744;261002;261002;261373;261373,258477;258477;258743;258743;258903;258903;259278;259278;259450;259450;259968;259694;259843;259968;260235;260235;260597;260597;260859;260859;261256;261256;261403;261403,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1635,108747
