# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "Geneid" "-F" "GTF" "-a" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/featurecounts/bc2001_braker.gtf" "-o" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/featurecounts/bc2001_bin7_mapped.txt" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_001_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_002_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_003_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_004_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_005_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_006_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_007_mapped.bam" "/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_008_mapped.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_001_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_002_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_003_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_004_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_005_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_006_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_007_mapped.bam	/home/ngilbe02/data/rnaseq/incendi_pilot_temp_data/bbmap_to_bin7_unzipped/8123_008_mapped.bam
g87	contig_1001	254468	256151	-	1684	1667	2019	1930	2118	2474	1869	1921	2072
g88	contig_1001	256220	258098	+	1879	1275	1289	902	1318	962	974	960	1107
g89	contig_1001	258460	261403	+	2944	9003	23009	10142	28060	14618	22303	10611	20868
g90	contig_1001	261580	265930	-	4351	3500	6863	2987	6385	3903	6916	3356	6178
g91	contig_1001	266051	268325	+	2275	1000	875	775	752	903	621	772	666
g92	contig_1001	268468	269720	-	1253	2208	2406	2548	3051	4318	2347	3372	2849
g93	contig_1001	270002	271100	-	1099	7241	8445	6707	10371	8571	8658	6811	10139
g94	contig_1001	271207	277935	+	6729	6069	8751	6757	10171	7530	8711	6510	9033
g95	contig_1001	278195	281149	-	2955	1074	900	709	669	866	734	780	758
g96	contig_1001	281392	286780	-	5389	2496	4602	1735	4278	2201	3773	2144	3947
g97	contig_1001	286986	289074	-	2089	236	702	175	737	292	554	339	720
g98	contig_1001	289679	290225	-	547	354	187	265	125	444	87	325	94
g99	contig_1001	290322	292639	+	2318	4439	2391	4231	2450	5106	1939	4356	2390
g100	contig_1001	292783	293562	+	780	2667	1817	2654	2013	3181	1351	3027	1866
g101	contig_1001	293940	294912	+	973	6	5	7	11	14	7	0	7
g102	contig_1001	295592	296659	-	1068	38	40	45	18	88	12	79	40
g103	contig_1001	296684	297390	-	707	92	78	71	50	67	69	118	66
g104	contig_1001	298114	300278	+	2165	668	557	437	434	518	375	536	307
g105	contig_1001	300452	303341	+	2890	683	1431	460	1226	772	913	569	1196
g106	contig_1001	303476	305091	-	1616	376	904	330	968	406	660	406	751
g107	contig_1001	305308	305919	-	612	0	1	0	2	0	0	0	0
g108	contig_1001	309873	310634	-	762	0	0	0	0	0	0	0	0
g109	contig_1001	310858	312081	-	1224	0	0	0	0	0	0	0	0
g110	contig_1001	312147	314737	+	2591	1	9	1	3	0	3	3	2
g111	contig_1001	315239	315985	+	747	0	0	0	0	0	0	0	0
g112	contig_1001	317177	317563	+	387	0	0	0	0	0	0	0	0
g113	contig_1001	317683	317970	+	288	0	0	0	0	0	0	0	1
g114	contig_1001	319350	320283	-	934	342	409	279	377	454	278	375	301
g115	contig_1001	321471	322562	+	1092	59	11	69	12	138	22	80	13
g116	contig_1001	323029	323457	+	429	0	0	0	0	0	0	0	1
g117	contig_1001	323541	327249	+	3709	0	2	0	0	0	0	0	0
g118	contig_1001	327287	327978	-	692	0	0	0	3	0	0	0	0
g119	contig_1001	328154	328582	+	429	0	0	0	0	0	0	0	0
g120	contig_1001	328621	330444	+	1824	0	7	0	5	0	0	0	0
g121	contig_1001	331608	332867	+	1260	28937	15966	28905	17376	45299	13828	32737	17583
g122	contig_1001	333587	336694	-	3108	41	54	30	49	57	47	50	41
g123	contig_1001	337170	340070	+	2901	4	9	12	8	2	10	5	1
g124	contig_1001	340633	341638	-	1006	1150	1394	972	1390	1276	1286	1057	1365
g125	contig_1001	341785	344131	-	2347	2349	2198	2241	2546	3804	2050	2624	2431
g126	contig_1001	344252	345618	+	1367	17123	10513	19934	14935	27871	13162	23470	15176
g127	contig_1001	345814	349956	+	4143	1024	1176	736	1059	1045	1048	1176	966
g128	contig_1001	350039	352053	-	2015	1748	1969	1714	1915	2365	1567	1834	1941
g129	contig_1001	352080	353180	-	1101	704	744	658	644	763	606	691	721
g130	contig_1001	353319	353786	-	468	11	14	2	9	21	4	7	6
g131	contig_1001	353948	354990	+	1043	267	551	194	417	205	368	166	402
g132	contig_1001	355025	358376	+	3352	1757	2663	1681	2831	2468	2305	2199	2709
g133	contig_1001	358452	359984	-	1533	1740	1951	1905	2217	2348	1760	1922	2367
g134	contig_1001	360053	362121	-	2069	1416	1474	1620	1534	1621	1438	1451	1547
g135	contig_1001	362192	362954	-	763	33	109	44	94	80	91	103	76
g136	contig_1001	363421	365612	+	2192	906	1445	920	1568	1274	1322	1026	1490
g137	contig_1001	365890	369917	+	4028	6385	7259	5906	7119	7177	6635	6572	6811
g138	contig_1001	370088	372589	+	2502	780	1047	789	1130	1033	1012	802	977
g139	contig_1001	372913	374071	+	1159	2769	2153	2850	2539	4408	2351	3542	2564
g140	contig_1001	374318	374996	-	679	1045	1211	939	1324	1371	1336	1425	1343
g141	contig_1001	375191	378243	-	3053	724	585	581	597	748	420	704	545
g142	contig_1001	378381	385931	+	7551	5603	7645	5112	8089	4959	5908	4432	7323
g143	contig_1001	386095	388399	-	2305	4300	4395	4620	4971	6755	5114	5389	5466
g144	contig_1001	388516	389639	+	1124	799	1041	797	1131	1383	1015	960	1123
g145	contig_1001	389966	390724	-	759	1979	2011	2115	2234	3776	2050	3930	2379
g146	contig_1001	391429	392690	+	1262	1	2	0	4	0	1	0	7
g147	contig_1001	393222	393602	-	381	0	2	0	0	0	0	0	3
g148	contig_1001	394237	394566	+	330	0	0	0	0	0	0	0	0
g149	contig_1001	394752	397040	+	2289	1	5	2	0	0	5	0	11
g150	contig_1001	397148	397561	+	414	6	5	4	3	9	14	2	9
g151	contig_1001	397777	399400	+	1624	379	513	249	505	401	413	324	387
g152	contig_1001	399520	401273	-	1754	1228	1787	1301	2337	1848	2165	1369	2485
g153	contig_1001	401364	402157	+	794	891	942	850	1168	1518	1069	1119	1242
g154	contig_1001	403067	403635	+	569	244	559	219	531	444	666	251	696
g155	contig_1001	403693	406743	-	3051	2631	2641	2582	2709	3168	2280	2856	2405
g156	contig_1001	406786	407656	-	871	631	731	764	614	630	629	576	645
g157	contig_1001	407813	410376	-	2564	1288	2422	1197	2692	1470	2269	1119	2662
g158	contig_1001	410620	412543	-	1924	295	768	255	778	391	641	308	668
g159	contig_1001	412707	415916	+	3210	1114	1605	795	1340	837	975	753	1256
g160	contig_1001	415970	417501	-	1532	1907	2422	1678	2879	2485	2540	2018	2548
g161	contig_1003	1	1666	-	1666	0	0	0	0	0	1	0	0
g162	contig_1003	1742	2771	-	1030	0	0	0	0	0	0	0	0
g163	contig_1003	2985	4295	+	1311	0	0	0	0	0	0	0	0
g164	contig_1003	4653	5270	-	618	0	0	0	0	0	0	0	0
g165	contig_1003	5306	6022	-	717	0	0	0	0	0	0	0	0
g166	contig_1003	6389	6637	-	249	0	0	0	0	0	0	0	0
g167	contig_1003	6948	8476	+	1529	0	0	0	0	0	0	0	0
g168	contig_1003	8502	10232	-	1731	0	0	0	0	0	0	0	0
g169	contig_1003	10393	11409	+	1017	0	0	0	0	0	0	0	0
g170	contig_1003	11436	11786	-	351	2	0	0	0	0	0	0	0
g171	contig_1003	13326	14300	-	975	9	18	2	13	18	18	30	12
g172	contig_1003	16119	20844	-	4726	17	77	51	82	53	68	31	68
g173	contig_1003	21781	23679	+	1899	0	0	0	0	0	0	0	0
g174	contig_1003	23942	26456	-	2515	0	2	0	1	0	0	0	0
g175	contig_1003	27471	29103	+	1633	1196	886	649	678	1098	449	1020	628
g176	contig_1003	30026	32155	-	2130	5338	6845	5939	8046	7530	6883	5959	8020
g177	contig_1003	32409	37247	-	4839	1293	1618	951	1304	1373	1237	1086	1360
g178	contig_1003	37367	39128	+	1762	0	0	0	0	0	0	0	0
g179	contig_1003	39263	40698	-	1436	0	0	0	0	0	0	0	0
g180	contig_1003	41009	41979	+	971	0	0	0	0	0	0	0	0
g181	contig_1003	42115	42886	+	772	0	0	0	0	0	0	0	0
g182	contig_1003	42918	43755	-	838	0	0	0	0	0	0	0	0
g183	contig_1003	43775	44368	-	594	0	0	0	0	0	0	0	0
g184	contig_1003	44804	45028	+	225	0	5	0	12	0	2	0	5
g185	contig_1003	45051	45737	-	687	0	0	0	0	0	0	0	0
g186	contig_1003	46031	48063	-	2033	6	7	0	0	1	3	0	0
g187	contig_1003	48111	51640	+	3530	1638	188	1373	216	3507	186	2552	331
g188	contig_1003	51789	52307	+	519	1	5	1	2	4	7	6	0
g189	contig_1003	52385	56230	+	3846	0	11	0	6	2	4	0	3
g190	contig_1003	56290	57146	-	857	0	1	0	2	0	0	0	0
g191	contig_1003	57192	57599	+	408	0	2	0	1	0	0	0	0
g192	contig_1003	57630	59432	+	1803	0	3	0	2	0	7	0	0
g193	contig_1003	59811	62184	-	2374	1	3	4	0	5	2	0	0
g194	contig_1003	62706	63902	+	1197	16	20	9	34	21	21	19	21
g195	contig_1003	64027	67316	+	3290	1011	1403	987	1596	1414	1188	1139	1289
g196	contig_1003	67470	70622	+	3153	5015	6581	4710	6490	6063	5978	4835	6237
g197	contig_1003	70775	90716	-	19942	28112	41289	23757	36334	27606	34145	24589	35533
g198	contig_1003	90861	93346	-	2486	1825	1731	1727	1684	2241	1445	2064	1658
g199	contig_1003	95890	98937	-	3048	13	21	0	8	2	9	7	8
g200	contig_1003	99836	101815	+	1980	0	3	0	1	0	3	0	0
g201	contig_1003	102005	103465	+	1461	0	0	0	0	0	0	2	0
g202	contig_1003	103497	104270	-	774	0	0	0	0	0	0	0	0
g203	contig_1003	104391	105107	-	717	0	0	0	0	0	0	0	0
g204	contig_1003	105362	105604	+	243	0	0	0	0	0	0	0	0
g205	contig_1003	105672	107195	+	1524	1	0	0	0	0	0	0	0
g206	contig_1003	107222	108949	-	1728	0	0	0	0	0	0	0	0
g207	contig_1003	109110	110084	+	975	0	0	0	0	0	0	0	0
g208	contig_1003	110112	110474	-	363	0	0	0	0	2	0	0	0
g209	contig_1003	112062	113012	-	951	5	27	1	23	2	6	2	3
g210	contig_1003	113285	114055	+	771	765	1115	534	1213	1202	807	967	1096
g211	contig_1003	114234	117594	-	3361	15399	12689	14604	15490	16834	13799	14663	15061
g212	contig_1003	117754	123525	-	5772	8864	12064	7220	11384	10469	10047	9843	12099
g213	contig_1003	124066	125306	+	1241	3	4	1	7	3	0	0	5
g214	contig_1003	125576	130259	-	4684	7379	6395	6082	4903	6993	5645	6653	6294
g215	contig_1003	130696	132128	+	1433	7550	13692	9362	14434	15319	13562	13208	13420
g216	contig_1003	132573	136214	-	3642	3354	3810	2962	3305	3283	3281	3391	3905
g217	contig_1003	136335	140995	+	4661	2041	4196	1458	3251	1869	2771	1970	3657
g218	contig_1003	141120	142059	-	940	124	160	134	191	144	153	144	136
g219	contig_1003	142188	142954	+	767	157	428	102	503	208	347	249	423
g220	contig_1003	143264	144340	+	1077	2077	2474	1708	2223	2128	2903	1900	2449
g221	contig_1003	144641	145590	+	950	705	757	598	747	834	772	835	712
g222	contig_1003	145731	148262	-	2532	1815	2220	1918	2404	2732	1987	2230	2320
g223	contig_1003	148342	150972	+	2631	707	1306	687	1095	751	1058	681	1140
g224	contig_1003	151411	154330	+	2920	17	9	11	12	24	7	15	8
g225	contig_1003	154661	155102	-	442	4	4	1	0	5	3	0	3
g226	contig_1003	155406	155789	-	384	0	0	0	0	0	0	0	0
g227	contig_1003	156162	156500	-	339	221	412	162	311	193	314	203	328
g228	contig_1003	157020	159637	+	2618	2414	3596	2622	4182	3201	3963	2849	4301
g229	contig_1003	159826	161491	-	1666	737	961	775	912	1101	816	938	931
g230	contig_1003	162306	163964	+	1659	726	641	696	737	1103	494	1002	737
g231	contig_1003	164040	169517	-	5478	5173	10451	3887	9689	4785	8140	4782	8919
g232	contig_1003	169745	172026	-	2282	1452	1666	1353	1502	1655	1402	1435	1613
g233	contig_1003	172140	172544	-	405	122	164	73	201	99	141	135	172
g234	contig_1003	172639	175245	+	2607	401	247	379	214	597	183	525	174
g235	contig_1003	175328	176372	-	1045	0	0	0	0	0	0	0	1
g236	contig_1003	176426	178128	+	1703	0	0	0	0	0	0	0	0
g237	contig_1003	178216	179313	-	1098	1	0	0	3	0	4	5	2
g238	contig_1003	179418	180731	+	1314	35	121	27	139	106	112	53	161
g239	contig_1003	181041	181406	-	366	0	0	0	0	0	0	0	0
g240	contig_1003	181555	183331	+	1777	0	0	0	0	0	0	0	1
g241	contig_1003	183805	185755	-	1951	0	0	0	0	0	0	1	0
g242	contig_1003	186151	186603	-	453	0	0	0	0	0	0	0	0
g243	contig_1003	186723	187151	-	429	0	0	0	0	0	0	0	0
g244	contig_1003	187312	189039	+	1728	0	0	0	0	0	0	0	0
g245	contig_1003	189066	190453	-	1388	0	0	0	0	0	0	0	0
g246	contig_1003	190587	192858	+	2272	0	0	0	0	0	0	0	0
g247	contig_1003	192887	196603	-	3717	0	0	0	0	0	0	0	0
g248	contig_1003	196635	198640	-	2006	1	13	0	0	6	6	0	3
g249	contig_1003	199724	200653	+	930	195	243	216	244	223	184	216	216
g250	contig_1003	202005	202385	-	381	0	3	0	0	0	0	0	1
g251	contig_1003	202552	203418	-	867	0	2	0	0	0	0	0	0
g252	contig_1003	203463	203789	-	327	0	1	0	0	0	0	0	0
g253	contig_1003	204384	205700	-	1317	10	4	0	1	4	1	11	4
g254	contig_1003	207179	207701	+	523	147	234	134	159	189	63	137	151
g255	contig_1003	209203	211188	+	1986	0	0	0	0	0	0	0	0
g256	contig_1003	211260	213062	-	1803	0	0	0	0	2	0	0	0
g257	contig_1003	213608	216273	+	2666	4	5	11	3	11	1	12	6
g258	contig_1003	218832	219650	+	819	0	0	0	0	0	0	0	0
g259	contig_1003	219656	221449	-	1794	0	0	0	0	0	0	0	0
g260	contig_1003	222870	224931	+	2062	2276	4960	1505	4265	1877	3605	1863	4136
g261	contig_1003	225098	226174	+	1077	7301	5398	7396	6204	10638	4834	8223	7073
g262	contig_1003	226286	227371	-	1086	2552	590	2548	599	4966	571	3174	644
g263	contig_1003	227469	227848	+	380	649	572	650	661	995	727	866	779
g264	contig_1003	228310	235653	-	7344	2247	2244	1581	1957	2027	1580	1702	1974
g265	contig_1003	235902	242671	-	6770	103	85	88	53	116	27	136	97
g266	contig_1003	243786	248677	+	4892	3699	3491	2405	3078	2787	2699	2451	2769
g267	contig_1003	249070	250245	+	1176	0	0	0	0	0	0	0	0
g268	contig_1003	250816	253574	-	2759	53	57	25	46	53	27	20	45
g269	contig_1003	254411	254815	-	405	0	3	0	0	0	0	0	1
g270	contig_1003	254864	255714	+	851	0	0	0	0	0	0	0	1
g271	contig_1003	255774	256785	-	1012	0	0	0	1	0	4	0	1
g272	contig_1003	256864	257199	+	336	0	0	0	0	0	0	0	0
g273	contig_1003	257432	258223	+	792	0	2	0	0	7	0	7	1
g274	contig_1003	258715	259318	+	604	0	0	0	0	0	0	0	2
g275	contig_1003	259341	259565	-	225	5	2	0	5	0	0	0	0
g276	contig_1003	262696	263673	+	978	42	196	29	179	62	152	53	144
g277	contig_1003	264356	268761	-	4406	1752	2040	1151	1914	1756	1709	1424	2027
g278	contig_1003	268794	269621	+	828	137	67	79	41	70	80	119	69
g279	contig_1003	270020	271768	-	1749	511	924	280	682	334	650	390	660
g280	contig_1003	271923	272433	-	511	70	138	32	56	12	80	22	97
g281	contig_1003	276698	277446	-	749	18	21	7	16	26	8	18	12
g282	contig_1003	278113	278849	+	737	730	932	389	623	471	567	460	529
g283	contig_1003	280271	280729	-	459	336	389	171	428	176	309	207	287
g284	contig_1003	281186	283149	+	1964	0	10	10	2	3	1	0	4
g285	contig_1003	285901	287109	-	1209	1828	1969	1349	1887	1668	1300	1371	1788
g286	contig_1003	287222	288940	+	1719	1644	1845	1629	1993	2480	2085	2560	2173
g287	contig_1003	289030	291630	-	2601	720	611	559	697	825	576	746	612
g288	contig_1003	291817	292755	+	939	328	592	260	673	428	553	404	752
g289	contig_1003	292979	297127	-	4149	7367	7920	6943	8514	8664	6921	6498	8657
g290	contig_1003	297275	302630	+	5356	7473	7231	5558	6262	6110	6291	5803	6792
g291	contig_1003	302755	305299	+	2545	2795	3754	2643	4397	3599	3897	3255	4016
g292	contig_1003	305505	307298	+	1794	1796	2130	1341	2070	1483	1911	1370	2067
g293	contig_1003	307564	312731	-	5168	7564	9321	6396	9064	8769	8544	7477	9975
g294	contig_1003	312817	313889	+	1073	7467	8403	5969	11982	10650	10211	8990	10252
g295	contig_1003	314084	317911	-	3828	3141	4256	2700	4379	2874	3398	2635	3810
g296	contig_1003	318113	323021	+	4909	3556	8112	2952	9794	3078	7489	2525	7219
g297	contig_1003	323287	325358	+	2072	37082	26930	39472	32921	48940	31975	40934	32842
g298	contig_1003	325656	327688	+	2033	3631	2343	4092	2249	5881	1959	4963	2661
g299	contig_1003	327815	328868	-	1054	1675	944	1848	1554	1819	1215	1648	1476
