Orthogroup	dicty_braker	acastellanii_braker
OG0000161	dicty_g11132.t1, dicty_g11255.t1	acastellanii_g9623.t1, acastellanii_g5929.t1, acastellanii_g10722.t1, acastellanii_g3422.t1, acastellanii_g1983.t2, acastellanii_g1983.t1, acastellanii_g12181.t1
OG0000162	dicty_g7203.t1	acastellanii_g10013.t1, acastellanii_g10013.t2
OG0000162	dicty_g2662.t1, dicty_g2815.t1	acastellanii_g5170.t1, acastellanii_g6076.t1
OG0000171	dicty_g2177.t1	acastellanii_g14034.t1
OG0000171	dicty_g6853.t1	acastellanii_g6384.t1, acastellanii_g604.t1
OG0000171	dicty_g9915.t1	acastellanii_g11241.t2, acastellanii_g11241.t1
OG0000171	dicty_g2259.t1	acastellanii_g5405.t1
OG0000182	dicty_g10630.t1, dicty_g283.t1, dicty_g10636.t1	acastellanii_g710.t1, acastellanii_g5721.t2, acastellanii_g5721.t1, acastellanii_g5725.t1, acastellanii_g5724.t1, acastellanii_g13084.t1, acastellanii_g13427.t1, acastellanii_g979.t1, acastellanii_g11098.t1
OG0000191	dicty_g6407.t1, dicty_g8346.t1	acastellanii_g10978.t1, acastellanii_g10978.t2, acastellanii_g6154.t1
OG0000191	dicty_g8348.t1, dicty_g8347.t1, dicty_g6196.t1	acastellanii_g2083.t1
OG0000191	dicty_g4516.t1	acastellanii_g9386.t1, acastellanii_g9385.t1, acastellanii_g13717.t1, acastellanii_g13185.t1, acastellanii_g4713.t1, acastellanii_g12994.t1, acastellanii_g7436.t1
OG0000192	dicty_g3374.t1	acastellanii_g9639.t1, acastellanii_g9639.t2, acastellanii_g2536.t1, acastellanii_g2704.t1, acastellanii_g3188.t1
OG0000192	dicty_g10275.t1, dicty_g10181.t1	acastellanii_g14032.t1, acastellanii_g3968.t1
OG0000194	dicty_g5824.t1, dicty_g3620.t1	acastellanii_g5200.t1
OG0000195	dicty_g2665.t1, dicty_g2812.t1, dicty_g4751.t1, dicty_g9122.t1, dicty_g8193.t1, dicty_g8193.t2, dicty_g5073.t2, dicty_g5073.t1, dicty_g8439.t1	acastellanii_g4908.t1
OG0000205	dicty_g168.t1, dicty_g10888.t1	acastellanii_g9954.t1
OG0000205	dicty_g6590.t1	acastellanii_g4180.t1, acastellanii_g3116.t1, acastellanii_g10497.t1
OG0000206	dicty_g4545.t1	acastellanii_g9263.t1, acastellanii_g6455.t1, acastellanii_g4515.t1, acastellanii_g5986.t1, acastellanii_g5508.t1, acastellanii_g9262.t1
OG0000223	dicty_g10527.t1, dicty_g3491.t1, dicty_g2379.t1, dicty_g342.t1, dicty_g8313.t1, dicty_g3375.t1	acastellanii_g10807.t1, acastellanii_g7378.t1, acastellanii_g13174.t1, acastellanii_g9591.t1
OG0000224	dicty_g10347.t1, dicty_g1106.t1	acastellanii_g12501.t1, acastellanii_g6420.t1, acastellanii_g6420.t2, acastellanii_g2119.t1, acastellanii_g12413.t1, acastellanii_g12412.t1, acastellanii_g12724.t1, acastellanii_g12431.t1, acastellanii_g9528.t1, acastellanii_g7302.t1, acastellanii_g1709.t1, acastellanii_g7213.t1, acastellanii_g3000.t1
OG0000227	dicty_g5381.t1	acastellanii_g2323.t1, acastellanii_g6551.t2
OG0000227	dicty_g817.t1, dicty_g4722.t1, dicty_g6619.t1	acastellanii_g9824.t1, acastellanii_g10591.t1, acastellanii_g7092.t1
OG0000229	dicty_g8238.t1	acastellanii_g3986.t1, acastellanii_g3986.t2
OG0000230	dicty_g429.t1	acastellanii_g3924.t1
OG0000231	dicty_g5978.t1, dicty_g5624.t1, dicty_g5838.t1, dicty_g5980.t1, dicty_g5836.t1, dicty_g10823.t1, dicty_g7101.t1, dicty_g6185.t1, dicty_g5984.t1, dicty_g5982.t1, dicty_g5839.t1, dicty_g10413.t1	acastellanii_g3079.t2, acastellanii_g3079.t1, acastellanii_g3075.t1
OG0000232	dicty_g398.t1	acastellanii_g2850.t1
OG0000248	dicty_g5148.t1	acastellanii_g12983.t1
OG0000249	dicty_g7680.t1	acastellanii_g1901.t1, acastellanii_g9656.t1, acastellanii_g2595.t1, acastellanii_g3921.t1
OG0000249	dicty_g1539.t1	acastellanii_g1364.t1, acastellanii_g1371.t1, acastellanii_g3426.t1, acastellanii_g3426.t2, acastellanii_g1368.t1, acastellanii_g9522.t1, acastellanii_g6629.t1, acastellanii_g12960.t1, acastellanii_g7474.t1, acastellanii_g5885.t3, acastellanii_g5885.t1, acastellanii_g5885.t2
OG0000251	dicty_g5816.t1, dicty_g5819.t1, dicty_g6322.t1	acastellanii_g12113.t1, acastellanii_g12113.t2, acastellanii_g3731.t1
OG0000252	dicty_g390.t1	acastellanii_g3474.t1
OG0000252	dicty_g3485.t1	acastellanii_g4789.t1
OG0000252	dicty_g4965.t2, dicty_g4965.t1	acastellanii_g11673.t1, acastellanii_g7450.t1
OG0000252	dicty_g6809.t1	acastellanii_g10044.t2, acastellanii_g10044.t1
OG0000254	dicty_g4484.t1	acastellanii_g11138.t1
OG0000255	dicty_g2472.t1	acastellanii_g10126.t2, acastellanii_g10126.t1
OG0000256	dicty_g4126.t1, dicty_g8092.t1, dicty_g1713.t1	acastellanii_g7294.t1, acastellanii_g10175.t2, acastellanii_g10175.t1, acastellanii_g10175.t3
OG0000256	dicty_g468.t1	acastellanii_g363.t1
OG0000257	dicty_g11393.t1	acastellanii_g942.t1
OG0000257	dicty_g9426.t1	acastellanii_g3017.t1, acastellanii_g8027.t1
OG0000257	dicty_g8395.t1	acastellanii_g3279.t1
OG0000258	dicty_g10215.t1, dicty_g180.t1, dicty_g8524.t1	acastellanii_g7437.t1
OG0000259	dicty_g41.t1, dicty_g4713.t1	acastellanii_g4710.t1
OG0000271	dicty_g2022.t1	acastellanii_g8099.t1
OG0000271	dicty_g4635.t1, dicty_g4684.t1, dicty_g7350.t1	acastellanii_g4321.t2, acastellanii_g4321.t1, acastellanii_g13159.t1
OG0000271	dicty_g4127.t1	acastellanii_g10453.t1
OG0000274	dicty_g4294.t1, dicty_g4231.t1	acastellanii_g8189.t1, acastellanii_g12742.t1, acastellanii_g3847.t1
OG0000275	dicty_g1567.t1	acastellanii_g901.t1, acastellanii_g148.t1, acastellanii_g3527.t1
OG0000275	dicty_g4169.t1	acastellanii_g12192.t2, acastellanii_g12192.t1
OG0000276	dicty_g687.t1	acastellanii_g3730.t1, acastellanii_g3730.t2, acastellanii_g3729.t1, acastellanii_g11430.t1, acastellanii_g1977.t1, acastellanii_g10481.t1, acastellanii_g10481.t2, acastellanii_g1140.t1, acastellanii_g3400.t1
OG0000277	dicty_g1206.t1	acastellanii_g2979.t1, acastellanii_g7045.t1
OG0000277	dicty_g8134.t1	acastellanii_g10680.t1
OG0000277	dicty_g5127.t1	acastellanii_g9056.t1
OG0000278	dicty_g9752.t1, dicty_g9751.t1, dicty_g9753.t1, dicty_g9694.t1, dicty_g1931.t1, dicty_g9613.t1	acastellanii_g2335.t1, acastellanii_g4494.t1, acastellanii_g8020.t1
OG0000290	dicty_g5826.t1	acastellanii_g1516.t1, acastellanii_g2549.t1
OG0000290	dicty_g11068.t1	acastellanii_g807.t3, acastellanii_g807.t2, acastellanii_g807.t1, acastellanii_g13636.t1
OG0000291	dicty_g6906.t1	acastellanii_g388.t1
OG0000292	dicty_g6250.t1	acastellanii_g13989.t1, acastellanii_g2169.t1, acastellanii_g4249.t1, acastellanii_g8245.t1
OG0000293	dicty_g9962.t1	acastellanii_g13182.t1
OG0000294	dicty_g5052.t1	acastellanii_g11533.t1, acastellanii_g13211.t1, acastellanii_g13211.t2, acastellanii_g13211.t3, acastellanii_g12848.t1, acastellanii_g12848.t2, acastellanii_g91.t1, acastellanii_g691.t1, acastellanii_g8541.t1
OG0000295	dicty_g2045.t1, dicty_g10922.t1	acastellanii_g9635.t2, acastellanii_g9635.t1, acastellanii_g12656.t1
OG0000295	dicty_g8180.t1	acastellanii_g7266.t1
OG0000295	dicty_g7155.t1	acastellanii_g2948.t1
OG0000296	dicty_g4791.t1	acastellanii_g12038.t2, acastellanii_g12038.t1, acastellanii_g3684.t1
OG0000296	dicty_g7386.t1, dicty_g9235.t1	acastellanii_g3166.t1
OG0000297	dicty_g3290.t1	acastellanii_g4514.t1, acastellanii_g5985.t1, acastellanii_g2399.t1
OG0000297	dicty_g5757.t1	acastellanii_g7113.t1, acastellanii_g9739.t1
OG0000298	dicty_g11186.t1	acastellanii_g11730.t1, acastellanii_g6711.t1, acastellanii_g11671.t1
OG0000298	dicty_g4561.t1	acastellanii_g10810.t1, acastellanii_g11576.t1, acastellanii_g11576.t2, acastellanii_g9374.t2, acastellanii_g9374.t1
OG0000299	dicty_g3661.t2, dicty_g3661.t1	acastellanii_g4070.t1, acastellanii_g4063.t2, acastellanii_g9961.t1, acastellanii_g1723.t1, acastellanii_g5005.t1, acastellanii_g5013.t2, acastellanii_g5013.t1, acastellanii_g5907.t1, acastellanii_g4063.t3, acastellanii_g4063.t1
OG0000325	dicty_g911.t1, dicty_g911.t2	acastellanii_g2260.t1, acastellanii_g11861.t1, acastellanii_g4462.t1, acastellanii_g13666.t1, acastellanii_g10787.t1, acastellanii_g11025.t1, acastellanii_g4084.t1, acastellanii_g4076.t1
OG0000326	dicty_g6857.t1	acastellanii_g5584.t1, acastellanii_g5583.t1, acastellanii_g2930.t1, acastellanii_g4733.t1, acastellanii_g6094.t1, acastellanii_g4025.t1, acastellanii_g4026.t1, acastellanii_g4350.t1, acastellanii_g4505.t1, acastellanii_g8872.t1, acastellanii_g7314.t2, acastellanii_g7314.t1, acastellanii_g6049.t1, acastellanii_g13703.t2, acastellanii_g13703.t1, acastellanii_g13704.t1
OG0000328	dicty_g9553.t1	acastellanii_g12058.t1
OG0000328	dicty_g4694.t1	acastellanii_g9111.t2, acastellanii_g9111.t1
OG0000329	dicty_g8450.t1, dicty_g10613.t1, dicty_g967.t1, dicty_g5368.t1, dicty_g6566.t1, dicty_g6482.t1, dicty_g9545.t1	acastellanii_g2463.t1, acastellanii_g12079.t1, acastellanii_g6253.t1, acastellanii_g7964.t1, acastellanii_g2153.t1, acastellanii_g2870.t1, acastellanii_g3498.t1
OG0000330	dicty_g9691.t1, dicty_g5733.t1, dicty_g1896.t1	acastellanii_g12110.t1, acastellanii_g3198.t1, acastellanii_g6845.t4, acastellanii_g519.t2, acastellanii_g519.t1, acastellanii_g9419.t1, acastellanii_g6845.t1, acastellanii_g6845.t3, acastellanii_g6845.t2, acastellanii_g2036.t1
OG0000331	dicty_g6876.t1, dicty_g6876.t2	acastellanii_g6319.t1
OG0000331	dicty_g135.t1	acastellanii_g11076.t1
OG0000333	dicty_g9006.t1	acastellanii_g5305.t1
OG0000333	dicty_g10155.t1	acastellanii_g8728.t1
OG0000334	dicty_g10923.t1	acastellanii_g5737.t1, acastellanii_g8557.t1, acastellanii_g3389.t1
OG0000335	dicty_g7006.t1	acastellanii_g7999.t1
OG0000356	dicty_g993.t1	acastellanii_g13972.t1, acastellanii_g3743.t1, acastellanii_g2322.t1, acastellanii_g12931.t1, acastellanii_g7244.t1, acastellanii_g7371.t2, acastellanii_g7371.t1, acastellanii_g7042.t1
OG0000357	dicty_g5992.t1	acastellanii_g3289.t1
OG0000357	dicty_g3942.t2, dicty_g3942.t1	acastellanii_g13518.t1
OG0000358	dicty_g1863.t1, dicty_g3814.t1	acastellanii_g10962.t1, acastellanii_g13187.t1, acastellanii_g13187.t2
OG0000359	dicty_g6268.t1	acastellanii_g3759.t1, acastellanii_g3761.t1, acastellanii_g7641.t1, acastellanii_g13307.t1, acastellanii_g11328.t1, acastellanii_g5400.t1
OG0000360	dicty_g1059.t1, dicty_g8757.t1	acastellanii_g13402.t1
OG0000361	dicty_g4642.t1	acastellanii_g12470.t1
OG0000361	dicty_g797.t1, dicty_g682.t1	acastellanii_g13039.t1
OG0000361	dicty_g6071.t2, dicty_g6071.t1	acastellanii_g11380.t1
OG0000362	dicty_g6583.t1, dicty_g6582.t1, dicty_g5677.t1, dicty_g5677.t2, dicty_g4156.t1	acastellanii_g1131.t1, acastellanii_g529.t1, acastellanii_g5621.t1, acastellanii_g5604.t1, acastellanii_g10924.t1, acastellanii_g10924.t2, acastellanii_g1475.t1, acastellanii_g11978.t1, acastellanii_g2841.t1, acastellanii_g2636.t1
OG0000363	dicty_g1525.t2, dicty_g1525.t1, dicty_g4232.t1, dicty_g4292.t1	acastellanii_g8363.t1
OG0000363	dicty_g6551.t1	acastellanii_g11620.t5, acastellanii_g11620.t1, acastellanii_g11620.t3, acastellanii_g11620.t4, acastellanii_g11620.t2
OG0000364	dicty_g9773.t1	acastellanii_g3719.t1, acastellanii_g11509.t1, acastellanii_g539.t1, acastellanii_g262.t1, acastellanii_g262.t2, acastellanii_g4641.t1
OG0000366	dicty_g1656.t1	acastellanii_g1046.t1, acastellanii_g10961.t1, acastellanii_g9376.t1, acastellanii_g3120.t1, acastellanii_g5478.t1
OG0000367	dicty_g10991.t1, dicty_g9885.t1	acastellanii_g10499.t1, acastellanii_g9934.t1, acastellanii_g9935.t1
OG0000368	dicty_g11234.t1	acastellanii_g9703.t1, acastellanii_g9703.t2
OG0000368	dicty_g970.t1, dicty_g8797.t1	acastellanii_g6726.t2, acastellanii_g6726.t1
OG0000369	dicty_g200.t1	acastellanii_g8873.t1, acastellanii_g8873.t3, acastellanii_g8873.t2
OG0000369	dicty_g7363.t1	acastellanii_g1518.t1, acastellanii_g8865.t1, acastellanii_g8869.t1, acastellanii_g8866.t1, acastellanii_g8867.t1, acastellanii_g8870.t1, acastellanii_g8875.t1
OG0000370	dicty_g2920.t1, dicty_g2556.t1, dicty_g2485.t1, dicty_g2991.t1, dicty_g2008.t1, dicty_g2007.t1, dicty_g247.t2, dicty_g247.t1, dicty_g1968.t1	acastellanii_g8606.t3, acastellanii_g8606.t2, acastellanii_g8606.t1
OG0000371	dicty_g11093.t1, dicty_g7534.t1, dicty_g234.t1, dicty_g2501.t1, dicty_g2974.t1, dicty_g10002.t1, dicty_g10433.t1	acastellanii_g7584.t1, acastellanii_g2283.t1, acastellanii_g2283.t2, acastellanii_g6121.t1
OG0000372	dicty_g5118.t1, dicty_g8370.t1, dicty_g10901.t1	acastellanii_g295.t3, acastellanii_g295.t1, acastellanii_g3613.t1, acastellanii_g3611.t1, acastellanii_g295.t2, acastellanii_g3612.t1
OG0000393	dicty_g10682.t2, dicty_g10682.t1, dicty_g10682.t3	acastellanii_g3357.t1, acastellanii_g12575.t2, acastellanii_g12575.t1, acastellanii_g14086.t1, acastellanii_g2476.t1
OG0000395	dicty_g10389.t1	acastellanii_g13166.t1
OG0000396	dicty_g790.t1, dicty_g6104.t1	acastellanii_g2998.t1, acastellanii_g12838.t1, acastellanii_g10992.t1, acastellanii_g8447.t1, acastellanii_g536.t1
OG0000397	dicty_g11192.t1	acastellanii_g8104.t2, acastellanii_g8104.t1, acastellanii_g12282.t1, acastellanii_g9831.t1, acastellanii_g4935.t1
OG0000398	dicty_g11111.t1, dicty_g11111.t2	acastellanii_g10614.t1, acastellanii_g10614.t2
OG0000398	dicty_g3507.t1	acastellanii_g5147.t1
OG0000399	dicty_g11409.t1	acastellanii_g10496.t1, acastellanii_g567.t2, acastellanii_g567.t1, acastellanii_g444.t1
OG0000400	dicty_g10344.t1, dicty_g6794.t1	acastellanii_g2481.t1, acastellanii_g2482.t1, acastellanii_g1688.t1, acastellanii_g4234.t1, acastellanii_g10265.t1
OG0000402	dicty_g8580.t1, dicty_g3888.t1, dicty_g11071.t1	acastellanii_g7869.t1, acastellanii_g2609.t1, acastellanii_g7349.t1, acastellanii_g10069.t1
OG0000403	dicty_g7878.t1	acastellanii_g3438.t1, acastellanii_g1378.t1, acastellanii_g10207.t1
OG0000403	dicty_g8590.t1	acastellanii_g2483.t1
OG0000404	dicty_g8965.t1	acastellanii_g8328.t1, acastellanii_g8328.t2
OG0000404	dicty_g5701.t1	acastellanii_g9880.t1, acastellanii_g9880.t2
OG0000405	dicty_g837.t1, dicty_g962.t1	acastellanii_g2100.t2, acastellanii_g2100.t1, acastellanii_g8563.t1, acastellanii_g7269.t1, acastellanii_g5979.t1
OG0000406	dicty_g2127.t1	acastellanii_g7626.t1, acastellanii_g29.t1, acastellanii_g441.t1
OG0000407	dicty_g11043.t1	acastellanii_g5377.t2, acastellanii_g5377.t1, acastellanii_g6716.t1, acastellanii_g6717.t1, acastellanii_g6713.t2, acastellanii_g6713.t1
OG0000408	dicty_g10016.t1, dicty_g8707.t1	acastellanii_g5090.t1, acastellanii_g5388.t1
OG0000409	dicty_g10109.t1	acastellanii_g407.t1
OG0000435	dicty_g7964.t1	acastellanii_g14239.t1, acastellanii_g1333.t1
OG0000435	dicty_g6699.t1	acastellanii_g409.t1, acastellanii_g224.t1
OG0000436	dicty_g4765.t1	acastellanii_g10159.t2, acastellanii_g10159.t1
OG0000436	dicty_g4363.t1	acastellanii_g13674.t1
OG0000438	dicty_g2345.t1	acastellanii_g8156.t1
OG0000438	dicty_g5050.t1	acastellanii_g13100.t1
OG0000439	dicty_g8633.t3	acastellanii_g13260.t1, acastellanii_g4451.t2, acastellanii_g4451.t1, acastellanii_g4501.t1, acastellanii_g1485.t1
OG0000440	dicty_g5596.t1	acastellanii_g12824.t1
OG0000440	dicty_g1648.t1	acastellanii_g2420.t1
OG0000441	dicty_g5502.t2, dicty_g5502.t1	acastellanii_g7073.t1, acastellanii_g8300.t1, acastellanii_g5290.t1, acastellanii_g12388.t1, acastellanii_g5289.t1
OG0000442	dicty_g113.t1	acastellanii_g7037.t1, acastellanii_g11836.t1
OG0000443	dicty_g10969.t1	acastellanii_g11951.t1
OG0000444	dicty_g9943.t1	acastellanii_g12088.t1
OG0000444	dicty_g1416.t1	acastellanii_g6202.t3, acastellanii_g6202.t1, acastellanii_g6202.t2, acastellanii_g6202.t4, acastellanii_g6202.t5
OG0000445	dicty_g11017.t1, dicty_g11017.t2	acastellanii_g12096.t1
OG0000446	dicty_g8599.t1, dicty_g8771.t1, dicty_g4309.t1	acastellanii_g11168.t1, acastellanii_g11169.t1, acastellanii_g98.t1, acastellanii_g5072.t1
OG0000448	dicty_g3041.t1, dicty_g9817.t1, dicty_g10815.t1	acastellanii_g10388.t1, acastellanii_g10383.t1
OG0000450	dicty_g9974.t1	acastellanii_g3951.t1, acastellanii_g9540.t1, acastellanii_g1357.t1
OG0000451	dicty_g7105.t1	acastellanii_g9239.t1
OG0000452	dicty_g534.t1	acastellanii_g8741.t1
OG0000453	dicty_g6644.t1	acastellanii_g6501.t1, acastellanii_g2838.t1, acastellanii_g8112.t1, acastellanii_g8112.t2
OG0000455	dicty_g5707.t1	acastellanii_g7916.t1, acastellanii_g4349.t1
OG0000455	dicty_g6497.t1	acastellanii_g4121.t1
OG0000456	dicty_g2864.t1, dicty_g2612.t1	acastellanii_g7859.t1
OG0000457	dicty_g9408.t1	acastellanii_g7243.t3, acastellanii_g7243.t1, acastellanii_g7243.t2
OG0000458	dicty_g1283.t1, dicty_g1326.t1	acastellanii_g5984.t1, acastellanii_g4306.t1, acastellanii_g6339.t1
OG0000459	dicty_g5281.t1	acastellanii_g6351.t1, acastellanii_g6351.t2
OG0000460	dicty_g10778.t1	acastellanii_g6434.t1
OG0000461	dicty_g6304.t1, dicty_g6239.t1	acastellanii_g5767.t1
OG0000462	dicty_g8282.t1, dicty_g9512.t1	acastellanii_g3757.t1, acastellanii_g2823.t1
OG0000463	dicty_g2734.t1, dicty_g2744.t1	acastellanii_g833.t1
OG0000501	dicty_g6983.t1, dicty_g3908.t1	acastellanii_g9388.t1, acastellanii_g9390.t1, acastellanii_g14111.t1, acastellanii_g10361.t1
OG0000502	dicty_g8219.t1	acastellanii_g13758.t1
OG0000503	dicty_g10650.t1, dicty_g1782.t1	acastellanii_g526.t1, acastellanii_g526.t2, acastellanii_g526.t3
OG0000503	dicty_g3770.t1	acastellanii_g13775.t1
OG0000505	dicty_g10882.t1	acastellanii_g14021.t1, acastellanii_g14021.t2
OG0000505	dicty_g6721.t2, dicty_g6721.t1	acastellanii_g2717.t1
OG0000506	dicty_g463.t1, dicty_g1614.t1	acastellanii_g14063.t1
OG0000507	dicty_g2897.t1, dicty_g2579.t1	acastellanii_g13479.t1
OG0000509	dicty_g11364.t1, dicty_g11364.t2, dicty_g9471.t1	acastellanii_g13236.t2, acastellanii_g13236.t1, acastellanii_g9670.t1
OG0000510	dicty_g3560.t1	acastellanii_g11629.t1, acastellanii_g13276.t1
OG0000511	dicty_g7602.t1	acastellanii_g13303.t2, acastellanii_g13303.t1, acastellanii_g6073.t1
OG0000512	dicty_g10609.t1	acastellanii_g12189.t1, acastellanii_g3130.t1, acastellanii_g13444.t1
OG0000515	dicty_g215.t1, dicty_g3198.t1	acastellanii_g12780.t1
OG0000517	dicty_g11324.t1	acastellanii_g12598.t1
OG0000517	dicty_g2752.t2, dicty_g2726.t2, dicty_g2726.t1, dicty_g2752.t1	acastellanii_g9544.t1
OG0000518	dicty_g8493.t1	acastellanii_g11807.t1
OG0000518	dicty_g3432.t1	acastellanii_g1037.t1
OG0000518	dicty_g7911.t1	acastellanii_g28.t1
OG0000519	dicty_g444.t1	acastellanii_g7728.t1
OG0000519	dicty_g7220.t1, dicty_g7219.t1, dicty_g7220.t2, dicty_g8043.t1	acastellanii_g12070.t1
OG0000520	dicty_g10237.t1, dicty_g10237.t2, dicty_g11291.t1	acastellanii_g948.t1, acastellanii_g11719.t1, acastellanii_g3251.t1, acastellanii_g2385.t1, acastellanii_g12102.t1
OG0000524	dicty_g3966.t1	acastellanii_g11249.t2, acastellanii_g11249.t1
OG0000524	dicty_g2848.t1, dicty_g2629.t1	acastellanii_g2015.t1, acastellanii_g2015.t2
OG0000525	dicty_g5606.t1	acastellanii_g10790.t3, acastellanii_g10790.t2, acastellanii_g10790.t1
OG0000526	dicty_g7144.t1	acastellanii_g10811.t1, acastellanii_g6186.t1
