Orthogroup	dicty_braker	bc2001_braker
OG0000291	dicty_g3933.t1	bc2001_g16811.t1, bc2001_g16811.t2
OG0000292	dicty_g6250.t1	bc2001_g3110.t1, bc2001_g14827.t1, bc2001_g11362.t2, bc2001_g11362.t3, bc2001_g11362.t1
OG0000293	dicty_g9962.t1	bc2001_g16174.t1, bc2001_g17833.t1, bc2001_g18551.t1, bc2001_g18834.t1, bc2001_g3645.t1, bc2001_g7067.t1, bc2001_g5056.t1
OG0000294	dicty_g10995.t1	bc2001_g4296.t1
OG0000294	dicty_g5052.t1	bc2001_g5275.t1
OG0000295	dicty_g2045.t1, dicty_g10922.t1	bc2001_g5620.t1
OG0000295	dicty_g8180.t1	bc2001_g16275.t1, bc2001_g16275.t2
OG0000296	dicty_g4791.t1	bc2001_g4788.t2, bc2001_g4788.t1
OG0000296	dicty_g7386.t1	bc2001_g13809.t1
OG0000296	dicty_g9235.t1	bc2001_g16889.t1
OG0000297	dicty_g3290.t1, dicty_g5757.t1	bc2001_g1129.t1
OG0000298	dicty_g502.t1	bc2001_g9093.t2, bc2001_g9093.t1
OG0000298	dicty_g4561.t1	bc2001_g10861.t1
OG0000299	dicty_g3661.t2, dicty_g3661.t1	bc2001_g13897.t1, bc2001_g11517.t1
OG0000325	dicty_g911.t1, dicty_g911.t2	bc2001_g1114.t1, bc2001_g4550.t1
OG0000328	dicty_g4694.t1	bc2001_g17607.t1, bc2001_g914.t1, bc2001_g11913.t1
OG0000329	dicty_g8450.t1, dicty_g10613.t1, dicty_g967.t1, dicty_g5368.t1, dicty_g6566.t1, dicty_g6482.t1, dicty_g9545.t1	bc2001_g16188.t1
OG0000330	dicty_g9691.t1, dicty_g5733.t1, dicty_g1896.t1	bc2001_g13127.t1
OG0000331	dicty_g135.t1	bc2001_g15187.t1
OG0000333	dicty_g10155.t1	bc2001_g14676.t1, bc2001_g4537.t1, bc2001_g14775.t1, bc2001_g4530.t1, bc2001_g14674.t1, bc2001_g14996.t2, bc2001_g14996.t1
OG0000334	dicty_g10923.t1	bc2001_g5922.t1
OG0000334	dicty_g8303.t1	bc2001_g5923.t1, bc2001_g17473.t1
OG0000335	dicty_g7006.t1, dicty_g6038.t1	bc2001_g11406.t3, bc2001_g1073.t2, bc2001_g1073.t1, bc2001_g11406.t1, bc2001_g11406.t2
OG0000356	dicty_g993.t1	bc2001_g6777.t2, bc2001_g6777.t1, bc2001_g6776.t1
OG0000357	dicty_g5992.t1, dicty_g3942.t2, dicty_g3942.t1	bc2001_g16715.t1, bc2001_g16715.t2, bc2001_g11631.t1
OG0000358	dicty_g1863.t1, dicty_g3814.t1	bc2001_g9391.t1, bc2001_g7264.t1, bc2001_g7264.t2, bc2001_g17051.t1
OG0000359	dicty_g6268.t1	bc2001_g13933.t1, bc2001_g413.t3, bc2001_g413.t1, bc2001_g413.t2
OG0000360	dicty_g1059.t1, dicty_g8757.t1	bc2001_g608.t1, bc2001_g15306.t1, bc2001_g5308.t2, bc2001_g5308.t1, bc2001_g12106.t1
OG0000361	dicty_g4642.t1	bc2001_g10719.t1
OG0000361	dicty_g797.t1, dicty_g682.t1	bc2001_g12970.t2, bc2001_g12970.t1
OG0000363	dicty_g6551.t1	bc2001_g15004.t1
OG0000364	dicty_g9773.t1	bc2001_g3109.t1, bc2001_g17838.t1, bc2001_g17838.t3, bc2001_g17838.t2
OG0000366	dicty_g1656.t1	bc2001_g7201.t1, bc2001_g12308.t1, bc2001_g13659.t1, bc2001_g6348.t2, bc2001_g6348.t1
OG0000367	dicty_g10991.t1, dicty_g9885.t1	bc2001_g7168.t1, bc2001_g5529.t2, bc2001_g5529.t1
OG0000368	dicty_g11234.t1, dicty_g970.t1, dicty_g8797.t1	bc2001_g1052.t1, bc2001_g1091.t1, bc2001_g7822.t1
OG0000369	dicty_g7363.t1	bc2001_g18495.t1
OG0000370	dicty_g2920.t1, dicty_g2556.t1, dicty_g2485.t1, dicty_g2991.t1, dicty_g2008.t1, dicty_g2007.t1, dicty_g247.t2, dicty_g247.t1, dicty_g1968.t1	bc2001_g2927.t1
OG0000371	dicty_g11093.t1, dicty_g7534.t1, dicty_g234.t1, dicty_g2501.t1, dicty_g2974.t1, dicty_g10002.t1, dicty_g10433.t1	bc2001_g13740.t1
OG0000372	dicty_g5118.t1, dicty_g8370.t1, dicty_g10901.t1	bc2001_g3505.t1, bc2001_g4177.t1, bc2001_g3324.t1
OG0000393	dicty_g10682.t2, dicty_g10682.t1, dicty_g10682.t3	bc2001_g13549.t1, bc2001_g12168.t1
OG0000395	dicty_g10389.t1	bc2001_g1257.t1, bc2001_g1257.t2, bc2001_g1257.t3
OG0000396	dicty_g790.t1, dicty_g6104.t1	bc2001_g461.t1, bc2001_g456.t1, bc2001_g461.t2, bc2001_g456.t2
OG0000397	dicty_g11192.t1	bc2001_g2299.t1, bc2001_g13548.t2, bc2001_g13548.t1
OG0000398	dicty_g11111.t1, dicty_g11111.t2	bc2001_g16707.t1
OG0000398	dicty_g3507.t1	bc2001_g17054.t1, bc2001_g17054.t2
OG0000399	dicty_g11409.t1	bc2001_g1250.t1, bc2001_g2749.t2, bc2001_g2749.t1
OG0000400	dicty_g10344.t1, dicty_g6794.t1	bc2001_g8428.t2, bc2001_g8428.t1
OG0000402	dicty_g8580.t1, dicty_g3888.t1, dicty_g11071.t1	bc2001_g12266.t1, bc2001_g8272.t1
OG0000403	dicty_g7878.t1	bc2001_g479.t2, bc2001_g479.t1
OG0000403	dicty_g8590.t1	bc2001_g17892.t1, bc2001_g17892.t2
OG0000404	dicty_g8965.t1	bc2001_g14926.t1
OG0000404	dicty_g5701.t1	bc2001_g18430.t1
OG0000405	dicty_g837.t1, dicty_g962.t1	bc2001_g11518.t2, bc2001_g11518.t1
OG0000406	dicty_g2127.t1	bc2001_g546.t2, bc2001_g546.t1, bc2001_g18625.t1, bc2001_g18625.t2
OG0000407	dicty_g11043.t1	bc2001_g1009.t1, bc2001_g2482.t1, bc2001_g2482.t2
OG0000408	dicty_g10016.t1, dicty_g8707.t1	bc2001_g8789.t2, bc2001_g8789.t1, bc2001_g10799.t1
OG0000409	dicty_g10109.t1	bc2001_g2742.t1, bc2001_g2742.t2
OG0000409	dicty_g10532.t1, dicty_g10533.t1	bc2001_g18233.t1
OG0000418	dicty_g4962.t1	bc2001_g5105.t2, bc2001_g5105.t1
OG0000419	dicty_g370.t1	bc2001_g10229.t1, bc2001_g6431.t1, bc2001_g7897.t1
OG0000423	dicty_g7060.t1	bc2001_g15394.t1, bc2001_g15398.t1, bc2001_g11867.t1, bc2001_g18052.t1, bc2001_g9798.t1
OG0000435	dicty_g7964.t1	bc2001_g2421.t1
OG0000435	dicty_g6699.t1	bc2001_g2420.t1
OG0000436	dicty_g4765.t1	bc2001_g5421.t1
OG0000436	dicty_g4363.t1	bc2001_g8291.t1
OG0000438	dicty_g5050.t1	bc2001_g11503.t1, bc2001_g11504.t1, bc2001_g11504.t2
OG0000439	dicty_g8633.t3	bc2001_g10787.t1, bc2001_g1749.t1
OG0000440	dicty_g5596.t1	bc2001_g9717.t2, bc2001_g9717.t1
OG0000440	dicty_g1648.t1	bc2001_g17949.t1, bc2001_g17949.t2
OG0000441	dicty_g5502.t2, dicty_g5502.t1	bc2001_g15597.t1, bc2001_g17250.t1
OG0000442	dicty_g113.t1	bc2001_g3082.t1, bc2001_g3082.t2, bc2001_g14226.t1, bc2001_g5273.t2, bc2001_g5273.t1
OG0000443	dicty_g10969.t1	bc2001_g3095.t1
OG0000443	dicty_g7582.t1	bc2001_g14069.t1, bc2001_g10950.t2, bc2001_g10950.t1
OG0000444	dicty_g9943.t1	bc2001_g5914.t1
OG0000444	dicty_g1416.t1	bc2001_g10272.t1
OG0000445	dicty_g11017.t1, dicty_g11017.t2	bc2001_g1005.t1, bc2001_g10306.t1, bc2001_g3863.t1
OG0000448	dicty_g5727.t1	bc2001_g4981.t1
OG0000448	dicty_g3041.t1, dicty_g9817.t1, dicty_g10815.t1	bc2001_g13113.t1
OG0000450	dicty_g9974.t1	bc2001_g19646.t1, bc2001_g19647.t1, bc2001_g19645.t1
OG0000451	dicty_g7105.t1	bc2001_g784.t1, bc2001_g784.t2, bc2001_g7393.t1, bc2001_g7393.t2, bc2001_g3386.t2, bc2001_g3386.t1, bc2001_g3386.t4, bc2001_g3386.t3
OG0000452	dicty_g534.t1	bc2001_g310.t1, bc2001_g11086.t1, bc2001_g17141.t1
OG0000453	dicty_g6644.t1	bc2001_g3375.t1, bc2001_g7861.t1
OG0000455	dicty_g5707.t1	bc2001_g8863.t1
OG0000455	dicty_g6497.t1	bc2001_g8749.t1
OG0000456	dicty_g2864.t1, dicty_g2612.t1	bc2001_g16351.t1, bc2001_g16351.t2
OG0000457	dicty_g9408.t1	bc2001_g14664.t5, bc2001_g14664.t1, bc2001_g14664.t2, bc2001_g14664.t3, bc2001_g14664.t4
OG0000458	dicty_g1283.t1, dicty_g1326.t1	bc2001_g16235.t3, bc2001_g16235.t2, bc2001_g16235.t4, bc2001_g16235.t1
OG0000459	dicty_g5784.t1, dicty_g490.t1	bc2001_g14157.t1, bc2001_g15251.t1
OG0000460	dicty_g10778.t1	bc2001_g1843.t1, bc2001_g1843.t2, bc2001_g1843.t3, bc2001_g3430.t1, bc2001_g3444.t1
OG0000461	dicty_g6304.t1	bc2001_g16687.t1, bc2001_g16687.t2
OG0000462	dicty_g8282.t1, dicty_g9512.t1	bc2001_g27.t1, bc2001_g27.t3, bc2001_g28.t1, bc2001_g17269.t2, bc2001_g17269.t1
OG0000463	dicty_g2734.t1, dicty_g2744.t1	bc2001_g3431.t2, bc2001_g3443.t2, bc2001_g3443.t1, bc2001_g3431.t1
OG0000474	dicty_g4624.t1	bc2001_g2135.t1, bc2001_g2135.t2, bc2001_g5214.t2
OG0000478	dicty_g1996.t1, dicty_g4629.t1, dicty_g1995.t1, dicty_g10800.t1	bc2001_g3983.t1, bc2001_g3983.t2, bc2001_g19715.t2, bc2001_g19715.t1, bc2001_g19715.t3
OG0000501	dicty_g6983.t1, dicty_g3908.t1	bc2001_g5110.t1
OG0000502	dicty_g4409.t2, dicty_g4409.t1	bc2001_g19156.t1
OG0000502	dicty_g8219.t1	bc2001_g19366.t1
OG0000503	dicty_g10650.t1, dicty_g1782.t1	bc2001_g19141.t1
OG0000503	dicty_g3770.t1	bc2001_g18569.t1
OG0000505	dicty_g10882.t1	bc2001_g18221.t1
OG0000505	dicty_g6721.t2, dicty_g6721.t1	bc2001_g421.t1
OG0000506	dicty_g463.t1	bc2001_g5427.t2, bc2001_g5427.t1, bc2001_g5427.t3
OG0000506	dicty_g1614.t1	bc2001_g19252.t1
