Orthogroup	dicty_braker	vvermcdc19_braker
OG0000126	dicty_g3704.t2, dicty_g3704.t1	vverm_g9958.t1
OG0000127	dicty_g4918.t1, dicty_g2757.t1, dicty_g2721.t1	vverm_g1930.t1
OG0000127	dicty_g2128.t1	vverm_g1148.t1
OG0000131	dicty_g11506.t1, dicty_g11494.t1	vverm_g7362.t1, vverm_g7905.t1
OG0000131	dicty_g4189.t1	vverm_g8848.t1
OG0000133	dicty_g3501.t1	vverm_g1020.t1, vverm_g4584.t1, vverm_g11925.t1
OG0000140	dicty_g9393.t1	vverm_g8886.t1, vverm_g8887.t1, vverm_g8995.t1, vverm_g1080.t1, vverm_g5674.t1, vverm_g7437.t1, vverm_g16384.t1, vverm_g4447.t1, vverm_g7525.t1, vverm_g7525.t2, vverm_g3611.t1, vverm_g1504.t1, vverm_g14702.t2, vverm_g15173.t1, vverm_g14702.t1, vverm_g15173.t2, vverm_g11974.t1, vverm_g2285.t1, vverm_g6105.t1, vverm_g14393.t1, vverm_g13871.t1, vverm_g2060.t1, vverm_g10021.t1, vverm_g10997.t1, vverm_g7634.t1, vverm_g2950.t2, vverm_g2950.t1
OG0000147	dicty_g108.t1	vverm_g1152.t1, vverm_g1152.t2
OG0000147	dicty_g3998.t1	vverm_g6795.t1
OG0000153	dicty_g3765.t1	vverm_g6282.t1, vverm_g14095.t1, vverm_g14323.t2, vverm_g14323.t1, vverm_g4727.t2, vverm_g4727.t1, vverm_g7826.t1, vverm_g7826.t2, vverm_g8650.t1, vverm_g7649.t1, vverm_g8102.t1, vverm_g1341.t1, vverm_g1346.t1, vverm_g14193.t1, vverm_g15488.t1, vverm_g6010.t1
OG0000160	dicty_g9087.t1, dicty_g8825.t1	vverm_g3191.t1, vverm_g3191.t2
OG0000160	dicty_g8909.t1	vverm_g10125.t2, vverm_g10125.t1, vverm_g10125.t3
OG0000161	dicty_g6991.t1	vverm_g2760.t1
OG0000161	dicty_g11132.t1, dicty_g11255.t1	vverm_g13183.t1, vverm_g3254.t1, vverm_g9757.t1
OG0000162	dicty_g2662.t1, dicty_g2815.t1	vverm_g1509.t3, vverm_g1509.t1, vverm_g7894.t1, vverm_g3949.t1, vverm_g3949.t2, vverm_g144.t1
OG0000171	dicty_g2177.t1	vverm_g15650.t1
OG0000171	dicty_g6853.t1	vverm_g2344.t1
OG0000171	dicty_g9915.t1	vverm_g591.t1
OG0000171	dicty_g2259.t1	vverm_g11232.t1
OG0000182	dicty_g10630.t1, dicty_g283.t1, dicty_g10636.t1	vverm_g16829.t1, vverm_g10460.t1, vverm_g2731.t1, vverm_g14447.t1
OG0000191	dicty_g6407.t1, dicty_g8346.t1	vverm_g1348.t1, vverm_g1348.t2
OG0000192	dicty_g3374.t1	vverm_g5558.t1, vverm_g9985.t1, vverm_g9500.t1
OG0000194	dicty_g3620.t1	vverm_g8300.t1
OG0000195	dicty_g2665.t1, dicty_g2812.t1, dicty_g4751.t1, dicty_g9122.t1, dicty_g8193.t1, dicty_g8193.t2, dicty_g5073.t2, dicty_g5073.t1, dicty_g8439.t1	vverm_g5928.t1, vverm_g5928.t2, vverm_g16260.t1, vverm_g11571.t1, vverm_g6221.t1, vverm_g15102.t1, vverm_g13912.t1, vverm_g13915.t1, vverm_g13914.t1
OG0000205	dicty_g168.t1, dicty_g10888.t1	vverm_g2563.t1
OG0000205	dicty_g4090.t1	vverm_g5637.t1
OG0000205	dicty_g6590.t1	vverm_g6793.t1
OG0000206	dicty_g4545.t1	vverm_g9973.t1, vverm_g11149.t1, vverm_g9032.t1, vverm_g11147.t1, vverm_g11148.t1, vverm_g12068.t2, vverm_g12068.t1, vverm_g13895.t1, vverm_g6746.t1, vverm_g7847.t1, vverm_g9031.t1, vverm_g250.t1, vverm_g257.t1
OG0000223	dicty_g10527.t1, dicty_g3491.t1, dicty_g2379.t1, dicty_g342.t1, dicty_g8313.t1, dicty_g3375.t1	vverm_g3851.t1, vverm_g16053.t1, vverm_g8646.t1, vverm_g2639.t1, vverm_g2432.t1
OG0000224	dicty_g10347.t1, dicty_g1106.t1	vverm_g15095.t1, vverm_g9888.t1
OG0000227	dicty_g5381.t1	vverm_g106.t3
OG0000227	dicty_g817.t1, dicty_g4722.t1, dicty_g6619.t1	vverm_g7505.t1, vverm_g15296.t1, vverm_g13770.t1, vverm_g10944.t1, vverm_g12447.t1
OG0000229	dicty_g8238.t1	vverm_g11186.t1, vverm_g15344.t2, vverm_g15344.t1, vverm_g14531.t1, vverm_g12419.t1
OG0000230	dicty_g429.t1	vverm_g7166.t1, vverm_g15996.t1, vverm_g7647.t1
OG0000231	dicty_g5978.t1, dicty_g5624.t1, dicty_g5838.t1, dicty_g5980.t1, dicty_g5836.t1, dicty_g10823.t1, dicty_g7101.t1, dicty_g6185.t1, dicty_g5984.t1, dicty_g5982.t1, dicty_g5839.t1, dicty_g10413.t1	vverm_g8295.t1, vverm_g8295.t2, vverm_g411.t1, vverm_g9959.t1
OG0000232	dicty_g4354.t1	vverm_g12235.t1, vverm_g5268.t1
OG0000232	dicty_g398.t1	vverm_g6198.t1, vverm_g6198.t2, vverm_g5688.t1, vverm_g1316.t1
OG0000248	dicty_g5148.t1	vverm_g1753.t1, vverm_g3532.t1, vverm_g12293.t1, vverm_g12294.t1, vverm_g9290.t1
OG0000249	dicty_g7680.t1	vverm_g6960.t1
OG0000249	dicty_g1539.t1	vverm_g7619.t1
OG0000251	dicty_g6321.t1, dicty_g2028.t1, dicty_g9938.t1, dicty_g3923.t1, dicty_g9513.t1	vverm_g14832.t2, vverm_g14832.t1, vverm_g12240.t1
OG0000251	dicty_g5816.t1, dicty_g5819.t1, dicty_g6322.t1	vverm_g410.t1
OG0000252	dicty_g3485.t1	vverm_g3360.t1
OG0000252	dicty_g4965.t2, dicty_g4965.t1	vverm_g15598.t1
OG0000254	dicty_g4484.t1	vverm_g12376.t1
OG0000254	dicty_g5286.t1, dicty_g5286.t2	vverm_g9950.t1, vverm_g9430.t1, vverm_g3884.t1, vverm_g1298.t1, vverm_g15756.t1, vverm_g6969.t1, vverm_g5400.t1, vverm_g6001.t1, vverm_g14094.t1
OG0000255	dicty_g2472.t1	vverm_g2963.t1, vverm_g6165.t1, vverm_g16470.t1, vverm_g15833.t2, vverm_g15833.t1, vverm_g15833.t3, vverm_g15834.t1, vverm_g5947.t1, vverm_g5947.t2, vverm_g7861.t1, vverm_g12179.t1, vverm_g8919.t1, vverm_g11222.t1
OG0000256	dicty_g4126.t1, dicty_g8092.t1, dicty_g1713.t1	vverm_g16473.t1, vverm_g11916.t1, vverm_g12479.t1, vverm_g13116.t1, vverm_g13126.t1
OG0000256	dicty_g468.t1	vverm_g10107.t1
OG0000257	dicty_g11393.t1	vverm_g13673.t1, vverm_g2710.t1
OG0000257	dicty_g9426.t1	vverm_g10925.t1, vverm_g3292.t1
OG0000257	dicty_g8395.t1	vverm_g8751.t1
OG0000258	dicty_g10215.t1, dicty_g180.t1, dicty_g8524.t1	vverm_g1850.t1, vverm_g9339.t1, vverm_g15104.t1, vverm_g13901.t1, vverm_g6755.t1, vverm_g14880.t1, vverm_g13588.t1, vverm_g9234.t1, vverm_g6484.t1, vverm_g5509.t1, vverm_g13587.t1, vverm_g16450.t1, vverm_g16450.t2, vverm_g7708.t1
OG0000259	dicty_g41.t1, dicty_g4713.t1	vverm_g892.t2, vverm_g892.t1
OG0000267	dicty_g6647.t1	vverm_g10936.t1, vverm_g6854.t1, vverm_g5341.t1, vverm_g11665.t1, vverm_g13614.t2, vverm_g13614.t1, vverm_g13612.t1, vverm_g13581.t2, vverm_g13581.t1, vverm_g13613.t1, vverm_g13023.t1, vverm_g10935.t1, vverm_g10934.t2, vverm_g10934.t1, vverm_g4746.t2, vverm_g4746.t1, vverm_g7601.t2, vverm_g7601.t1, vverm_g4745.t1
OG0000271	dicty_g2022.t1	vverm_g11194.t1
OG0000271	dicty_g4127.t1	vverm_g16664.t1
OG0000274	dicty_g4294.t1, dicty_g4231.t1	vverm_g8108.t1, vverm_g3290.t1, vverm_g3324.t1, vverm_g4714.t1, vverm_g3693.t1, vverm_g16901.t1, vverm_g5326.t1, vverm_g6630.t1
OG0000275	dicty_g1567.t1	vverm_g11203.t2, vverm_g11203.t1
OG0000275	dicty_g4169.t1	vverm_g14840.t1
OG0000276	dicty_g5913.t1	vverm_g7570.t1, vverm_g7570.t3, vverm_g7570.t2
OG0000276	dicty_g687.t1	vverm_g1707.t1
OG0000277	dicty_g1206.t1	vverm_g16787.t1, vverm_g5811.t1, vverm_g4220.t1
OG0000277	dicty_g8134.t1, dicty_g5127.t1	vverm_g802.t1, vverm_g15210.t1
OG0000278	dicty_g9752.t1, dicty_g9751.t1, dicty_g9753.t1, dicty_g9694.t1, dicty_g1931.t1, dicty_g9613.t1	vverm_g15824.t1, vverm_g3273.t1, vverm_g3667.t1, vverm_g16719.t1
OG0000284	dicty_g11249.t1	vverm_g4905.t1
OG0000284	dicty_g5516.t1, dicty_g5516.t2	vverm_g12916.t2, vverm_g12916.t1
OG0000284	dicty_g10508.t1	vverm_g15410.t1
OG0000290	dicty_g5826.t1	vverm_g6292.t1
OG0000290	dicty_g11068.t1	vverm_g12417.t1, vverm_g7080.t1
OG0000291	dicty_g3933.t1	vverm_g633.t1
OG0000291	dicty_g6906.t1	vverm_g4450.t1
OG0000292	dicty_g6250.t1	vverm_g15886.t1, vverm_g3762.t1, vverm_g3208.t1, vverm_g16254.t2, vverm_g16254.t1
OG0000293	dicty_g9962.t1	vverm_g3953.t1
OG0000294	dicty_g10995.t1	vverm_g15049.t1
OG0000294	dicty_g5052.t1	vverm_g11375.t2, vverm_g11375.t1
OG0000295	dicty_g2045.t1, dicty_g10922.t1	vverm_g15482.t1
OG0000295	dicty_g8180.t1	vverm_g9113.t1
OG0000296	dicty_g4791.t1	vverm_g9926.t2, vverm_g9926.t1
OG0000296	dicty_g7386.t1	vverm_g324.t1
OG0000296	dicty_g9235.t1	vverm_g598.t1
OG0000297	dicty_g3290.t1	vverm_g8043.t1
OG0000298	dicty_g502.t1	vverm_g14308.t1
OG0000298	dicty_g4561.t1	vverm_g6606.t1
OG0000299	dicty_g3661.t2, dicty_g3661.t1	vverm_g364.t1, vverm_g6820.t1
OG0000325	dicty_g911.t1, dicty_g911.t2	vverm_g5269.t1, vverm_g12396.t1, vverm_g12396.t2
OG0000328	dicty_g4694.t1	vverm_g8403.t1, vverm_g7263.t1, vverm_g4153.t1, vverm_g4153.t2, vverm_g3430.t1, vverm_g2037.t1
OG0000329	dicty_g8450.t1, dicty_g10613.t1, dicty_g967.t1, dicty_g5368.t1, dicty_g6566.t1, dicty_g6482.t1, dicty_g9545.t1	vverm_g16785.t1
OG0000330	dicty_g9691.t1, dicty_g5733.t1, dicty_g1896.t1	vverm_g166.t1
OG0000331	dicty_g6876.t1, dicty_g6876.t2	vverm_g14561.t1
OG0000331	dicty_g135.t1	vverm_g9592.t1
OG0000333	dicty_g10155.t1	vverm_g5641.t1
OG0000334	dicty_g8303.t1	vverm_g14777.t1, vverm_g14240.t2, vverm_g3036.t1, vverm_g2980.t2, vverm_g2980.t1, vverm_g14188.t2, vverm_g14188.t1
OG0000335	dicty_g7006.t1	vverm_g16773.t1, vverm_g13293.t1, vverm_g10879.t1
OG0000335	dicty_g6038.t1	vverm_g7902.t1, vverm_g415.t1
OG0000356	dicty_g993.t1	vverm_g8907.t1, vverm_g7885.t1
OG0000357	dicty_g5992.t1, dicty_g3942.t2, dicty_g3942.t1	vverm_g5090.t2, vverm_g5090.t1, vverm_g15704.t1
OG0000358	dicty_g1863.t1, dicty_g3814.t1	vverm_g12979.t2, vverm_g12979.t1, vverm_g15965.t1, vverm_g15965.t2
OG0000359	dicty_g6268.t1	vverm_g11690.t1, vverm_g15444.t1
OG0000360	dicty_g1059.t1, dicty_g8757.t1	vverm_g2755.t1, vverm_g8084.t1, vverm_g7993.t1, vverm_g10091.t1
OG0000361	dicty_g4642.t1	vverm_g8404.t1
OG0000361	dicty_g797.t1, dicty_g682.t1, dicty_g6071.t2, dicty_g6071.t1	vverm_g16239.t1, vverm_g16239.t2
OG0000362	dicty_g6583.t1, dicty_g6582.t1, dicty_g5677.t1, dicty_g5677.t2, dicty_g4156.t1	vverm_g9150.t1
OG0000363	dicty_g1525.t2, dicty_g1525.t1, dicty_g4232.t1, dicty_g4292.t1	vverm_g8048.t1
OG0000363	dicty_g6551.t1	vverm_g5653.t2, vverm_g5653.t1
OG0000364	dicty_g9773.t1	vverm_g7829.t1, vverm_g13782.t1, vverm_g10184.t1
OG0000367	dicty_g10991.t1, dicty_g9885.t1	vverm_g1474.t1, vverm_g1474.t2, vverm_g9023.t1, vverm_g7211.t1, vverm_g2415.t2, vverm_g2415.t1
OG0000368	dicty_g11234.t1, dicty_g970.t1, dicty_g8797.t1	vverm_g2728.t1, vverm_g6074.t1
OG0000369	dicty_g7363.t1	vverm_g12598.t1, vverm_g13342.t1
OG0000370	dicty_g2920.t1, dicty_g2556.t1, dicty_g2485.t1, dicty_g2991.t1, dicty_g2008.t1, dicty_g2007.t1, dicty_g247.t2, dicty_g247.t1, dicty_g1968.t1	vverm_g7851.t1, vverm_g237.t1
OG0000371	dicty_g11093.t1, dicty_g7534.t1, dicty_g234.t1, dicty_g2501.t1, dicty_g2974.t1, dicty_g10002.t1, dicty_g10433.t1	vverm_g2580.t1, vverm_g4528.t1, vverm_g45.t1
OG0000372	dicty_g5118.t1, dicty_g8370.t1, dicty_g10901.t1	vverm_g15131.t1, vverm_g2194.t1, vverm_g16662.t1
OG0000384	dicty_g10177.t1, dicty_g10176.t1, dicty_g10173.t1, dicty_g10180.t1, dicty_g10149.t1, dicty_g10170.t1, dicty_g10171.t1, dicty_g532.t1, dicty_g532.t2, dicty_g10182.t1, dicty_g4687.t1, dicty_g4688.t1, dicty_g4685.t2, dicty_g4685.t1, dicty_g4686.t1	vverm_g16166.t1
OG0000393	dicty_g10682.t2, dicty_g10682.t1, dicty_g10682.t3	vverm_g4089.t3, vverm_g8143.t1, vverm_g8143.t2
OG0000395	dicty_g10389.t1	vverm_g1620.t1, vverm_g3177.t1, vverm_g8810.t1, vverm_g4332.t1, vverm_g11419.t1, vverm_g10388.t1, vverm_g15769.t1, vverm_g979.t1, vverm_g11323.t1
OG0000396	dicty_g790.t1, dicty_g6104.t1	vverm_g12719.t1, vverm_g8923.t1
OG0000397	dicty_g11192.t1	vverm_g6303.t1, vverm_g11248.t1, vverm_g6646.t1
OG0000398	dicty_g11111.t1, dicty_g11111.t2	vverm_g15569.t3, vverm_g15569.t1, vverm_g15569.t2
OG0000398	dicty_g3507.t1	vverm_g15956.t1
OG0000399	dicty_g11409.t1	vverm_g3169.t1, vverm_g15360.t1, vverm_g2512.t1
OG0000400	dicty_g10344.t1, dicty_g6794.t1	vverm_g16723.t1, vverm_g6520.t2, vverm_g6520.t1, vverm_g6522.t1, vverm_g6519.t1
OG0000402	dicty_g8580.t1, dicty_g3888.t1, dicty_g11071.t1	vverm_g9149.t1, vverm_g11780.t1, vverm_g2093.t1, vverm_g14884.t1
OG0000403	dicty_g7878.t1	vverm_g356.t1, vverm_g14276.t1
OG0000403	dicty_g8590.t1	vverm_g13801.t1
OG0000404	dicty_g8965.t1	vverm_g6355.t1, vverm_g7677.t1
OG0000404	dicty_g5701.t1	vverm_g13382.t2, vverm_g13382.t1
OG0000405	dicty_g837.t1, dicty_g962.t1	vverm_g3836.t1, vverm_g3830.t1, vverm_g15283.t1, vverm_g6819.t1
OG0000406	dicty_g2127.t1	vverm_g16777.t1, vverm_g13289.t1, vverm_g16588.t1, vverm_g16588.t2, vverm_g16588.t3
OG0000407	dicty_g11043.t1	vverm_g7486.t2, vverm_g7486.t1
OG0000408	dicty_g10016.t1, dicty_g8707.t1	vverm_g7552.t1, vverm_g8997.t1, vverm_g8987.t1, vverm_g15619.t1
OG0000409	dicty_g10109.t1	vverm_g15399.t1, vverm_g15399.t2
OG0000409	dicty_g10532.t1, dicty_g10533.t1	vverm_g14156.t1, vverm_g14113.t1
OG0000418	dicty_g4962.t1	vverm_g13184.t1, vverm_g13815.t1, vverm_g9228.t1, vverm_g5650.t1, vverm_g2705.t1, vverm_g5814.t2, vverm_g5814.t1, vverm_g3740.t1, vverm_g3744.t1, vverm_g9633.t1, vverm_g4819.t1
OG0000419	dicty_g370.t1	vverm_g11782.t1, vverm_g2095.t1, vverm_g5631.t1, vverm_g14168.t1, vverm_g3571.t1, vverm_g13633.t2, vverm_g13633.t1, vverm_g4486.t1
OG0000423	dicty_g7060.t1	vverm_g8341.t1
OG0000435	dicty_g7964.t1	vverm_g11310.t1
OG0000435	dicty_g6699.t1	vverm_g8366.t1
OG0000436	dicty_g4765.t1	vverm_g14829.t1
OG0000436	dicty_g4363.t1	vverm_g954.t2, vverm_g954.t1, vverm_g14604.t1
OG0000438	dicty_g5050.t1	vverm_g6804.t1, vverm_g6808.t1
OG0000439	dicty_g8633.t3	vverm_g8534.t1, vverm_g8610.t1, vverm_g16351.t1, vverm_g4504.t1
OG0000440	dicty_g5596.t1	vverm_g7021.t1
OG0000440	dicty_g1648.t1	vverm_g13803.t2
OG0000441	dicty_g5502.t2, dicty_g5502.t1	vverm_g5992.t1, vverm_g14861.t1, vverm_g15300.t1, vverm_g15300.t2
OG0000442	dicty_g113.t1	vverm_g7484.t1, vverm_g16333.t1, vverm_g4543.t1
OG0000443	dicty_g10969.t1	vverm_g15869.t1
OG0000443	dicty_g7582.t1	vverm_g11824.t2, vverm_g11824.t1
OG0000444	dicty_g9943.t1	vverm_g14786.t1
OG0000444	dicty_g1416.t1	vverm_g10340.t1
OG0000445	dicty_g11017.t1, dicty_g11017.t2	vverm_g15057.t1, vverm_g15057.t2, vverm_g14965.t2, vverm_g14965.t1, vverm_g9898.t1
OG0000446	dicty_g8599.t1, dicty_g8771.t1, dicty_g4309.t1	vverm_g16149.t1, vverm_g9082.t1, vverm_g13605.t1, vverm_g13606.t1, vverm_g16903.t1, vverm_g1484.t1, vverm_g15826.t1
OG0000448	dicty_g5727.t1	vverm_g2523.t1, vverm_g2523.t2
OG0000448	dicty_g3041.t1, dicty_g9817.t1, dicty_g10815.t1	vverm_g141.t2, vverm_g141.t1
