Geneid,KO_ID
g338,
g339,
g340,
g341,
g342,
g343,
g344,
g345,
g346,
g347,
g348,
g349,
g350,
g351,
g352,
g353,
g354,
g355,
g356,
g357,
g358,
g359,
g360,
g361,
g362,
g363,
g364,
g365,
g366,
g367,
g368,
g369,
g370,
g371,
g372,
g373,
g374,
g375,
g376,
g377,
g378,
g379,
g380,
g381,
g382,
g383,
g384,
g385,
g386,
g387,
g388,
g389,
g389,
g390,
g391,
g392,
g393,
g394,
g395,
g396,
g397,
g398,
g398,
g399,
g400,K07259
g400,K07259
g401,
g402,
g403,
g404,
g404,
g404,
g405,
g406,K17700
g407,
g408,
g409,K11805
g410,K00167
g410,K00167
g411,K18441
g412,
g413,
g413,
g413,
g414,
g415,
g416,
g417,
g418,
g419,
g420,
g421,
g422,K20526
g423,
g424,
g425,
g426,
g427,
g428,K13787
g428,K13787
g429,K20353
g429,
g430,
g431,
g432,
g433,
g434,
g435,
g436,
g437,
g438,
g439,
g440,
g441,
g442,
g443,
g444,
g445,
g446,
g447,
g448,
g449,
g450,
g451,
g452,
g453,
g454,
g455,
g456,
g456,K24332
g457,
g458,K20048
g459,
g460,
g461,
g461,K24332
g462,
g463,K20048
g464,
g465,K21917
g466,
g466,
g467,K05103
g467,
g468,
g469,
g470,
g471,
g472,
g473,
g474,
g475,
g476,
g477,
g478,
g479,K03363
g479,K03363
g480,K03103
g480,K19363
g481,
g482,
g483,
g484,
g485,
g486,
g487,
g488,
g489,
g490,
g491,
g492,
g493,
g494,
g495,
g496,
g497,K00021
g498,K00654
g499,
g500,
g501,
g502,
g503,
g504,
g505,K03120
g506,
g507,
g508,
g508,
g509,
g510,
g511,
g511,
g512,
g513,K13960
g514,
g515,
g516,
g517,K00773
g517,K19730
g517,K00773
g517,K19730
g518,K03164
g518,K03164
g519,
g520,
g521,
g522,
g523,
g524,
g525,
g525,
g526,
g527,
g528,K05668
g529,
g529,
g529,
g530,
g531,K12869
g532,
g533,
g534,K12863
g535,K07526
g536,K00827
g537,
g538,K00827
g539,
g540,
g541,
g542,
g543,K08832
g543,
g544,
g544,
g545,
g545,K13278
g546,K15505
g546,K15505
g547,
g547,
g548,
g549,
g550,K02951
g551,
g552,K03013
g552,K03013
g553,K11135
g554,K04794
g554,K04794
g555,
g556,
g557,
g558,
g559,
g559,
g560,K06698
g561,K12835
g562,
g563,
g564,
g565,
g566,
g567,
g568,
g569,
g570,
g571,K13915
g572,
g572,
g573,K17542
g574,
g575,
g576,
g577,
g578,
g579,
g580,K02739
g581,K15113
g582,K22390
g583,
g584,K13091
g585,
g585,
g586,
g587,
g588,
g589,
g590,
g591,
g592,K19983
g593,
g594,K12164
g594,K12164
g595,K08967
g596,K05728
g597,
g598,
g599,
g600,
g601,
g602,
g603,
g604,
g605,K05766
g606,K03327
g607,
g607,
g607,
g608,
g609,
g610,
g611,
g612,
g613,
g614,
g615,
g616,
g617,
g618,
g619,K15720
g619,K15720
g620,
g621,
g622,
g623,
g624,
g625,K27922
g626,
g627,
g628,
g629,K05284
g630,
g631,K23905
g632,
g633,
g634,
g635,
g636,K22210
g637,
g638,K12386
g639,
g640,
g641,
g642,
g643,
g644,
g645,K00059
g646,K03941
g647,
g648,K24125
g648,K24125
g649,K05768
g650,K10370
g651,
g652,
g652,
g652,
g653,
g653,K20683
g653,
g654,K04630
g655,K06175
g655,K06175
g656,K04513
g657,
g658,K15196
g658,K15196
g659,K16671
g659,
g660,
g661,
g662,
g663,
g663,
g664,
g665,
g666,
g667,
g668,
g669,
g670,
g671,
g672,
g673,
g674,
g675,
g676,
g677,
g678,
g679,
g680,
g681,
g682,
g683,
g684,
g685,
g686,
g686,
g687,K05105
g688,
g689,
g690,
g691,
g692,
g693,
g694,
g694,
g695,
g696,
g697,
g697,
g698,
g699,
g700,
g701,
g701,
g702,
g703,
g704,
g705,
g706,
g707,
g708,
g709,
g710,
g711,
g712,
g713,
g714,
g715,
g716,
g717,
g718,
g719,
g719,K13523
g720,
g721,
g722,
g723,
g724,
g725,
g726,
g727,
g728,
g729,
g730,
g731,
g732,
g733,
g734,
g735,
g736,
g737,
g738,
g739,
g740,
g741,K22614
g742,
g743,
g744,
g745,
g746,
g747,
g748,
g749,
g750,
g751,
g752,
g753,
g754,
g755,
g756,
g757,
g758,
g759,
g760,
g760,
g761,
g762,
g763,
g763,
g764,
g765,
g766,
g767,
g768,
g769,K23038
g770,K00993
g771,K10352
g772,K01681
g773,K09761
g774,K20242
g775,
g775,
g776,
g777,
g778,
g779,K08292
g780,
g781,
g782,
g783,
g784,K08739
g784,K08739
g785,
g786,
g787,
g788,
g789,
g790,
g791,
g792,
g793,
g794,
g795,
g796,
g797,
g798,
g799,
g800,
g801,
g802,
g803,
g804,
g805,
g806,
g807,
g808,
g809,
g810,
g811,
g812,
g813,
g814,
g815,
g816,
g817,
g818,
g819,
g820,
g821,
g822,
g823,
g824,
g825,
g826,K13346
g827,K03294
g827,K03294
g828,
g829,
g830,
g831,
g832,K06171
g832,K06171
g833,
g834,K00551
g834,K00551
g835,
g835,K15323
g836,K10686
g837,
g837,
g838,
g839,
g840,
g840,
g841,
g841,
g842,
g843,
g844,
g845,
g846,
g846,
g847,
g848,
g849,
g850,
g851,
g852,
g852,
g853,K07205
g854,
g855,
g856,
g857,
g857,
g858,K00963
g859,
g860,
g861,
g861,
g862,
g863,
g863,
g864,
g864,
g865,
g866,
g867,
g868,
g868,
g869,K25790
g870,K00948
g871,
g872,K16912
g873,
g874,
g874,
g875,
g875,
g876,
g877,
g877,
g878,
g879,
g879,
g880,
g881,
g882,
g883,
g884,
g885,
g886,
g887,
g888,K00731
g889,
g890,
g891,K12735
g891,K12735
g891,
g892,
g893,K00253
g894,K05676
g895,K15046
g895,K15046
g896,K10885
g897,K14819
g898,
g898,
g899,
g900,
g901,
g901,
g902,
g903,
g904,
g905,
g906,K15920
g907,K18260
g907,K18260
g908,
g909,
g909,
g909,
g910,
g911,
g912,
g913,
g914,
g915,
g916,
g917,
g918,
g919,
g920,
g921,
g922,
g923,
g924,
g925,
g926,K20472
g926,K20472
g927,
g928,
g929,
g930,
g931,
g932,
g933,
g934,
g935,
g936,
g937,
g938,
g939,
g940,
g941,K00987
g942,K12493
g942,K12493
g943,
g944,
g945,
g946,
g947,
g948,
g949,
g950,
g951,
g952,
g953,
g954,K00275
g955,
g956,K04706
g956,K04706
g957,
g958,
g959,K10570
g960,
g961,
g962,K14209
g963,
g964,
g965,K07765
g965,
g966,K10632
g967,
g968,
g969,K14209
g970,
g970,
g971,K10570
g972,
g973,
g973,
g974,
g975,
g976,
g977,
g978,
g979,
g980,
g981,
g982,
g983,
g984,
g984,
g985,
g986,
g986,
g987,
g987,
g988,K13051
g989,K02962
g990,K13051
g990,
g991,
g992,
g993,K00789
g994,K14288
g994,K14288
g995,K12847
g996,K19604
g997,
g997,
g998,
g998,K15789
g999,
g1000,
g1000,K00639
g1001,K11450
g1002,K04718
g1003,K13939
g1003,K13939
g1004,K17605
g1005,K01354
g1006,K20224
g1007,
g1008,
g1009,K05349
g1009,
g1010,
g1010,
g1011,K08495
g1012,
g1013,
g1013,
g1014,
g1015,
g1016,
g1017,
g1018,
g1019,
g1020,
g1021,
g1022,
g1023,
g1024,
g1025,
g1026,
g1027,
g1028,
g1029,
g1030,
g1031,
g1032,
g1033,
g1034,
g1035,
g1036,
g1037,
g1038,
g1039,
g1040,
g1041,
g1042,
g1043,K00995
g1043,K00995
g1044,K11325
g1044,
g1045,K00503
g1046,
g1047,K07407
g1048,K00476
g1049,K01280
g1050,K05011
g1050,K05011
g1051,
g1052,
g1052,
g1053,
g1054,K14773
g1054,
g1055,K05769
g1056,
g1057,
g1058,
g1059,
g1060,
g1060,
g1060,
g1061,
g1062,
g1063,
g1064,
g1065,
g1066,K15117
g1066,K15117
g1066,
g1067,
g1068,K09488
g1069,
g1070,
g1071,
g1072,
g1073,K22987
g1073,K22987
g1074,
g1075,
g1076,
g1077,
g1078,
g1079,K03504
g1079,K03504
g1080,K07874
g1081,K05286
g1082,K02880
g1083,
g1084,K14773
g1084,
g1085,
g1086,
g1087,
g1088,
g1089,
g1090,
g1091,
g1092,
g1092,
g1093,
g1093,K05540
g1094,
g1094,
g1095,
g1095,
g1096,K03868
g1096,K03868
g1096,K03868
g1097,
g1098,
g1099,K14381
g1100,K23234
g1101,
g1102,
g1103,K28167
g1103,K28167
g1104,K14780
g1105,
g1106,
g1106,
g1107,K14800
g1108,
g1108,
g1109,K01867
g1110,K01881
g1110,K01881
g1111,
g1112,
g1113,
g1114,K08844
g1115,
g1115,
g1116,K01809
g1117,
g1118,
g1119,
g1120,
g1121,
g1122,
g1123,
g1124,
g1124,K20194
g1125,K11187
g1126,K20473
g1126,K20473
g1126,K20473
g1127,K22522
g1128,
g1129,
g1130,
g1131,
g1132,K02349
g1132,K02349
g1132,K02349
g1132,K02349
g1133,K20820
g1134,K10484
g1134,K10484
g1135,
g1136,
g1137,K11098
g1138,K05745
g1139,K01972
g1139,K01972
g1140,
g1140,
g1141,K20182
g1142,
g1143,
g1144,
g1145,
g1146,
g1147,
g1148,
g1149,
g1150,
g1151,K10400
g1151,K10400
g1151,K10400
g1152,K16465
g1153,K00927
g1154,K20180
g1155,K20826
g1156,K12736
g1156,K12736
g1157,K08288
g1157,K08288
g1158,K11345
g1159,
g1160,K11267
g1160,K11267
g1161,K17824
g1161,K17824
g1162,
g1162,
g1162,K02155
g1163,K11548
g1164,
g1165,K10882
g1166,
g1167,K09646
g1168,
g1169,
g1170,
g1171,K09931
g1172,
g1173,
g1174,
g1175,
g1175,
g1176,
g1176,
g1176,
g1177,
g1177,
g1178,
g1179,
g1180,
g1181,
g1182,
g1183,
g1184,
g1185,
g1186,
g1187,
g1188,
g1189,
g1190,
g1191,K19371
g1192,K09498
g1192,K09498
g1192,K02265
g1193,
g1194,
g1195,
g1196,
g1197,
g1198,K03259
g1199,K11654
g1200,K05110
g1201,K01082
g1201,
g1202,K18752
g1203,
g1204,
g1205,
g1206,
g1207,
g1208,
g1209,
g1210,
g1211,
g1211,
g1212,
g1213,
g1214,
g1215,
g1216,
g1217,
g1218,
g1218,
g1219,
g1220,
g1221,
g1222,
g1223,
g1224,
g1225,
g1226,
g1227,K00987
g1228,
g1229,
g1230,
g1231,
g1231,
g1232,
g1233,K11269
g1234,K19199
g1234,K19199
g1235,K21421
g1236,
g1237,K19525
g1238,K23327
g1239,
g1239,
g1240,K21813
g1241,
g1242,
g1242,
g1243,K08892
g1244,
g1245,K03861
g1246,K23040
g1247,
g1248,
g1249,
g1250,K11684
g1251,K02961
g1252,
g1253,K24536
g1253,K24536
g1254,K09564
g1255,K10991
g1256,K03439
g1257,
g1257,
g1257,
g1258,
g1259,
g1260,
g1261,
g1262,
g1262,
g1263,K03953
g1263,K03953
g1264,K02003
g1265,
g1266,
g1266,
g1267,
g1268,K11414
g1269,
g1270,
g1271,K18327
g1271,K18327
g1272,K00586
g1273,
g1273,K14775
g1274,K10771
g1275,K04536
g1276,
g1277,K15433
g1278,
g1279,
g1280,
g1281,
g1282,
g1283,
g1284,
g1285,
g1286,
g1287,
g1288,
g1289,
g1290,
g1291,
g1292,
g1293,
g1294,
g1295,
g1296,
g1297,
g1298,
g1299,
g1300,
g1301,
g1302,
g1303,
g1304,
g1305,
g1306,
g1307,
g1308,
g1309,
g1310,
g1311,
g1312,
g1313,
g1314,
g1315,
g1316,
g1317,
g1318,
g1319,
g1320,
g1321,
g1322,
g1323,
g1324,
g1324,
g1325,
g1325,
g1326,
g1327,
g1328,
g1329,
g1330,
g1331,
g1332,
g1333,
g1334,
g1335,K23344
g1336,
g1337,
g1338,K12896
g1338,K12896
g1339,K09880
g1339,K09880
g1340,K14191
g1341,
g1342,K17618
g1343,
g1344,K27605
g1345,
g1346,
g1347,K03350
g1347,K03350
g1347,K03350
g1348,K23567
g1349,
g1349,
g1350,
g1351,
g1352,
g1353,
g1354,
g1355,
g1356,
g1357,
g1358,
g1359,
g1360,
g1361,
g1362,
g1363,
g1364,
g1365,
g1366,
g1367,
g1368,
g1369,
g1370,
g1371,
g1372,
g1373,
g1374,
g1375,
g1376,
g1377,
g1378,
g1379,
g1380,
g1381,
g1382,
g1383,
g1384,
g1385,
g1386,
g1387,
g1388,
g1389,K14293
g1390,K26229
g1391,
g1391,
g1392,
g1393,
g1394,
g1395,
g1396,
g1397,
g1398,
g1399,
g1400,
g1401,
g1402,
g1403,
g1404,K02202
g1405,K18763
g1405,
g1405,K18763
g1406,
g1406,
g1407,
g1408,
g1409,
g1410,
g1410,
g1410,
g1411,
g1412,
g1412,
g1413,
g1414,
g1415,K26797
g1415,K26797
g1416,
g1417,
g1418,
g1419,
g1419,
g1420,K23026
g1421,
g1422,K05292
g1423,
g1424,
g1425,
g1426,
g1427,
g1428,
g1429,
g1430,
g1431,
g1432,
g1433,
g1434,
g1435,
g1436,
g1437,
g1437,
g1438,
g1439,K00921
g1439,K00921
g1440,
g1441,
g1441,
g1442,
g1442,
g1443,
g1444,K12390
g1445,
g1446,
g1447,
g1448,
g1449,
g1450,K08794
g1451,
g1452,
g1452,K10773
g1453,
g1454,K07277
g1455,K04532
g1456,K23286
g1457,K01520
g1458,K14304
g1459,K18532
g1460,
g1460,K00228
g1460,K00228
g1461,
g1462,
g1463,K01772
g1464,K11886
g1465,K07753
g1466,
g1466,
g1467,
g1468,
g1468,
g1469,
g1470,
g1471,
g1472,
g1473,K06969
g1474,
g1474,
g1474,
g1475,
g1476,
g1477,
g1478,
g1479,
g1480,
g1481,
g1482,
g1483,
g1484,
g1485,
g1486,
g1487,
g1488,
g1489,
g1489,K10520
g1490,
g1491,
g1492,
g1493,
g1494,
g1495,
g1496,
g1497,
g1498,
g1499,
g1500,
g1501,
g1502,
g1503,
g1504,
g1505,
g1506,
g1507,
g1508,
g1509,
g1510,
g1511,
g1512,
g1513,
g1514,
g1515,
g1516,
g1517,
g1518,
g1519,
g1520,
g1521,
g1522,
g1523,
g1524,
g1525,
g1526,
g1527,
g1528,
g1529,
g1530,
g1531,
g1532,
g1533,
g1534,
g1535,
g1536,
g1537,
g1538,
g1538,
g1539,
g1540,
g1541,
g1542,
g1543,
g1544,
g1545,
g1546,
g1547,
g1548,
g1549,
g1550,
g1551,
g1552,
g1553,
g1554,
g1555,
g1556,
g1557,
g1558,
g1559,
g1560,
g1561,K00547
g1561,K00547
g1562,
g1562,
g1563,K22684
g1564,
g1565,
g1566,
g1567,K01488
g1567,K01488
g1567,K01488
g1568,
g1569,
g1570,
g1571,
g1572,
g1573,
g1574,K17757
g1575,
g1576,
g1577,
g1578,K20891
g1578,K20891
g1579,
g1580,
g1580,
g1580,
g1581,
g1582,
g1583,
g1584,
g1585,
g1586,
g1587,
g1588,
g1589,
g1590,
g1591,
g1592,
g1593,K17422
g1594,
g1595,
g1596,
g1597,
g1598,
g1599,
g1600,
g1601,
g1602,
g1603,
g1604,
g1605,
g1606,
g1607,
g1608,
g1609,
g1610,
g1611,K00232
g1612,
g1613,
g1614,
g1615,
g1616,
g1617,
g1618,
g1619,
g1620,
g1621,
g1622,
g1623,
g1624,
g1625,
g1626,K17576
g1627,
g1628,
g1629,
g1630,
g1631,
g1632,
g1633,
g1634,
g1635,
g1636,
g1637,
g1638,
g1639,
g1640,
g1641,
g1642,
g1643,
g1644,
g1645,
g1646,
g1647,
g1648,
g1649,
g1650,
g1651,
g1652,
g1653,
g1654,
g1655,
g1656,
g1657,
g1658,
g1659,
g1660,
g1661,
g1662,
g1663,
g1664,
g1665,
g1666,
g1667,
g1668,
g1669,
g1670,
g1671,
g1671,
g1672,
g1672,
g1672,
g1673,
g1674,
g1674,
g1675,
g1676,
g1677,
g1678,
g1679,
g1680,
g1681,
g1682,
g1683,
g1684,
g1685,
g1686,
g1687,
g1688,
g1689,
g1690,
g1691,
g1692,
g1693,
g1694,
g1695,
g1696,
g1697,
g1698,
g1699,
g1700,
g1701,
g1702,
g1703,
g1704,
g1705,
g1706,
g1707,
g1708,K24141
g1709,K03141
g1710,
g1711,
g1712,
g1713,
g1714,
g1715,
g1716,
g1717,
g1718,
g1719,
g1720,
g1721,
g1722,
g1723,
g1724,
g1725,
g1726,
g1727,
g1728,K05396
g1728,
g1728,K05396
g1729,
g1730,
g1731,
g1732,K24939
g1733,K03575
g1734,
g1734,
g1735,
g1736,K01885
g1737,
g1738,
g1739,
g1740,K08073
g1741,K09001
g1742,K10869
g1743,
g1744,
g1745,
g1746,
g1747,K04936
g1748,K12836
g1748,K12836
g1749,K21915
g1750,
g1751,
g1752,
g1753,
g1754,
g1755,
g1756,
g1757,
g1758,
g1759,
g1760,
g1761,K12795
g1762,
g1763,
g1763,
g1764,K15451
g1765,K17803
g1766,
g1767,K09647
g1767,K09647
g1768,
g1769,K16848
g1770,
g1770,K19613
g1771,
g1772,K21389
g1773,
g1774,K23869
g1775,
g1776,K03341
g1777,
g1778,
g1779,
g1780,
g1781,
g1782,
g1783,
g1784,
g1785,
g1786,
g1787,
g1788,
g1789,
g1790,
g1791,
g1792,
g1793,
g1794,
g1795,
g1796,
g1797,
g1798,
g1799,
g1800,
g1801,
g1802,
g1803,
g1804,
g1805,
g1806,
g1807,
g1808,
g1808,
g1809,
g1810,
g1811,
g1812,
g1813,
g1814,
g1815,
g1816,
g1817,
g1817,
g1817,
g1818,
g1819,
g1820,
g1821,
g1822,
g1823,
g1824,K03495
g1825,K14677
g1826,
g1826,
g1827,
g1827,
g1828,
g1829,
g1830,K10594
g1830,K10594
g1830,K10594
g1831,
g1831,K07375
g1832,K04554
g1833,K01514
g1834,K02936
g1835,
g1836,
g1837,
g1838,
g1838,
g1839,
g1840,K13125
g1841,K02899
g1842,
g1842,
g1843,K01392
g1843,K01392
g1843,K01392
g1844,
g1845,
g1845,
g1846,
g1847,
g1848,
g1848,
g1849,
g1850,
g1851,
g1852,
g1852,K08073
g1853,K24155
g1854,K11137
g1855,K08736
g1856,K02183
g1857,
g1858,
g1859,
g1859,
g1860,
g1861,
g1862,
g1863,
g1864,
g1865,
g1866,
g1867,
g1868,
g1869,K00452
g1870,
g1871,K01192
g1872,
g1873,
g1874,K23878
g1874,K23878
g1875,
g1876,K15181
g1877,K10598
g1878,
g1879,K11844
g1880,
g1881,
g1882,
g1883,
g1884,
g1885,
g1886,
g1887,
g1888,
g1889,
g1890,
g1891,
g1892,
g1893,
g1894,K13988
g1895,
g1896,
g1897,
g1898,
g1899,
g1900,
g1901,
g1902,
g1903,
g1904,
g1905,
g1906,
g1907,
g1908,
g1909,K00693
g1910,
g1911,K18678
g1911,K18678
g1912,K13355
g1913,
g1914,
g1915,
g1916,
g1917,
g1918,
g1919,
g1920,
g1921,
g1922,
g1923,
g1924,
g1925,
g1926,
g1927,
g1928,
g1929,
g1930,
g1931,
g1932,
g1933,
g1934,
g1935,
g1936,K06671
g1937,
g1938,
g1939,K20407
g1940,K03246
g1941,K00850
g1942,K07300
g1943,
g1944,K08282
g1945,
g1945,K20300
g1946,
g1946,
g1947,
g1947,K11375
g1948,
g1949,K06679
g1950,
g1951,
g1952,
g1952,
g1953,
g1954,
g1955,
g1956,
g1956,
g1957,K10901
g1958,K16913
g1959,K24780
g1959,K24780
g1960,K23295
g1961,K08329
g1962,
g1963,
g1964,K00030
g1965,K00803
g1966,K02219
g1967,K23679
g1967,K11090
g1968,K14810
g1968,K14810
g1969,
g1970,K25201
g1971,K12883
g1972,K05111
g1973,
g1974,
g1975,
g1976,
g1977,K10727
g1978,
g1979,K11493
g1980,
g1981,
g1982,
g1983,K24317
g1984,
g1985,
g1986,
g1987,
g1988,
g1989,
g1990,
g1991,
g1992,
g1993,
g1994,
g1995,
g1996,
g1997,
g1998,
g1999,
g2000,
g2001,
g2002,
g2003,
g2004,
g2005,
g2006,
g2007,
g2008,
g2009,
g2010,
g2011,
g2012,
g2013,
g2014,
g2015,
g2016,
g2017,
g2018,
g2019,
g2020,
g2021,
g2022,
g2023,
g2024,
g2025,
g2026,
g2027,
g2028,
g2029,
g2030,
g2031,
g2031,
g2032,K01647
g2033,
g2034,
g2035,K03217
g2036,
g2037,
g2037,
g2038,K16587
g2038,K16587
g2039,K02894
g2040,
g2040,K18914
g2041,K10877
g2042,K25639
g2043,K03253
g2043,K03253
g2044,
g2044,
g2044,
g2045,K08838
g2046,K26935
g2046,K26935
g2047,K02321
g2048,K14617
g2049,K22066
g2049,K22066
g2050,K22069
g2051,
g2052,
g2053,
g2054,
g2055,
g2056,
g2057,
g2058,
g2059,
g2060,
g2061,
g2062,
g2063,
g2064,
g2065,K06626
g2066,K24928
g2067,
g2068,
g2068,
g2069,K15192
g2069,K15192
g2069,K15192
g2070,K08960
g2071,
g2072,
g2073,
g2074,
g2075,
g2076,
g2077,
g2078,
g2079,
g2080,
g2081,
g2082,
g2083,
g2084,
g2085,
g2086,
g2087,K10524
g2087,K10524
g2087,
g2087,K10524
g2088,K13095
g2089,K01875
g2090,K06128
g2091,
g2092,
g2092,
g2093,K14319
g2094,
g2095,
g2096,
g2097,
g2098,
g2099,
g2100,
g2101,
g2102,
g2103,
g2104,
g2105,
g2106,
g2107,
g2108,
g2109,
g2110,
g2111,
g2112,
g2113,
g2114,
g2115,
g2116,
g2117,
g2118,
g2119,
g2120,
g2121,K16770
g2121,K16770
g2122,K13160
g2123,
g2124,
g2125,
g2125,
g2126,K12373
g2127,
g2128,
g2129,
g2130,
g2131,
g2131,
g2132,K04362
g2133,
g2134,
g2134,
g2134,
g2134,
g2135,
g2135,
g2136,K15121
g2137,K13118
g2138,K00621
g2139,K02003
g2140,K06287
g2141,K23552
g2142,K08246
g2143,
g2143,
g2144,K06942
g2144,K06942
g2145,
g2146,
g2146,
g2146,
g2147,K02206
g2147,K02206
g2148,
g2149,K15158
g2150,
g2151,K09048
g2152,
g2153,K05291
g2154,
g2154,
g2155,K08789
g2156,K14312
g2157,K14774
g2158,K07933
g2159,K21776
g2159,K21776
g2160,K14553
g2161,K16794
g2161,
g2162,K03255
g2163,
g2164,
g2165,K19219
g2166,K24047
g2166,K24047
g2167,
g2167,
g2168,K10730
g2169,
g2170,
g2171,
g2171,
g2172,K11093
g2173,K09548
g2174,
g2175,K08681
g2176,K06215
g2177,K14832
g2177,
g2177,K14832
g2178,
g2179,K25830
g2179,K25830
g2180,K26118
g2180,K26118
g2181,K12260
g2182,
g2183,
g2184,
g2185,
g2186,K18980
g2187,
g2188,K08501
g2189,K15200
g2190,
g2191,
g2192,K27920
g2193,
g2194,
g2195,K03949
g2196,
g2197,
g2198,
g2199,K24195
g2199,K24195
g2200,
g2200,
g2200,
g2201,
g2201,
g2202,
g2203,
g2204,
g2205,K05658
g2206,K05399
g2207,K01620
g2208,K19828
g2209,K15026
g2209,K15026
g2210,K15180
g2211,K06176
g2212,K17301
g2213,K25006
g2214,K06199
g2214,K06199
g2215,
g2216,
g2217,
g2218,
g2218,
g2219,K26006
g2220,K14399
g2220,K14399
g2221,
g2222,K05658
g2223,K10144
g2224,
g2225,K12602
g2226,
g2227,
g2228,
g2229,
g2230,
g2231,
g2232,
g2233,
g2234,
g2235,
g2236,
g2237,
g2238,
g2239,
g2240,
g2241,
g2242,
g2243,
g2244,
g2245,
g2246,
g2247,
g2247,K27818
g2248,K24741
g2248,
g2249,K06636
g2250,K14454
g2251,
g2252,K12627
g2253,K01881
g2254,
g2255,
g2256,
g2257,
g2258,
g2259,
g2260,
g2261,
g2262,
g2263,
g2264,
g2265,
g2266,
g2266,
g2267,K05730
g2268,
g2269,
g2269,
g2270,
g2270,
g2271,K02979
g2272,K12873
g2273,K12839
g2274,
g2275,
g2276,
g2277,
g2278,
g2279,
g2280,
g2281,
g2282,
g2283,
g2284,K01099
g2285,
g2285,
g2286,
g2286,
g2287,
g2288,
g2288,
g2289,
g2290,
g2291,K11491
g2291,K11491
g2291,K11491
g2292,K10481
g2293,
g2293,
g2294,K14328
g2295,K15691
g2295,K15691
g2295,K24827
g2296,K00726
g2296,K00726
g2297,K26154
g2298,
g2299,K05677
g2300,
g2301,K13887
g2301,K13886
