gene,KO_ID
g14060.t1,K22900
g14061.t1,K19026
g14061.t2,K19026
g14063.t1,K06067
g14064.t1,K11843
g14066.t1,K13960
g14067.t1,K12844
g14067.t2,K12844
g14070.t1,K24827
g14071.t1,K03035
g14072.t1,K17065
g14074.t1,K17732
g14075.t1,K17261
g14076.t2,K14548
g13502.t1,K21891
g13507.t1,K10754
g13508.t1,K21773
g13512.t1,K02213
g13513.t1,K12657
g13513.t2,K12657
g13514.t1,K14791
g13519.t1,K03680
g13520.t1,K07739
g13521.t1,K11594
g13532.t1,K14779
g13532.t2,K14779
g13533.t1,K08775
g13533.t2,K08775
g13533.t3,K08775
g13541.t1,K10587
g13541.t2,K10587
g13543.t1,K01915
g13548.t1,K20656
g13551.t1,K02927
g13493.t1,K11137
g13495.t1,K14527
g13497.t1,K10260
g13497.t2,K10260
g13498.t1,K24512
g13498.t2,K24512
g13498.t3,K24512
g13476.t1,K07252
g13476.t2,K07252
g13479.t1,K17618
g13488.t1,K19801
g13488.t2,K19801
g13465.t1,K10580
g13469.t1,K00411
g13469.t2,K00411
g13470.t1,K03099
g13460.t1,K11247
g13460.t2,K11247
g13062.t1,K12847
g13064.t1,K00993
g13065.t1,K20193
g13066.t1,K02728
g13068.t1,K08794
g13071.t1,K02267
g13072.t1,K02145
g13073.t1,K15113
g13075.t1,K15044
g13077.t1,K13356
g13080.t1,K00763
g13087.t1,K22564
g13093.t1,K01056
g13094.t1,K17784
g13095.t1,K12386
g13097.t1,K24020
g13098.t1,K00876
g13099.t1,K07297
g13102.t1,K12589
g13103.t1,K04354
g13104.t1,K18166
g13104.t2,K18166
g13105.t1,K17917
g13107.t1,K10747
g13110.t1,K22399
g13113.t1,K06664
g13115.t1,K03099
g13116.t1,K14206
g13116.t2,K14206
g13116.t4,K14206
g13119.t1,K17601
g13119.t2,K17601
g13121.t1,K01001
g13121.t2,K01001
g13123.t1,K21626
g13123.t2,K21626
g13128.t1,K04392
g13136.t1,K14837
g13137.t1,K20476
g13139.t1,K01126
g13140.t1,K00889
g13143.t1,K00901
g13152.t1,K17605
g13161.t1,K20308
g13171.t1,K10523
g13173.t1,K02180
g13175.t1,K08735
g13175.t2,K08735
g13176.t1,K00079
g13177.t1,K00079
g13186.t1,K15279
g13191.t1,K02145
g13192.t1,K19784
g13196.t1,K08744
g13197.t1,K00685
g13197.t2,K00685
g13205.t1,K11665
g13206.t1,K14568
g13211.t1,K24070
g13211.t2,K24070
g13211.t3,K24070
g13212.t1,K10260
g13212.t2,K10260
g13213.t1,K02437
g13217.t1,K14327
g13220.t1,K07232
g13222.t1,K17790
g13231.t1,K18752
g13232.t1,K08245
g13234.t1,K10356
g13235.t1,K06210
g13236.t1,K15102
g13236.t2,K15102
g13238.t1,K04412
g13239.t1,K03417
g13242.t1,K06685
g13245.t1,K11851
g13247.t1,K06639
g13247.t2,K14165
g13249.t1,K10746
g13249.t2,K10746
g13249.t3,K10746
g13252.t1,K18342
g13253.t1,K06269
g13260.t1,K21953
g13261.t1,K05665
g13262.t1,K08493
g13267.t1,K09503
g13269.t1,K14545
g13269.t2,K14545
g13271.t1,K23790
g13273.t1,K00763
g13274.t1,K07407
g13277.t1,K26496
g13278.t1,K12462
g13279.t1,K11968
g13279.t2,K11968
g13280.t1,K01893
g13284.t1,K14835
g13285.t1,K12393
g13286.t1,K17260
g13288.t1,K20164
g13289.t1,K17803
g13289.t2,K17803
g13293.t1,K00901
g13293.t2,K00901
g13294.t1,K02953
g13295.t1,K09250
g13296.t1,K12863
g13298.t1,K10990
g13298.t2,K10990
g13301.t1,K02731
g13303.t1,K08175
g13303.t2,K08175
g13304.t1,K08486
g13304.t2,K08486
g13312.t1,K07208
g13314.t1,K00814
g13320.t1,K11411
g13320.t2,K11411
g13320.t3,K11411
g13321.t1,K13341
g13322.t1,K10357
g13325.t1,K01487
g13326.t1,K01487
g13329.t1,K23330
g13337.t1,K14841
g13338.t1,K24976
g13339.t1,K24976
g13339.t2,K24976
g13341.t1,K07918
g13342.t1,K02885
g13344.t1,K12244
g13345.t1,K06662
g13346.t1,K07870
g13347.t1,K02154
g13347.t2,K02154
g13349.t1,K01597
g13350.t2,K01931
g13351.t1,K10359
g13356.t1,K11273
g13360.t1,K00850
g13361.t1,K12661
g13364.t1,K07918
g13365.t1,K08738
g13366.t1,K09486
g13369.t1,K23282
g13372.t1,K12842
g13376.t1,K17987
g13378.t1,K01939
g13378.t2,K01939
g13379.t1,K05765
g13380.t1,K03231
g13385.t1,K13830
g13385.t2,K13830
g13387.t1,K19619
g13391.t1,K01805
g13393.t1,K20405
g13394.t1,K08900
g13395.t1,K12400
g13395.t2,K12400
g13396.t1,K14685
g13401.t1,K08267
g13402.t1,K05767
g13406.t1,K10280
g13408.t1,K02842
g13410.t1,K02354
g13412.t1,K14838
g13415.t1,K03654
g13415.t2,K03654
g13419.t1,K19784
g13420.t1,K19986
g13424.t1,K12877
g13430.t1,K17623
g13431.t1,K03234
g13438.t1,K20280
g13441.t1,K03234
g13446.t1,K04718
g13446.t3,K04718
g13453.t1,K03231
g13454.t1,K15190
g13455.t1,K08139
g13061.t1,K00232
g13043.t1,K03138
g13045.t1,K00693
g13046.t1,K26683
g13047.t1,K19801
g13050.t1,K03263
g13054.t1,K09566
g14259.t1,K03424
g13032.t1,K19985
g13009.t1,K22390
g13016.t1,K03850
g13020.t1,K10481
g13021.t1,K23791
g13022.t1,K14209
g13022.t2,K14209
g13029.t1,K15544
g13006.t1,K22758
g13007.t1,K07897
g12977.t1,K10600
g12981.t1,K10365
g12982.t1,K20190
g12986.t1,K04505
g12988.t1,K12840
g12988.t2,K12840
g12995.t1,K01599
g12996.t1,K13140
g12997.t1,K20161
g12958.t2,K01074
g12963.t1,K20398
g12966.t1,K10756
g12948.t1,K17784
g12934.t1,K27411
g12935.t1,K08658
g12936.t1,K01796
g12945.t1,K14685
g12929.t1,K22390
g12931.t1,K21396
g12925.t1,K10669
g12914.t2,K12229
g12918.t1,K00700
g12875.t1,K04392
g12875.t2,K04392
g12878.t1,K00235
g12879.t1,K05769
g12879.t2,K05769
g12882.t1,K11303
g12883.t1,K11303
g12884.t1,K13221
g12887.t1,K18171
g12892.t1,K03139
g12897.t1,K11204
g12900.t1,K04681
g12904.t1,K01897
g12904.t2,K01897
g12905.t1,K00799
g12906.t1,K14443
g12908.t1,K00025
g12910.t1,K09598
g12856.t1,K03099
g12857.t1,K00670
g12858.t1,K12875
g12858.t2,K12875
g12861.t1,K05863
g12868.t1,K00527
g12869.t1,K06950
g12870.t2,K20704
g12851.t1,K10295
g12852.t1,K06640
g12852.t2,K06640
g12802.t1,K05759
g12803.t1,K13989
g12804.t1,K07151
g12806.t1,K07748
g12807.t1,K14165
g12809.t1,K21813
g12810.t1,K03013
g12813.t1,K24780
g12815.t1,K11850
g12824.t1,K14777
g12826.t1,K14777
g12830.t1,K08073
g12842.t1,K07359
g12842.t2,K07359
g12767.t1,K22561
g12769.t1,K10594
g12769.t2,K10594
g12773.t1,K21249
g12776.t1,K24942
g12782.t1,K01438
g12787.t2,K03386
g12789.t1,K01206
g12792.t1,K12482
g12794.t1,K11855
g12688.t1,K14802
g12690.t1,K08766
g12691.t1,K20726
g12691.t2,K20726
g12692.t1,K14808
g12695.t1,K00626
g12700.t1,K00626
g12703.t1,K14209
g12708.t1,K12861
g12709.t1,K14788
g12710.t1,K03029
g12711.t2,K12834
g12713.t1,K01626
g12716.t1,K00868
g12718.t1,K13208
g12720.t1,K07901
g12721.t1,K17607
g12721.t2,K17607
g12722.t1,K00030
g12728.t1,K02206
g12728.t2,K02206
g12733.t1,K00624
g12735.t1,K10896
g12736.t1,K15177
g12739.t1,K07560
g12740.t1,K22942
g12741.t1,K02900
g12742.t1,K11254
g12745.t1,K00261
g12746.t1,K07375
g12746.t2,K07375
g12639.t1,K20193
g12640.t1,K11353
g12641.t1,K10704
g12642.t1,K00024
g12650.t1,K22182
g12653.t1,K09528
g12655.t1,K22072
g12657.t1,K15277
g12661.t1,K23490
g12665.t1,K05732
g12668.t1,K11416
g12674.t1,K01855
g12678.t1,K01724
g12679.t1,K12668
g12680.t1,K10260
g12681.t1,K06974
g12622.t1,K00898
g12622.t2,K00898
g12631.t1,K04565
g12633.t1,K10403
g12616.t1,K04348
g12617.t1,K03426
g12619.t1,K07213
g12522.t1,K08504
g12524.t1,K01098
g12525.t1,K02905
g12526.t1,K15326
g12526.t2,K15326
g12535.t1,K18179
g12536.t1,K02961
g12536.t2,K02961
g12540.t1,K03426
g12540.t2,K03426
g12541.t3,K02946
g12545.t1,K08493
g12551.t2,K11803
g12554.t1,K02895
g12561.t1,K02942
g12564.t1,K20683
g12567.t1,K04459
g12569.t1,K15027
g12575.t1,K00049
g12575.t2,K00049
g12580.t1,K14297
g12580.t2,K14297
g12585.t2,K03661
g12591.t1,K22913
g12599.t1,K25817
g12599.t2,K25817
g12600.t1,K19539
g12601.t1,K11344
g12602.t1,K11292
g12604.t1,K14556
g12604.t2,K14556
g12605.t1,K15434
g12608.t1,K09313
g12609.t1,K19001
g12610.t1,K08815
g12610.t2,K08815
g12517.t1,K17592
g12437.t1,K01738
g12441.t1,K18674
g12442.t1,K13192
g12443.t1,K10837
g12446.t1,K19323
g12450.t1,K23398
g12452.t1,K22758
g12453.t1,K07897
g12454.t1,K17816
g12456.t1,K02503
g12458.t1,K17260
g12460.t1,K01479
g12466.t1,K09584
g12467.t1,K01934
g12468.t1,K09613
g12469.t1,K20298
g12475.t1,K00679
g12476.t1,K02981
g12481.t1,K22756
g12482.t1,K12655
g12482.t2,K12655
g12482.t3,K12655
g12485.t1,K03245
g12486.t1,K17768
g12486.t2,K09553
g12487.t1,K20396
g12490.t1,K07897
g12490.t2,K07897
g12494.t1,K13195
g12496.t2,K00721
g12502.t1,K14398
g12503.t1,K11131
g12506.t1,K06689
g12506.t2,K06689
g12510.t1,K00274
g12512.t1,K22943
g12418.t1,K15277
g12399.t1,K17614
g12399.t2,K20216
g12400.t1,K10570
g12401.t1,K03124
g12401.t2,K03124
g12403.t1,K01873
g12384.t1,K11366
g12379.t1,K06630
g12382.t1,K13352
g12375.t1,K03392
g12350.t1,K15613
g12351.t1,K00976
g12312.t1,K20295
g12319.t1,K07179
g12330.t1,K21797
g12332.t1,K19199
g12333.t1,K12874
g12333.t2,K12874
g11810.t1,K21853
g11811.t1,K12737
g11812.t1,K13708
g11814.t1,K05692
g11818.t1,K02958
g11823.t1,K20649
g11825.t1,K11135
g11827.t1,K17707
g11829.t1,K07937
g11830.t1,K13507
g11831.t1,K08518
g11833.t1,K19619
g11833.t2,K19619
g11835.t1,K01634
g11838.t1,K01192
g11840.t1,K08740
g11841.t1,K04718
g11844.t1,K14802
g11844.t2,K14802
g11846.t1,K26106
g11848.t1,K05294
g11848.t2,K05294
g11849.t1,K00020
g11861.t1,K08844
g11863.t1,K28029
g11866.t1,K11578
g11871.t1,K04630
g11878.t1,K00382
g11879.t1,K02921
g11880.t1,K10845
g11881.t1,K22390
g11884.t1,K02977
g11885.t1,K05539
g11886.t1,K02918
g11891.t1,K13339
g11892.t1,K09048
g11893.t1,K01231
g11906.t1,K08866
g11911.t1,K13984
g11921.t1,K15206
g11921.t2,K15206
g11930.t1,K24748
g11931.t1,K11271
g11932.t1,K03177
g11936.t1,K17822
g11939.t1,K01937
g11940.t1,K03259
g11941.t1,K02974
g11943.t1,K03846
g11945.t1,K02975
g11946.t1,K15728
g11951.t1,K10609
g11961.t1,K14709
g11962.t1,K01462
g11966.t1,K02738
g11970.t1,K01880
g11974.t1,K00667
g11975.t2,K11594
g11979.t1,K15719
g11981.t1,K01866
g11987.t1,K00623
g11991.t1,K05294
g11995.t1,K15105
g11996.t1,K14802
g11996.t2,K14802
g12000.t1,K23040
g12001.t2,K01623
g12005.t1,K08678
g12007.t1,K07861
g12008.t1,K12607
g12013.t1,K01711
g12014.t1,K07512
g12018.t1,K10606
g12020.t1,K10080
g12022.t1,K22128
g12025.t1,K09510
g12026.t1,K13356
g12027.t1,K15304
g12028.t1,K01115
g12028.t2,K01115
g12029.t1,K07897
g12031.t1,K14312
g12032.t1,K10631
g12033.t1,K17637
g12034.t1,K07953
g12034.t2,K07953
g12035.t1,K12183
g12038.t1,K18081
g12038.t2,K18081
g12040.t1,K12893
g12043.t1,K11268
g12043.t2,K11268
g12045.t1,K20724
g12048.t1,K11262
g12050.t1,K20404
g12055.t1,K07023
g12056.t1,K15429
g12056.t2,K15429
g12057.t1,K15042
g12058.t1,K01537
g12064.t1,K08064
g12066.t1,K08844
g12066.t2,K08844
g12067.t1,K08486
g12070.t1,K06185
g12073.t1,K00002
g12078.t1,K17800
g12079.t1,K08770
g12086.t1,K00791
g12087.t1,K08220
g12088.t1,K18663
g12090.t1,K20222
g12091.t1,K19023
g12091.t2,K19023
g12098.t1,K07937
g12102.t1,K23905
g12107.t1,K01527
g12112.t1,K23469
g12113.t1,K02156
g12113.t2,K02156
g12117.t1,K03231
g12122.t1,K15335
g12122.t2,K15335
g12125.t1,K10268
g12128.t1,K12196
g12130.t1,K01737
g12131.t1,K00940
g12132.t1,K10872
g12138.t1,K00939
g12139.t1,K10572
g12143.t1,K22262
g12145.t1,K24169
g12148.t1,K10667
g12151.t1,K17807
g12156.t1,K00624
g12157.t1,K14404
g12157.t2,K14404
g12168.t1,K03248
g12169.t1,K05758
g12176.t1,K12571
g12179.t1,K13107
g12180.t1,K26403
g12182.t1,K21775
g12184.t1,K22384
g12187.t1,K14798
g12192.t1,K10699
g12192.t2,K10699
g12193.t1,K04382
g12200.t1,K13120
g12202.t1,K18183
g12203.t1,K12625
g12207.t1,K17361
g12207.t2,K17361
g12208.t1,K00486
g12211.t1,K14521
g12211.t2,K14521
g12212.t1,K10769
g12217.t1,K09598
g12217.t2,K09598
g12220.t1,K19583
g12222.t1,K10481
g12222.t2,K10481
g12226.t1,K22069
g12230.t1,K01874
g12231.t1,K26216
g12232.t1,K00827
g12232.t2,K00827
g12233.t1,K07018
g12234.t1,K01556
g12235.t1,K23234
g12236.t1,K22531
g12239.t1,K28105
g12242.t1,K04412
g12242.t2,K04412
g12245.t1,K12182
g12247.t1,K02727
g12249.t1,K11559
g12252.t1,K03351
g12253.t1,K10753
g12254.t1,K10735
g12255.t1,K03681
g12256.t1,K03030
g12257.t1,K15033
g12258.t2,K23314
g12259.t1,K12411
g12259.t2,K12411
g12263.t1,K06630
g12264.t2,K12880
g12266.t1,K05941
g12267.t1,K20028
g12267.t2,K20028
g12268.t1,K10703
g12271.t1,K13205
g12272.t1,K11294
g12273.t1,K21889
g12273.t2,K21889
g12277.t1,K15627
g12278.t1,K09531
g12280.t1,K13783
g12282.t1,K05677
g12285.t1,K14829
g12286.t1,K12402
g11798.t2,K00128
g11801.t1,K16750
g11803.t1,K12616
g11803.t2,K12616
g11780.t1,K03426
g11780.t2,K03426
g11783.t1,K22211
g11792.t1,K08493
g11771.t1,K07375
g11774.t1,K03380
g11752.t1,K12878
g11742.t1,K22939
g11630.t1,K05360
g11631.t1,K06666
g11634.t1,K01899
g11636.t1,K01520
g11639.t1,K17292
g11640.t1,K03843
g11640.t2,K03843
g11640.t3,K03843
g11641.t1,K14842
g11642.t1,K12836
g11643.t1,K01733
g11646.t1,K23878
g11648.t1,K14570
g11650.t1,K01638
g11651.t1,K00759
g11654.t1,K02942
g11655.t3,K11129
g11663.t1,K12587
g11667.t1,K14862
g11668.t1,K12373
g11671.t1,K15255
g11672.t1,K08176
g11673.t1,K00922
g11676.t1,K05681
g11677.t1,K14424
g11681.t3,K03424
g11682.t1,K13051
g11683.t1,K23553
g11684.t1,K08516
g11686.t1,K08844
g11688.t1,K12873
g11693.t1,K03251
g11694.t1,K18757
g11697.t1,K00639
g11702.t1,K00995
g11703.t1,K02891
g11703.t2,K02891
g11704.t1,K02979
g11705.t1,K00654
g11705.t2,K00654
g11714.t1,K04569
g11716.t1,K00860
g11719.t1,K23905
g11722.t1,K05692
g11723.t1,K14820
g11728.t1,K17700
g11584.t1,K14807
g11588.t1,K02993
g11588.t3,K02993
g11594.t1,K05752
g11600.t1,K05692
g11603.t1,K16575
g11604.t1,K00600
g11609.t1,K05759
g11620.t1,K20241
g11620.t2,K20241
g11620.t3,K20241
g11620.t4,K20241
g11500.t1,K04353
g11501.t1,K04797
g11505.t1,K01613
g11506.t1,K01886
g11507.t1,K15789
g11508.t1,K12662
g11509.t1,K00232
g11511.t1,K04683
g11512.t1,K14763
g11519.t1,K00274
g11520.t1,K18584
g11523.t1,K22389
g11524.t1,K10884
g11525.t1,K01889
g11527.t1,K17981
g11528.t1,K20293
g11537.t1,K00942
g11539.t1,K19478
g11540.t1,K05759
g11544.t1,K20294
g11556.t1,K00033
g11556.t2,K00033
g11558.t1,K21806
g11561.t1,K15216
g11562.t1,K06943
g11563.t1,K10632
g11566.t1,K00384
g11567.t1,K14802
g11568.t1,K03848
g11575.t1,K05627
g11576.t1,K15255
g11576.t2,K15255
g11578.t1,K24927
g11579.t1,K11431
g11580.t1,K08515
g11581.t1,K00290
g11395.t1,K07238
g11397.t1,K00761
g11399.t1,K20040
g11401.t1,K18164
g11405.t1,K22145
g11406.t1,K01904
g11410.t1,K11415
g11420.t1,K19355
g11420.t2,K19355
g11421.t1,K12316
g11421.t2,K12316
g11433.t1,K23338
g11433.t2,K23338
g11434.t1,K01280
g11436.t1,K05756
g11437.t1,K13100
g11439.t1,K27905
g11439.t2,K27905
g11440.t1,K00799
g11447.t1,K01807
g11448.t1,K14169
g11449.t1,K10956
g11449.t2,K10956
g11451.t1,K14815
g11455.t1,K12620
g11459.t1,K18932
g11459.t2,K18932
g11460.t1,K11293
g11461.t1,K03363
g11461.t2,K03363
g11462.t1,K03267
g11463.t1,K07200
g11464.t1,K12185
g11464.t2,K12185
g11466.t1,K03353
g11468.t1,K17430
g11472.t1,K20642
g11473.t1,K02989
g11473.t2,K02989
g11474.t1,K06677
g11476.t1,K13168
g11478.t1,K00605
g11482.t1,K02977
g11484.t1,K14304
g11488.t1,K21027
g11492.t1,K01522
g11331.t1,K01424
g11339.t1,K23504
g11341.t1,K00327
g11341.t2,K00327
g11343.t1,K24983
g11350.t1,K22211
g11352.t1,K11279
g11353.t1,K13303
g11353.t2,K13303
g11354.t1,K07375
g11358.t1,K10356
g11368.t1,K07441
g11372.t1,K03860
g11376.t1,K00967
g11378.t1,K08333
g11380.t1,K17290
g11316.t1,K10900
g11324.t1,K09669
g11310.t1,K23387
g11306.t1,K19526
g11306.t2,K19526
g11308.t1,K19526
g11276.t1,K01768
g11277.t1,K08794
g11279.t1,K00914
g11281.t1,K03231
g11283.t1,K03413
g11292.t1,K02842
g11294.t1,K02964
g11295.t1,K02969
g11297.t1,K06620
g11299.t1,K14780
g11299.t2,K14780
g11261.t1,K06619
g11261.t2,K06619
g11268.t1,K18849
g11269.t1,K07297
g11269.t2,K07297
g11271.t1,K10203
g11255.t1,K02872
g11256.t1,K23295
g11256.t2,K23295
g11256.t3,K23295
g11258.t1,K01868
g11259.t1,K21806
g11259.t2,K21806
g11172.t1,K00344
g11172.t2,K00344
g11173.t1,K14840
g11173.t2,K14840
g11176.t1,K04771
g11182.t1,K23796
g11186.t1,K22696
g11187.t1,K17263
g11188.t1,K20195
g11190.t1,K13346
g11195.t1,K17780
g11212.t1,K20363
g11216.t1,K10771
g11217.t1,K06685
g11219.t1,K03247
g11222.t1,K23498
g11222.t2,K23498
g11224.t1,K08057
g11226.t1,K00600
g11228.t1,K00627
g11229.t1,K15178
g11230.t1,K13138
g11232.t1,K08876
g11236.t1,K08337
g11237.t1,K14026
g11237.t2,K14026
g11239.t1,K21625
g11240.t2,K12823
g11241.t1,K04382
g11241.t2,K04382
g11242.t1,K11393
g11246.t1,K20367
g11246.t2,K20367
g11247.t1,K13114
g11249.t1,K13280
g11249.t2,K13280
g11250.t1,K00599
g11154.t1,K03243
g11155.t1,K09503
g11157.t1,K03679
g11160.t1,K19196
g11162.t1,K18626
g10936.t1,K06276
g10940.t1,K15423
g10940.t2,K15423
g10944.t1,K19371
g10946.t1,K13156
g10947.t1,K17497
g10948.t1,K14561
g10949.t1,K15362
g10952.t1,K14566
g10956.t1,K06027
g10957.t1,K14801
g10957.t2,K14801
g10958.t1,K04047
g10961.t1,K15688
g10967.t1,K05991
g10971.t1,K14834
g10978.t1,K12382
g10983.t1,K02865
g10984.t1,K00253
g10987.t1,K08269
g10988.t1,K22562
g10996.t1,K10755
g10998.t1,K15025
g11007.t1,K10582
g11009.t1,K01110
g11010.t1,K15115
g11014.t1,K03575
g11016.t1,K13093
g11017.t1,K20289
g11018.t2,K08592
g11021.t1,K01065
g11021.t2,K01065
g11023.t1,K15116
g11025.t1,K08844
g11027.t1,K09562
g11037.t1,K16465
g11041.t1,K17361
g11043.t1,K06997
g11053.t1,K05283
g11055.t1,K11341
g11058.t1,K11583
g11058.t2,K11583
g11067.t1,K07179
g11072.t1,K20295
g11074.t1,K12611
g11083.t1,K20649
g11083.t2,K20649
g11090.t1,K21195
g11092.t1,K01183
g11107.t1,K05824
g11109.t1,K12622
g11112.t1,K27411
g11113.t1,K08658
g11114.t2,K01796
g11118.t1,K26171
g11126.t1,K14685
g11127.t1,K05941
g11129.t1,K10359
g11133.t1,K00825
g10899.t1,K28102
g10900.t1,K08856
g10902.t1,K09567
g10902.t2,K09567
g10906.t1,K15109
g10909.t1,K03292
g10910.t1,K07300
g10910.t2,K07300
g10914.t2,K00227
g10916.t1,K17700
g10919.t1,K15360
g10920.t1,K26089
g10920.t2,K26089
g10862.t1,K00889
g10862.t2,K00889
g10866.t1,K12818
g10871.t1,K19604
g10872.t1,K01309
g10876.t1,K14536
g10879.t1,K07390
g10881.t1,K14416
g10882.t1,K07918
g10883.t1,K00889
g10883.t2,K00889
g10884.t1,K15448
g10885.t1,K17623
g10850.t1,K20223
g10852.t1,K00111
g10853.t1,K09884
g10853.t2,K09884
g10856.t1,K01580
g10702.t1,K07238
g10703.t1,K08329
g10709.t1,K06176
g10711.t1,K14811
g10712.t1,K12868
g10714.t1,K03163
g10724.t1,K07827
g10724.t2,K07827
g10728.t1,K01279
g10728.t2,K01279
g10736.t1,K21437
g10738.t1,K22565
g10739.t1,K00799
g10740.t1,K03648
g10745.t1,K10768
g10745.t2,K10768
g10749.t1,K00511
g10749.t2,K00511
g10751.t1,K18914
g10753.t1,K13148
g10756.t1,K22698
g10756.t2,K22698
g10759.t1,K20183
g10762.t1,K05286
g10767.t1,K17804
g10769.t1,K14843
g10770.t1,K15026
g10774.t1,K05678
g10776.t1,K18463
