Orthogroup	bc2001_braker	bc2002_braker
OG0000000	bc2001_g920.t1, bc2001_g19314.t1	bc2002_g1253.t1, bc2002_g11204.t1
OG0000000	bc2001_g15726.t1, bc2001_g1598.t1	bc2002_g15305.t1
OG0000000	bc2001_g8672.t1	bc2002_g17234.t1
OG0000000	bc2001_g12516.t1	bc2002_g10112.t1
OG0000000	bc2001_g2230.t1	bc2002_g4928.t1, bc2002_g9534.t1
OG0000000	bc2001_g12352.t1	bc2002_g5137.t1
OG0000000	bc2001_g15899.t1, bc2001_g8567.t1	bc2002_g17118.t1
OG0000000	bc2001_g8469.t1	bc2002_g9440.t1
OG0000000	bc2001_g4404.t1	bc2002_g10511.t1
OG0000000	bc2001_g3064.t1, bc2001_g19563.t1, bc2001_g3055.t1	bc2002_g10012.t1
OG0000000	bc2001_g8077.t1	bc2002_g18449.t1
OG0000000	bc2001_g9252.t1	bc2002_g9578.t1
OG0000000	bc2001_g13820.t1	bc2002_g4497.t2
OG0000000	bc2001_g5030.t1	bc2002_g19728.t1
OG0000000	bc2001_g10903.t1	bc2002_g5374.t1
OG0000000	bc2001_g10755.t1	bc2002_g6079.t1
OG0000000	bc2001_g12395.t1	bc2002_g10242.t1
OG0000000	bc2001_g7062.t1	bc2002_g4777.t1
OG0000000	bc2001_g669.t1	bc2002_g4014.t1
OG0000000	bc2001_g14481.t1	bc2002_g19865.t1
OG0000000	bc2001_g10389.t1	bc2002_g7505.t1
OG0000000	bc2001_g5909.t1	bc2002_g1080.t1
OG0000000	bc2001_g1184.t1	bc2002_g8302.t1, bc2002_g18611.t1
OG0000000	bc2001_g12036.t1	bc2002_g1844.t1
OG0000000	bc2001_g18195.t1	bc2002_g15712.t1
OG0000000	bc2001_g13832.t1	bc2002_g15888.t1
OG0000000	bc2001_g3969.t1	bc2002_g14437.t1, bc2002_g14778.t1
OG0000000	bc2001_g8276.t1	bc2002_g6202.t1
OG0000000	bc2001_g7108.t1	bc2002_g196.t1
OG0000000	bc2001_g17822.t1	bc2002_g422.t1
OG0000000	bc2001_g5734.t1	bc2002_g8877.t1
OG0000000	bc2001_g15288.t1	bc2002_g5874.t1
OG0000000	bc2001_g17522.t1	bc2002_g5211.t1
OG0000000	bc2001_g5247.t1	bc2002_g3382.t1
OG0000000	bc2001_g8655.t1	bc2002_g17217.t1
OG0000000	bc2001_g10077.t1	bc2002_g16965.t1
OG0000000	bc2001_g5685.t1	bc2002_g14711.t1
OG0000000	bc2001_g2651.t1	bc2002_g14821.t1
OG0000000	bc2001_g3320.t1	bc2002_g18028.t1
OG0000000	bc2001_g19404.t1	bc2002_g2813.t1
OG0000000	bc2001_g14766.t1	bc2002_g9614.t1
OG0000000	bc2001_g6833.t1	bc2002_g262.t1
OG0000000	bc2001_g17797.t1	bc2002_g12300.t1
OG0000001	bc2001_g9852.t1	bc2002_g11785.t1, bc2002_g11918.t1
OG0000001	bc2001_g4373.t1	bc2002_g18328.t1
OG0000001	bc2001_g14221.t1	bc2002_g18358.t1
OG0000001	bc2001_g4259.t1	bc2002_g5561.t1, bc2002_g2670.t1
OG0000001	bc2001_g2943.t2, bc2001_g2943.t1	bc2002_g11595.t1
OG0000001	bc2001_g3626.t1, bc2001_g3626.t2	bc2002_g6140.t1
OG0000001	bc2001_g5150.t1	bc2002_g3485.t1
OG0000001	bc2001_g5146.t1	bc2002_g3488.t1
OG0000001	bc2001_g644.t1	bc2002_g1689.t1
OG0000001	bc2001_g15028.t1	bc2002_g19066.t1
OG0000001	bc2001_g6151.t1	bc2002_g12895.t1
OG0000001	bc2001_g3294.t1	bc2002_g12893.t1
OG0000001	bc2001_g6476.t1	bc2002_g10627.t1
OG0000001	bc2001_g11238.t1	bc2002_g8015.t1
OG0000001	bc2001_g13252.t1	bc2002_g13344.t1
OG0000001	bc2001_g9420.t1	bc2002_g2326.t1
OG0000001	bc2001_g7492.t1	bc2002_g13931.t1
OG0000001	bc2001_g5789.t2, bc2001_g5789.t1	bc2002_g963.t1
OG0000001	bc2001_g18980.t1	bc2002_g5669.t1, bc2002_g5669.t2
OG0000001	bc2001_g19407.t1, bc2001_g19407.t2	bc2002_g2810.t1
OG0000001	bc2001_g1700.t1	bc2002_g3176.t1
OG0000001	bc2001_g5670.t1	bc2002_g12205.t1
OG0000001	bc2001_g5992.t1	bc2002_g14236.t1
OG0000001	bc2001_g11028.t1	bc2002_g5250.t1
OG0000001	bc2001_g17654.t1	bc2002_g595.t1
OG0000001	bc2001_g17737.t1	bc2002_g512.t1
OG0000001	bc2001_g10597.t1	bc2002_g15159.t1
OG0000001	bc2001_g6026.t2	bc2002_g14201.t1
OG0000001	bc2001_g16346.t1	bc2002_g8611.t1
OG0000001	bc2001_g13068.t1	bc2002_g16336.t1
OG0000001	bc2001_g5100.t1	bc2002_g19797.t1
OG0000001	bc2001_g4973.t1	bc2002_g19669.t1
OG0000001	bc2001_g10657.t1	bc2002_g15089.t1
OG0000001	bc2001_g10569.t1	bc2002_g728.t1
OG0000001	bc2001_g4958.t1	bc2002_g19654.t1
OG0000001	bc2001_g9238.t1	bc2002_g18431.t1
OG0000001	bc2001_g8326.t1	bc2002_g140.t1
OG0000001	bc2001_g1908.t1	bc2002_g7349.t1
OG0000001	bc2001_g8837.t1	bc2002_g9111.t1
OG0000001	bc2001_g8522.t1	bc2002_g2596.t1
OG0000001	bc2001_g543.t2	bc2002_g16527.t2
OG0000001	bc2001_g5675.t1	bc2002_g7589.t1
OG0000001	bc2001_g19682.t1, bc2001_g19682.t2	bc2002_g16668.t1
OG0000001	bc2001_g19539.t1, bc2001_g19539.t2	bc2002_g1987.t1
OG0000001	bc2001_g10665.t1	bc2002_g15077.t1
OG0000001	bc2001_g628.t1	bc2002_g1674.t1, bc2002_g1674.t2
OG0000001	bc2001_g12086.t1	bc2002_g12283.t1
OG0000001	bc2001_g1096.t1, bc2001_g1096.t2	bc2002_g4232.t1
OG0000001	bc2001_g15504.t1	bc2002_g17766.t1
OG0000001	bc2001_g12826.t2, bc2001_g12826.t1	bc2002_g2963.t1
OG0000001	bc2001_g12460.t1	bc2002_g10169.t1
OG0000001	bc2001_g12479.t1	bc2002_g10151.t1
OG0000001	bc2001_g19584.t1	bc2002_g2038.t1
OG0000001	bc2001_g19617.t1	bc2002_g2072.t1
OG0000001	bc2001_g12197.t1	bc2002_g18599.t1
OG0000001	bc2001_g17070.t1	bc2002_g7984.t1
OG0000001	bc2001_g9555.t1	bc2002_g9820.t1
OG0000001	bc2001_g141.t1	bc2002_g8747.t1
OG0000001	bc2001_g10586.t2	bc2002_g714.t1
OG0000001	bc2001_g10586.t1	bc2002_g714.t2
OG0000001	bc2001_g6449.t2, bc2001_g6449.t1	bc2002_g10600.t1
OG0000001	bc2001_g18888.t1	bc2002_g4524.t1
OG0000001	bc2001_g16260.t1	bc2002_g8530.t1
OG0000001	bc2001_g11904.t1	bc2002_g13159.t1
OG0000001	bc2001_g1806.t1	bc2002_g5573.t1, bc2002_g3991.t1
OG0000001	bc2001_g13305.t1	bc2002_g15370.t1
OG0000001	bc2001_g4485.t2, bc2001_g4485.t1	bc2002_g10426.t1
OG0000001	bc2001_g3989.t1	bc2002_g1392.t1
OG0000001	bc2001_g12744.t1	bc2002_g15327.t1
OG0000001	bc2001_g7657.t1	bc2002_g14111.t1
OG0000001	bc2001_g17710.t1	bc2002_g537.t1
OG0000001	bc2001_g12373.t1, bc2001_g687.t1	bc2002_g4035.t1
OG0000001	bc2001_g7522.t1	bc2002_g13963.t1
OG0000001	bc2001_g17936.t1, bc2001_g1575.t1	bc2002_g15282.t1
OG0000002	bc2001_g13487.t1	bc2002_g9158.t1
OG0000002	bc2001_g2584.t1	bc2002_g17085.t1, bc2002_g17076.t1, bc2002_g6037.t1, bc2002_g4716.t1, bc2002_g11345.t1, bc2002_g15755.t1, bc2002_g6431.t1, bc2002_g10780.t1, bc2002_g9522.t1, bc2002_g5501.t1, bc2002_g14242.t1, bc2002_g20043.t1, bc2002_g7067.t1, bc2002_g12862.t1, bc2002_g18661.t1, bc2002_g7159.t1, bc2002_g1061.t1, bc2002_g19135.t1, bc2002_g16418.t1, bc2002_g9008.t1, bc2002_g10463.t1, bc2002_g173.t1, bc2002_g4428.t1, bc2002_g18556.t1, bc2002_g668.t1, bc2002_g7441.t1, bc2002_g5142.t1, bc2002_g10077.t1, bc2002_g2737.t1, bc2002_g11547.t1, bc2002_g7486.t1, bc2002_g17890.t1, bc2002_g3121.t1, bc2002_g574.t1, bc2002_g16556.t1, bc2002_g5586.t1, bc2002_g14703.t1, bc2002_g3096.t1, bc2002_g2865.t1, bc2002_g19373.t1, bc2002_g1580.t1, bc2002_g2563.t1, bc2002_g2729.t1, bc2002_g18341.t1, bc2002_g7920.t1, bc2002_g3426.t1, bc2002_g6379.t1, bc2002_g5478.t1, bc2002_g12354.t1, bc2002_g1310.t1, bc2002_g5984.t1, bc2002_g8055.t1, bc2002_g14445.t1, bc2002_g10868.t1, bc2002_g694.t1, bc2002_g12548.t1, bc2002_g18267.t1, bc2002_g8467.t1, bc2002_g8491.t1, bc2002_g19355.t1, bc2002_g8127.t1, bc2002_g2584.t1, bc2002_g15734.t1, bc2002_g8104.t1, bc2002_g10807.t1, bc2002_g17754.t1, bc2002_g9596.t1, bc2002_g5682.t1, bc2002_g18044.t1, bc2002_g15101.t1, bc2002_g2769.t1, bc2002_g15096.t1, bc2002_g13354.t1, bc2002_g19965.t1, bc2002_g19167.t1, bc2002_g17566.t1, bc2002_g13838.t1, bc2002_g5976.t1, bc2002_g1926.t1, bc2002_g613.t1, bc2002_g114.t1, bc2002_g14954.t1, bc2002_g4172.t1, bc2002_g17684.t1, bc2002_g15412.t2, bc2002_g8087.t1, bc2002_g4945.t1, bc2002_g15141.t1
OG0000002	bc2001_g5073.t1	bc2002_g14842.t1, bc2002_g7108.t1, bc2002_g19122.t1, bc2002_g16019.t1, bc2002_g15903.t2
OG0000003	bc2001_g7453.t2, bc2001_g7453.t1	bc2002_g13890.t1
OG0000003	bc2001_g13300.t1	bc2002_g18581.t1, bc2002_g2544.t1
OG0000003	bc2001_g7804.t1	bc2002_g19316.t1
OG0000003	bc2001_g1568.t1	bc2002_g15276.t1
OG0000003	bc2001_g13621.t3, bc2001_g13621.t2, bc2001_g13621.t4, bc2001_g13621.t1	bc2002_g6555.t1
OG0000003	bc2001_g9468.t1, bc2001_g9468.t2	bc2002_g302.t1, bc2002_g11206.t1
OG0000003	bc2001_g17425.t2, bc2001_g17425.t1, bc2001_g6401.t1, bc2001_g10730.t1, bc2001_g1528.t1	bc2002_g3004.t1, bc2002_g3004.t2
OG0000003	bc2001_g4187.t1	bc2002_g17091.t1
OG0000003	bc2001_g14194.t1, bc2001_g14194.t2	bc2002_g4096.t1
OG0000003	bc2001_g18697.t1	bc2002_g13649.t1
OG0000003	bc2001_g3458.t1	bc2002_g1864.t2, bc2002_g1864.t1
OG0000003	bc2001_g7309.t1	bc2002_g5044.t1
OG0000003	bc2001_g12524.t1	bc2002_g1448.t2, bc2002_g871.t1
OG0000003	bc2001_g17576.t1	bc2002_g3847.t1, bc2002_g3591.t1
OG0000003	bc2001_g13055.t2	bc2002_g19129.t2
OG0000003	bc2001_g17672.t1, bc2001_g17981.t1	bc2002_g580.t1
OG0000003	bc2001_g1489.t1, bc2001_g19615.t1, bc2001_g4724.t1, bc2001_g18738.t1, bc2001_g13039.t1, bc2001_g8798.t1, bc2001_g9479.t1	bc2002_g9747.t1
OG0000003	bc2001_g6213.t1	bc2002_g19973.t1
OG0000003	bc2001_g17267.t1, bc2001_g6472.t1	bc2002_g10623.t1
OG0000003	bc2001_g6583.t1	bc2002_g8703.t1
OG0000003	bc2001_g9773.t1, bc2001_g9773.t2	bc2002_g17361.t1, bc2002_g1552.t1, bc2002_g5957.t1
OG0000003	bc2001_g10699.t1	bc2002_g15040.t1
OG0000003	bc2001_g11118.t1	bc2002_g8145.t1
OG0000003	bc2001_g9572.t1, bc2001_g9572.t2	bc2002_g9837.t1
OG0000003	bc2001_g397.t1	bc2002_g1934.t1
OG0000003	bc2001_g1898.t1	bc2002_g7337.t1
OG0000003	bc2001_g2442.t1	bc2002_g2293.t2, bc2002_g2293.t1
OG0000003	bc2001_g6328.t1	bc2002_g13098.t1
OG0000003	bc2001_g14867.t1	bc2002_g13702.t1
OG0000003	bc2001_g11965.t1, bc2001_g14187.t1	bc2002_g11092.t1
OG0000003	bc2001_g4658.t1	bc2002_g6268.t1
OG0000003	bc2001_g9184.t1	bc2002_g2503.t1
OG0000004	bc2001_g10457.t1	bc2002_g841.t1
OG0000004	bc2001_g7652.t1	bc2002_g14106.t1
OG0000004	bc2001_g6885.t1	bc2002_g1738.t1
OG0000004	bc2001_g923.t1	bc2002_g11199.t1
OG0000004	bc2001_g6517.t1	bc2002_g10675.t1
OG0000004	bc2001_g13823.t1	bc2002_g9959.t1, bc2002_g14560.t1
OG0000004	bc2001_g14806.t1	bc2002_g4395.t1
OG0000004	bc2001_g15695.t1	bc2002_g8201.t1, bc2002_g15570.t1
OG0000004	bc2001_g4935.t1	bc2002_g19629.t1
OG0000004	bc2001_g14709.t1, bc2001_g7845.t1, bc2001_g17499.t1, bc2001_g18198.t1, bc2001_g256.t1	bc2002_g191.t1
OG0000004	bc2001_g3264.t2	bc2002_g7145.t2
OG0000004	bc2001_g11463.t1	bc2002_g12619.t1
OG0000004	bc2001_g8217.t1	bc2002_g18606.t1, bc2002_g256.t1
OG0000004	bc2001_g10109.t1	bc2002_g16927.t1
OG0000004	bc2001_g12598.t1	bc2002_g6020.t1
OG0000004	bc2001_g3869.t1	bc2002_g417.t1, bc2002_g12776.t1
OG0000004	bc2001_g10789.t2, bc2001_g15729.t1, bc2001_g7031.t1	bc2002_g1110.t1
OG0000004	bc2001_g12554.t1	bc2002_g10069.t1
OG0000004	bc2001_g12068.t1	bc2002_g12305.t1
OG0000004	bc2001_g12976.t1	bc2002_g3180.t1, bc2002_g7673.t1
OG0000004	bc2001_g14503.t2	bc2002_g19892.t1
OG0000004	bc2001_g8008.t1	bc2002_g15594.t1
OG0000004	bc2001_g13989.t1	bc2002_g3312.t1, bc2002_g2702.t1, bc2002_g10899.t1
OG0000004	bc2001_g16920.t1	bc2002_g14784.t1, bc2002_g16313.t1
OG0000004	bc2001_g11283.t1	bc2002_g6362.t1
OG0000004	bc2001_g8675.t1	bc2002_g17239.t1
OG0000004	bc2001_g8652.t1	bc2002_g17213.t1
OG0000004	bc2001_g19345.t1	bc2002_g520.t1, bc2002_g4052.t1, bc2002_g2920.t1, bc2002_g11799.t1, bc2002_g16056.t1, bc2002_g6084.t1, bc2002_g8631.t1, bc2002_g8898.t1, bc2002_g12963.t1
OG0000004	bc2001_g16045.t1	bc2002_g3726.t1
OG0000004	bc2001_g14235.t1	bc2002_g18372.t1
OG0000005	bc2001_g3062.t1	bc2002_g11765.t1
OG0000005	bc2001_g18197.t1	bc2002_g15715.t1
OG0000005	bc2001_g2881.t1	bc2002_g11531.t1
OG0000005	bc2001_g7846.t1	bc2002_g9679.t1
OG0000005	bc2001_g18186.t1	bc2002_g18031.t1
OG0000005	bc2001_g10905.t1	bc2002_g15877.t1
OG0000005	bc2001_g1600.t1	bc2002_g5371.t1
OG0000005	bc2001_g18361.t1	bc2002_g2922.t1
OG0000005	bc2001_g12731.t1	bc2002_g16058.t1
OG0000005	bc2001_g17729.t1	bc2002_g522.t1
OG0000005	bc2001_g12865.t1	bc2002_g6082.t1
OG0000005	bc2001_g10757.t1	bc2002_g8629.t1
OG0000005	bc2001_g19344.t1	bc2002_g15341.t1
OG0000005	bc2001_g700.t1	bc2002_g4049.t1
OG0000005	bc2001_g18824.t1	bc2002_g4554.t1
OG0000005	bc2001_g19309.t1	bc2002_g1246.t1
OG0000005	bc2001_g19312.t1	bc2002_g1251.t1
OG0000005	bc2001_g14797.t1	bc2002_g4385.t1
OG0000005	bc2001_g8197.t1	bc2002_g280.t1
OG0000005	bc2001_g7060.t1	bc2002_g4774.t1
OG0000005	bc2001_g13034.t1, bc2001_g6516.t1, bc2001_g922.t1, bc2001_g13157.t1, bc2001_g4583.t1, bc2001_g9232.t1, bc2001_g13822.t1	bc2002_g14558.t1
OG0000005	bc2001_g11664.t1, bc2001_g8125.t1, bc2001_g2014.t1, bc2001_g14504.t1	bc2002_g15122.t1
OG0000005	bc2001_g10777.t1	bc2002_g9335.t1
OG0000005	bc2001_g6210.t1	bc2002_g12961.t1
OG0000005	bc2001_g11433.t1	bc2002_g12653.t1
OG0000005	bc2001_g14708.t1	bc2002_g11932.t1
OG0000005	bc2001_g38.t1	bc2002_g19275.t1
OG0000008	bc2001_g10543.t1	bc2002_g1441.t1
OG0000008	bc2001_g3202.t1, bc2001_g10453.t1	bc2002_g13844.t1
OG0000008	bc2001_g2626.t1	bc2002_g14848.t1
OG0000008	bc2001_g3127.t1	bc2002_g5903.t1
OG0000008	bc2001_g8167.t1	bc2002_g9920.t1
OG0000008	bc2001_g328.t1	bc2002_g11752.t1
OG0000008	bc2001_g4895.t1, bc2001_g11906.t1	bc2002_g10851.t1
OG0000008	bc2001_g1258.t1	bc2002_g13796.t1
OG0000008	bc2001_g2439.t1	bc2002_g2290.t1
OG0000008	bc2001_g19348.t1, bc2001_g13861.t1, bc2001_g10117.t1	bc2002_g16915.t1
OG0000008	bc2001_g14929.t1, bc2001_g14929.t2, bc2001_g3470.t1, bc2001_g7441.t1, bc2001_g6416.t1	bc2002_g10565.t1
OG0000008	bc2001_g3544.t1	bc2002_g7228.t1
OG0000008	bc2001_g3544.t2	bc2002_g5900.t1
OG0000008	bc2001_g3533.t1	bc2002_g7233.t1
OG0000008	bc2001_g8289.t1	bc2002_g182.t1
OG0000008	bc2001_g8268.t1	bc2002_g205.t1
OG0000008	bc2001_g15396.t1, bc2001_g7197.t1, bc2001_g16005.t1	bc2002_g11889.t1
OG0000008	bc2001_g11066.t1	bc2002_g15375.t1
OG0000008	bc2001_g13581.t1	bc2002_g9253.t1
OG0000008	bc2001_g3428.t2, bc2001_g3416.t1, bc2001_g3428.t1, bc2001_g17880.t1, bc2001_g391.t1, bc2001_g18918.t1, bc2001_g1829.t1, bc2001_g9318.t1, bc2001_g6165.t1, bc2001_g5624.t1, bc2001_g2274.t1	bc2002_g2118.t1
OG0000011	bc2001_g2305.t1	bc2002_g2150.t1, bc2002_g474.t1, bc2002_g3480.t1, bc2002_g5525.t1, bc2002_g17417.t1, bc2002_g1308.t1, bc2002_g14443.t1, bc2002_g16975.t1, bc2002_g5175.t1, bc2002_g14956.t1, bc2002_g18775.t1, bc2002_g9739.t1, bc2002_g19421.t1, bc2002_g6381.t1, bc2002_g171.t1, bc2002_g829.t1, bc2002_g7600.t1, bc2002_g12824.t1, bc2002_g5140.t1, bc2002_g3775.t1, bc2002_g1928.t1, bc2002_g8220.t1, bc2002_g897.t1, bc2002_g10075.t1, bc2002_g11641.t1, bc2002_g6867.t1, bc2002_g10632.t1, bc2002_g3428.t1, bc2002_g16416.t1, bc2002_g5857.t1, bc2002_g10866.t1, bc2002_g19133.t1, bc2002_g13026.t1, bc2002_g6309.t1, bc2002_g7161.t1, bc2002_g4426.t1, bc2002_g666.t1, bc2002_g18244.t1, bc2002_g13773.t1, bc2002_g7287.t1, bc2002_g14395.t1, bc2002_g1059.t1, bc2002_g17948.t1, bc2002_g9905.t1, bc2002_g2477.t1, bc2002_g3351.t1, bc2002_g5499.t1, bc2002_g9949.t1, bc2002_g112.t1, bc2002_g16084.t1, bc2002_g3451.t1, bc2002_g14883.t1, bc2002_g4092.t1, bc2002_g12124.t1, bc2002_g12139.t1, bc2002_g5968.t1, bc2002_g18785.t1, bc2002_g8911.t1, bc2002_g3016.t1, bc2002_g12321.t1, bc2002_g16295.t1, bc2002_g14798.t1, bc2002_g17165.t1, bc2002_g4535.t1, bc2002_g10932.t1, bc2002_g4452.t1, bc2002_g10520.t1, bc2002_g6601.t1, bc2002_g5476.t1, bc2002_g16515.t1, bc2002_g8476.t1, bc2002_g10004.t1, bc2002_g3970.t1, bc2002_g10461.t1, bc2002_g9006.t1, bc2002_g18714.t1, bc2002_g10664.t1, bc2002_g10431.t1, bc2002_g4309.t1, bc2002_g1557.t1, bc2002_g2507.t1, bc2002_g10589.t1, bc2002_g19165.t1
OG0000012	bc2001_g14176.t2, bc2001_g14176.t1	bc2002_g11083.t1
OG0000012	bc2001_g9358.t1	bc2002_g2382.t1
OG0000012	bc2001_g8222.t1	bc2002_g250.t1
OG0000012	bc2001_g10520.t1, bc2001_g4920.t2	bc2002_g775.t1, bc2002_g10879.t1
OG0000012	bc2001_g14259.t1	bc2002_g5695.t1
OG0000012	bc2001_g12838.t1	bc2002_g2950.t1
OG0000012	bc2001_g12845.t1	bc2002_g2943.t1
OG0000012	bc2001_g14254.t2	bc2002_g5690.t1
OG0000013	bc2001_g6591.t1	bc2002_g8695.t1
OG0000013	bc2001_g5555.t1	bc2002_g20092.t1
OG0000013	bc2001_g8816.t1	bc2002_g13516.t1, bc2002_g17331.t1, bc2002_g17378.t1
OG0000013	bc2001_g15850.t1	bc2002_g8098.t1, bc2002_g920.t1
OG0000013	bc2001_g13409.t1	bc2002_g1000.t1, bc2002_g18495.t1, bc2002_g14282.t1, bc2002_g13678.t1, bc2002_g357.t1, bc2002_g16240.t1, bc2002_g12770.t1, bc2002_g1426.t1, bc2002_g9914.t1, bc2002_g935.t1, bc2002_g3054.t1, bc2002_g13556.t1, bc2002_g4835.t1, bc2002_g17918.t1, bc2002_g1497.t1, bc2002_g14271.t1, bc2002_g807.t1, bc2002_g2342.t1, bc2002_g12376.t1, bc2002_g19931.t1, bc2002_g5055.t1, bc2002_g3039.t1, bc2002_g10348.t1, bc2002_g2486.t1, bc2002_g5780.t1, bc2002_g4908.t1, bc2002_g1874.t1, bc2002_g6942.t1, bc2002_g17036.t1, bc2002_g4518.t1, bc2002_g7712.t1, bc2002_g6760.t1, bc2002_g9629.t1, bc2002_g2590.t1, bc2002_g5710.t1, bc2002_g19088.t1, bc2002_g13585.t1, bc2002_g1895.t1, bc2002_g4100.t1, bc2002_g10408.t1, bc2002_g11360.t1, bc2002_g16575.t1, bc2002_g18918.t1, bc2002_g19172.t1
OG0000013	bc2001_g2058.t1	bc2002_g8274.t1
OG0000013	bc2001_g16538.t1	bc2002_g17666.t1
OG0000013	bc2001_g3557.t1	bc2002_g10702.t1, bc2002_g7213.t1
OG0000013	bc2001_g4168.t1	bc2002_g18017.t1
OG0000015	bc2001_g19425.t1	bc2002_g2788.t1
OG0000015	bc2001_g7191.t1	bc2002_g4911.t1
OG0000015	bc2001_g6809.t1	bc2002_g10345.t1
OG0000015	bc2001_g5409.t1	bc2002_g6945.t1
OG0000015	bc2001_g15966.t1	bc2002_g635.t1
OG0000015	bc2001_g4037.t1	bc2002_g1342.t1
OG0000015	bc2001_g563.t1	bc2002_g16590.t1
OG0000015	bc2001_g7316.t1, bc2001_g4157.t1	bc2002_g5052.t1, bc2002_g18005.t1
OG0000015	bc2001_g10492.t1	bc2002_g804.t1
OG0000015	bc2001_g14849.t1	bc2002_g2220.t1
OG0000015	bc2001_g14646.t1	bc2002_g2483.t1
OG0000015	bc2001_g15950.t1	bc2002_g657.t1
OG0000015	bc2001_g14624.t1, bc2001_g1994.t1	bc2002_g9632.t1
OG0000015	bc2001_g472.t1	bc2002_g1500.t1
OG0000015	bc2001_g15419.t1	bc2002_g10405.t1
OG0000015	bc2001_g17652.t1, bc2001_g13649.t1	bc2002_g5783.t1
OG0000015	bc2001_g12255.t1, bc2001_g11699.t1	bc2002_g12379.t1
OG0000015	bc2001_g18170.t1	bc2002_g4515.t1, bc2002_g15861.t1
OG0000015	bc2001_g5761.t1, bc2001_g3722.t1	bc2002_g19928.t1
OG0000015	bc2001_g16412.t1	bc2002_g5081.t1
OG0000015	bc2001_g14468.t1	bc2002_g14411.t1
OG0000020	bc2001_g2496.t2, bc2001_g2496.t1	bc2002_g14977.t1
OG0000020	bc2001_g528.t1	bc2002_g16498.t1
OG0000020	bc2001_g18812.t2	bc2002_g4567.t1
