Orthogroup	acastellanii_braker	bc2002_braker
OG0000181	acastellanii_g9394.t1, acastellanii_g9394.t2, acastellanii_g14187.t2, acastellanii_g14187.t1, acastellanii_g12699.t1, acastellanii_g12694.t1, acastellanii_g669.t1	bc2002_g19796.t1, bc2002_g12914.t1, bc2002_g15285.t1, bc2002_g1266.t1, bc2002_g17523.t1, bc2002_g16393.t1
OG0000182	acastellanii_g710.t1, acastellanii_g5721.t2, acastellanii_g5721.t1, acastellanii_g5725.t1, acastellanii_g5724.t1, acastellanii_g13084.t1	bc2002_g16840.t1, bc2002_g16830.t1, bc2002_g16703.t1
OG0000182	acastellanii_g13427.t1, acastellanii_g979.t1, acastellanii_g11098.t1	bc2002_g11581.t1
OG0000191	acastellanii_g10978.t1, acastellanii_g10978.t2, acastellanii_g6154.t1	bc2002_g5697.t1, bc2002_g8523.t1
OG0000192	acastellanii_g9639.t1, acastellanii_g9639.t2, acastellanii_g2536.t1, acastellanii_g2704.t1, acastellanii_g3188.t1, acastellanii_g14032.t1, acastellanii_g3968.t1	bc2002_g3326.t1, bc2002_g10813.t1, bc2002_g430.t1, bc2002_g3391.t1, bc2002_g3391.t2
OG0000193	acastellanii_g13271.t1	bc2002_g7977.t1
OG0000194	acastellanii_g5200.t1	bc2002_g2764.t1, bc2002_g19899.t1, bc2002_g4472.t1, bc2002_g9605.t1, bc2002_g5155.t1, bc2002_g11603.t1, bc2002_g3330.t1
OG0000195	acastellanii_g4908.t1	bc2002_g12399.t1, bc2002_g13932.t1
OG0000206	acastellanii_g9263.t1, acastellanii_g6455.t1, acastellanii_g4515.t1, acastellanii_g5986.t1, acastellanii_g5508.t1, acastellanii_g9262.t1	bc2002_g14478.t1
OG0000223	acastellanii_g10807.t1	bc2002_g13605.t1
OG0000223	acastellanii_g7378.t1, acastellanii_g13174.t1, acastellanii_g9591.t1	bc2002_g1985.t1, bc2002_g1974.t1
OG0000224	acastellanii_g2119.t1, acastellanii_g12413.t1, acastellanii_g12412.t1, acastellanii_g12724.t1, acastellanii_g12431.t1, acastellanii_g9528.t1, acastellanii_g7302.t1, acastellanii_g1709.t1, acastellanii_g7213.t1, acastellanii_g3000.t1	bc2002_g11757.t1
OG0000226	acastellanii_g10506.t1, acastellanii_g10506.t2	bc2002_g6536.t1
OG0000226	acastellanii_g12477.t1	bc2002_g11225.t1
OG0000227	acastellanii_g2323.t1, acastellanii_g6551.t2	bc2002_g16284.t1
OG0000227	acastellanii_g9824.t1, acastellanii_g10591.t1, acastellanii_g7092.t1	bc2002_g4410.t1, bc2002_g13363.t1, bc2002_g4605.t1
OG0000228	acastellanii_g5201.t1	bc2002_g19840.t1, bc2002_g6784.t1, bc2002_g12071.t1, bc2002_g10556.t1, bc2002_g10035.t1, bc2002_g15884.t1, bc2002_g9360.t1
OG0000229	acastellanii_g3986.t1, acastellanii_g3986.t2	bc2002_g2971.t1, bc2002_g2971.t2, bc2002_g13875.t1, bc2002_g15558.t2, bc2002_g15558.t1, bc2002_g8261.t1
OG0000230	acastellanii_g3924.t1	bc2002_g15287.t1, bc2002_g17400.t1, bc2002_g18831.t1, bc2002_g9120.t1, bc2002_g15898.t1, bc2002_g3992.t1
OG0000231	acastellanii_g3079.t2, acastellanii_g3079.t1, acastellanii_g3075.t1	bc2002_g19811.t1
OG0000232	acastellanii_g2850.t1	bc2002_g8940.t1, bc2002_g11048.t1, bc2002_g11048.t2, bc2002_g11048.t3, bc2002_g7885.t1, bc2002_g3303.t1
OG0000248	acastellanii_g12983.t1	bc2002_g929.t1, bc2002_g18780.t2, bc2002_g18780.t1, bc2002_g4510.t1, bc2002_g11371.t1, bc2002_g12512.t1, bc2002_g2530.t1
OG0000250	acastellanii_g7819.t1, acastellanii_g5723.t1, acastellanii_g5719.t1, acastellanii_g6840.t1, acastellanii_g12558.t1, acastellanii_g9806.t1, acastellanii_g9807.t1	bc2002_g9445.t1, bc2002_g9558.t1, bc2002_g7858.t2, bc2002_g7858.t1
OG0000252	acastellanii_g11673.t1, acastellanii_g7450.t1	bc2002_g2894.t1, bc2002_g17481.t1, bc2002_g17481.t2
OG0000254	acastellanii_g11138.t1	bc2002_g1655.t3, bc2002_g1655.t2, bc2002_g1655.t1
OG0000256	acastellanii_g7294.t1, acastellanii_g10175.t2, acastellanii_g10175.t1, acastellanii_g10175.t3	bc2002_g17820.t1, bc2002_g17820.t2, bc2002_g18598.t1
OG0000257	acastellanii_g942.t1	bc2002_g17226.t1
OG0000257	acastellanii_g3017.t1, acastellanii_g8027.t1	bc2002_g7758.t1
OG0000257	acastellanii_g3279.t1	bc2002_g17700.t1
OG0000258	acastellanii_g7437.t1	bc2002_g19199.t1
OG0000259	acastellanii_g4710.t1	bc2002_g5759.t1, bc2002_g3526.t1, bc2002_g1848.t1, bc2002_g17359.t1, bc2002_g15264.t1, bc2002_g7891.t1
OG0000271	acastellanii_g8099.t1	bc2002_g2967.t1
OG0000271	acastellanii_g10453.t1	bc2002_g9423.t1, bc2002_g12787.t1
OG0000272	acastellanii_g13228.t1, acastellanii_g6734.t1	bc2002_g19464.t1
OG0000274	acastellanii_g8189.t1, acastellanii_g12742.t1, acastellanii_g3847.t1	bc2002_g10286.t1, bc2002_g7763.t1, bc2002_g6401.t1
OG0000275	acastellanii_g901.t1, acastellanii_g148.t1, acastellanii_g3527.t1	bc2002_g7.t2, bc2002_g46.t1, bc2002_g46.t2, bc2002_g46.t3, bc2002_g7.t1
OG0000275	acastellanii_g12192.t2, acastellanii_g12192.t1	bc2002_g6960.t1
OG0000276	acastellanii_g3730.t1, acastellanii_g3730.t2, acastellanii_g3729.t1, acastellanii_g11430.t1, acastellanii_g1977.t1, acastellanii_g10481.t1, acastellanii_g10481.t2, acastellanii_g1140.t1, acastellanii_g3400.t1	bc2002_g11749.t1
OG0000277	acastellanii_g10680.t1, acastellanii_g9056.t1, acastellanii_g5989.t1	bc2002_g10381.t1, bc2002_g10454.t1, bc2002_g9367.t1
OG0000290	acastellanii_g1516.t1, acastellanii_g2549.t1	bc2002_g11584.t1
OG0000290	acastellanii_g807.t3, acastellanii_g807.t2, acastellanii_g807.t1	bc2002_g8259.t1
OG0000290	acastellanii_g13636.t1	bc2002_g451.t1
OG0000291	acastellanii_g388.t1	bc2002_g5117.t1
OG0000291	acastellanii_g13974.t3	bc2002_g10528.t1
OG0000292	acastellanii_g13989.t1, acastellanii_g2169.t1, acastellanii_g4249.t1, acastellanii_g8245.t1	bc2002_g5919.t1, bc2002_g4415.t1, bc2002_g2524.t1
OG0000293	acastellanii_g13182.t1	bc2002_g8131.t1, bc2002_g8441.t1, bc2002_g6122.t1, bc2002_g19837.t1, bc2002_g8442.t1, bc2002_g4544.t1, bc2002_g4781.t1, bc2002_g19753.t1
OG0000294	acastellanii_g11533.t1, acastellanii_g13211.t1, acastellanii_g13211.t2, acastellanii_g13211.t3, acastellanii_g12848.t1, acastellanii_g12848.t2, acastellanii_g91.t1, acastellanii_g691.t1, acastellanii_g8541.t1	bc2002_g6803.t1
OG0000295	acastellanii_g9635.t2, acastellanii_g9635.t1, acastellanii_g12656.t1	bc2002_g20025.t1
OG0000295	acastellanii_g7266.t1	bc2002_g8544.t2, bc2002_g8544.t1
OG0000296	acastellanii_g12038.t2, acastellanii_g12038.t1, acastellanii_g3684.t1	bc2002_g3784.t1
OG0000296	acastellanii_g3166.t1	bc2002_g14544.t1, bc2002_g3279.t1
OG0000297	acastellanii_g4514.t1, acastellanii_g5985.t1, acastellanii_g2399.t1, acastellanii_g3067.t1, acastellanii_g12198.t1, acastellanii_g10995.t1, acastellanii_g1310.t2, acastellanii_g1310.t1, acastellanii_g7113.t1, acastellanii_g9739.t1	bc2002_g4195.t1
OG0000299	acastellanii_g1723.t1	bc2002_g14642.t1
OG0000299	acastellanii_g5005.t1, acastellanii_g5013.t2, acastellanii_g5013.t1	bc2002_g12565.t1
OG0000325	acastellanii_g2260.t1, acastellanii_g11861.t1	bc2002_g4212.t1
OG0000325	acastellanii_g4462.t1, acastellanii_g13666.t1, acastellanii_g10787.t1, acastellanii_g11025.t1, acastellanii_g4084.t1, acastellanii_g4076.t1	bc2002_g6448.t1
OG0000328	acastellanii_g9111.t2, acastellanii_g9111.t1	bc2002_g16438.t1, bc2002_g11209.t1, bc2002_g13151.t1
OG0000329	acastellanii_g2463.t1, acastellanii_g12079.t1, acastellanii_g6253.t1, acastellanii_g7964.t1, acastellanii_g2153.t1, acastellanii_g2870.t1, acastellanii_g3498.t1	bc2002_g8459.t1
OG0000330	acastellanii_g12110.t1, acastellanii_g3198.t1, acastellanii_g6845.t4, acastellanii_g519.t2, acastellanii_g519.t1, acastellanii_g9419.t1, acastellanii_g6845.t1, acastellanii_g6845.t3, acastellanii_g6845.t2, acastellanii_g2036.t1	bc2002_g16391.t2, bc2002_g16391.t1
OG0000331	acastellanii_g3659.t1	bc2002_g5924.t2, bc2002_g5924.t1
OG0000331	acastellanii_g11076.t1	bc2002_g18909.t1
OG0000333	acastellanii_g8728.t1	bc2002_g9712.t2, bc2002_g9606.t1, bc2002_g9712.t1, bc2002_g1416.t1, bc2002_g19102.t1
OG0000334	acastellanii_g5737.t1, acastellanii_g8557.t1, acastellanii_g3389.t1	bc2002_g1092.t1
OG0000335	acastellanii_g7999.t1	bc2002_g12681.t2, bc2002_g4257.t2, bc2002_g4257.t1, bc2002_g12681.t1
OG0000336	acastellanii_g7787.t1	bc2002_g3951.t1, bc2002_g14121.t1, bc2002_g13608.t1
OG0000356	acastellanii_g13972.t1, acastellanii_g3743.t1, acastellanii_g2322.t1, acastellanii_g12931.t1, acastellanii_g7244.t1, acastellanii_g7371.t2, acastellanii_g7371.t1, acastellanii_g7042.t1	bc2002_g10313.t1, bc2002_g10312.t1
OG0000357	acastellanii_g3289.t1, acastellanii_g13518.t1, acastellanii_g119.t1, acastellanii_g3124.t1	bc2002_g17490.t1, bc2002_g17490.t2, bc2002_g12445.t1
OG0000358	acastellanii_g10962.t1, acastellanii_g13187.t1, acastellanii_g13187.t2	bc2002_g2355.t1, bc2002_g4994.t1, bc2002_g7966.t1
OG0000359	acastellanii_g3759.t1, acastellanii_g3761.t1	bc2002_g3653.t1
OG0000359	acastellanii_g7641.t1, acastellanii_g13307.t1, acastellanii_g11328.t1, acastellanii_g5400.t1	bc2002_g11662.t1, bc2002_g11662.t2
OG0000360	acastellanii_g13402.t1	bc2002_g1656.t1, bc2002_g5896.t1, bc2002_g6837.t1, bc2002_g12258.t1
OG0000361	acastellanii_g12470.t1	bc2002_g15020.t1
OG0000361	acastellanii_g13039.t1	bc2002_g7680.t1
OG0000363	acastellanii_g11620.t5, acastellanii_g11620.t1, acastellanii_g11620.t3, acastellanii_g11620.t4, acastellanii_g11620.t2	bc2002_g19094.t1
OG0000364	acastellanii_g3719.t1	bc2002_g5920.t1
OG0000364	acastellanii_g11509.t1, acastellanii_g539.t1	bc2002_g403.t1
OG0000365	acastellanii_g10426.t1, acastellanii_g11414.t2, acastellanii_g11414.t1	bc2002_g17469.t1, bc2002_g772.t1, bc2002_g2236.t1, bc2002_g11222.t1
OG0000366	acastellanii_g1046.t1, acastellanii_g10961.t1, acastellanii_g9376.t1, acastellanii_g3120.t1, acastellanii_g5478.t1	bc2002_g4922.t1, bc2002_g1777.t1, bc2002_g12056.t1, bc2002_g5796.t1, bc2002_g3564.t1
OG0000367	acastellanii_g10499.t1, acastellanii_g9934.t1, acastellanii_g9935.t1	bc2002_g4881.t1, bc2002_g20116.t1
OG0000368	acastellanii_g9703.t1, acastellanii_g9703.t2, acastellanii_g6726.t2, acastellanii_g6726.t1	bc2002_g4277.t2, bc2002_g4277.t1, bc2002_g4238.t1, bc2002_g19300.t1
OG0000369	acastellanii_g8865.t1, acastellanii_g8869.t1, acastellanii_g8866.t1, acastellanii_g8867.t1, acastellanii_g8870.t1, acastellanii_g8875.t1	bc2002_g16197.t1
OG0000370	acastellanii_g8606.t3, acastellanii_g8606.t2, acastellanii_g8606.t1	bc2002_g11577.t1
OG0000371	acastellanii_g7584.t1, acastellanii_g2283.t1, acastellanii_g2283.t2, acastellanii_g6121.t1	bc2002_g14475.t1
OG0000372	acastellanii_g295.t3, acastellanii_g295.t1, acastellanii_g3613.t1, acastellanii_g3611.t1, acastellanii_g295.t2, acastellanii_g3612.t1	bc2002_g18025.t1
OG0000393	acastellanii_g12575.t2, acastellanii_g12575.t1	bc2002_g9223.t1
OG0000393	acastellanii_g14086.t1, acastellanii_g2476.t1	bc2002_g12197.t1
OG0000395	acastellanii_g13166.t1	bc2002_g13797.t1
OG0000396	acastellanii_g2998.t1, acastellanii_g12838.t1, acastellanii_g10992.t1, acastellanii_g8447.t1, acastellanii_g536.t1	bc2002_g10292.t2, bc2002_g10292.t1
OG0000397	acastellanii_g8104.t2, acastellanii_g8104.t1	bc2002_g2145.t1
OG0000397	acastellanii_g12282.t1, acastellanii_g9831.t1, acastellanii_g4935.t1	bc2002_g9222.t2, bc2002_g9222.t1
OG0000398	acastellanii_g10614.t1, acastellanii_g10614.t2	bc2002_g17499.t1
OG0000398	acastellanii_g5147.t1	bc2002_g7969.t1
OG0000399	acastellanii_g567.t2, acastellanii_g567.t1	bc2002_g18892.t1
OG0000400	acastellanii_g2481.t1, acastellanii_g2482.t1, acastellanii_g1688.t1	bc2002_g9397.t1
OG0000402	acastellanii_g7349.t1	bc2002_g12096.t1
OG0000402	acastellanii_g10069.t1	bc2002_g200.t1
OG0000403	acastellanii_g3438.t1, acastellanii_g1378.t1, acastellanii_g10207.t1	bc2002_g19142.t2, bc2002_g19142.t1
OG0000404	acastellanii_g8328.t1, acastellanii_g8328.t2	bc2002_g19365.t2, bc2002_g19365.t1
OG0000404	acastellanii_g9880.t1, acastellanii_g9880.t2	bc2002_g16126.t1
OG0000405	acastellanii_g2100.t2, acastellanii_g2100.t1, acastellanii_g8563.t1, acastellanii_g7269.t1, acastellanii_g5979.t1	bc2002_g12564.t2, bc2002_g12564.t1
OG0000406	acastellanii_g7626.t1	bc2002_g16530.t1
OG0000406	acastellanii_g29.t1, acastellanii_g441.t1	bc2002_g13576.t1
OG0000407	acastellanii_g5377.t2, acastellanii_g5377.t1, acastellanii_g6716.t1, acastellanii_g6717.t1, acastellanii_g6713.t2, acastellanii_g6713.t1	bc2002_g11105.t2, bc2002_g11105.t1, bc2002_g14991.t1
OG0000408	acastellanii_g5090.t1, acastellanii_g5388.t1	bc2002_g17353.t2, bc2002_g17353.t1, bc2002_g10532.t1, bc2002_g10531.t1
OG0000409	acastellanii_g407.t1	bc2002_g18885.t1
OG0000435	acastellanii_g14239.t1, acastellanii_g1333.t1	bc2002_g2272.t4
OG0000435	acastellanii_g409.t1, acastellanii_g224.t1	bc2002_g2272.t3, bc2002_g2272.t2, bc2002_g2272.t1
OG0000436	acastellanii_g10159.t2, acastellanii_g10159.t1	bc2002_g6957.t1
OG0000436	acastellanii_g13674.t1	bc2002_g180.t1
OG0000438	acastellanii_g13100.t1	bc2002_g12578.t1, bc2002_g12578.t2, bc2002_g19290.t1
OG0000439	acastellanii_g4501.t1	bc2002_g9323.t1
OG0000439	acastellanii_g1485.t1	bc2002_g3943.t1
OG0000440	acastellanii_g12824.t1	bc2002_g18121.t2, bc2002_g18121.t1
OG0000440	acastellanii_g2420.t1	bc2002_g6193.t1, bc2002_g6193.t2
OG0000442	acastellanii_g7037.t1, acastellanii_g11836.t1	bc2002_g5946.t1, bc2002_g18363.t1, bc2002_g6801.t1
OG0000443	acastellanii_g11951.t1	bc2002_g5934.t1
OG0000444	acastellanii_g12088.t1	bc2002_g1084.t1
OG0000444	acastellanii_g6202.t3, acastellanii_g6202.t1, acastellanii_g6202.t2, acastellanii_g6202.t4, acastellanii_g6202.t5	bc2002_g16762.t1
OG0000445	acastellanii_g12096.t1	bc2002_g11109.t1, bc2002_g16727.t1, bc2002_g13455.t1
OG0000447	acastellanii_g10587.t1, acastellanii_g1259.t1, acastellanii_g10586.t1	bc2002_g9885.t1, bc2002_g13934.t1
OG0000448	acastellanii_g10388.t1, acastellanii_g10383.t1	bc2002_g16379.t1
OG0000450	acastellanii_g9540.t1	bc2002_g2104.t2, bc2002_g2104.t1
OG0000450	acastellanii_g1357.t1	bc2002_g2103.t1
OG0000451	acastellanii_g9239.t1	bc2002_g4606.t1, bc2002_g11336.t1, bc2002_g18745.t1, bc2002_g12728.t1
OG0000452	acastellanii_g8741.t1	bc2002_g10287.t1, bc2002_g7764.t1
OG0000453	acastellanii_g6501.t1	bc2002_g12743.t1
OG0000453	acastellanii_g2838.t1, acastellanii_g8112.t1, acastellanii_g8112.t2	bc2002_g19259.t1
OG0000455	acastellanii_g7916.t1, acastellanii_g4349.t1, acastellanii_g7848.t1	bc2002_g9088.t1
OG0000455	acastellanii_g4460.t1, acastellanii_g4121.t1	bc2002_g17315.t1
OG0000458	acastellanii_g5984.t1, acastellanii_g4306.t1, acastellanii_g6339.t1	bc2002_g8506.t3, bc2002_g8506.t2, bc2002_g8506.t4, bc2002_g8506.t1
OG0000460	acastellanii_g6434.t1	bc2002_g7281.t1, bc2002_g7281.t2, bc2002_g15687.t1, bc2002_g15670.t1
OG0000461	acastellanii_g5767.t1	bc2002_g17519.t1
OG0000462	acastellanii_g3757.t1, acastellanii_g2823.t1	bc2002_g8864.t2, bc2002_g8864.t1, bc2002_g19559.t2, bc2002_g19559.t1
OG0000463	acastellanii_g833.t1	bc2002_g15685.t1, bc2002_g15672.t1
OG0000465	acastellanii_g174.t1	bc2002_g15372.t1
OG0000466	acastellanii_g9.t1	bc2002_g12818.t1, bc2002_g15360.t1, bc2002_g12395.t1, bc2002_g15518.t1
OG0000501	acastellanii_g10361.t1	bc2002_g19807.t3, bc2002_g19807.t1, bc2002_g19807.t2
OG0000502	acastellanii_g13758.t1	bc2002_g2853.t1
