Orthogroup	acastellanii_braker	bc2001_braker
OG0000256	acastellanii_g7294.t1, acastellanii_g10175.t2, acastellanii_g10175.t1, acastellanii_g10175.t3	bc2001_g15559.t1, bc2001_g15559.t3
OG0000257	acastellanii_g942.t1	bc2001_g8664.t1
OG0000257	acastellanii_g3017.t1, acastellanii_g8027.t1	bc2001_g17133.t1
OG0000257	acastellanii_g3279.t1	bc2001_g16504.t1
OG0000258	acastellanii_g7437.t1	bc2001_g13439.t1
OG0000259	acastellanii_g4710.t1	bc2001_g12040.t1, bc2001_g14329.t1, bc2001_g1555.t1, bc2001_g8796.t1, bc2001_g6383.t1, bc2001_g16978.t1
OG0000271	acastellanii_g8099.t1	bc2001_g12821.t1
OG0000271	acastellanii_g10453.t1	bc2001_g8454.t1, bc2001_g3879.t1
OG0000272	acastellanii_g13228.t1, acastellanii_g6734.t1	bc2001_g17365.t1, bc2001_g17365.t2
OG0000274	acastellanii_g8189.t1, acastellanii_g12742.t1, acastellanii_g3847.t1	bc2001_g17140.t1, bc2001_g11087.t1, bc2001_g7784.t1
OG0000275	acastellanii_g901.t1, acastellanii_g148.t1, acastellanii_g3527.t1	bc2001_g18770.t3, bc2001_g18730.t4
OG0000275	acastellanii_g12192.t2, acastellanii_g12192.t1	bc2001_g5424.t1
OG0000276	acastellanii_g3730.t1, acastellanii_g3730.t2, acastellanii_g3729.t1, acastellanii_g11430.t1, acastellanii_g1977.t1, acastellanii_g10481.t1, acastellanii_g10481.t2, acastellanii_g1140.t1, acastellanii_g3400.t1	bc2001_g331.t1
OG0000277	acastellanii_g10680.t1, acastellanii_g9056.t1, acastellanii_g5989.t1	bc2001_g4458.t1, bc2001_g465.t1, bc2001_g8394.t1
OG0000278	acastellanii_g2335.t1, acastellanii_g4494.t1, acastellanii_g8020.t1	bc2001_g8692.t3
OG0000290	acastellanii_g1516.t1, acastellanii_g2549.t1	bc2001_g2932.t1, bc2001_g2932.t2
OG0000290	acastellanii_g807.t3, acastellanii_g807.t2, acastellanii_g807.t1	bc2001_g2044.t3
OG0000290	acastellanii_g13636.t1	bc2001_g17794.t1
OG0000291	acastellanii_g13974.t3	bc2001_g4383.t1, bc2001_g10802.t1, bc2001_g4383.t2, bc2001_g10802.t2
OG0000292	acastellanii_g13989.t1, acastellanii_g2169.t1, acastellanii_g4249.t1, acastellanii_g8245.t1	bc2001_g3110.t1, bc2001_g14827.t1, bc2001_g11362.t2, bc2001_g11362.t3, bc2001_g11362.t1
OG0000293	acastellanii_g13182.t1	bc2001_g16174.t1, bc2001_g17833.t1, bc2001_g18551.t1, bc2001_g18834.t1, bc2001_g3645.t1, bc2001_g7067.t1, bc2001_g5056.t1
OG0000294	acastellanii_g11533.t1, acastellanii_g13211.t1, acastellanii_g13211.t2, acastellanii_g13211.t3, acastellanii_g12848.t1, acastellanii_g12848.t2, acastellanii_g91.t1, acastellanii_g691.t1, acastellanii_g8541.t1	bc2001_g5275.t1
OG0000295	acastellanii_g9635.t2, acastellanii_g9635.t1, acastellanii_g12656.t1	bc2001_g5620.t1
OG0000295	acastellanii_g7266.t1	bc2001_g16275.t1, bc2001_g16275.t2
OG0000296	acastellanii_g12038.t2, acastellanii_g12038.t1, acastellanii_g3684.t1	bc2001_g4788.t2, bc2001_g4788.t1
OG0000296	acastellanii_g3166.t1	bc2001_g13809.t1, bc2001_g16889.t1
OG0000297	acastellanii_g4514.t1, acastellanii_g5985.t1, acastellanii_g2399.t1, acastellanii_g3067.t1, acastellanii_g12198.t1, acastellanii_g10995.t1, acastellanii_g1310.t2, acastellanii_g1310.t1, acastellanii_g7113.t1, acastellanii_g9739.t1	bc2001_g1129.t1
OG0000298	acastellanii_g10810.t1, acastellanii_g11576.t1, acastellanii_g11576.t2, acastellanii_g9374.t2, acastellanii_g9374.t1	bc2001_g10861.t1
OG0000299	acastellanii_g1723.t1	bc2001_g13897.t1
OG0000299	acastellanii_g5005.t1, acastellanii_g5013.t2, acastellanii_g5013.t1	bc2001_g11517.t1
OG0000325	acastellanii_g2260.t1, acastellanii_g11861.t1	bc2001_g1114.t1
OG0000325	acastellanii_g4462.t1, acastellanii_g13666.t1, acastellanii_g10787.t1, acastellanii_g11025.t1, acastellanii_g4084.t1, acastellanii_g4076.t1	bc2001_g4550.t1
OG0000328	acastellanii_g9111.t2, acastellanii_g9111.t1	bc2001_g17607.t1, bc2001_g914.t1, bc2001_g11913.t1
OG0000329	acastellanii_g2463.t1, acastellanii_g12079.t1, acastellanii_g6253.t1, acastellanii_g7964.t1, acastellanii_g2153.t1, acastellanii_g2870.t1, acastellanii_g3498.t1	bc2001_g16188.t1
OG0000330	acastellanii_g12110.t1, acastellanii_g3198.t1, acastellanii_g6845.t4, acastellanii_g519.t2, acastellanii_g519.t1, acastellanii_g9419.t1, acastellanii_g6845.t1, acastellanii_g6845.t3, acastellanii_g6845.t2, acastellanii_g2036.t1	bc2001_g13127.t1
OG0000331	acastellanii_g3659.t1	bc2001_g3106.t4, bc2001_g3106.t1, bc2001_g3106.t2
OG0000331	acastellanii_g11076.t1	bc2001_g15187.t1
OG0000333	acastellanii_g8728.t1	bc2001_g14676.t1, bc2001_g4537.t1, bc2001_g14775.t1, bc2001_g4530.t1, bc2001_g14674.t1, bc2001_g14996.t2, bc2001_g14996.t1
OG0000334	acastellanii_g5737.t1, acastellanii_g8557.t1, acastellanii_g3389.t1	bc2001_g5922.t1
OG0000335	acastellanii_g7999.t1	bc2001_g11406.t3, bc2001_g1073.t2, bc2001_g1073.t1, bc2001_g11406.t1, bc2001_g11406.t2
OG0000336	acastellanii_g7787.t1	bc2001_g3501.t1, bc2001_g1763.t2, bc2001_g1763.t1, bc2001_g7667.t1, bc2001_g18657.t1
OG0000356	acastellanii_g13972.t1, acastellanii_g3743.t1, acastellanii_g2322.t1, acastellanii_g12931.t1, acastellanii_g7244.t1, acastellanii_g7371.t2, acastellanii_g7371.t1, acastellanii_g7042.t1	bc2001_g6777.t2, bc2001_g6777.t1, bc2001_g6776.t1
OG0000357	acastellanii_g3289.t1, acastellanii_g13518.t1, acastellanii_g119.t1, acastellanii_g3124.t1	bc2001_g16715.t1, bc2001_g16715.t2, bc2001_g11631.t1
OG0000358	acastellanii_g10962.t1, acastellanii_g13187.t1, acastellanii_g13187.t2	bc2001_g9391.t1, bc2001_g7264.t1, bc2001_g7264.t2, bc2001_g17051.t1
OG0000359	acastellanii_g3759.t1, acastellanii_g3761.t1	bc2001_g13933.t1
OG0000359	acastellanii_g7641.t1, acastellanii_g13307.t1, acastellanii_g11328.t1, acastellanii_g5400.t1	bc2001_g413.t3, bc2001_g413.t1, bc2001_g413.t2
OG0000360	acastellanii_g13402.t1	bc2001_g608.t1, bc2001_g15306.t1, bc2001_g5308.t2, bc2001_g5308.t1, bc2001_g12106.t1
OG0000361	acastellanii_g12470.t1	bc2001_g10719.t1
OG0000361	acastellanii_g13039.t1	bc2001_g12970.t2, bc2001_g12970.t1
OG0000363	acastellanii_g11620.t5, acastellanii_g11620.t1, acastellanii_g11620.t3, acastellanii_g11620.t4, acastellanii_g11620.t2	bc2001_g15004.t1
OG0000364	acastellanii_g3719.t1	bc2001_g3109.t1
OG0000364	acastellanii_g11509.t1, acastellanii_g539.t1	bc2001_g17838.t1, bc2001_g17838.t3, bc2001_g17838.t2
OG0000365	acastellanii_g10426.t1, acastellanii_g11414.t2, acastellanii_g11414.t1	bc2001_g16735.t1, bc2001_g10523.t1, bc2001_g2384.t1, bc2001_g900.t1
OG0000366	acastellanii_g1046.t1, acastellanii_g10961.t1, acastellanii_g9376.t1, acastellanii_g3120.t1, acastellanii_g5478.t1	bc2001_g7201.t1, bc2001_g12308.t1, bc2001_g13659.t1, bc2001_g6348.t2, bc2001_g6348.t1
OG0000367	acastellanii_g10499.t1, acastellanii_g9934.t1, acastellanii_g9935.t1	bc2001_g7168.t1, bc2001_g5529.t2, bc2001_g5529.t1
OG0000368	acastellanii_g9703.t1, acastellanii_g9703.t2, acastellanii_g6726.t2, acastellanii_g6726.t1	bc2001_g1052.t1, bc2001_g1091.t1, bc2001_g7822.t1
OG0000369	acastellanii_g8865.t1, acastellanii_g8869.t1, acastellanii_g8866.t1, acastellanii_g8867.t1, acastellanii_g8870.t1, acastellanii_g8875.t1	bc2001_g18495.t1
OG0000370	acastellanii_g8606.t3, acastellanii_g8606.t2, acastellanii_g8606.t1	bc2001_g2927.t1
OG0000371	acastellanii_g7584.t1, acastellanii_g2283.t1, acastellanii_g2283.t2, acastellanii_g6121.t1	bc2001_g13740.t1
OG0000372	acastellanii_g295.t3, acastellanii_g295.t1, acastellanii_g3613.t1, acastellanii_g3611.t1, acastellanii_g295.t2, acastellanii_g3612.t1	bc2001_g3505.t1, bc2001_g4177.t1, bc2001_g3324.t1
OG0000393	acastellanii_g12575.t2, acastellanii_g12575.t1	bc2001_g13549.t1
OG0000393	acastellanii_g14086.t1, acastellanii_g2476.t1	bc2001_g12168.t1
OG0000395	acastellanii_g13166.t1	bc2001_g1257.t1, bc2001_g1257.t2, bc2001_g1257.t3
OG0000396	acastellanii_g2998.t1, acastellanii_g12838.t1, acastellanii_g10992.t1, acastellanii_g8447.t1, acastellanii_g536.t1	bc2001_g461.t1, bc2001_g456.t1, bc2001_g461.t2, bc2001_g456.t2
OG0000397	acastellanii_g8104.t2, acastellanii_g8104.t1	bc2001_g2299.t1
OG0000397	acastellanii_g12282.t1, acastellanii_g9831.t1, acastellanii_g4935.t1	bc2001_g13548.t2, bc2001_g13548.t1
OG0000398	acastellanii_g10614.t1, acastellanii_g10614.t2	bc2001_g16707.t1
OG0000398	acastellanii_g5147.t1	bc2001_g17054.t1, bc2001_g17054.t2
OG0000399	acastellanii_g567.t2, acastellanii_g567.t1	bc2001_g2749.t2, bc2001_g2749.t1
OG0000400	acastellanii_g2481.t1, acastellanii_g2482.t1, acastellanii_g1688.t1	bc2001_g8428.t2, bc2001_g8428.t1
OG0000402	acastellanii_g7349.t1	bc2001_g12266.t1
OG0000402	acastellanii_g10069.t1	bc2001_g8272.t1
OG0000403	acastellanii_g3438.t1, acastellanii_g1378.t1, acastellanii_g10207.t1	bc2001_g479.t2, bc2001_g479.t1
OG0000403	acastellanii_g2483.t1	bc2001_g17892.t1, bc2001_g17892.t2
OG0000404	acastellanii_g8328.t1, acastellanii_g8328.t2	bc2001_g14926.t1
OG0000404	acastellanii_g9880.t1, acastellanii_g9880.t2	bc2001_g18430.t1
OG0000405	acastellanii_g2100.t2, acastellanii_g2100.t1, acastellanii_g8563.t1, acastellanii_g7269.t1, acastellanii_g5979.t1	bc2001_g11518.t2, bc2001_g11518.t1
OG0000406	acastellanii_g7626.t1	bc2001_g546.t2, bc2001_g546.t1
OG0000406	acastellanii_g29.t1, acastellanii_g441.t1	bc2001_g18625.t1, bc2001_g18625.t2
OG0000407	acastellanii_g5377.t2, acastellanii_g5377.t1, acastellanii_g6716.t1, acastellanii_g6717.t1, acastellanii_g6713.t2, acastellanii_g6713.t1	bc2001_g1009.t1, bc2001_g2482.t1, bc2001_g2482.t2
OG0000408	acastellanii_g5090.t1, acastellanii_g5388.t1	bc2001_g8789.t2, bc2001_g8789.t1, bc2001_g10799.t1
OG0000409	acastellanii_g407.t1	bc2001_g2742.t1, bc2001_g2742.t2
OG0000435	acastellanii_g14239.t1, acastellanii_g1333.t1	bc2001_g2421.t1
OG0000435	acastellanii_g409.t1, acastellanii_g224.t1	bc2001_g2420.t1
OG0000436	acastellanii_g10159.t2, acastellanii_g10159.t1	bc2001_g5421.t1
OG0000436	acastellanii_g13674.t1	bc2001_g8291.t1
OG0000438	acastellanii_g13100.t1	bc2001_g11503.t1, bc2001_g11504.t1, bc2001_g11504.t2, bc2001_g7831.t1
OG0000439	acastellanii_g4501.t1	bc2001_g10787.t1
OG0000439	acastellanii_g1485.t1	bc2001_g1749.t1
OG0000440	acastellanii_g12824.t1	bc2001_g9717.t2, bc2001_g9717.t1
OG0000440	acastellanii_g2420.t1	bc2001_g17949.t1, bc2001_g17949.t2
