Orthogroup	acastellanii_braker	bc2001_braker	bc2002_braker	dicty_braker	vvermcdc19_braker
OG0019320	acastellanii_g13809.t1				
OG0019321	acastellanii_g13825.t1				
OG0019322	acastellanii_g13826.t1				
OG0019323	acastellanii_g13831.t1				
OG0019324	acastellanii_g13841.t1				
OG0019325	acastellanii_g13844.t1				
OG0019326	acastellanii_g13848.t1				
OG0019327	acastellanii_g13857.t1				
OG0019328	acastellanii_g13865.t1				
OG0019329	acastellanii_g13871.t1				
OG0019330	acastellanii_g13873.t1				
OG0019331	acastellanii_g13892.t1				
OG0019332	acastellanii_g13899.t1				
OG0019333	acastellanii_g13910.t1				
OG0019334	acastellanii_g13913.t1				
OG0019335	acastellanii_g13914.t1				
OG0019336	acastellanii_g13919.t1				
OG0019337	acastellanii_g13920.t1				
OG0019338	acastellanii_g13942.t1				
OG0019339	acastellanii_g13949.t1				
OG0019340	acastellanii_g13954.t1				
OG0019341	acastellanii_g13961.t1				
OG0019342	acastellanii_g13963.t1				
OG0019343	acastellanii_g13965.t1				
OG0019344	acastellanii_g13969.t1				
OG0019345	acastellanii_g13971.t1				
OG0019346	acastellanii_g13978.t1				
OG0019347	acastellanii_g13983.t1				
OG0019348	acastellanii_g13984.t1				
OG0019349	acastellanii_g13986.t1				
OG0019350	acastellanii_g13987.t1				
OG0019351	acastellanii_g13996.t1				
OG0019352	acastellanii_g13997.t1				
OG0019353	acastellanii_g13998.t1				
OG0019354	acastellanii_g14000.t1				
OG0019355	acastellanii_g14003.t1				
OG0019356	acastellanii_g14008.t1				
OG0019357	acastellanii_g14011.t1				
OG0019358	acastellanii_g14015.t1				
OG0019359	acastellanii_g14016.t1				
OG0019360	acastellanii_g14018.t1				
OG0019361	acastellanii_g14026.t1				
OG0019362	acastellanii_g14030.t1				
OG0019363	acastellanii_g14033.t1				
OG0019364	acastellanii_g14040.t1				
OG0019365	acastellanii_g14041.t1				
OG0019366	acastellanii_g14042.t1				
OG0019367	acastellanii_g14043.t1				
OG0019368	acastellanii_g14045.t1				
OG0019369	acastellanii_g14048.t1				
OG0019370	acastellanii_g14057.t1				
OG0019371	acastellanii_g14062.t1				
OG0019372	acastellanii_g14069.t1				
OG0019373	acastellanii_g14077.t1				
OG0019374	acastellanii_g13506.t1				
OG0019375	acastellanii_g13512.t1				
OG0019376	acastellanii_g13523.t1				
OG0019377	acastellanii_g13527.t1				
OG0019378	acastellanii_g13535.t1				
OG0019379	acastellanii_g13536.t1				
OG0019380	acastellanii_g13537.t1				
OG0019381	acastellanii_g13538.t1				
OG0019382	acastellanii_g13540.t1				
OG0019383	acastellanii_g13551.t1				
OG0019384	acastellanii_g13554.t1				
OG0019385	acastellanii_g13492.t1				
OG0019386	acastellanii_g13498.t3				
OG0019387	acastellanii_g13499.t1				
OG0019388	acastellanii_g13480.t1				
OG0019389	acastellanii_g13489.t1				
OG0019390	acastellanii_g13470.t1				
OG0019391	acastellanii_g13471.t1				
OG0019392	acastellanii_g13458.t1				
OG0019393	acastellanii_g13464.t1				
OG0019394	acastellanii_g13079.t1				
OG0019395	acastellanii_g13080.t1				
OG0019396	acastellanii_g13081.t1				
OG0019397	acastellanii_g13085.t1				
OG0019398	acastellanii_g13086.t1				
OG0019399	acastellanii_g13088.t1				
OG0019400	acastellanii_g13094.t1				
OG0019401	acastellanii_g13096.t1				
OG0019402	acastellanii_g13097.t1				
OG0019403	acastellanii_g13099.t1				
OG0019404	acastellanii_g13101.t1				
OG0019405	acastellanii_g13108.t1				
OG0019406	acastellanii_g13118.t1				
OG0019407	acastellanii_g13128.t1				
OG0019408	acastellanii_g13130.t1				
OG0019409	acastellanii_g13133.t1				
OG0019410	acastellanii_g13140.t1				
OG0019411	acastellanii_g13143.t1				
OG0019412	acastellanii_g13144.t1				
OG0019413	acastellanii_g13145.t1				
OG0019414	acastellanii_g13148.t1				
OG0019415	acastellanii_g13149.t1				
OG0019416	acastellanii_g13150.t1				
OG0019417	acastellanii_g13153.t1				
OG0019418	acastellanii_g13156.t1				
OG0019419	acastellanii_g13163.t1				
OG0019420	acastellanii_g13169.t1				
OG0019421	acastellanii_g13171.t1				
OG0019422	acastellanii_g13172.t1				
OG0019423	acastellanii_g13178.t1				
OG0019424	acastellanii_g13179.t1				
OG0019425	acastellanii_g13180.t1				
OG0019426	acastellanii_g13181.t1				
OG0019427	acastellanii_g13183.t1				
OG0019428	acastellanii_g13184.t1				
OG0019429	acastellanii_g13191.t1				
OG0019430	acastellanii_g13194.t1				
OG0019431	acastellanii_g13195.t1				
OG0019432	acastellanii_g13196.t1				
OG0019433	acastellanii_g13214.t1				
OG0019434	acastellanii_g13215.t1				
OG0019435	acastellanii_g13218.t1				
OG0019436	acastellanii_g13224.t1				
OG0019437	acastellanii_g13225.t1				
OG0019438	acastellanii_g13227.t1				
OG0019439	acastellanii_g13240.t1				
OG0019440	acastellanii_g13244.t1				
OG0019441	acastellanii_g13257.t1				
OG0019442	acastellanii_g13259.t1				
OG0019443	acastellanii_g13264.t1				
OG0019444	acastellanii_g13265.t1				
OG0019445	acastellanii_g13266.t1				
OG0019446	acastellanii_g13270.t1				
OG0019447	acastellanii_g13274.t1				
OG0019448	acastellanii_g13282.t1				
OG0019449	acastellanii_g13291.t1				
OG0019450	acastellanii_g13292.t1				
OG0019451	acastellanii_g13295.t1				
OG0019452	acastellanii_g13300.t1				
OG0019453	acastellanii_g13308.t1				
OG0019454	acastellanii_g13311.t1				
OG0019455	acastellanii_g13313.t1				
OG0019456	acastellanii_g13316.t1				
OG0019457	acastellanii_g13318.t1				
OG0019458	acastellanii_g13323.t1				
OG0019459	acastellanii_g13328.t1				
OG0019460	acastellanii_g13332.t1				
OG0019461	acastellanii_g13333.t1				
OG0019462	acastellanii_g13336.t1				
OG0019463	acastellanii_g13340.t1				
OG0019464	acastellanii_g13353.t1				
OG0019465	acastellanii_g13355.t1				
OG0019466	acastellanii_g13359.t1				
OG0019467	acastellanii_g13367.t1				
OG0019468	acastellanii_g13370.t1				
OG0019469	acastellanii_g13383.t1				
OG0019470	acastellanii_g13385.t1				
OG0019471	acastellanii_g13390.t1				
OG0019472	acastellanii_g13392.t1				
OG0019473	acastellanii_g13397.t1				
OG0019474	acastellanii_g13398.t1				
OG0019475	acastellanii_g13406.t1				
OG0019476	acastellanii_g13407.t1				
OG0019477	acastellanii_g13412.t1				
OG0019478	acastellanii_g13413.t1				
OG0019479	acastellanii_g13417.t1				
OG0019480	acastellanii_g13421.t1				
OG0019481	acastellanii_g13422.t1				
OG0019482	acastellanii_g13428.t1				
OG0019483	acastellanii_g13432.t1				
OG0019484	acastellanii_g13436.t1				
OG0019485	acastellanii_g13439.t1				
OG0019486	acastellanii_g13452.t1				
OG0019487	acastellanii_g13455.t1				
OG0019488	acastellanii_g13456.t1				
OG0019489	acastellanii_g13041.t1				
OG0019490	acastellanii_g13048.t1				
OG0019491	acastellanii_g13053.t1				
OG0019492	acastellanii_g13054.t1				
OG0019493	acastellanii_g13055.t1				
OG0019494	acastellanii_g13033.t1				
OG0019495	acastellanii_g13037.t1				
OG0019496	acastellanii_g13040.t1				
OG0019497	acastellanii_g13012.t1				
OG0019498	acastellanii_g13015.t1				
OG0019499	acastellanii_g13017.t1				
OG0019500	acastellanii_g13018.t1				
OG0019501	acastellanii_g13020.t1				
OG0019502	acastellanii_g13021.t1				
OG0019503	acastellanii_g13030.t1				
OG0019504	acastellanii_g12984.t1				
OG0019505	acastellanii_g12985.t1				
OG0019506	acastellanii_g12987.t1				
OG0019507	acastellanii_g12989.t1				
OG0019508	acastellanii_g12971.t1				
OG0019509	acastellanii_g12948.t1				
OG0019510	acastellanii_g12946.t1				
OG0019511	acastellanii_g12944.t1				
OG0019512	acastellanii_g12927.t1				
OG0019513	acastellanii_g12928.t1				
OG0019514	acastellanii_g12881.t1				
OG0019515	acastellanii_g12888.t1				
OG0019516	acastellanii_g12889.t1				
OG0019517	acastellanii_g12891.t1				
OG0019518	acastellanii_g12894.t1				
OG0019519	acastellanii_g12899.t1				
OG0019520	acastellanii_g12902.t1				
OG0019521	acastellanii_g12863.t1				
OG0019522	acastellanii_g12864.t1				
OG0019523	acastellanii_g12865.t1				
OG0019524	acastellanii_g12866.t1				
OG0019525	acastellanii_g12802.t1				
OG0019526	acastellanii_g12807.t1				
OG0019527	acastellanii_g12808.t1				
OG0019528	acastellanii_g12809.t1				
OG0019529	acastellanii_g12816.t1				
OG0019530	acastellanii_g12820.t1				
OG0019531	acastellanii_g12823.t1				
OG0019532	acastellanii_g12826.t1				
OG0019533	acastellanii_g12828.t1				
OG0019534	acastellanii_g12829.t1				
OG0019535	acastellanii_g12832.t1				
OG0019536	acastellanii_g12833.t1				
OG0019537	acastellanii_g12834.t1				
OG0019538	acastellanii_g12768.t1				
OG0019539	acastellanii_g12785.t1				
OG0019540	acastellanii_g12786.t1				
OG0019541	acastellanii_g12790.t1				
OG0019542	acastellanii_g12792.t1				
OG0019543	acastellanii_g12793.t1				
OG0019544	acastellanii_g12687.t1				
OG0019545	acastellanii_g12688.t1				
OG0019546	acastellanii_g12693.t2				
OG0019547	acastellanii_g12697.t1				
OG0019548	acastellanii_g12698.t2				
OG0019549	acastellanii_g12714.t1				
OG0019550	acastellanii_g12734.t1				
OG0019551	acastellanii_g12738.t1				
OG0019552	acastellanii_g12740.t1				
OG0019553	acastellanii_g12748.t1				
OG0019554	acastellanii_g12759.t1				
OG0019555	acastellanii_g12760.t1				
OG0019556	acastellanii_g12637.t1				
OG0019557	acastellanii_g12638.t1				
OG0019558	acastellanii_g12653.t1				
OG0019559	acastellanii_g12654.t1				
OG0019560	acastellanii_g12657.t1				
OG0019561	acastellanii_g12659.t1				
OG0019562	acastellanii_g12663.t1				
OG0019563	acastellanii_g12665.t1				
OG0019564	acastellanii_g12666.t1				
OG0019565	acastellanii_g12673.t1				
OG0019566	acastellanii_g12681.t1				
OG0019567	acastellanii_g12682.t1				
OG0019568	acastellanii_g12621.t1				
OG0019569	acastellanii_g12623.t1				
OG0019570	acastellanii_g12617.t1				
OG0019571	acastellanii_g12530.t1				
OG0019572	acastellanii_g12534.t1				
OG0019573	acastellanii_g12535.t1				
OG0019574	acastellanii_g12548.t1				
OG0019575	acastellanii_g12549.t1				
OG0019576	acastellanii_g12552.t1				
OG0019577	acastellanii_g12553.t1				
OG0019578	acastellanii_g12556.t1				
OG0019579	acastellanii_g12560.t1				
OG0019580	acastellanii_g12561.t1				
OG0019581	acastellanii_g12572.t1				
OG0019582	acastellanii_g12573.t1				
OG0019583	acastellanii_g12576.t1				
OG0019584	acastellanii_g12581.t1				
OG0019585	acastellanii_g12584.t1				
OG0019586	acastellanii_g12586.t1				
OG0019587	acastellanii_g12587.t1				
OG0019588	acastellanii_g12589.t1				
OG0019589	acastellanii_g12590.t1				
OG0019590	acastellanii_g12592.t1				
OG0019591	acastellanii_g12594.t1				
OG0019592	acastellanii_g12595.t1				
OG0019593	acastellanii_g12596.t1				
OG0019594	acastellanii_g12606.t1				
OG0019595	acastellanii_g12611.t1				
OG0019596	acastellanii_g12514.t1				
OG0019597	acastellanii_g12439.t1				
OG0019598	acastellanii_g12459.t1				
OG0019599	acastellanii_g12462.t1				
OG0019600	acastellanii_g12463.t1				
OG0019601	acastellanii_g12466.t1				
OG0019602	acastellanii_g12475.t1				
OG0019603	acastellanii_g12476.t1				
OG0019604	acastellanii_g12479.t1				
OG0019605	acastellanii_g12480.t1				
OG0019606	acastellanii_g12484.t1				
OG0019607	acastellanii_g12488.t1				
OG0019608	acastellanii_g12489.t1				
OG0019609	acastellanii_g12495.t1				
OG0019610	acastellanii_g12496.t1				
OG0019611	acastellanii_g12505.t1				
OG0019612	acastellanii_g12507.t1				
OG0019613	acastellanii_g12511.t1				
OG0019614	acastellanii_g12415.t1				
OG0019615	acastellanii_g12418.t1				
OG0019616	acastellanii_g12419.t1				
OG0019617	acastellanii_g12420.t1				
OG0019618	acastellanii_g12421.t1				
OG0019619	acastellanii_g12435.t1				
OG0019620	acastellanii_g12398.t1				
OG0019621	acastellanii_g12402.t1				
OG0019622	acastellanii_g12391.t1				
OG0019623	acastellanii_g12389.t1				
OG0019624	acastellanii_g12378.t1				
OG0019625	acastellanii_g12379.t1				
OG0019626	acastellanii_g12380.t1				
OG0019627	acastellanii_g12381.t1				
OG0019628	acastellanii_g12365.t1				
OG0019629	acastellanii_g12366.t1				
OG0019630	acastellanii_g12367.t1				
OG0019631	acastellanii_g12369.t1				
OG0019632	acastellanii_g12372.t1				
OG0019633	acastellanii_g12373.t1				
OG0019634	acastellanii_g12321.t1				
OG0019635	acastellanii_g12329.t1				
OG0019636	acastellanii_g12332.t1				
OG0019637	acastellanii_g12334.t1				
OG0019638	acastellanii_g12304.t1				
OG0019639	acastellanii_g12305.t1				
OG0019640	acastellanii_g12307.t1				
OG0019641	acastellanii_g12308.t1				
OG0019642	acastellanii_g12311.t1				
OG0019643	acastellanii_g11804.t1				
OG0019644	acastellanii_g11805.t1				
OG0019645	acastellanii_g11813.t1				
OG0019646	acastellanii_g11820.t1				
OG0019647	acastellanii_g11824.t1				
OG0019648	acastellanii_g11829.t1				
OG0019649	acastellanii_g11832.t1				
OG0019650	acastellanii_g11839.t1				
OG0019651	acastellanii_g11841.t1				
OG0019652	acastellanii_g11845.t1				
OG0019653	acastellanii_g11850.t1				
OG0019654	acastellanii_g11851.t1				
OG0019655	acastellanii_g11852.t1				
OG0019656	acastellanii_g11853.t1				
OG0019657	acastellanii_g11854.t1				
OG0019658	acastellanii_g11856.t1				
OG0019659	acastellanii_g11862.t1				
OG0019660	acastellanii_g11870.t1				
OG0019661	acastellanii_g11871.t1				
OG0019662	acastellanii_g11873.t1				
OG0019663	acastellanii_g11874.t1				
OG0019664	acastellanii_g11888.t1				
OG0019665	acastellanii_g11890.t1				
OG0019666	acastellanii_g11899.t1				
OG0019667	acastellanii_g11902.t1				
OG0019668	acastellanii_g11903.t1				
OG0019669	acastellanii_g11905.t1				
OG0019670	acastellanii_g11909.t1				
OG0019671	acastellanii_g11910.t1				
OG0019672	acastellanii_g11911.t1				
OG0019673	acastellanii_g11912.t1				
OG0019674	acastellanii_g11913.t1				
OG0019675	acastellanii_g11923.t1				
OG0019676	acastellanii_g11926.t1				
OG0019677	acastellanii_g11927.t1				
OG0019678	acastellanii_g11929.t1				
OG0019679	acastellanii_g11937.t1				
OG0019680	acastellanii_g11948.t1				
OG0019681	acastellanii_g11950.t1				
OG0019682	acastellanii_g11954.t1				
OG0019683	acastellanii_g11956.t1				
OG0019684	acastellanii_g11960.t1				
OG0019685	acastellanii_g11962.t1				
OG0019686	acastellanii_g11968.t1				
OG0019687	acastellanii_g11972.t1				
OG0019688	acastellanii_g11985.t1				
OG0019689	acastellanii_g11987.t1				
OG0019690	acastellanii_g11990.t1				
OG0019691	acastellanii_g11993.t1				
OG0019692	acastellanii_g11998.t1				
OG0019693	acastellanii_g11999.t1				
OG0019694	acastellanii_g12006.t1				
OG0019695	acastellanii_g12015.t1				
OG0019696	acastellanii_g12016.t1				
OG0019697	acastellanii_g12019.t1				
OG0019698	acastellanii_g12024.t1				
OG0019699	acastellanii_g12025.t1				
OG0019700	acastellanii_g12027.t1				
OG0019701	acastellanii_g12029.t1				
OG0019702	acastellanii_g12030.t1				
OG0019703	acastellanii_g12036.t1				
OG0019704	acastellanii_g12047.t1				
OG0019705	acastellanii_g12051.t1				
OG0019706	acastellanii_g12053.t1				
OG0019707	acastellanii_g12071.t1				
OG0019708	acastellanii_g12072.t1				
OG0019709	acastellanii_g12073.t1				
OG0019710	acastellanii_g12074.t1				
OG0019711	acastellanii_g12076.t1				
OG0019712	acastellanii_g12077.t1				
OG0019713	acastellanii_g12078.t1				
OG0019714	acastellanii_g12080.t1				
OG0019715	acastellanii_g12085.t1				
OG0019716	acastellanii_g12089.t1				
OG0019717	acastellanii_g12093.t1				
OG0019718	acastellanii_g12100.t1				
OG0019719	acastellanii_g12109.t1				
OG0019720	acastellanii_g12116.t1				
OG0019721	acastellanii_g12117.t1				
OG0019722	acastellanii_g12119.t1				
OG0019723	acastellanii_g12125.t1				
OG0019724	acastellanii_g12126.t1				
OG0019725	acastellanii_g12127.t1				
OG0019726	acastellanii_g12129.t1				
OG0019727	acastellanii_g12133.t1				
OG0019728	acastellanii_g12137.t1				
OG0019729	acastellanii_g12138.t1				
OG0019730	acastellanii_g12140.t1				
OG0019731	acastellanii_g12144.t1				
OG0019732	acastellanii_g12147.t1				
OG0019733	acastellanii_g12149.t1				
OG0019734	acastellanii_g12152.t1				
OG0019735	acastellanii_g12154.t1				
OG0019736	acastellanii_g12159.t1				
OG0019737	acastellanii_g12160.t1				
OG0019738	acastellanii_g12161.t1				
OG0019739	acastellanii_g12162.t1				
OG0019740	acastellanii_g12165.t1				
OG0019741	acastellanii_g12166.t1				
OG0019742	acastellanii_g12171.t1				
OG0019743	acastellanii_g12173.t1				
OG0019744	acastellanii_g12177.t1				
OG0019745	acastellanii_g12178.t1				
OG0019746	acastellanii_g12183.t1				
OG0019747	acastellanii_g12184.t1				
OG0019748	acastellanii_g12191.t1				
OG0019749	acastellanii_g12193.t1				
OG0019750	acastellanii_g12196.t1				
OG0019751	acastellanii_g12197.t1				
OG0019752	acastellanii_g12199.t1				
OG0019753	acastellanii_g12210.t1				
OG0019754	acastellanii_g12215.t1				
OG0019755	acastellanii_g12218.t1				
OG0019756	acastellanii_g12224.t1				
OG0019757	acastellanii_g12227.t1				
OG0019758	acastellanii_g12237.t1				
OG0019759	acastellanii_g12241.t1				
OG0019760	acastellanii_g12243.t1				
OG0019761	acastellanii_g12250.t1				
OG0019762	acastellanii_g12251.t1				
OG0019763	acastellanii_g12263.t1				
OG0019764	acastellanii_g12265.t1				
OG0019765	acastellanii_g12270.t1				
OG0019766	acastellanii_g12283.t1				
OG0019767	acastellanii_g12284.t1				
OG0019768	acastellanii_g12289.t1				
OG0019769	acastellanii_g12292.t1				
OG0019770	acastellanii_g12297.t1				
OG0019771	acastellanii_g11799.t1				
OG0019772	acastellanii_g11800.t1				
OG0019773	acastellanii_g11802.t1				
OG0019774	acastellanii_g11775.t1				
OG0019775	acastellanii_g11755.t1				
OG0019776	acastellanii_g11758.t1				
OG0019777	acastellanii_g11762.t1				
OG0019778	acastellanii_g11764.t1				
OG0019779	acastellanii_g11748.t1				
OG0019780	acastellanii_g11749.t1				
OG0019781	acastellanii_g11750.t1				
OG0019782	acastellanii_g11734.t1				
OG0019783	acastellanii_g11632.t1				
OG0019784	acastellanii_g11636.t1				
OG0019785	acastellanii_g11638.t1				
OG0019786	acastellanii_g11644.t1				
OG0019787	acastellanii_g11645.t1				
OG0019788	acastellanii_g11647.t1				
OG0019789	acastellanii_g11656.t1				
OG0019790	acastellanii_g11664.t1				
OG0019791	acastellanii_g11665.t1				
OG0019792	acastellanii_g11672.t1				
OG0019793	acastellanii_g11675.t1				
OG0019794	acastellanii_g11678.t1				
OG0019795	acastellanii_g11680.t1				
OG0019796	acastellanii_g11683.t1				
OG0019797	acastellanii_g11685.t1				
OG0019798	acastellanii_g11686.t1				
OG0019799	acastellanii_g11687.t1				
OG0019800	acastellanii_g11689.t1				
OG0019801	acastellanii_g11692.t1				
OG0019802	acastellanii_g11699.t1				
OG0019803	acastellanii_g11707.t1				
OG0019804	acastellanii_g11711.t1				
OG0019805	acastellanii_g11712.t1				
OG0019806	acastellanii_g11716.t1				
OG0019807	acastellanii_g11724.t1				
OG0019808	acastellanii_g11591.t1				
OG0019809	acastellanii_g11602.t1				
OG0019810	acastellanii_g11611.t1				
OG0019811	acastellanii_g11613.t1				
OG0019812	acastellanii_g11618.t1				
OG0019813	acastellanii_g11628.t1				
OG0019814	acastellanii_g11497.t1				
OG0019815	acastellanii_g11500.t1				
OG0019816	acastellanii_g11502.t1				
OG0019817	acastellanii_g11504.t1				
OG0019818	acastellanii_g11510.t1				
OG0019819	acastellanii_g11513.t1				
OG0019820	acastellanii_g11516.t1				
OG0019821	acastellanii_g11518.t1				
OG0019822	acastellanii_g11522.t1				
OG0019823	acastellanii_g11523.t1				
OG0019824	acastellanii_g11532.t1				
OG0019825	acastellanii_g11535.t1				
OG0019826	acastellanii_g11536.t1				
OG0019827	acastellanii_g11538.t1				
OG0019828	acastellanii_g11541.t1				
OG0019829	acastellanii_g11550.t1				
OG0019830	acastellanii_g11559.t1				
OG0019831	acastellanii_g11565.t1				
OG0019832	acastellanii_g11573.t1				
OG0019833	acastellanii_g11580.t1				
OG0019834	acastellanii_g11403.t1				
OG0019835	acastellanii_g11404.t1				
OG0019836	acastellanii_g11406.t1				
OG0019837	acastellanii_g11411.t1				
OG0019838	acastellanii_g11416.t1				
OG0019839	acastellanii_g11417.t1				
OG0019840	acastellanii_g11418.t1				
OG0019841	acastellanii_g11422.t1				
OG0019842	acastellanii_g11423.t1				
OG0019843	acastellanii_g11425.t1				
OG0019844	acastellanii_g11428.t1				
OG0019845	acastellanii_g11446.t1				
OG0019846	acastellanii_g11456.t1				
OG0019847	acastellanii_g11470.t1				
OG0019848	acastellanii_g11471.t1				
OG0019849	acastellanii_g11472.t1				
OG0019850	acastellanii_g11481.t1				
OG0019851	acastellanii_g11485.t1				
OG0019852	acastellanii_g11486.t1				
OG0019853	acastellanii_g11389.t1				
OG0019854	acastellanii_g11392.t1				
OG0019855	acastellanii_g11393.t1				
OG0019856	acastellanii_g11388.t1				
OG0019857	acastellanii_g11330.t1				
OG0019858	acastellanii_g11334.t1				
OG0019859	acastellanii_g11342.t1				
OG0019860	acastellanii_g11343.t1				
OG0019861	acastellanii_g11346.t1				
OG0019862	acastellanii_g11347.t1				
OG0019863	acastellanii_g11366.t1				
OG0019864	acastellanii_g11367.t1				
OG0019865	acastellanii_g11375.t1				
OG0019866	acastellanii_g11383.t1				
OG0019867	acastellanii_g11315.t1				
OG0019868	acastellanii_g11319.t1				
OG0019869	acastellanii_g11320.t1				
OG0019870	acastellanii_g11321.t1				
OG0019871	acastellanii_g11322.t1				
OG0019872	acastellanii_g11327.t1				
OG0019873	acastellanii_g11329.t1				
OG0019874	acastellanii_g11313.t1				
OG0019875	acastellanii_g11305.t1				
OG0019876	acastellanii_g11280.t1				
OG0019877	acastellanii_g11285.t1				
OG0019878	acastellanii_g11286.t1				
OG0019879	acastellanii_g11287.t1				
OG0019880	acastellanii_g11296.t1				
OG0019881	acastellanii_g11298.t1				
OG0019882	acastellanii_g11303.t1				
OG0019883	acastellanii_g11268.t1				
OG0019884	acastellanii_g11273.t1				
OG0019885	acastellanii_g11275.t1				
OG0019886	acastellanii_g11180.t1				
OG0019887	acastellanii_g11188.t1				
OG0019888	acastellanii_g11191.t1				
OG0019889	acastellanii_g11193.t1				
OG0019890	acastellanii_g11200.t1				
OG0019891	acastellanii_g11201.t1				
OG0019892	acastellanii_g11203.t1				
OG0019893	acastellanii_g11207.t1				
OG0019894	acastellanii_g11217.t1				
OG0019895	acastellanii_g11227.t1				
OG0019896	acastellanii_g11231.t1				
OG0019897	acastellanii_g11234.t1				
OG0019898	acastellanii_g11238.t1				
OG0019899	acastellanii_g11247.t1				
OG0019900	acastellanii_g11248.t1				
OG0019901	acastellanii_g11251.t1				
OG0019902	acastellanii_g11252.t1				
OG0019903	acastellanii_g11151.t1				
OG0019904	acastellanii_g11162.t1				
OG0019905	acastellanii_g10929.t1				
OG0019906	acastellanii_g10935.t1				
OG0019907	acastellanii_g10937.t1				
OG0019908	acastellanii_g10942.t1				
OG0019909	acastellanii_g10950.t1				
OG0019910	acastellanii_g10953.t1				
OG0019911	acastellanii_g10963.t1				
OG0019912	acastellanii_g10968.t1				
OG0019913	acastellanii_g10975.t1				
OG0019914	acastellanii_g10976.t1				
OG0019915	acastellanii_g10979.t1				
OG0019916	acastellanii_g10985.t1				
OG0019917	acastellanii_g10989.t1				
OG0019918	acastellanii_g10990.t1				
