Orthogroup	vvermcdc19_braker	bc2002_braker
OG0000020	vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1	bc2002_g17819.t1
OG0000026	vverm_g7254.t1	bc2002_g9608.t1, bc2002_g1417.t1
OG0000034	vverm_g7963.t1, vverm_g7963.t2, vverm_g3092.t1	bc2002_g12827.t1, bc2002_g4596.t1, bc2002_g3778.t1, bc2002_g16969.t1, bc2002_g12088.t1, bc2002_g4059.t1, bc2002_g1330.t1, bc2002_g3029.t1, bc2002_g7448.t1, bc2002_g10554.t1, bc2002_g15366.t1, bc2002_g13067.t1, bc2002_g14095.t1, bc2002_g18352.t1, bc2002_g2552.t1, bc2002_g15487.t1, bc2002_g568.t1, bc2002_g4474.t1, bc2002_g11701.t1, bc2002_g9484.t1, bc2002_g15495.t1, bc2002_g15367.t1, bc2002_g13066.t1, bc2002_g7447.t1, bc2002_g10555.t1, bc2002_g11340.t1, bc2002_g14094.t1
OG0000035	vverm_g4473.t1, vverm_g3776.t1, vverm_g12829.t1, vverm_g7934.t1, vverm_g6547.t1, vverm_g4674.t1, vverm_g15714.t1, vverm_g4674.t2, vverm_g3915.t1	bc2002_g15419.t1, bc2002_g4266.t1, bc2002_g6326.t1, bc2002_g44.t1, bc2002_g12251.t1, bc2002_g548.t1, bc2002_g1575.t1, bc2002_g15057.t1, bc2002_g10101.t1, bc2002_g1941.t1, bc2002_g3174.t1, bc2002_g1142.t1, bc2002_g16602.t1, bc2002_g6374.t1, bc2002_g2626.t1, bc2002_g7339.t1, bc2002_g15897.t1, bc2002_g9696.t1, bc2002_g12901.t1, bc2002_g5805.t1, bc2002_g17885.t1
OG0000040	vverm_g13705.t1	bc2002_g19249.t1, bc2002_g1384.t1, bc2002_g12727.t1, bc2002_g959.t1, bc2002_g19668.t1, bc2002_g14494.t1, bc2002_g14508.t1, bc2002_g14627.t1, bc2002_g19817.t1, bc2002_g13759.t1, bc2002_g14724.t1, bc2002_g4543.t1, bc2002_g6076.t1, bc2002_g13975.t1, bc2002_g8312.t1, bc2002_g15540.t2, bc2002_g15540.t1, bc2002_g9697.t1, bc2002_g19397.t1, bc2002_g19306.t1, bc2002_g17763.t1, bc2002_g1139.t1, bc2002_g3376.t1, bc2002_g15046.t1, bc2002_g8572.t1
OG0000043	vverm_g6759.t1	bc2002_g10861.t1, bc2002_g6607.t1, bc2002_g16259.t1, bc2002_g20034.t1, bc2002_g7775.t1, bc2002_g17732.t1, bc2002_g5077.t1, bc2002_g9114.t1, bc2002_g11284.t1, bc2002_g2760.t1, bc2002_g13042.t1, bc2002_g14824.t1, bc2002_g19322.t1, bc2002_g1611.t1, bc2002_g13953.t1, bc2002_g8979.t1, bc2002_g19705.t1, bc2002_g19820.t1, bc2002_g3048.t1, bc2002_g10598.t1, bc2002_g15422.t1, bc2002_g2852.t1
OG0000049	vverm_g4780.t1, vverm_g12790.t1, vverm_g12790.t2, vverm_g4780.t2	bc2002_g11650.t1, bc2002_g19720.t1, bc2002_g12537.t1, bc2002_g11650.t2, bc2002_g3454.t1, bc2002_g19792.t1, bc2002_g11554.t1, bc2002_g14616.t1, bc2002_g3437.t1, bc2002_g18304.t1, bc2002_g6073.t1, bc2002_g535.t2, bc2002_g535.t1, bc2002_g17590.t1, bc2002_g6631.t1, bc2002_g9497.t1, bc2002_g14653.t1, bc2002_g18565.t1, bc2002_g10945.t1, bc2002_g13015.t1, bc2002_g12396.t1, bc2002_g16672.t1, bc2002_g13188.t1, bc2002_g2692.t1
OG0000050	vverm_g6237.t1	bc2002_g13194.t1
OG0000050	vverm_g6684.t1	bc2002_g8226.t1, bc2002_g1005.t1, bc2002_g15440.t1, bc2002_g6781.t1, bc2002_g16027.t1, bc2002_g7906.t1, bc2002_g18904.t1, bc2002_g3003.t1, bc2002_g8649.t1, bc2002_g9340.t1, bc2002_g8462.t1, bc2002_g12091.t1, bc2002_g16594.t1, bc2002_g1943.t1, bc2002_g14036.t1, bc2002_g5831.t1, bc2002_g18432.t1, bc2002_g19918.t1, bc2002_g8173.t1, bc2002_g61.t1, bc2002_g9128.t1, bc2002_g19573.t1, bc2002_g10776.t1
OG0000058	vverm_g8162.t1	bc2002_g9271.t1, bc2002_g12199.t1, bc2002_g12647.t1, bc2002_g9652.t1, bc2002_g11975.t1, bc2002_g6097.t1, bc2002_g698.t1, bc2002_g3272.t1, bc2002_g10616.t1, bc2002_g16943.t1, bc2002_g15025.t1, bc2002_g15025.t2, bc2002_g5252.t1, bc2002_g7890.t1, bc2002_g11297.t1, bc2002_g2148.t1, bc2002_g13918.t1, bc2002_g8214.t1, bc2002_g2048.t1, bc2002_g8666.t1, bc2002_g2294.t1, bc2002_g15383.t1, bc2002_g607.t1
OG0000062	vverm_g2738.t1, vverm_g1421.t1	bc2002_g12166.t1
OG0000062	vverm_g4396.t1	bc2002_g16806.t1, bc2002_g5300.t1, bc2002_g8741.t1, bc2002_g2683.t1, bc2002_g12165.t1, bc2002_g5133.t1, bc2002_g17786.t1, bc2002_g9831.t1, bc2002_g11509.t1, bc2002_g16076.t1, bc2002_g8810.t1, bc2002_g6551.t1, bc2002_g3402.t1, bc2002_g5134.t1, bc2002_g10365.t1, bc2002_g17854.t1, bc2002_g5762.t1, bc2002_g7014.t1, bc2002_g14656.t1
OG0000068	vverm_g13677.t1	bc2002_g3153.t1, bc2002_g4525.t1, bc2002_g10170.t1, bc2002_g14473.t2, bc2002_g1932.t1, bc2002_g5021.t1, bc2002_g16502.t1, bc2002_g11482.t1, bc2002_g11066.t1, bc2002_g14454.t1, bc2002_g2878.t1, bc2002_g6663.t2, bc2002_g6663.t1, bc2002_g10170.t2, bc2002_g16326.t1, bc2002_g8307.t1, bc2002_g9276.t1, bc2002_g183.t1, bc2002_g19247.t2, bc2002_g4526.t1, bc2002_g20099.t1, bc2002_g461.t1
OG0000070	vverm_g10059.t1	bc2002_g15801.t1, bc2002_g14904.t2, bc2002_g14904.t1, bc2002_g1013.t1, bc2002_g1013.t2, bc2002_g949.t1, bc2002_g2875.t1, bc2002_g18037.t2, bc2002_g18037.t1, bc2002_g18066.t1, bc2002_g18069.t1, bc2002_g18026.t1, bc2002_g18026.t2, bc2002_g5942.t1, bc2002_g18530.t2, bc2002_g18530.t1, bc2002_g12349.t1, bc2002_g8518.t1, bc2002_g8326.t1, bc2002_g5862.t2
OG0000082	vverm_g12729.t1, vverm_g12537.t1	bc2002_g7244.t1, bc2002_g1226.t1, bc2002_g9378.t1, bc2002_g3801.t1, bc2002_g2879.t1, bc2002_g424.t1, bc2002_g9259.t1, bc2002_g1236.t1, bc2002_g7241.t1, bc2002_g18656.t1, bc2002_g18657.t1, bc2002_g18302.t1, bc2002_g460.t1, bc2002_g12093.t1, bc2002_g13662.t1, bc2002_g15799.t1, bc2002_g4179.t1, bc2002_g11061.t1
OG0000085	vverm_g16111.t1, vverm_g16107.t1, vverm_g1041.t1, vverm_g16110.t1, vverm_g8420.t1, vverm_g8419.t1, vverm_g9949.t1, vverm_g9640.t1, vverm_g9639.t2, vverm_g9639.t1, vverm_g9636.t1, vverm_g9636.t2, vverm_g9637.t1, vverm_g13453.t1, vverm_g13451.t1, vverm_g1569.t2, vverm_g1569.t1, vverm_g11047.t1, vverm_g13450.t1, vverm_g11402.t1, vverm_g1314.t1, vverm_g15629.t1, vverm_g16066.t1, vverm_g476.t1	bc2002_g2515.t1, bc2002_g3860.t1, bc2002_g4561.t1, bc2002_g12239.t3
OG0000091	vverm_g15865.t1	bc2002_g5925.t1
OG0000091	vverm_g8989.t1	bc2002_g2422.t1
OG0000091	vverm_g16310.t1	bc2002_g3879.t1
OG0000091	vverm_g9098.t3, vverm_g9098.t1	bc2002_g12523.t1
OG0000091	vverm_g2854.t1	bc2002_g789.t1
OG0000091	vverm_g7378.t1	bc2002_g12632.t2, bc2002_g12632.t1
OG0000092	vverm_g1076.t1	bc2002_g9453.t1, bc2002_g9453.t2, bc2002_g9453.t3
OG0000092	vverm_g5346.t1, vverm_g9523.t2, vverm_g15902.t1, vverm_g9523.t1, vverm_g15903.t2, vverm_g15903.t1, vverm_g12847.t1, vverm_g2917.t1, vverm_g2962.t1, vverm_g2961.t1, vverm_g9713.t2, vverm_g9713.t1, vverm_g2684.t2, vverm_g2684.t1, vverm_g1682.t1, vverm_g8296.t1, vverm_g8297.t1, vverm_g5652.t1	bc2002_g10311.t2, bc2002_g11883.t1, bc2002_g20079.t1
OG0000093	vverm_g1077.t1, vverm_g6780.t1	bc2002_g12624.t1, bc2002_g12623.t1, bc2002_g8561.t1, bc2002_g7235.t1, bc2002_g4571.t1, bc2002_g10926.t1, bc2002_g83.t2, bc2002_g15553.t1, bc2002_g83.t1, bc2002_g7319.t1, bc2002_g9270.t1, bc2002_g8134.t1, bc2002_g3908.t1, bc2002_g1907.t1, bc2002_g16172.t1, bc2002_g4218.t1, bc2002_g20054.t1
OG0000099	vverm_g8058.t1	bc2002_g1618.t1
OG0000099	vverm_g5879.t1, vverm_g14058.t1, vverm_g15256.t1	bc2002_g18645.t1
OG0000099	vverm_g4829.t1, vverm_g1960.t1, vverm_g1960.t2	bc2002_g6637.t1
OG0000099	vverm_g13257.t1, vverm_g743.t1	bc2002_g18823.t1
OG0000107	vverm_g5782.t1, vverm_g719.t2, vverm_g719.t1	bc2002_g13366.t2, bc2002_g13366.t1
OG0000107	vverm_g10341.t1	bc2002_g16765.t2, bc2002_g16765.t1
OG0000107	vverm_g5786.t1	bc2002_g13348.t1
OG0000107	vverm_g11396.t1, vverm_g9567.t1, vverm_g12148.t1	bc2002_g9403.t1, bc2002_g11972.t1, bc2002_g17025.t1
OG0000117	vverm_g14778.t1, vverm_g14778.t2	bc2002_g8010.t1
OG0000123	vverm_g12202.t1	bc2002_g9466.t1
OG0000123	vverm_g1771.t1, vverm_g7932.t1	bc2002_g11670.t2, bc2002_g11670.t1
OG0000123	vverm_g5951.t1	bc2002_g17924.t1
OG0000123	vverm_g8984.t1	bc2002_g10481.t1
OG0000124	vverm_g4924.t1	bc2002_g16477.t1
OG0000124	vverm_g2721.t1	bc2002_g12603.t1
OG0000124	vverm_g6287.t1	bc2002_g11811.t1
OG0000125	vverm_g1812.t1, vverm_g15122.t1, vverm_g12340.t1, vverm_g11318.t1, vverm_g2082.t1, vverm_g2082.t2, vverm_g11770.t1, vverm_g11770.t3, vverm_g13104.t2	bc2002_g9028.t2, bc2002_g9028.t1
OG0000125	vverm_g5676.t1, vverm_g7439.t1, vverm_g5742.t2, vverm_g5742.t1, vverm_g13104.t1, vverm_g12812.t1, vverm_g5672.t1, vverm_g5672.t2, vverm_g7435.t1, vverm_g5675.t1, vverm_g7438.t1	bc2002_g13103.t1
OG0000126	vverm_g6700.t1	bc2002_g9122.t1
OG0000126	vverm_g7198.t1, vverm_g7155.t1, vverm_g11110.t1, vverm_g7338.t1	bc2002_g6449.t1, bc2002_g6449.t2
OG0000126	vverm_g4322.t1	bc2002_g8037.t1
OG0000127	vverm_g1930.t1	bc2002_g6684.t1
OG0000127	vverm_g15515.t1	bc2002_g13901.t1
OG0000127	vverm_g1148.t1	bc2002_g18467.t1, bc2002_g18467.t2
OG0000127	vverm_g11790.t1, vverm_g11790.t2	bc2002_g5246.t1
OG0000127	vverm_g15702.t2, vverm_g15702.t1	bc2002_g19924.t1
OG0000127	vverm_g3305.t1	bc2002_g7750.t1
OG0000128	vverm_g3458.t1	bc2002_g12405.t1, bc2002_g7074.t1, bc2002_g17040.t1, bc2002_g4751.t1, bc2002_g15822.t1, bc2002_g8683.t1, bc2002_g18208.t1, bc2002_g14709.t1
OG0000129	vverm_g4631.t1	bc2002_g4686.t1, bc2002_g13315.t1, bc2002_g14238.t1, bc2002_g16153.t1, bc2002_g1911.t1, bc2002_g1811.t1, bc2002_g17107.t1, bc2002_g10096.t1, bc2002_g19147.t1, bc2002_g4048.t1, bc2002_g15663.t1, bc2002_g12337.t1
OG0000131	vverm_g7362.t1, vverm_g7905.t1	bc2002_g12544.t1, bc2002_g13870.t1, bc2002_g19305.t2, bc2002_g3917.t1, bc2002_g17733.t1, bc2002_g10721.t1, bc2002_g16550.t1, bc2002_g6278.t1, bc2002_g10637.t1
OG0000133	vverm_g1020.t1, vverm_g4584.t1	bc2002_g1574.t1
OG0000133	vverm_g11925.t1	bc2002_g18650.t1
OG0000147	vverm_g1152.t1, vverm_g1152.t2	bc2002_g18469.t1
OG0000147	vverm_g4380.t1, vverm_g4380.t2	bc2002_g8031.t2, bc2002_g8031.t3, bc2002_g8031.t1
OG0000147	vverm_g1193.t1	bc2002_g5539.t1
OG0000147	vverm_g4738.t1	bc2002_g15806.t1
OG0000147	vverm_g6795.t1	bc2002_g12601.t1, bc2002_g12601.t2
OG0000153	vverm_g6282.t1, vverm_g14095.t1, vverm_g14323.t2, vverm_g14323.t1, vverm_g4727.t2, vverm_g4727.t1, vverm_g7826.t1, vverm_g7826.t2, vverm_g8650.t1, vverm_g7649.t1, vverm_g8102.t1, vverm_g1341.t1, vverm_g1346.t1, vverm_g14193.t1, vverm_g15488.t1, vverm_g6010.t1	bc2002_g18225.t1, bc2002_g1620.t1
OG0000160	vverm_g3191.t1, vverm_g3191.t2	bc2002_g4407.t1
OG0000160	vverm_g9783.t1	bc2002_g8794.t4, bc2002_g8794.t1, bc2002_g8794.t2
OG0000161	vverm_g2760.t1	bc2002_g12764.t1
OG0000161	vverm_g13183.t1	bc2002_g12444.t2
OG0000161	vverm_g3254.t1	bc2002_g17154.t1, bc2002_g17703.t1, bc2002_g3521.t1
OG0000162	vverm_g1509.t3, vverm_g1509.t1, vverm_g7894.t1	bc2002_g18220.t1, bc2002_g8825.t1
OG0000162	vverm_g3949.t1, vverm_g3949.t2	bc2002_g9611.t2, bc2002_g9707.t1, bc2002_g1433.t1
OG0000162	vverm_g144.t1	bc2002_g14640.t2, bc2002_g14640.t1
OG0000171	vverm_g15650.t1	bc2002_g14774.t1
OG0000171	vverm_g2344.t1	bc2002_g2363.t1
OG0000171	vverm_g591.t1	bc2002_g3269.t1
OG0000171	vverm_g11232.t1	bc2002_g2.t1
OG0000176	vverm_g6144.t1	bc2002_g19827.t1, bc2002_g12719.t1, bc2002_g1863.t2, bc2002_g1863.t1, bc2002_g4001.t2, bc2002_g4001.t1, bc2002_g18839.t1
OG0000181	vverm_g2856.t1	bc2002_g12914.t1, bc2002_g15285.t1
OG0000181	vverm_g2035.t2, vverm_g2035.t1	bc2002_g1266.t1
OG0000181	vverm_g172.t1	bc2002_g17523.t1, bc2002_g16393.t1
OG0000182	vverm_g16829.t1, vverm_g10460.t1, vverm_g2731.t1	bc2002_g16840.t1, bc2002_g16830.t1, bc2002_g16703.t1
OG0000182	vverm_g14447.t1	bc2002_g11581.t1
OG0000186	vverm_g12684.t1	bc2002_g15401.t1, bc2002_g1476.t1, bc2002_g1824.t1, bc2002_g5450.t1, bc2002_g14456.t1, bc2002_g1875.t1, bc2002_g2717.t1, bc2002_g10953.t1, bc2002_g8119.t1, bc2002_g16171.t1
OG0000191	vverm_g1348.t1, vverm_g1348.t2	bc2002_g5697.t1, bc2002_g8523.t1
OG0000192	vverm_g5558.t1, vverm_g9985.t1, vverm_g9500.t1	bc2002_g3326.t1, bc2002_g10813.t1, bc2002_g430.t1, bc2002_g3391.t1, bc2002_g3391.t2
OG0000193	vverm_g3265.t2, vverm_g3265.t1	bc2002_g7977.t1
OG0000194	vverm_g8300.t1	bc2002_g19899.t1, bc2002_g4472.t1, bc2002_g9605.t1, bc2002_g5155.t1, bc2002_g11603.t1, bc2002_g3330.t1
OG0000195	vverm_g5928.t1, vverm_g5928.t2, vverm_g16260.t1, vverm_g11571.t1, vverm_g6221.t1, vverm_g15102.t1, vverm_g13912.t1, vverm_g13915.t1, vverm_g13914.t1	bc2002_g12399.t1, bc2002_g13932.t1
OG0000205	vverm_g8233.t1	bc2002_g14132.t2, bc2002_g14132.t1
OG0000205	vverm_g16871.t1, vverm_g5643.t1	bc2002_g19100.t1
OG0000206	vverm_g9973.t1, vverm_g11149.t1, vverm_g9032.t1, vverm_g11147.t1, vverm_g11148.t1, vverm_g12068.t2, vverm_g12068.t1, vverm_g13895.t1, vverm_g6746.t1, vverm_g7847.t1, vverm_g9031.t1, vverm_g250.t1, vverm_g257.t1	bc2002_g14478.t1
OG0000211	vverm_g4613.t1, vverm_g10489.t1, vverm_g13063.t1, vverm_g10182.t1	bc2002_g1257.t1, bc2002_g1224.t1, bc2002_g1197.t1, bc2002_g8559.t1, bc2002_g1328.t1, bc2002_g3346.t1, bc2002_g3346.t2
OG0000223	vverm_g3851.t1, vverm_g16053.t1, vverm_g8646.t1, vverm_g2639.t1, vverm_g2432.t1	bc2002_g1985.t1, bc2002_g1974.t1
OG0000224	vverm_g9888.t1	bc2002_g11757.t1
OG0000226	vverm_g11657.t1	bc2002_g6536.t1
OG0000226	vverm_g7520.t1	bc2002_g11225.t1
OG0000227	vverm_g106.t3	bc2002_g16284.t1
OG0000227	vverm_g7505.t1, vverm_g15296.t1, vverm_g13770.t1	bc2002_g4410.t1, bc2002_g13363.t1
OG0000227	vverm_g10944.t1, vverm_g12447.t1	bc2002_g4605.t1
OG0000229	vverm_g11186.t1	bc2002_g2971.t1, bc2002_g2971.t2
OG0000229	vverm_g15344.t2, vverm_g15344.t1	bc2002_g13875.t1
OG0000229	vverm_g14531.t1	bc2002_g15558.t2, bc2002_g15558.t1
OG0000229	vverm_g12419.t1	bc2002_g8261.t1
OG0000230	vverm_g7166.t1, vverm_g15996.t1, vverm_g7647.t1	bc2002_g15287.t1, bc2002_g17400.t1, bc2002_g18831.t1, bc2002_g9120.t1, bc2002_g15898.t1, bc2002_g3992.t1
OG0000231	vverm_g8295.t1, vverm_g8295.t2, vverm_g411.t1, vverm_g9959.t1	bc2002_g19811.t1
OG0000232	vverm_g6198.t1, vverm_g6198.t2, vverm_g5688.t1, vverm_g1316.t1	bc2002_g8940.t1, bc2002_g11048.t1, bc2002_g11048.t2, bc2002_g11048.t3, bc2002_g7885.t1, bc2002_g3303.t1
OG0000248	vverm_g1753.t1, vverm_g3532.t1, vverm_g12293.t1, vverm_g12294.t1, vverm_g9290.t1	bc2002_g929.t1, bc2002_g18780.t2, bc2002_g18780.t1, bc2002_g4510.t1, bc2002_g11371.t1, bc2002_g12512.t1, bc2002_g2530.t1
OG0000250	vverm_g3615.t2, vverm_g3615.t1	bc2002_g9445.t1, bc2002_g9558.t1
OG0000250	vverm_g5361.t2, vverm_g5361.t1	bc2002_g7858.t2, bc2002_g7858.t1
OG0000251	vverm_g14832.t2, vverm_g14832.t1, vverm_g12240.t1	bc2002_g330.t1, bc2002_g285.t1
OG0000252	vverm_g15598.t1	bc2002_g2894.t1, bc2002_g17481.t1, bc2002_g17481.t2
OG0000254	vverm_g12376.t1, vverm_g9950.t1, vverm_g9430.t1, vverm_g3884.t1, vverm_g1298.t1, vverm_g15756.t1, vverm_g6969.t1, vverm_g5400.t1, vverm_g6001.t1, vverm_g14094.t1	bc2002_g1655.t3, bc2002_g1655.t2, bc2002_g1655.t1
OG0000255	vverm_g7861.t1, vverm_g12179.t1, vverm_g8919.t1, vverm_g11222.t1	bc2002_g17191.t2, bc2002_g17191.t1
OG0000256	vverm_g16473.t1	bc2002_g17820.t1, bc2002_g17820.t2
OG0000256	vverm_g11916.t1, vverm_g12479.t1, vverm_g13116.t1, vverm_g13126.t1	bc2002_g18598.t1
OG0000257	vverm_g13673.t1, vverm_g2710.t1	bc2002_g17226.t1
OG0000257	vverm_g10925.t1, vverm_g3292.t1	bc2002_g7758.t1
OG0000257	vverm_g8751.t1	bc2002_g17700.t1
OG0000258	vverm_g1850.t1, vverm_g9339.t1, vverm_g15104.t1, vverm_g13901.t1, vverm_g6755.t1, vverm_g14880.t1, vverm_g13588.t1, vverm_g9234.t1, vverm_g6484.t1, vverm_g5509.t1, vverm_g13587.t1, vverm_g16450.t1, vverm_g16450.t2, vverm_g7708.t1	bc2002_g19199.t1
OG0000259	vverm_g892.t2, vverm_g892.t1	bc2002_g5759.t1, bc2002_g3526.t1, bc2002_g1848.t1, bc2002_g17359.t1, bc2002_g15264.t1, bc2002_g7891.t1
OG0000271	vverm_g11194.t1	bc2002_g2967.t1
OG0000271	vverm_g16664.t1	bc2002_g9423.t1, bc2002_g12787.t1
OG0000272	vverm_g16797.t1, vverm_g16796.t1, vverm_g4794.t1, vverm_g4794.t2, vverm_g5225.t1, vverm_g8915.t1, vverm_g8521.t1, vverm_g15801.t1, vverm_g9256.t2, vverm_g9256.t1, vverm_g7078.t1, vverm_g2863.t1, vverm_g14152.t1, vverm_g2116.t1	bc2002_g19464.t1
OG0000274	vverm_g3290.t1	bc2002_g10286.t1
OG0000274	vverm_g4714.t1	bc2002_g7763.t1
OG0000274	vverm_g16901.t1, vverm_g5326.t1, vverm_g6630.t1	bc2002_g6401.t1
OG0000275	vverm_g11203.t2, vverm_g11203.t1	bc2002_g7.t2, bc2002_g46.t1, bc2002_g46.t2, bc2002_g46.t3, bc2002_g7.t1
OG0000275	vverm_g14840.t1	bc2002_g6960.t1
OG0000276	vverm_g7570.t1, vverm_g7570.t3, vverm_g7570.t2	bc2002_g17341.t1
OG0000276	vverm_g1707.t1	bc2002_g11749.t1
OG0000277	vverm_g802.t1, vverm_g15210.t1	bc2002_g10381.t1, bc2002_g10454.t1, bc2002_g9367.t1
OG0000278	vverm_g16719.t1	bc2002_g17254.t3
OG0000284	vverm_g4905.t1	bc2002_g16469.t1
OG0000284	vverm_g13642.t1	bc2002_g18173.t1
OG0000284	vverm_g12916.t2, vverm_g12916.t1	bc2002_g4799.t1
OG0000284	vverm_g15410.t1	bc2002_g13872.t1
OG0000285	vverm_g2941.t1, vverm_g2941.t2, vverm_g2937.t1, vverm_g2938.t1, vverm_g2938.t2, vverm_g2934.t1, vverm_g2934.t2, vverm_g2933.t1, vverm_g2928.t1, vverm_g2929.t2, vverm_g2929.t1, vverm_g2939.t1, vverm_g2939.t2, vverm_g2940.t1, vverm_g2923.t1, vverm_g2942.t1, vverm_g2942.t2	bc2002_g13939.t1
OG0000290	vverm_g6292.t1	bc2002_g11584.t1
OG0000290	vverm_g12417.t1	bc2002_g8259.t1
OG0000290	vverm_g7080.t1	bc2002_g451.t1
OG0000291	vverm_g633.t1	bc2002_g17394.t1, bc2002_g17394.t2
OG0000291	vverm_g4450.t1	bc2002_g5117.t1
OG0000291	vverm_g8992.t1	bc2002_g10528.t1
OG0000292	vverm_g15886.t1	bc2002_g5919.t1
OG0000292	vverm_g3762.t1, vverm_g3208.t1	bc2002_g4415.t1
