Orthogroup	bc2002_braker	dicty_braker
OG0000091	bc2002_g5925.t1	dicty_g1465.t2, dicty_g1465.t1
OG0000091	bc2002_g2422.t1	dicty_g856.t1
OG0000091	bc2002_g3879.t1	dicty_g7703.t1
OG0000091	bc2002_g12523.t1	dicty_g8023.t1
OG0000091	bc2002_g789.t1	dicty_g8022.t1
OG0000091	bc2002_g12632.t2, bc2002_g12632.t1	dicty_g10286.t1
OG0000092	bc2002_g9453.t1, bc2002_g9453.t2, bc2002_g9453.t3, bc2002_g10311.t2, bc2002_g11883.t1, bc2002_g20079.t1	dicty_g11339.t1
OG0000099	bc2002_g1618.t1, bc2002_g18645.t1	dicty_g1916.t1
OG0000099	bc2002_g6637.t1	dicty_g6520.t1, dicty_g3445.t1
OG0000099	bc2002_g18823.t1	dicty_g8026.t1
OG0000107	bc2002_g13366.t2, bc2002_g13366.t1	dicty_g4040.t1
OG0000107	bc2002_g16765.t2, bc2002_g16765.t1	dicty_g11216.t1
OG0000107	bc2002_g13348.t1, bc2002_g9403.t1, bc2002_g11972.t1, bc2002_g17025.t1	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1
OG0000113	bc2002_g19581.t1, bc2002_g15021.t1	dicty_g8426.t1, dicty_g1250.t1, dicty_g1024.t1, dicty_g833.t1, dicty_g11272.t1, dicty_g8279.t1, dicty_g8048.t1, dicty_g2904.t1, dicty_g2572.t1, dicty_g3781.t1, dicty_g11407.t1, dicty_g11221.t1, dicty_g571.t1, dicty_g300.t1, dicty_g6120.t1, dicty_g7655.t1, dicty_g827.t1, dicty_g1356.t1, dicty_g1435.t1, dicty_g9381.t2, dicty_g1249.t1, dicty_g3854.t1, dicty_g697.t1, dicty_g9381.t1, dicty_g1023.t1, dicty_g6495.t1, dicty_g4197.t1, dicty_g876.t1, dicty_g6585.t1, dicty_g336.t1
OG0000117	bc2002_g8010.t1	dicty_g8230.t1
OG0000123	bc2002_g9466.t1	dicty_g4060.t1
OG0000123	bc2002_g11670.t2, bc2002_g11670.t1	dicty_g3073.t1
OG0000123	bc2002_g17924.t1	dicty_g3610.t1
OG0000123	bc2002_g3655.t1	dicty_g9452.t1, dicty_g9216.t1
OG0000123	bc2002_g10481.t1	dicty_g5676.t1
OG0000124	bc2002_g1823.t1, bc2002_g1853.t1	dicty_g3670.t1, dicty_g3951.t1
OG0000124	bc2002_g12603.t1	dicty_g3990.t1, dicty_g8436.t1
OG0000124	bc2002_g11811.t1	dicty_g908.t1
OG0000125	bc2002_g9028.t2, bc2002_g9028.t1	dicty_g10572.t1
OG0000125	bc2002_g13103.t1	dicty_g9927.t2, dicty_g9927.t1
OG0000126	bc2002_g9122.t1, bc2002_g6449.t1, bc2002_g6449.t2, bc2002_g8037.t1	dicty_g5630.t1
OG0000127	bc2002_g6684.t1	dicty_g4918.t1, dicty_g2757.t1, dicty_g2721.t1
OG0000127	bc2002_g18467.t1, bc2002_g18467.t2	dicty_g2128.t1
OG0000131	bc2002_g12544.t1, bc2002_g13870.t1, bc2002_g19305.t2, bc2002_g3917.t1, bc2002_g17733.t1, bc2002_g10721.t1, bc2002_g16550.t1, bc2002_g6278.t1, bc2002_g10637.t1	dicty_g11506.t1, dicty_g11494.t1
OG0000132	bc2002_g347.t1, bc2002_g13412.t1, bc2002_g2019.t1, bc2002_g4246.t1, bc2002_g9338.t1, bc2002_g2452.t1, bc2002_g9685.t1, bc2002_g11936.t1, bc2002_g11761.t1, bc2002_g12299.t1, bc2002_g3745.t1, bc2002_g12957.t1, bc2002_g10092.t1, bc2002_g6013.t1, bc2002_g449.t1	dicty_g11263.t1
OG0000133	bc2002_g1574.t1, bc2002_g17748.t1, bc2002_g18650.t1, bc2002_g9783.t1, bc2002_g14582.t1, bc2002_g8311.t1, bc2002_g12783.t1, bc2002_g14489.t1, bc2002_g18505.t1, bc2002_g18407.t1, bc2002_g7301.t1, bc2002_g5703.t1, bc2002_g3286.t1, bc2002_g971.t1, bc2002_g13091.t1	dicty_g3501.t1
OG0000147	bc2002_g18469.t1	dicty_g108.t1
OG0000147	bc2002_g12601.t1, bc2002_g12601.t2	dicty_g3998.t1
OG0000153	bc2002_g18225.t1, bc2002_g1620.t1	dicty_g3765.t1
OG0000160	bc2002_g4407.t1	dicty_g9087.t1, dicty_g8825.t1
OG0000161	bc2002_g12764.t1	dicty_g6991.t1
OG0000161	bc2002_g12444.t2, bc2002_g17154.t1, bc2002_g17703.t1, bc2002_g3521.t1	dicty_g11132.t1, dicty_g11255.t1
OG0000162	bc2002_g18220.t1, bc2002_g8825.t1, bc2002_g9611.t2, bc2002_g9707.t1, bc2002_g1433.t1, bc2002_g14640.t2, bc2002_g14640.t1	dicty_g2662.t1, dicty_g2815.t1
OG0000171	bc2002_g14774.t1	dicty_g2177.t1
OG0000171	bc2002_g2363.t1	dicty_g6853.t1
OG0000171	bc2002_g3269.t1	dicty_g9915.t1
OG0000171	bc2002_g2.t1	dicty_g2259.t1
OG0000182	bc2002_g16840.t1, bc2002_g16830.t1, bc2002_g16703.t1, bc2002_g11581.t1	dicty_g10630.t1, dicty_g283.t1, dicty_g10636.t1
OG0000183	bc2002_g3818.t1, bc2002_g5226.t1, bc2002_g19317.t1, bc2002_g5227.t1, bc2002_g16639.t1, bc2002_g10486.t1, bc2002_g8788.t1, bc2002_g16626.t1, bc2002_g19240.t1, bc2002_g8787.t1, bc2002_g10485.t1, bc2002_g16624.t1	dicty_g6492.t1
OG0000188	bc2002_g11134.t1	dicty_g11528.t1, dicty_g11539.t1, dicty_g11562.t1, dicty_g4555.t1, dicty_g71.t1, dicty_g4554.t1, dicty_g11561.t1, dicty_g11512.t1, dicty_g11538.t1, dicty_g11566.t1, dicty_g91.t1, dicty_g4560.t1, dicty_g6131.t1, dicty_g11529.t1, dicty_g11559.t1, dicty_g85.t1, dicty_g11513.t1, dicty_g70.t1, dicty_g11500.t1, dicty_g5494.t1, dicty_g86.t1, dicty_g1231.t1
OG0000191	bc2002_g5697.t1, bc2002_g8523.t1	dicty_g6407.t1, dicty_g8346.t1
OG0000192	bc2002_g3326.t1, bc2002_g10813.t1, bc2002_g430.t1, bc2002_g3391.t1, bc2002_g3391.t2	dicty_g3374.t1, dicty_g10275.t1, dicty_g10181.t1
OG0000194	bc2002_g2764.t1	dicty_g5824.t1
OG0000194	bc2002_g19899.t1, bc2002_g4472.t1, bc2002_g9605.t1, bc2002_g5155.t1, bc2002_g11603.t1, bc2002_g3330.t1	dicty_g3620.t1
OG0000195	bc2002_g12399.t1, bc2002_g13932.t1	dicty_g2665.t1, dicty_g2812.t1, dicty_g4751.t1, dicty_g9122.t1, dicty_g8193.t1, dicty_g8193.t2, dicty_g5073.t2, dicty_g5073.t1, dicty_g8439.t1
OG0000206	bc2002_g14478.t1	dicty_g4545.t1
OG0000223	bc2002_g13605.t1, bc2002_g1985.t1, bc2002_g1974.t1	dicty_g10527.t1, dicty_g3491.t1, dicty_g2379.t1, dicty_g342.t1, dicty_g8313.t1, dicty_g3375.t1
OG0000224	bc2002_g11757.t1	dicty_g10347.t1, dicty_g1106.t1
OG0000227	bc2002_g16284.t1	dicty_g5381.t1
OG0000227	bc2002_g4410.t1, bc2002_g13363.t1, bc2002_g4605.t1	dicty_g817.t1, dicty_g4722.t1, dicty_g6619.t1
OG0000229	bc2002_g2971.t1, bc2002_g2971.t2, bc2002_g13875.t1, bc2002_g15558.t2, bc2002_g15558.t1, bc2002_g8261.t1	dicty_g8238.t1
OG0000230	bc2002_g15287.t1, bc2002_g17400.t1, bc2002_g18831.t1, bc2002_g9120.t1, bc2002_g15898.t1, bc2002_g3992.t1	dicty_g429.t1
OG0000231	bc2002_g19811.t1	dicty_g5978.t1, dicty_g5624.t1, dicty_g5838.t1, dicty_g5980.t1, dicty_g5836.t1, dicty_g10823.t1, dicty_g7101.t1, dicty_g6185.t1, dicty_g5984.t1, dicty_g5982.t1, dicty_g5839.t1, dicty_g10413.t1
OG0000232	bc2002_g8940.t1, bc2002_g11048.t1, bc2002_g11048.t2, bc2002_g11048.t3, bc2002_g7885.t1, bc2002_g3303.t1	dicty_g398.t1
OG0000248	bc2002_g929.t1, bc2002_g18780.t2, bc2002_g18780.t1, bc2002_g4510.t1, bc2002_g11371.t1, bc2002_g12512.t1, bc2002_g2530.t1	dicty_g5148.t1
OG0000251	bc2002_g330.t1, bc2002_g285.t1	dicty_g6321.t1, dicty_g2028.t1, dicty_g9938.t1, dicty_g3923.t1, dicty_g9513.t1
OG0000252	bc2002_g2894.t1, bc2002_g17481.t1, bc2002_g17481.t2	dicty_g4965.t2, dicty_g4965.t1
OG0000254	bc2002_g1655.t3, bc2002_g1655.t2, bc2002_g1655.t1	dicty_g4484.t1, dicty_g5286.t1, dicty_g5286.t2
OG0000255	bc2002_g17191.t2, bc2002_g17191.t1	dicty_g2472.t1
OG0000256	bc2002_g17820.t1, bc2002_g17820.t2, bc2002_g18598.t1	dicty_g4126.t1, dicty_g8092.t1, dicty_g1713.t1
OG0000257	bc2002_g17226.t1	dicty_g11393.t1
OG0000257	bc2002_g7758.t1	dicty_g9426.t1
OG0000257	bc2002_g17700.t1	dicty_g8395.t1
OG0000258	bc2002_g19199.t1	dicty_g10215.t1, dicty_g180.t1, dicty_g8524.t1
OG0000259	bc2002_g8335.t1	dicty_g8308.t1, dicty_g396.t1
OG0000259	bc2002_g5759.t1, bc2002_g3526.t1, bc2002_g1848.t1, bc2002_g17359.t1, bc2002_g15264.t1, bc2002_g7891.t1	dicty_g41.t1, dicty_g4713.t1
OG0000271	bc2002_g2967.t1	dicty_g2022.t1
OG0000271	bc2002_g9423.t1, bc2002_g12787.t1	dicty_g4127.t1
OG0000274	bc2002_g10286.t1, bc2002_g7763.t1, bc2002_g6401.t1	dicty_g4294.t1, dicty_g4231.t1
OG0000275	bc2002_g7.t2, bc2002_g46.t1, bc2002_g46.t2, bc2002_g46.t3, bc2002_g7.t1	dicty_g1567.t1
OG0000275	bc2002_g6960.t1	dicty_g4169.t1
OG0000276	bc2002_g17341.t1	dicty_g5913.t1
OG0000276	bc2002_g11749.t1	dicty_g687.t1
OG0000277	bc2002_g10381.t1, bc2002_g10454.t1, bc2002_g9367.t1	dicty_g8134.t1, dicty_g5127.t1
OG0000278	bc2002_g17254.t2, bc2002_g17254.t1, bc2002_g17254.t3	dicty_g9752.t1, dicty_g9751.t1, dicty_g9753.t1, dicty_g9694.t1, dicty_g1931.t1, dicty_g9613.t1
OG0000284	bc2002_g16469.t1	dicty_g11249.t1
OG0000284	bc2002_g4799.t1	dicty_g5516.t1, dicty_g5516.t2
OG0000284	bc2002_g13872.t1	dicty_g10508.t1
OG0000290	bc2002_g11584.t1	dicty_g5826.t1
OG0000290	bc2002_g8259.t1, bc2002_g451.t1	dicty_g11068.t1
OG0000291	bc2002_g17394.t1, bc2002_g17394.t2	dicty_g3933.t1
OG0000291	bc2002_g5117.t1	dicty_g6906.t1
OG0000292	bc2002_g5919.t1, bc2002_g4415.t1, bc2002_g2524.t1	dicty_g6250.t1
OG0000293	bc2002_g8131.t1, bc2002_g8441.t1, bc2002_g6122.t1, bc2002_g19837.t1, bc2002_g8442.t1, bc2002_g4544.t1, bc2002_g4781.t1, bc2002_g19753.t1	dicty_g9962.t1
OG0000294	bc2002_g2634.t1	dicty_g10995.t1
OG0000294	bc2002_g6803.t1	dicty_g5052.t1
OG0000295	bc2002_g20025.t1	dicty_g2045.t1, dicty_g10922.t1
OG0000295	bc2002_g8544.t2, bc2002_g8544.t1	dicty_g8180.t1
OG0000296	bc2002_g3784.t1	dicty_g4791.t1
OG0000296	bc2002_g14544.t1	dicty_g7386.t1
OG0000296	bc2002_g3279.t1	dicty_g9235.t1
OG0000297	bc2002_g4195.t1	dicty_g3290.t1, dicty_g5757.t1
OG0000298	bc2002_g2409.t1, bc2002_g2409.t2	dicty_g502.t1
OG0000299	bc2002_g14642.t1, bc2002_g12565.t1	dicty_g3661.t2, dicty_g3661.t1
OG0000325	bc2002_g4212.t1, bc2002_g6448.t1	dicty_g911.t1, dicty_g911.t2
OG0000328	bc2002_g16438.t1, bc2002_g11209.t1, bc2002_g13151.t1	dicty_g4694.t1
OG0000329	bc2002_g8459.t1	dicty_g8450.t1, dicty_g10613.t1, dicty_g967.t1, dicty_g5368.t1, dicty_g6566.t1, dicty_g6482.t1, dicty_g9545.t1
OG0000330	bc2002_g16391.t2, bc2002_g16391.t1	dicty_g9691.t1, dicty_g5733.t1, dicty_g1896.t1
OG0000331	bc2002_g18909.t1	dicty_g135.t1
OG0000333	bc2002_g9712.t2, bc2002_g9606.t1, bc2002_g9712.t1, bc2002_g1416.t1, bc2002_g19102.t1	dicty_g10155.t1
OG0000334	bc2002_g1092.t1	dicty_g10923.t1
OG0000334	bc2002_g15473.t1	dicty_g8303.t1
OG0000335	bc2002_g12681.t2, bc2002_g4257.t2, bc2002_g4257.t1, bc2002_g12681.t1	dicty_g7006.t1, dicty_g6038.t1
OG0000356	bc2002_g10313.t1, bc2002_g10312.t1	dicty_g993.t1
OG0000357	bc2002_g17490.t1, bc2002_g17490.t2, bc2002_g12445.t1	dicty_g5992.t1, dicty_g3942.t2, dicty_g3942.t1
OG0000358	bc2002_g2355.t1, bc2002_g4994.t1, bc2002_g7966.t1	dicty_g1863.t1, dicty_g3814.t1
OG0000359	bc2002_g3653.t1, bc2002_g11662.t1, bc2002_g11662.t2	dicty_g6268.t1
OG0000360	bc2002_g1656.t1, bc2002_g5896.t1, bc2002_g6837.t1, bc2002_g12258.t1	dicty_g1059.t1, dicty_g8757.t1
OG0000361	bc2002_g15020.t1	dicty_g4642.t1
OG0000361	bc2002_g7680.t1	dicty_g797.t1, dicty_g682.t1
OG0000363	bc2002_g19094.t1	dicty_g6551.t1
OG0000364	bc2002_g5920.t1, bc2002_g403.t1	dicty_g9773.t1
OG0000366	bc2002_g4922.t1, bc2002_g1777.t1, bc2002_g12056.t1, bc2002_g5796.t1, bc2002_g3564.t1	dicty_g1656.t1
OG0000367	bc2002_g4881.t1, bc2002_g20116.t1	dicty_g10991.t1, dicty_g9885.t1
OG0000368	bc2002_g4277.t2, bc2002_g4277.t1, bc2002_g4238.t1, bc2002_g19300.t1	dicty_g11234.t1, dicty_g970.t1, dicty_g8797.t1
OG0000369	bc2002_g16197.t1	dicty_g7363.t1
OG0000370	bc2002_g11577.t1	dicty_g2920.t1, dicty_g2556.t1, dicty_g2485.t1, dicty_g2991.t1, dicty_g2008.t1, dicty_g2007.t1, dicty_g247.t2, dicty_g247.t1, dicty_g1968.t1
OG0000371	bc2002_g14475.t1	dicty_g11093.t1, dicty_g7534.t1, dicty_g234.t1, dicty_g2501.t1, dicty_g2974.t1, dicty_g10002.t1, dicty_g10433.t1
OG0000372	bc2002_g18025.t1	dicty_g5118.t1, dicty_g8370.t1, dicty_g10901.t1
OG0000393	bc2002_g9223.t1, bc2002_g12197.t1	dicty_g10682.t2, dicty_g10682.t1, dicty_g10682.t3
OG0000395	bc2002_g13797.t1	dicty_g10389.t1
OG0000396	bc2002_g10292.t2, bc2002_g10292.t1	dicty_g790.t1, dicty_g6104.t1
OG0000397	bc2002_g2145.t1, bc2002_g9222.t2, bc2002_g9222.t1	dicty_g11192.t1
OG0000398	bc2002_g17499.t1	dicty_g11111.t1, dicty_g11111.t2
OG0000398	bc2002_g7969.t1	dicty_g3507.t1
OG0000399	bc2002_g15162.t1	dicty_g1508.t1
OG0000399	bc2002_g13803.t1, bc2002_g18892.t1	dicty_g11409.t1
OG0000400	bc2002_g9397.t1	dicty_g10344.t1, dicty_g6794.t1
OG0000402	bc2002_g12096.t1, bc2002_g200.t1	dicty_g8580.t1, dicty_g3888.t1, dicty_g11071.t1
OG0000403	bc2002_g19142.t2, bc2002_g19142.t1	dicty_g7878.t1
OG0000404	bc2002_g19365.t2, bc2002_g19365.t1	dicty_g8965.t1
OG0000404	bc2002_g16126.t1	dicty_g5701.t1
OG0000405	bc2002_g12564.t2, bc2002_g12564.t1	dicty_g837.t1, dicty_g962.t1
OG0000406	bc2002_g16530.t1, bc2002_g13576.t1	dicty_g2127.t1
OG0000407	bc2002_g11105.t2, bc2002_g11105.t1, bc2002_g14991.t1	dicty_g11043.t1
OG0000408	bc2002_g17353.t2, bc2002_g17353.t1, bc2002_g10532.t1, bc2002_g10531.t1	dicty_g10016.t1, dicty_g8707.t1
OG0000409	bc2002_g18885.t1	dicty_g10109.t1
OG0000409	bc2002_g15930.t1	dicty_g10532.t1, dicty_g10533.t1
OG0000418	bc2002_g19802.t1	dicty_g4962.t1
OG0000419	bc2002_g19222.t1, bc2002_g16803.t1, bc2002_g10580.t1	dicty_g370.t1
OG0000423	bc2002_g7039.t1, bc2002_g7036.t1, bc2002_g11868.t1, bc2002_g9289.t1, bc2002_g1464.t1, bc2002_g15786.t1, bc2002_g13197.t1, bc2002_g7881.t1	dicty_g7060.t1
OG0000435	bc2002_g2272.t4	dicty_g7964.t1
OG0000435	bc2002_g2272.t3, bc2002_g2272.t2, bc2002_g2272.t1	dicty_g6699.t1
OG0000436	bc2002_g6957.t1	dicty_g4765.t1
OG0000436	bc2002_g180.t1	dicty_g4363.t1
OG0000438	bc2002_g12578.t1, bc2002_g12578.t2	dicty_g5050.t1
OG0000439	bc2002_g9323.t1, bc2002_g3943.t1	dicty_g8633.t3
OG0000440	bc2002_g18121.t2, bc2002_g18121.t1	dicty_g5596.t1
OG0000440	bc2002_g6193.t1, bc2002_g6193.t2	dicty_g1648.t1
OG0000441	bc2002_g17853.t1	dicty_g5502.t2, dicty_g5502.t1
OG0000442	bc2002_g5946.t1, bc2002_g18363.t1, bc2002_g6801.t1	dicty_g113.t1
OG0000443	bc2002_g5934.t1	dicty_g10969.t1
OG0000443	bc2002_g10977.t1, bc2002_g5323.t2, bc2002_g5323.t1	dicty_g7582.t1
OG0000444	bc2002_g1084.t1	dicty_g9943.t1
OG0000444	bc2002_g16762.t1	dicty_g1416.t1
OG0000445	bc2002_g11109.t1, bc2002_g16727.t1, bc2002_g13455.t1	dicty_g11017.t1, dicty_g11017.t2
OG0000448	bc2002_g19678.t1	dicty_g5727.t1
OG0000448	bc2002_g16379.t1	dicty_g3041.t1, dicty_g9817.t1, dicty_g10815.t1
OG0000450	bc2002_g2104.t2, bc2002_g2104.t1, bc2002_g2103.t1	dicty_g9974.t1
OG0000451	bc2002_g4606.t1, bc2002_g11336.t1, bc2002_g18745.t1, bc2002_g12728.t1	dicty_g7105.t1
OG0000452	bc2002_g14292.t1, bc2002_g10287.t1, bc2002_g7764.t1	dicty_g534.t1
OG0000453	bc2002_g12743.t1, bc2002_g19259.t1	dicty_g6644.t1
OG0000455	bc2002_g9088.t1	dicty_g5707.t1
OG0000455	bc2002_g17315.t1	dicty_g6497.t1
OG0000457	bc2002_g9723.t1	dicty_g9408.t1
OG0000458	bc2002_g8506.t3, bc2002_g8506.t2, bc2002_g8506.t4, bc2002_g8506.t1	dicty_g1283.t1, dicty_g1326.t1
OG0000459	bc2002_g11064.t1, bc2002_g8370.t1	dicty_g5784.t1, dicty_g490.t1
OG0000460	bc2002_g7281.t1, bc2002_g7281.t2, bc2002_g15687.t1, bc2002_g15670.t1	dicty_g10778.t1
OG0000461	bc2002_g17519.t1	dicty_g6304.t1
OG0000462	bc2002_g8864.t2, bc2002_g8864.t1, bc2002_g19559.t2, bc2002_g19559.t1	dicty_g8282.t1, dicty_g9512.t1
OG0000463	bc2002_g15685.t1, bc2002_g15672.t1	dicty_g2734.t1, dicty_g2744.t1
OG0000474	bc2002_g11385.t1, bc2002_g11385.t2, bc2002_g15972.t1, bc2002_g3416.t1, bc2002_g3416.t2	dicty_g4624.t1
OG0000478	bc2002_g1398.t1, bc2002_g1398.t2, bc2002_g16701.t2, bc2002_g16701.t1	dicty_g1996.t1, dicty_g4629.t1, dicty_g1995.t1, dicty_g10800.t1
OG0000501	bc2002_g19807.t3, bc2002_g19807.t1, bc2002_g19807.t2	dicty_g6983.t1, dicty_g3908.t1
OG0000502	bc2002_g6640.t1	dicty_g4409.t2, dicty_g4409.t1
OG0000502	bc2002_g2853.t1	dicty_g8219.t1
OG0000503	bc2002_g6656.t1	dicty_g10650.t1, dicty_g1782.t1
OG0000503	bc2002_g5542.t1	dicty_g3770.t1
OG0000505	bc2002_g15918.t1	dicty_g10882.t1
OG0000505	bc2002_g11654.t1	dicty_g6721.t2, dicty_g6721.t1
OG0000506	bc2002_g6963.t1, bc2002_g6963.t2	dicty_g463.t1
OG0000506	bc2002_g1178.t1	dicty_g1614.t1
OG0000507	bc2002_g12626.t1, bc2002_g9468.t1, bc2002_g18756.t1	dicty_g2897.t1, dicty_g2579.t1
OG0000509	bc2002_g9124.t1	dicty_g11364.t1, dicty_g11364.t2, dicty_g9471.t1
OG0000510	bc2002_g5359.t1, bc2002_g5359.t2, bc2002_g2526.t2, bc2002_g2526.t1	dicty_g3560.t1
OG0000511	bc2002_g17190.t1, bc2002_g9818.t2, bc2002_g9818.t1	dicty_g7602.t1
OG0000512	bc2002_g13032.t1, bc2002_g13032.t2, bc2002_g18760.t2, bc2002_g18760.t1	dicty_g10609.t1
OG0000515	bc2002_g13936.t2, bc2002_g18861.t1, bc2002_g13936.t1	dicty_g215.t1, dicty_g3198.t1
OG0000517	bc2002_g15954.t1	dicty_g11324.t1
OG0000517	bc2002_g1146.t1	dicty_g2752.t2, dicty_g2726.t2, dicty_g2726.t1, dicty_g2752.t1
OG0000518	bc2002_g18136.t1	dicty_g8493.t1, dicty_g3432.t1, dicty_g7911.t1
OG0000519	bc2002_g3304.t1	dicty_g444.t1
OG0000519	bc2002_g6049.t1	dicty_g7220.t1, dicty_g7219.t1, dicty_g7220.t2, dicty_g8043.t1
OG0000520	bc2002_g14969.t1	dicty_g10237.t1, dicty_g10237.t2, dicty_g11291.t1
OG0000524	bc2002_g10270.t1	dicty_g2848.t1, dicty_g2629.t1
OG0000525	bc2002_g961.t1, bc2002_g958.t1	dicty_g5606.t1
OG0000526	bc2002_g8662.t1	dicty_g7144.t1
OG0000526	bc2002_g13035.t1, bc2002_g13035.t2	dicty_g10846.t1
OG0000527	bc2002_g16867.t1	dicty_g10027.t1
OG0000527	bc2002_g10059.t1	dicty_g11315.t1, dicty_g11315.t2
OG0000528	bc2002_g17794.t1	dicty_g4899.t3, dicty_g4899.t1, dicty_g4899.t2, dicty_g7540.t1, dicty_g4218.t1
OG0000529	bc2002_g14234.t1, bc2002_g4919.t1, bc2002_g14317.t1, bc2002_g14234.t2	dicty_g8597.t2, dicty_g8597.t1
OG0000530	bc2002_g10138.t1, bc2002_g10138.t2	dicty_g7432.t1
OG0000531	bc2002_g16777.t1	dicty_g5631.t1
OG0000531	bc2002_g17606.t1	dicty_g449.t1
OG0000532	bc2002_g9569.t1	dicty_g9239.t1
OG0000533	bc2002_g15914.t3, bc2002_g7047.t1	dicty_g7355.t1, dicty_g7354.t1, dicty_g7353.t1, dicty_g716.t1, dicty_g11054.t1
OG0000534	bc2002_g6184.t2	dicty_g6147.t1
OG0000534	bc2002_g6184.t3, bc2002_g6184.t1	dicty_g4333.t1
OG0000536	bc2002_g17646.t3, bc2002_g17646.t1	dicty_g9196.t1
OG0000537	bc2002_g18810.t4, bc2002_g18810.t1, bc2002_g18810.t3, bc2002_g18810.t2, bc2002_g18810.t5	dicty_g3122.t1
OG0000538	bc2002_g16609.t1, bc2002_g13892.t1, bc2002_g11072.t3, bc2002_g11072.t2, bc2002_g11072.t1	dicty_g610.t1
