Orthogroup	bc2002_braker	acastellanii_braker
OG0000397	bc2002_g2145.t1	acastellanii_g8104.t2, acastellanii_g8104.t1
OG0000397	bc2002_g9222.t2, bc2002_g9222.t1	acastellanii_g12282.t1, acastellanii_g9831.t1, acastellanii_g4935.t1
OG0000398	bc2002_g17499.t1	acastellanii_g10614.t1, acastellanii_g10614.t2
OG0000398	bc2002_g7969.t1	acastellanii_g5147.t1
OG0000399	bc2002_g18892.t1	acastellanii_g567.t2, acastellanii_g567.t1
OG0000400	bc2002_g9397.t1	acastellanii_g2481.t1, acastellanii_g2482.t1, acastellanii_g1688.t1
OG0000402	bc2002_g12096.t1	acastellanii_g7349.t1
OG0000402	bc2002_g200.t1	acastellanii_g10069.t1
OG0000403	bc2002_g19142.t2, bc2002_g19142.t1	acastellanii_g3438.t1, acastellanii_g1378.t1, acastellanii_g10207.t1
OG0000404	bc2002_g19365.t2, bc2002_g19365.t1	acastellanii_g8328.t1, acastellanii_g8328.t2
OG0000404	bc2002_g16126.t1	acastellanii_g9880.t1, acastellanii_g9880.t2
OG0000405	bc2002_g12564.t2, bc2002_g12564.t1	acastellanii_g2100.t2, acastellanii_g2100.t1, acastellanii_g8563.t1, acastellanii_g7269.t1, acastellanii_g5979.t1
OG0000406	bc2002_g16530.t1	acastellanii_g7626.t1
OG0000406	bc2002_g13576.t1	acastellanii_g29.t1, acastellanii_g441.t1
OG0000407	bc2002_g11105.t2, bc2002_g11105.t1, bc2002_g14991.t1	acastellanii_g5377.t2, acastellanii_g5377.t1, acastellanii_g6716.t1, acastellanii_g6717.t1, acastellanii_g6713.t2, acastellanii_g6713.t1
OG0000408	bc2002_g17353.t2, bc2002_g17353.t1, bc2002_g10532.t1, bc2002_g10531.t1	acastellanii_g5090.t1, acastellanii_g5388.t1
OG0000409	bc2002_g18885.t1	acastellanii_g407.t1
OG0000435	bc2002_g2272.t4	acastellanii_g14239.t1, acastellanii_g1333.t1
OG0000435	bc2002_g2272.t3, bc2002_g2272.t2, bc2002_g2272.t1	acastellanii_g409.t1, acastellanii_g224.t1
OG0000436	bc2002_g6957.t1	acastellanii_g10159.t2, acastellanii_g10159.t1
OG0000436	bc2002_g180.t1	acastellanii_g13674.t1
OG0000438	bc2002_g12578.t1, bc2002_g12578.t2, bc2002_g19290.t1	acastellanii_g13100.t1
OG0000439	bc2002_g9323.t1	acastellanii_g4501.t1
OG0000439	bc2002_g3943.t1	acastellanii_g1485.t1
OG0000440	bc2002_g18121.t2, bc2002_g18121.t1	acastellanii_g12824.t1
OG0000440	bc2002_g6193.t1, bc2002_g6193.t2	acastellanii_g2420.t1
OG0000442	bc2002_g5946.t1, bc2002_g18363.t1, bc2002_g6801.t1	acastellanii_g7037.t1, acastellanii_g11836.t1
OG0000443	bc2002_g5934.t1	acastellanii_g11951.t1
OG0000444	bc2002_g1084.t1	acastellanii_g12088.t1
OG0000444	bc2002_g16762.t1	acastellanii_g6202.t3, acastellanii_g6202.t1, acastellanii_g6202.t2, acastellanii_g6202.t4, acastellanii_g6202.t5
OG0000445	bc2002_g11109.t1, bc2002_g16727.t1, bc2002_g13455.t1	acastellanii_g12096.t1
OG0000447	bc2002_g9885.t1, bc2002_g13934.t1	acastellanii_g10587.t1, acastellanii_g1259.t1, acastellanii_g10586.t1
OG0000448	bc2002_g16379.t1	acastellanii_g10388.t1, acastellanii_g10383.t1
OG0000450	bc2002_g2104.t2, bc2002_g2104.t1	acastellanii_g9540.t1
OG0000450	bc2002_g2103.t1	acastellanii_g1357.t1
OG0000451	bc2002_g4606.t1, bc2002_g11336.t1, bc2002_g18745.t1, bc2002_g12728.t1	acastellanii_g9239.t1
OG0000452	bc2002_g10287.t1, bc2002_g7764.t1	acastellanii_g8741.t1
OG0000453	bc2002_g12743.t1	acastellanii_g6501.t1
OG0000453	bc2002_g19259.t1	acastellanii_g2838.t1, acastellanii_g8112.t1, acastellanii_g8112.t2
OG0000455	bc2002_g9088.t1	acastellanii_g7916.t1, acastellanii_g4349.t1, acastellanii_g7848.t1
OG0000455	bc2002_g17315.t1	acastellanii_g4460.t1, acastellanii_g4121.t1
OG0000458	bc2002_g8506.t3, bc2002_g8506.t2, bc2002_g8506.t4, bc2002_g8506.t1	acastellanii_g5984.t1, acastellanii_g4306.t1, acastellanii_g6339.t1
OG0000460	bc2002_g7281.t1, bc2002_g7281.t2, bc2002_g15687.t1, bc2002_g15670.t1	acastellanii_g6434.t1
OG0000461	bc2002_g17519.t1	acastellanii_g5767.t1
OG0000462	bc2002_g8864.t2, bc2002_g8864.t1, bc2002_g19559.t2, bc2002_g19559.t1	acastellanii_g3757.t1, acastellanii_g2823.t1
OG0000463	bc2002_g15685.t1, bc2002_g15672.t1	acastellanii_g833.t1
OG0000465	bc2002_g15372.t1	acastellanii_g174.t1
OG0000466	bc2002_g12818.t1, bc2002_g15360.t1, bc2002_g12395.t1, bc2002_g15518.t1	acastellanii_g9.t1
OG0000501	bc2002_g19807.t3, bc2002_g19807.t1, bc2002_g19807.t2	acastellanii_g10361.t1
OG0000502	bc2002_g2853.t1	acastellanii_g13758.t1
