Orthogroup	bc2002_braker	vvermcdc19_braker
OG0000211	bc2002_g1257.t1, bc2002_g1224.t1, bc2002_g1197.t1, bc2002_g8559.t1, bc2002_g1328.t1, bc2002_g3346.t1, bc2002_g3346.t2	vverm_g4613.t1, vverm_g10489.t1, vverm_g13063.t1, vverm_g10182.t1
OG0000223	bc2002_g1985.t1, bc2002_g1974.t1	vverm_g3851.t1, vverm_g16053.t1, vverm_g8646.t1, vverm_g2639.t1, vverm_g2432.t1
OG0000224	bc2002_g11757.t1	vverm_g9888.t1
OG0000226	bc2002_g6536.t1	vverm_g11657.t1
OG0000226	bc2002_g11225.t1	vverm_g7520.t1
OG0000227	bc2002_g16284.t1	vverm_g106.t3
OG0000227	bc2002_g4410.t1, bc2002_g13363.t1	vverm_g7505.t1, vverm_g15296.t1, vverm_g13770.t1
OG0000227	bc2002_g4605.t1	vverm_g10944.t1, vverm_g12447.t1
OG0000229	bc2002_g2971.t1, bc2002_g2971.t2	vverm_g11186.t1
OG0000229	bc2002_g13875.t1	vverm_g15344.t2, vverm_g15344.t1
OG0000229	bc2002_g15558.t2, bc2002_g15558.t1	vverm_g14531.t1
OG0000229	bc2002_g8261.t1	vverm_g12419.t1
OG0000230	bc2002_g15287.t1, bc2002_g17400.t1, bc2002_g18831.t1, bc2002_g9120.t1, bc2002_g15898.t1, bc2002_g3992.t1	vverm_g7166.t1, vverm_g15996.t1, vverm_g7647.t1
OG0000231	bc2002_g19811.t1	vverm_g8295.t1, vverm_g8295.t2, vverm_g411.t1, vverm_g9959.t1
OG0000232	bc2002_g8940.t1, bc2002_g11048.t1, bc2002_g11048.t2, bc2002_g11048.t3, bc2002_g7885.t1, bc2002_g3303.t1	vverm_g6198.t1, vverm_g6198.t2, vverm_g5688.t1, vverm_g1316.t1
OG0000248	bc2002_g929.t1, bc2002_g18780.t2, bc2002_g18780.t1, bc2002_g4510.t1, bc2002_g11371.t1, bc2002_g12512.t1, bc2002_g2530.t1	vverm_g1753.t1, vverm_g3532.t1, vverm_g12293.t1, vverm_g12294.t1, vverm_g9290.t1
OG0000250	bc2002_g9445.t1, bc2002_g9558.t1	vverm_g3615.t2, vverm_g3615.t1
OG0000250	bc2002_g7858.t2, bc2002_g7858.t1	vverm_g5361.t2, vverm_g5361.t1
OG0000251	bc2002_g330.t1, bc2002_g285.t1	vverm_g14832.t2, vverm_g14832.t1, vverm_g12240.t1
OG0000252	bc2002_g2894.t1, bc2002_g17481.t1, bc2002_g17481.t2	vverm_g15598.t1
OG0000254	bc2002_g1655.t3, bc2002_g1655.t2, bc2002_g1655.t1	vverm_g12376.t1, vverm_g9950.t1, vverm_g9430.t1, vverm_g3884.t1, vverm_g1298.t1, vverm_g15756.t1, vverm_g6969.t1, vverm_g5400.t1, vverm_g6001.t1, vverm_g14094.t1
OG0000255	bc2002_g17191.t2, bc2002_g17191.t1	vverm_g7861.t1, vverm_g12179.t1, vverm_g8919.t1, vverm_g11222.t1
OG0000256	bc2002_g17820.t1, bc2002_g17820.t2	vverm_g16473.t1
OG0000256	bc2002_g18598.t1	vverm_g11916.t1, vverm_g12479.t1, vverm_g13116.t1, vverm_g13126.t1
OG0000257	bc2002_g17226.t1	vverm_g13673.t1, vverm_g2710.t1
OG0000257	bc2002_g7758.t1	vverm_g10925.t1, vverm_g3292.t1
OG0000257	bc2002_g17700.t1	vverm_g8751.t1
OG0000258	bc2002_g19199.t1	vverm_g1850.t1, vverm_g9339.t1, vverm_g15104.t1, vverm_g13901.t1, vverm_g6755.t1, vverm_g14880.t1, vverm_g13588.t1, vverm_g9234.t1, vverm_g6484.t1, vverm_g5509.t1, vverm_g13587.t1, vverm_g16450.t1, vverm_g16450.t2, vverm_g7708.t1
OG0000259	bc2002_g5759.t1, bc2002_g3526.t1, bc2002_g1848.t1, bc2002_g17359.t1, bc2002_g15264.t1, bc2002_g7891.t1	vverm_g892.t2, vverm_g892.t1
OG0000271	bc2002_g2967.t1	vverm_g11194.t1
OG0000271	bc2002_g9423.t1, bc2002_g12787.t1	vverm_g16664.t1
OG0000272	bc2002_g19464.t1	vverm_g16797.t1, vverm_g16796.t1, vverm_g4794.t1, vverm_g4794.t2, vverm_g5225.t1, vverm_g8915.t1, vverm_g8521.t1, vverm_g15801.t1, vverm_g9256.t2, vverm_g9256.t1, vverm_g7078.t1, vverm_g2863.t1, vverm_g14152.t1, vverm_g2116.t1
OG0000274	bc2002_g10286.t1	vverm_g3290.t1
OG0000274	bc2002_g7763.t1	vverm_g4714.t1
OG0000274	bc2002_g6401.t1	vverm_g16901.t1, vverm_g5326.t1, vverm_g6630.t1
OG0000275	bc2002_g7.t2, bc2002_g46.t1, bc2002_g46.t2, bc2002_g46.t3, bc2002_g7.t1	vverm_g11203.t2, vverm_g11203.t1
OG0000275	bc2002_g6960.t1	vverm_g14840.t1
OG0000276	bc2002_g17341.t1	vverm_g7570.t1, vverm_g7570.t3, vverm_g7570.t2
OG0000276	bc2002_g11749.t1	vverm_g1707.t1
OG0000277	bc2002_g10381.t1, bc2002_g10454.t1, bc2002_g9367.t1	vverm_g802.t1, vverm_g15210.t1
OG0000278	bc2002_g17254.t3	vverm_g16719.t1
OG0000284	bc2002_g16469.t1	vverm_g4905.t1
OG0000284	bc2002_g18173.t1	vverm_g13642.t1
OG0000284	bc2002_g4799.t1	vverm_g12916.t2, vverm_g12916.t1
OG0000284	bc2002_g13872.t1	vverm_g15410.t1
OG0000285	bc2002_g13939.t1	vverm_g2941.t1, vverm_g2941.t2, vverm_g2937.t1, vverm_g2938.t1, vverm_g2938.t2, vverm_g2934.t1, vverm_g2934.t2, vverm_g2933.t1, vverm_g2928.t1, vverm_g2929.t2, vverm_g2929.t1, vverm_g2939.t1, vverm_g2939.t2, vverm_g2940.t1, vverm_g2923.t1, vverm_g2942.t1, vverm_g2942.t2
OG0000290	bc2002_g11584.t1	vverm_g6292.t1
OG0000290	bc2002_g8259.t1	vverm_g12417.t1
OG0000290	bc2002_g451.t1	vverm_g7080.t1
OG0000291	bc2002_g17394.t1, bc2002_g17394.t2	vverm_g633.t1
OG0000291	bc2002_g5117.t1	vverm_g4450.t1
OG0000291	bc2002_g10528.t1	vverm_g8992.t1
OG0000292	bc2002_g5919.t1	vverm_g15886.t1
OG0000292	bc2002_g4415.t1	vverm_g3762.t1, vverm_g3208.t1
