Orthogroup	Species	acastellanii_braker	Orthologs
OG0000008	bc2002_braker	acastellanii_g7762.t1	bc2002_g1441.t1, bc2002_g13844.t1, bc2002_g14848.t1, bc2002_g5903.t1, bc2002_g235.t1, bc2002_g9920.t1, bc2002_g11752.t1, bc2002_g14948.t1, bc2002_g10851.t1, bc2002_g13796.t1, bc2002_g16216.t1, bc2002_g2290.t1, bc2002_g16915.t1, bc2002_g10565.t1, bc2002_g15808.t1, bc2002_g7238.t1, bc2002_g7228.t1, bc2002_g5900.t1, bc2002_g7233.t1, bc2002_g1119.t1, bc2002_g182.t1, bc2002_g9327.t1, bc2002_g205.t1, bc2002_g11889.t1, bc2002_g15375.t1, bc2002_g9253.t1, bc2002_g2118.t1
OG0000012	bc2002_braker	acastellanii_g11603.t1	bc2002_g11083.t1
OG0000012	bc2001_braker	acastellanii_g11603.t1	bc2001_g14176.t2, bc2001_g14176.t1
OG0000012	vvermcdc19_braker	acastellanii_g11603.t1	vverm_g12773.t1
OG0000012	dicty_braker	acastellanii_g11603.t1	dicty_g9325.t1
OG0000012	dicty_braker	acastellanii_g8418.t1	dicty_g7352.t1
OG0000012	bc2001_braker	acastellanii_g8418.t1	bc2001_g3213.t1
OG0000012	vvermcdc19_braker	acastellanii_g8418.t1	vverm_g6937.t1, vverm_g16860.t1
OG0000012	bc2002_braker	acastellanii_g12458.t1, acastellanii_g13286.t1	bc2002_g250.t1
OG0000012	bc2001_braker	acastellanii_g12458.t1, acastellanii_g13286.t1	bc2001_g8222.t1
OG0000012	vvermcdc19_braker	acastellanii_g12458.t1, acastellanii_g13286.t1	vverm_g928.t1
OG0000012	dicty_braker	acastellanii_g12458.t1, acastellanii_g13286.t1	dicty_g2256.t1
OG0000012	vvermcdc19_braker	acastellanii_g3680.t1, acastellanii_g4280.t1, acastellanii_g2679.t1, acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1	vverm_g4446.t1, vverm_g8258.t1
OG0000012	dicty_braker	acastellanii_g3680.t1, acastellanii_g4280.t1, acastellanii_g2679.t1	dicty_g712.t1, dicty_g2304.t1, dicty_g3329.t1, dicty_g3102.t1, dicty_g2243.t1, dicty_g3232.t1, dicty_g9331.t1, dicty_g3106.t1, dicty_g9592.t1, dicty_g9672.t1, dicty_g3327.t1, dicty_g3254.t1, dicty_g3243.t1, dicty_g5834.t1, dicty_g3523.t1, dicty_g1588.t1, dicty_g9356.t1, dicty_g3105.t1, dicty_g3107.t1, dicty_g9713.t1, dicty_g9575.t1, dicty_g9576.t1, dicty_g3330.t1, dicty_g9570.t1, dicty_g9571.t1
OG0000012	dicty_braker	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1	dicty_g9569.t1
OG0000012	bc2002_braker	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1	bc2002_g5695.t1
OG0000012	bc2001_braker	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1	bc2001_g14259.t1
OG0000012	vvermcdc19_braker	acastellanii_g11908.t1	vverm_g12052.t4, vverm_g12052.t2, vverm_g6574.t1, vverm_g6937.t2, vverm_g14425.t2, vverm_g16666.t2
OG0000020	bc2001_braker	acastellanii_g2918.t1, acastellanii_g13261.t1	bc2001_g2496.t2, bc2001_g2496.t1
OG0000020	bc2002_braker	acastellanii_g2918.t1, acastellanii_g13261.t1	bc2002_g14977.t1
OG0000020	vvermcdc19_braker	acastellanii_g2918.t1, acastellanii_g13261.t1	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1
OG0000020	dicty_braker	acastellanii_g2918.t1, acastellanii_g13261.t1	dicty_g7565.t1
OG0000020	dicty_braker	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1
OG0000020	vvermcdc19_braker	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2, vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1, vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1
OG0000020	bc2001_braker	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1	bc2001_g528.t1, bc2001_g18812.t2, bc2001_g18812.t1, bc2001_g15557.t1
OG0000020	bc2002_braker	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1	bc2002_g16498.t1, bc2002_g4567.t1, bc2002_g4567.t2, bc2002_g17819.t1
OG0000043	vvermcdc19_braker	acastellanii_g5071.t1	vverm_g6759.t1
OG0000043	bc2001_braker	acastellanii_g5071.t1	bc2001_g2484.t1, bc2001_g19025.t1, bc2001_g15542.t1, bc2001_g19187.t1, bc2001_g4903.t1, bc2001_g14447.t1, bc2001_g14447.t2, bc2001_g17151.t1, bc2001_g5610.t1, bc2001_g6279.t1, bc2001_g16471.t1, bc2001_g1318.t1, bc2001_g12686.t1, bc2001_g13442.t1, bc2001_g838.t1, bc2001_g2649.t1, bc2001_g494.t1, bc2001_g7511.t1, bc2001_g8963.t1, bc2001_g5011.t1, bc2001_g14883.t1, bc2001_g5124.t1, bc2001_g16406.t1, bc2001_g13358.t1, bc2001_g19368.t1
OG0000043	bc2002_braker	acastellanii_g5071.t1	bc2002_g10861.t1, bc2002_g6607.t1, bc2002_g16259.t1, bc2002_g20034.t1, bc2002_g7775.t1, bc2002_g17732.t1, bc2002_g5077.t1, bc2002_g9114.t1, bc2002_g11284.t1, bc2002_g2760.t1, bc2002_g13042.t1, bc2002_g14824.t1, bc2002_g19322.t1, bc2002_g1611.t1, bc2002_g13953.t1, bc2002_g8979.t1, bc2002_g19705.t1, bc2002_g19820.t1, bc2002_g3048.t1, bc2002_g10598.t1, bc2002_g15422.t1, bc2002_g2852.t1
OG0000062	dicty_braker	acastellanii_g5746.t1	dicty_g11149.t1
OG0000062	bc2002_braker	acastellanii_g5746.t1	bc2002_g12166.t1, bc2002_g16806.t1, bc2002_g5300.t1, bc2002_g8741.t1, bc2002_g2683.t1, bc2002_g12165.t1, bc2002_g5133.t1, bc2002_g17786.t1, bc2002_g9831.t1, bc2002_g11509.t1, bc2002_g16076.t1, bc2002_g8810.t1, bc2002_g6551.t1, bc2002_g3402.t1, bc2002_g5134.t1, bc2002_g10365.t1, bc2002_g17854.t1, bc2002_g5762.t1, bc2002_g7014.t1, bc2002_g14656.t1
OG0000062	vvermcdc19_braker	acastellanii_g5746.t1	vverm_g2738.t1, vverm_g1421.t1, vverm_g4396.t1
OG0000062	bc2001_braker	acastellanii_g5746.t1	bc2001_g9812.t1, bc2001_g10226.t1, bc2001_g10975.t1, bc2001_g149.t1, bc2001_g4246.t1, bc2001_g15908.t1, bc2001_g12202.t1, bc2001_g12355.t1, bc2001_g18773.t2, bc2001_g9566.t1, bc2001_g2862.t1, bc2001_g18383.t1, bc2001_g79.t1, bc2001_g14385.t1, bc2001_g5228.t1, bc2001_g3687.t1, bc2001_g14332.t1, bc2001_g5480.t1, bc2001_g13912.t1
OG0000067	dicty_braker	acastellanii_g390.t3, acastellanii_g390.t1, acastellanii_g390.t4, acastellanii_g390.t2, acastellanii_g2470.t1, acastellanii_g6723.t1, acastellanii_g10513.t1, acastellanii_g1033.t1	dicty_g1965.t1, dicty_g9925.t1, dicty_g3617.t1, dicty_g9401.t1, dicty_g9402.t1, dicty_g2276.t1, dicty_g8418.t1, dicty_g7862.t1, dicty_g8416.t1, dicty_g8419.t1, dicty_g8280.t1, dicty_g7372.t1, dicty_g7857.t1, dicty_g9422.t1
OG0000067	vvermcdc19_braker	acastellanii_g390.t3, acastellanii_g390.t1, acastellanii_g390.t4, acastellanii_g390.t2, acastellanii_g2470.t1	vverm_g14954.t1, vverm_g11932.t1, vverm_g772.t1, vverm_g4256.t1, vverm_g8088.t1, vverm_g14889.t1, vverm_g14888.t1, vverm_g847.t1, vverm_g6460.t1, vverm_g4253.t1, vverm_g5590.t1, vverm_g4427.t1, vverm_g4366.t1, vverm_g4367.t1, vverm_g10240.t1, vverm_g10026.t1, vverm_g1776.t1
OG0000067	vvermcdc19_braker	acastellanii_g6723.t1, acastellanii_g10513.t1, acastellanii_g1033.t1	vverm_g5006.t1, vverm_g12506.t1, vverm_g13142.t1
OG0000082	vvermcdc19_braker	acastellanii_g4310.t1	vverm_g12729.t1, vverm_g12537.t1
OG0000082	bc2001_braker	acastellanii_g4310.t1	bc2001_g8406.t2, bc2001_g1436.t1, bc2001_g19293.t1, bc2001_g8406.t1, bc2001_g4769.t1, bc2001_g12907.t1, bc2001_g17819.t1, bc2001_g13589.t1, bc2001_g4645.t1, bc2001_g1435.t1, bc2001_g14153.t1, bc2001_g17785.t1, bc2001_g12269.t2, bc2001_g18707.t1, bc2001_g18039.t1, bc2001_g18039.t2, bc2001_g1143.t1, bc2001_g12269.t1
OG0000082	bc2002_braker	acastellanii_g4310.t1	bc2002_g7244.t1, bc2002_g1226.t1, bc2002_g9378.t1, bc2002_g3801.t1, bc2002_g2879.t1, bc2002_g424.t1, bc2002_g9259.t1, bc2002_g1236.t1, bc2002_g7241.t1, bc2002_g18656.t1, bc2002_g18657.t1, bc2002_g18302.t1, bc2002_g460.t1, bc2002_g12093.t1, bc2002_g13662.t1, bc2002_g15799.t1, bc2002_g4179.t1, bc2002_g11061.t1
OG0000085	vvermcdc19_braker	acastellanii_g2341.t1	vverm_g10349.t1
OG0000085	bc2001_braker	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1	bc2001_g11370.t1, bc2001_g18939.t1, bc2001_g18818.t2, bc2001_g18818.t1, bc2001_g12127.t1
OG0000085	bc2002_braker	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1	bc2002_g2515.t1, bc2002_g3860.t1, bc2002_g4561.t1, bc2002_g12239.t3
OG0000085	vvermcdc19_braker	acastellanii_g1238.t1, acastellanii_g2499.t1, acastellanii_g11086.t1	vverm_g16111.t1, vverm_g16107.t1, vverm_g1041.t1, vverm_g16110.t1, vverm_g8420.t1, vverm_g8419.t1, vverm_g9949.t1, vverm_g9640.t1, vverm_g9639.t2, vverm_g9639.t1, vverm_g9636.t1, vverm_g9636.t2, vverm_g9637.t1, vverm_g13453.t1, vverm_g13451.t1, vverm_g1569.t2, vverm_g1569.t1, vverm_g11047.t1, vverm_g13450.t1, vverm_g11402.t1, vverm_g1314.t1, vverm_g15629.t1, vverm_g16066.t1, vverm_g476.t1
OG0000091	dicty_braker	acastellanii_g4765.t1	dicty_g1465.t2, dicty_g1465.t1
OG0000091	vvermcdc19_braker	acastellanii_g4765.t1	vverm_g15865.t1
OG0000091	bc2002_braker	acastellanii_g4765.t1	bc2002_g5925.t1
OG0000091	bc2001_braker	acastellanii_g4765.t1	bc2001_g3105.t1, bc2001_g3105.t2
OG0000091	dicty_braker	acastellanii_g7496.t1	dicty_g856.t1
OG0000091	vvermcdc19_braker	acastellanii_g7496.t1	vverm_g8989.t1
OG0000091	bc2002_braker	acastellanii_g7496.t1	bc2002_g2422.t1
OG0000091	bc2001_braker	acastellanii_g7496.t1	bc2001_g9107.t1
OG0000091	dicty_braker	acastellanii_g1337.t1	dicty_g8023.t1
OG0000091	vvermcdc19_braker	acastellanii_g1337.t1	vverm_g9098.t3, vverm_g9098.t1
OG0000091	bc2002_braker	acastellanii_g1337.t1	bc2002_g12523.t1
OG0000091	bc2001_braker	acastellanii_g1337.t1	bc2001_g11559.t2, bc2001_g11559.t1
OG0000091	bc2002_braker	acastellanii_g7077.t1	bc2002_g789.t1
OG0000091	bc2001_braker	acastellanii_g7077.t1	bc2001_g10508.t1
OG0000091	vvermcdc19_braker	acastellanii_g7077.t1	vverm_g2854.t1
OG0000091	dicty_braker	acastellanii_g7077.t1	dicty_g8022.t1
OG0000091	dicty_braker	acastellanii_g9199.t1, acastellanii_g10866.t1	dicty_g10286.t1
OG0000091	bc2001_braker	acastellanii_g9199.t1, acastellanii_g10866.t1	bc2001_g11452.t2, bc2001_g11452.t1
OG0000091	bc2002_braker	acastellanii_g9199.t1, acastellanii_g10866.t1	bc2002_g12632.t2, bc2002_g12632.t1
OG0000091	vvermcdc19_braker	acastellanii_g9199.t1, acastellanii_g10866.t1	vverm_g7378.t1
OG0000092	dicty_braker	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	dicty_g11339.t1
OG0000092	vvermcdc19_braker	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	vverm_g1076.t1, vverm_g5346.t1, vverm_g9523.t2, vverm_g15902.t1, vverm_g9523.t1, vverm_g15903.t2, vverm_g15903.t1, vverm_g12847.t1, vverm_g2917.t1, vverm_g2962.t1, vverm_g2961.t1, vverm_g9713.t2, vverm_g9713.t1, vverm_g2684.t2, vverm_g2684.t1, vverm_g1682.t1, vverm_g8296.t1, vverm_g8297.t1, vverm_g5652.t1
OG0000092	bc2001_braker	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	bc2001_g8482.t1, bc2001_g8482.t2, bc2001_g6775.t1, bc2001_g6775.t2, bc2001_g9815.t1, bc2001_g5566.t1
OG0000092	bc2002_braker	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1	bc2002_g9453.t1, bc2002_g9453.t2, bc2002_g9453.t3, bc2002_g10311.t2, bc2002_g11883.t1, bc2002_g20079.t1
OG0000093	vvermcdc19_braker	acastellanii_g6680.t1	vverm_g1077.t1, vverm_g6780.t1
OG0000093	bc2001_braker	acastellanii_g6680.t1	bc2001_g11460.t1, bc2001_g16294.t1, bc2001_g3537.t1, bc2001_g18808.t1, bc2001_g14014.t2, bc2001_g14014.t1, bc2001_g7968.t1, bc2001_g17446.t1, bc2001_g1881.t1, bc2001_g13600.t2, bc2001_g11130.t1, bc2001_g9047.t1, bc2001_g4301.t1, bc2001_g19462.t1, bc2001_g1110.t1, bc2001_g16352.t1, bc2001_g5593.t1
OG0000093	bc2002_braker	acastellanii_g6680.t1	bc2002_g12624.t1, bc2002_g12623.t1, bc2002_g8561.t1, bc2002_g7235.t1, bc2002_g4571.t1, bc2002_g10926.t1, bc2002_g83.t2, bc2002_g15553.t1, bc2002_g83.t1, bc2002_g7319.t1, bc2002_g9270.t1, bc2002_g8134.t1, bc2002_g3908.t1, bc2002_g1907.t1, bc2002_g16172.t1, bc2002_g4218.t1, bc2002_g20054.t1
OG0000099	dicty_braker	acastellanii_g5646.t1	dicty_g6520.t1, dicty_g3445.t1
OG0000099	bc2001_braker	acastellanii_g5646.t1	bc2001_g19159.t1
OG0000099	bc2002_braker	acastellanii_g5646.t1	bc2002_g6637.t1
OG0000099	vvermcdc19_braker	acastellanii_g5646.t1	vverm_g4829.t1, vverm_g1960.t1, vverm_g1960.t2
OG0000099	vvermcdc19_braker	acastellanii_g11277.t1, acastellanii_g3290.t1	vverm_g11651.t1
OG0000099	dicty_braker	acastellanii_g11277.t1, acastellanii_g3290.t1	dicty_g5514.t2, dicty_g5514.t1
OG0000099	dicty_braker	acastellanii_g13068.t1	dicty_g10909.t1
OG0000099	vvermcdc19_braker	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	vverm_g13257.t1, vverm_g743.t1
OG0000099	bc2002_braker	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	bc2002_g18823.t1
OG0000099	bc2001_braker	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	bc2001_g6911.t2
OG0000099	dicty_braker	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1	dicty_g8026.t1
OG0000107	vvermcdc19_braker	acastellanii_g2122.t1	vverm_g5782.t1, vverm_g719.t2, vverm_g719.t1
OG0000107	bc2002_braker	acastellanii_g2122.t1	bc2002_g13366.t2, bc2002_g13366.t1
OG0000107	bc2001_braker	acastellanii_g2122.t1	bc2001_g13230.t2, bc2001_g13230.t1
OG0000107	dicty_braker	acastellanii_g2122.t1	dicty_g4040.t1
OG0000107	dicty_braker	acastellanii_g6136.t1	dicty_g11216.t1
OG0000107	bc2002_braker	acastellanii_g6136.t1	bc2002_g16765.t2, bc2002_g16765.t1
OG0000107	bc2001_braker	acastellanii_g6136.t1	bc2001_g10268.t3, bc2001_g10268.t1
OG0000107	vvermcdc19_braker	acastellanii_g6136.t1	vverm_g10341.t1
OG0000107	bc2001_braker	acastellanii_g1565.t1, acastellanii_g357.t1	bc2001_g13247.t1, bc2001_g8434.t1, bc2001_g10017.t1
OG0000107	bc2002_braker	acastellanii_g1565.t1, acastellanii_g357.t1	bc2002_g13348.t1, bc2002_g9403.t1, bc2002_g11972.t1, bc2002_g17025.t1
OG0000107	vvermcdc19_braker	acastellanii_g1565.t1, acastellanii_g357.t1	vverm_g5786.t1, vverm_g11396.t1, vverm_g9567.t1, vverm_g12148.t1
OG0000107	dicty_braker	acastellanii_g1565.t1, acastellanii_g357.t1	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1
OG0000117	vvermcdc19_braker	acastellanii_g7990.t1	vverm_g4696.t2
OG0000117	dicty_braker	acastellanii_g7990.t1	dicty_g10771.t1, dicty_g1828.t1, dicty_g3968.t1
OG0000117	dicty_braker	acastellanii_g14219.t1, acastellanii_g14219.t2	dicty_g8230.t1
OG0000117	vvermcdc19_braker	acastellanii_g14219.t1, acastellanii_g14219.t2	vverm_g14778.t1, vverm_g14778.t2
OG0000117	bc2001_braker	acastellanii_g14219.t1, acastellanii_g14219.t2	bc2001_g771.t1
OG0000117	bc2002_braker	acastellanii_g14219.t1, acastellanii_g14219.t2	bc2002_g8010.t1
OG0000117	vvermcdc19_braker	acastellanii_g5065.t1, acastellanii_g5066.t1, acastellanii_g5069.t1, acastellanii_g5067.t1, acastellanii_g3181.t1, acastellanii_g13322.t1	vverm_g4821.t1
OG0000117	dicty_braker	acastellanii_g5067.t1	dicty_g9556.t1
OG0000117	dicty_braker	acastellanii_g3181.t1, acastellanii_g13322.t1	dicty_g2185.t1
OG0000118	bc2002_braker	acastellanii_g372.t1	bc2002_g17093.t2, bc2002_g6139.t1, bc2002_g1533.t1, bc2002_g3599.t1, bc2002_g14193.t1, bc2002_g4480.t1, bc2002_g1516.t1, bc2002_g2575.t1, bc2002_g17964.t1, bc2002_g17093.t1, bc2002_g4124.t1, bc2002_g1411.t1, bc2002_g12702.t1, bc2002_g14688.t1, bc2002_g15707.t1, bc2002_g3001.t1, bc2002_g12020.t1
OG0000118	bc2001_braker	acastellanii_g372.t1	bc2001_g3628.t1, bc2001_g16454.t1, bc2001_g1522.t1, bc2001_g7736.t1, bc2001_g2799.t2, bc2001_g2799.t1, bc2001_g11314.t1, bc2001_g4116.t1, bc2001_g9955.t1, bc2001_g768.t1, bc2001_g15912.t1, bc2001_g11383.t2, bc2001_g11383.t1, bc2001_g12342.t1
OG0000123	dicty_braker	acastellanii_g9182.t1	dicty_g4060.t1
OG0000123	bc2002_braker	acastellanii_g9182.t1	bc2002_g9466.t1
OG0000123	bc2001_braker	acastellanii_g9182.t1	bc2001_g8496.t1
OG0000123	vvermcdc19_braker	acastellanii_g9182.t1	vverm_g12202.t1
