Orthogroup	Species	dicty_braker	Orthologs
OG0000012	bc2001_braker	dicty_g7352.t1	bc2001_g3213.t1
OG0000012	bc2002_braker	dicty_g2256.t1	bc2002_g250.t1
OG0000012	bc2001_braker	dicty_g2256.t1	bc2001_g8222.t1
OG0000012	vvermcdc19_braker	dicty_g2256.t1	vverm_g928.t1
OG0000012	acastellanii_braker	dicty_g2256.t1	acastellanii_g12458.t1, acastellanii_g13286.t1
OG0000012	vvermcdc19_braker	dicty_g712.t1, dicty_g2304.t1, dicty_g3329.t1, dicty_g3102.t1, dicty_g2243.t1, dicty_g3232.t1, dicty_g9331.t1, dicty_g3106.t1, dicty_g9592.t1, dicty_g9672.t1, dicty_g3327.t1, dicty_g3254.t1, dicty_g3243.t1, dicty_g5834.t1, dicty_g3523.t1, dicty_g1588.t1, dicty_g9356.t1, dicty_g3105.t1, dicty_g3107.t1, dicty_g9713.t1, dicty_g9575.t1, dicty_g9576.t1, dicty_g3330.t1, dicty_g9570.t1, dicty_g9571.t1, dicty_g9569.t1	vverm_g4446.t1, vverm_g8258.t1
OG0000012	acastellanii_braker	dicty_g712.t1, dicty_g2304.t1, dicty_g3329.t1, dicty_g3102.t1, dicty_g2243.t1, dicty_g3232.t1, dicty_g9331.t1, dicty_g3106.t1, dicty_g9592.t1, dicty_g9672.t1, dicty_g3327.t1, dicty_g3254.t1, dicty_g3243.t1, dicty_g5834.t1, dicty_g3523.t1, dicty_g1588.t1, dicty_g9356.t1, dicty_g3105.t1, dicty_g3107.t1, dicty_g9713.t1, dicty_g9575.t1, dicty_g9576.t1, dicty_g3330.t1, dicty_g9570.t1, dicty_g9571.t1	acastellanii_g3680.t1, acastellanii_g4280.t1, acastellanii_g2679.t1
OG0000012	acastellanii_braker	dicty_g9569.t1	acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1
OG0000012	bc2002_braker	dicty_g9569.t1	bc2002_g5695.t1
OG0000012	bc2001_braker	dicty_g9569.t1	bc2001_g14259.t1
OG0000019	vvermcdc19_braker	dicty_g6325.t1	vverm_g9412.t1, vverm_g9391.t1, vverm_g6437.t1, vverm_g839.t1, vverm_g7913.t1, vverm_g2826.t1, vverm_g13924.t1, vverm_g6439.t2, vverm_g6439.t1, vverm_g6264.t1, vverm_g6441.t1, vverm_g6445.t1, vverm_g6444.t1, vverm_g6443.t1, vverm_g7507.t1, vverm_g7508.t1, vverm_g4333.t1, vverm_g11739.t1, vverm_g13905.t1, vverm_g2126.t2, vverm_g2126.t1, vverm_g4212.t1, vverm_g3553.t1, vverm_g2100.t2, vverm_g14411.t1, vverm_g2100.t1, vverm_g14411.t2, vverm_g3552.t1, vverm_g14368.t1, vverm_g14367.t1, vverm_g9215.t1, vverm_g10961.t1, vverm_g10961.t2, vverm_g9230.t1, vverm_g6964.t2, vverm_g6964.t1, vverm_g16306.t1, vverm_g9211.t1, vverm_g9214.t1, vverm_g9213.t1, vverm_g10955.t1, vverm_g6475.t1, vverm_g14369.t1, vverm_g10664.t2, vverm_g10664.t1, vverm_g2129.t1, vverm_g2129.t2, vverm_g6434.t2, vverm_g6434.t1, vverm_g6434.t3, vverm_g6436.t1, vverm_g6433.t1, vverm_g5498.t1, vverm_g6473.t1, vverm_g9428.t1, vverm_g9443.t1, vverm_g8425.t1, vverm_g8425.t2, vverm_g8423.t1, vverm_g8424.t1, vverm_g8520.t1, vverm_g16445.t1, vverm_g2822.t1, vverm_g2821.t1, vverm_g4588.t1, vverm_g11732.t1, vverm_g11733.t1, vverm_g11738.t1, vverm_g11738.t2, vverm_g11737.t1, vverm_g11356.t1, vverm_g16448.t1
OG0000020	bc2001_braker	dicty_g7565.t1	bc2001_g2496.t2, bc2001_g2496.t1
OG0000020	bc2002_braker	dicty_g7565.t1	bc2002_g14977.t1
OG0000020	vvermcdc19_braker	dicty_g7565.t1	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1
OG0000020	acastellanii_braker	dicty_g7565.t1	acastellanii_g2918.t1, acastellanii_g13261.t1
OG0000020	acastellanii_braker	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1
OG0000020	vvermcdc19_braker	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2, vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1, vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1
OG0000020	bc2001_braker	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	bc2001_g528.t1, bc2001_g18812.t2, bc2001_g18812.t1, bc2001_g15557.t1
OG0000020	bc2002_braker	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1	bc2002_g16498.t1, bc2002_g4567.t1, bc2002_g4567.t2, bc2002_g17819.t1
OG0000026	vvermcdc19_braker	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1	vverm_g7254.t1
OG0000026	bc2001_braker	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1	bc2001_g14773.t1, bc2001_g4538.t1, bc2001_g4539.t1
OG0000026	bc2002_braker	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1	bc2002_g9608.t1, bc2002_g1417.t1
OG0000046	bc2002_braker	dicty_g7670.t1	bc2002_g1112.t1, bc2002_g18374.t1
OG0000046	bc2001_braker	dicty_g7670.t1	bc2001_g5940.t1, bc2001_g17826.t2, bc2001_g9230.t1, bc2001_g924.t1, bc2001_g13824.t1, bc2001_g18706.t1, bc2001_g6518.t1, bc2001_g11284.t1, bc2001_g17731.t1, bc2001_g3870.t1, bc2001_g17947.t1, bc2001_g16046.t1, bc2001_g972.t1, bc2001_g10108.t1, bc2001_g12729.t1, bc2001_g18359.t1, bc2001_g12867.t1, bc2001_g5356.t1, bc2001_g11462.t1, bc2001_g6212.t1, bc2001_g8218.t1, bc2001_g19346.t1, bc2001_g12599.t1, bc2001_g10759.t1, bc2001_g8651.t1, bc2001_g3265.t1, bc2001_g6656.t1, bc2001_g3034.t1, bc2001_g3059.t1, bc2001_g8007.t1, bc2001_g10458.t1, bc2001_g16919.t1, bc2001_g15206.t1, bc2001_g13828.t1, bc2001_g18377.t1, bc2001_g13365.t1, bc2001_g1702.t1, bc2001_g12977.t1, bc2001_g7609.t1, bc2001_g12067.t1, bc2001_g13988.t1, bc2001_g4229.t1, bc2001_g8559.t1, bc2001_g14236.t2, bc2001_g14236.t1
OG0000046	vvermcdc19_braker	dicty_g7670.t1	vverm_g10679.t1
OG0000060	bc2001_braker	dicty_g9825.t1	bc2001_g4002.t2, bc2001_g953.t1, bc2001_g2396.t1, bc2001_g4793.t1, bc2001_g4793.t2, bc2001_g13721.t1, bc2001_g1525.t1, bc2001_g5058.t1, bc2001_g3651.t2, bc2001_g2723.t1, bc2001_g6890.t1, bc2001_g14230.t1, bc2001_g17970.t1, bc2001_g7656.t1, bc2001_g3483.t1, bc2001_g11094.t1, bc2001_g392.t1, bc2001_g3053.t1, bc2001_g5301.t1, bc2001_g11069.t1, bc2001_g1519.t1, bc2001_g4636.t1, bc2001_g15880.t1, bc2001_g1337.t1
OG0000060	bc2002_braker	dicty_g9825.t1	bc2002_g1450.t1, bc2002_g1377.t1, bc2002_g17988.t1, bc2002_g2248.t1, bc2002_g3594.t1, bc2002_g1745.t1, bc2002_g19754.t1, bc2002_g6172.t1, bc2002_g14110.t1, bc2002_g11680.t1, bc2002_g7251.t1, bc2002_g11780.t1, bc2002_g18871.t2, bc2002_g14458.t1, bc2002_g6830.t1, bc2002_g3602.t1, bc2002_g8923.t1, bc2002_g11169.t1, bc2002_g6116.t1, bc2002_g18761.t1
OG0000062	acastellanii_braker	dicty_g11149.t1	acastellanii_g5746.t1
OG0000062	bc2002_braker	dicty_g11149.t1	bc2002_g12166.t1, bc2002_g16806.t1, bc2002_g5300.t1, bc2002_g8741.t1, bc2002_g2683.t1, bc2002_g12165.t1, bc2002_g5133.t1, bc2002_g17786.t1, bc2002_g9831.t1, bc2002_g11509.t1, bc2002_g16076.t1, bc2002_g8810.t1, bc2002_g6551.t1, bc2002_g3402.t1, bc2002_g5134.t1, bc2002_g10365.t1, bc2002_g17854.t1, bc2002_g5762.t1, bc2002_g7014.t1, bc2002_g14656.t1
OG0000062	vvermcdc19_braker	dicty_g11149.t1	vverm_g2738.t1, vverm_g1421.t1, vverm_g4396.t1
OG0000062	bc2001_braker	dicty_g11149.t1	bc2001_g9812.t1, bc2001_g10226.t1, bc2001_g10975.t1, bc2001_g149.t1, bc2001_g4246.t1, bc2001_g15908.t1, bc2001_g12202.t1, bc2001_g12355.t1, bc2001_g18773.t2, bc2001_g9566.t1, bc2001_g2862.t1, bc2001_g18383.t1, bc2001_g79.t1, bc2001_g14385.t1, bc2001_g5228.t1, bc2001_g3687.t1, bc2001_g14332.t1, bc2001_g5480.t1, bc2001_g13912.t1
OG0000067	vvermcdc19_braker	dicty_g1965.t1, dicty_g9925.t1, dicty_g3617.t1, dicty_g9401.t1, dicty_g9402.t1, dicty_g2276.t1, dicty_g8418.t1, dicty_g7862.t1, dicty_g8416.t1, dicty_g8419.t1, dicty_g8280.t1, dicty_g7372.t1, dicty_g7857.t1, dicty_g9422.t1	vverm_g14954.t1, vverm_g11932.t1, vverm_g772.t1, vverm_g4256.t1, vverm_g8088.t1, vverm_g14889.t1, vverm_g14888.t1, vverm_g847.t1, vverm_g6460.t1, vverm_g4253.t1, vverm_g5590.t1, vverm_g4427.t1, vverm_g4366.t1, vverm_g4367.t1, vverm_g10240.t1, vverm_g10026.t1, vverm_g1776.t1, vverm_g5006.t1, vverm_g12506.t1, vverm_g13142.t1
OG0000067	acastellanii_braker	dicty_g1965.t1, dicty_g9925.t1, dicty_g3617.t1, dicty_g9401.t1, dicty_g9402.t1, dicty_g2276.t1, dicty_g8418.t1, dicty_g7862.t1, dicty_g8416.t1, dicty_g8419.t1, dicty_g8280.t1, dicty_g7372.t1, dicty_g7857.t1, dicty_g9422.t1	acastellanii_g390.t3, acastellanii_g390.t1, acastellanii_g390.t4, acastellanii_g390.t2, acastellanii_g2470.t1, acastellanii_g6723.t1, acastellanii_g10513.t1, acastellanii_g1033.t1
OG0000091	vvermcdc19_braker	dicty_g1465.t2, dicty_g1465.t1	vverm_g15865.t1
OG0000091	bc2002_braker	dicty_g1465.t2, dicty_g1465.t1	bc2002_g5925.t1
OG0000091	bc2001_braker	dicty_g1465.t2, dicty_g1465.t1	bc2001_g3105.t1, bc2001_g3105.t2
OG0000091	acastellanii_braker	dicty_g1465.t2, dicty_g1465.t1	acastellanii_g4765.t1
OG0000091	vvermcdc19_braker	dicty_g856.t1	vverm_g8989.t1
OG0000091	bc2002_braker	dicty_g856.t1	bc2002_g2422.t1
OG0000091	bc2001_braker	dicty_g856.t1	bc2001_g9107.t1
OG0000091	acastellanii_braker	dicty_g856.t1	acastellanii_g7496.t1
OG0000091	bc2002_braker	dicty_g7703.t1	bc2002_g3879.t1
OG0000091	bc2001_braker	dicty_g7703.t1	bc2001_g9015.t1, bc2001_g9015.t2
OG0000091	vvermcdc19_braker	dicty_g7703.t1	vverm_g16310.t1
OG0000091	acastellanii_braker	dicty_g8023.t1	acastellanii_g1337.t1
OG0000091	vvermcdc19_braker	dicty_g8023.t1	vverm_g9098.t3, vverm_g9098.t1
OG0000091	bc2002_braker	dicty_g8023.t1	bc2002_g12523.t1
OG0000091	bc2001_braker	dicty_g8023.t1	bc2001_g11559.t2, bc2001_g11559.t1
OG0000091	bc2002_braker	dicty_g8022.t1	bc2002_g789.t1
OG0000091	bc2001_braker	dicty_g8022.t1	bc2001_g10508.t1
OG0000091	vvermcdc19_braker	dicty_g8022.t1	vverm_g2854.t1
OG0000091	acastellanii_braker	dicty_g8022.t1	acastellanii_g7077.t1
OG0000091	acastellanii_braker	dicty_g10286.t1	acastellanii_g9199.t1, acastellanii_g10866.t1
OG0000091	bc2001_braker	dicty_g10286.t1	bc2001_g11452.t2, bc2001_g11452.t1
OG0000091	bc2002_braker	dicty_g10286.t1	bc2002_g12632.t2, bc2002_g12632.t1
OG0000091	vvermcdc19_braker	dicty_g10286.t1	vverm_g7378.t1
OG0000092	acastellanii_braker	dicty_g11339.t1	acastellanii_g6066.t1, acastellanii_g3484.t1, acastellanii_g5561.t1, acastellanii_g5564.t1, acastellanii_g5559.t1
OG0000092	vvermcdc19_braker	dicty_g11339.t1	vverm_g1076.t1, vverm_g5346.t1, vverm_g9523.t2, vverm_g15902.t1, vverm_g9523.t1, vverm_g15903.t2, vverm_g15903.t1, vverm_g12847.t1, vverm_g2917.t1, vverm_g2962.t1, vverm_g2961.t1, vverm_g9713.t2, vverm_g9713.t1, vverm_g2684.t2, vverm_g2684.t1, vverm_g1682.t1, vverm_g8296.t1, vverm_g8297.t1, vverm_g5652.t1
OG0000092	bc2001_braker	dicty_g11339.t1	bc2001_g8482.t1, bc2001_g8482.t2, bc2001_g6775.t1, bc2001_g6775.t2, bc2001_g9815.t1, bc2001_g5566.t1
OG0000092	bc2002_braker	dicty_g11339.t1	bc2002_g9453.t1, bc2002_g9453.t2, bc2002_g9453.t3, bc2002_g10311.t2, bc2002_g11883.t1, bc2002_g20079.t1
OG0000099	bc2002_braker	dicty_g1916.t1	bc2002_g1618.t1, bc2002_g18645.t1
OG0000099	bc2001_braker	dicty_g1916.t1	bc2001_g502.t1, bc2001_g1450.t1
OG0000099	vvermcdc19_braker	dicty_g1916.t1	vverm_g8058.t1, vverm_g5879.t1, vverm_g14058.t1, vverm_g15256.t1, vverm_g5312.t1, vverm_g5312.t2
OG0000099	acastellanii_braker	dicty_g6520.t1, dicty_g3445.t1	acastellanii_g5646.t1
OG0000099	bc2001_braker	dicty_g6520.t1, dicty_g3445.t1	bc2001_g19159.t1
OG0000099	bc2002_braker	dicty_g6520.t1, dicty_g3445.t1	bc2002_g6637.t1
OG0000099	vvermcdc19_braker	dicty_g6520.t1, dicty_g3445.t1	vverm_g4829.t1, vverm_g1960.t1, vverm_g1960.t2
OG0000099	acastellanii_braker	dicty_g5514.t2, dicty_g5514.t1	acastellanii_g11277.t1, acastellanii_g3290.t1
OG0000099	vvermcdc19_braker	dicty_g5514.t2, dicty_g5514.t1	vverm_g11651.t1
OG0000099	acastellanii_braker	dicty_g10909.t1	acastellanii_g13068.t1
OG0000099	vvermcdc19_braker	dicty_g8026.t1	vverm_g13257.t1, vverm_g743.t1
OG0000099	bc2002_braker	dicty_g8026.t1	bc2002_g18823.t1
OG0000099	bc2001_braker	dicty_g8026.t1	bc2001_g6911.t2
OG0000099	acastellanii_braker	dicty_g8026.t1	acastellanii_g3519.t1, acastellanii_g9224.t1, acastellanii_g3918.t1
OG0000107	acastellanii_braker	dicty_g4040.t1	acastellanii_g2122.t1
OG0000107	vvermcdc19_braker	dicty_g4040.t1	vverm_g5782.t1, vverm_g719.t2, vverm_g719.t1
OG0000107	bc2002_braker	dicty_g4040.t1	bc2002_g13366.t2, bc2002_g13366.t1
OG0000107	bc2001_braker	dicty_g4040.t1	bc2001_g13230.t2, bc2001_g13230.t1
OG0000107	bc2002_braker	dicty_g11216.t1	bc2002_g16765.t2, bc2002_g16765.t1
OG0000107	bc2001_braker	dicty_g11216.t1	bc2001_g10268.t3, bc2001_g10268.t1
OG0000107	vvermcdc19_braker	dicty_g11216.t1	vverm_g10341.t1
OG0000107	acastellanii_braker	dicty_g11216.t1	acastellanii_g6136.t1
OG0000107	bc2001_braker	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	bc2001_g13247.t1, bc2001_g8434.t1, bc2001_g10017.t1
OG0000107	bc2002_braker	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	bc2002_g13348.t1, bc2002_g9403.t1, bc2002_g11972.t1, bc2002_g17025.t1
OG0000107	vvermcdc19_braker	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	vverm_g5786.t1, vverm_g11396.t1, vverm_g9567.t1, vverm_g12148.t1
OG0000107	acastellanii_braker	dicty_g2795.t1, dicty_g2682.t1, dicty_g1527.t1, dicty_g11377.t1, dicty_g11379.t1	acastellanii_g1565.t1, acastellanii_g357.t1
OG0000108	vvermcdc19_braker	dicty_g10649.t1, dicty_g2006.t1	vverm_g278.t1
OG0000108	vvermcdc19_braker	dicty_g5102.t1	vverm_g5031.t1
OG0000108	vvermcdc19_braker	dicty_g3481.t1, dicty_g4412.t2, dicty_g7594.t1, dicty_g1118.t1, dicty_g2547.t2, dicty_g2928.t1, dicty_g2547.t1, dicty_g2548.t1, dicty_g2927.t1, dicty_g2549.t1, dicty_g7422.t1, dicty_g6515.t1, dicty_g7152.t1, dicty_g1803.t1, dicty_g7150.t1, dicty_g7466.t1, dicty_g10967.t1, dicty_g10968.t1	vverm_g4633.t1, vverm_g12081.t1, vverm_g16106.t1
OG0000113	bc2001_braker	dicty_g8426.t1, dicty_g1250.t1, dicty_g1024.t1, dicty_g833.t1, dicty_g11272.t1, dicty_g8279.t1, dicty_g8048.t1, dicty_g2904.t1, dicty_g2572.t1, dicty_g3781.t1, dicty_g11407.t1, dicty_g11221.t1, dicty_g571.t1, dicty_g300.t1, dicty_g6120.t1, dicty_g7655.t1, dicty_g827.t1, dicty_g1356.t1, dicty_g1435.t1, dicty_g9381.t2, dicty_g1249.t1, dicty_g3854.t1, dicty_g697.t1, dicty_g9381.t1, dicty_g1023.t1, dicty_g6495.t1, dicty_g4197.t1, dicty_g876.t1, dicty_g6585.t1, dicty_g336.t1	bc2001_g6858.t1
OG0000113	bc2002_braker	dicty_g8426.t1, dicty_g1250.t1, dicty_g1024.t1, dicty_g833.t1, dicty_g11272.t1, dicty_g8279.t1, dicty_g8048.t1, dicty_g2904.t1, dicty_g2572.t1, dicty_g3781.t1, dicty_g11407.t1, dicty_g11221.t1, dicty_g571.t1, dicty_g300.t1, dicty_g6120.t1, dicty_g7655.t1, dicty_g827.t1, dicty_g1356.t1, dicty_g1435.t1, dicty_g9381.t2, dicty_g1249.t1, dicty_g3854.t1, dicty_g697.t1, dicty_g9381.t1, dicty_g1023.t1, dicty_g6495.t1, dicty_g4197.t1, dicty_g876.t1, dicty_g6585.t1, dicty_g336.t1	bc2002_g19581.t1, bc2002_g15021.t1
OG0000117	acastellanii_braker	dicty_g10771.t1, dicty_g1828.t1, dicty_g3968.t1	acastellanii_g7990.t1
OG0000117	vvermcdc19_braker	dicty_g10771.t1, dicty_g1828.t1, dicty_g3968.t1	vverm_g4696.t2
