Orthogroup	Species	vvermcdc19_braker	Orthologs
OG0000001	bc2001_braker	vverm_g1112.t1, vverm_g1338.t1	bc2001_g7522.t1, bc2001_g17936.t1, bc2001_g1575.t1
OG0000003	dicty_braker	vverm_g15420.t1, vverm_g1517.t1, vverm_g14595.t2	dicty_g10817.t1
OG0000003	bc2002_braker	vverm_g15420.t1	bc2002_g13890.t1
OG0000003	bc2001_braker	vverm_g15420.t1	bc2001_g7453.t2, bc2001_g7453.t1
OG0000003	acastellanii_braker	vverm_g15420.t1	acastellanii_g6152.t1
OG0000003	bc2001_braker	vverm_g1517.t1	bc2001_g705.t1, bc2001_g4942.t1, bc2001_g6841.t1, bc2001_g13300.t1, bc2001_g7804.t1, bc2001_g1568.t1, bc2001_g18927.t1, bc2001_g13621.t3, bc2001_g13621.t2, bc2001_g13621.t4, bc2001_g13621.t1, bc2001_g15322.t1, bc2001_g9468.t1, bc2001_g9468.t2, bc2001_g3150.t1, bc2001_g13640.t1, bc2001_g741.t1, bc2001_g17425.t2, bc2001_g17425.t1, bc2001_g6401.t1, bc2001_g10730.t1, bc2001_g1528.t1, bc2001_g4187.t1, bc2001_g14194.t1, bc2001_g14194.t2, bc2001_g18697.t1, bc2001_g3458.t1, bc2001_g3768.t1, bc2001_g14971.t1, bc2001_g13055.t1, bc2001_g7309.t1, bc2001_g12524.t1, bc2001_g17576.t1, bc2001_g3519.t1, bc2001_g13055.t2, bc2001_g9957.t1, bc2001_g16451.t1, bc2001_g19026.t1, bc2001_g17672.t1, bc2001_g17981.t1, bc2001_g1489.t1, bc2001_g19615.t1, bc2001_g4724.t1, bc2001_g18738.t1, bc2001_g13039.t1, bc2001_g8798.t1, bc2001_g9479.t1, bc2001_g14971.t3, bc2001_g14971.t2, bc2001_g6213.t1, bc2001_g3768.t2, bc2001_g13176.t1, bc2001_g17267.t1, bc2001_g6472.t1, bc2001_g6583.t1, bc2001_g7918.t1, bc2001_g1489.t2, bc2001_g9773.t1, bc2001_g9773.t2, bc2001_g10699.t1, bc2001_g634.t1, bc2001_g11118.t1, bc2001_g9572.t1, bc2001_g9572.t2, bc2001_g397.t1, bc2001_g1898.t1, bc2001_g2442.t1, bc2001_g6328.t1, bc2001_g14867.t1, bc2001_g11965.t1, bc2001_g14187.t1, bc2001_g4658.t1, bc2001_g9184.t1, bc2001_g16023.t1, bc2001_g917.t1, bc2001_g19493.t1, bc2001_g19212.t3, bc2001_g19212.t2
OG0000003	bc2002_braker	vverm_g1517.t1	bc2002_g18581.t1, bc2002_g2544.t1, bc2002_g19316.t1, bc2002_g15276.t1, bc2002_g6555.t1, bc2002_g302.t1, bc2002_g11206.t1, bc2002_g1543.t1, bc2002_g3004.t1, bc2002_g3004.t2, bc2002_g17091.t1, bc2002_g4096.t1, bc2002_g13649.t1, bc2002_g1864.t2, bc2002_g1864.t1, bc2002_g5044.t1, bc2002_g1448.t2, bc2002_g871.t1, bc2002_g3847.t1, bc2002_g3591.t1, bc2002_g19129.t2, bc2002_g19129.t1, bc2002_g19129.t3, bc2002_g580.t1, bc2002_g9747.t1, bc2002_g19973.t1, bc2002_g19574.t1, bc2002_g10623.t1, bc2002_g8703.t1, bc2002_g17361.t1, bc2002_g1552.t1, bc2002_g5957.t1, bc2002_g15040.t1, bc2002_g8145.t1, bc2002_g9837.t1, bc2002_g1934.t1, bc2002_g7337.t1, bc2002_g2293.t2, bc2002_g2293.t1, bc2002_g13098.t1, bc2002_g1764.t1, bc2002_g13702.t1, bc2002_g11092.t1, bc2002_g8183.t1, bc2002_g6268.t1, bc2002_g2503.t1
OG0000003	acastellanii_braker	vverm_g14595.t2	acastellanii_g196.t1, acastellanii_g196.t2
OG0000008	acastellanii_braker	vverm_g1762.t1	acastellanii_g7762.t1
OG0000008	bc2001_braker	vverm_g1762.t1	bc2001_g11178.t1, bc2001_g266.t1, bc2001_g18510.t1, bc2001_g14675.t1, bc2001_g18014.t1, bc2001_g13720.t1, bc2001_g13705.t1, bc2001_g2724.t1, bc2001_g1520.t1, bc2001_g17084.t1, bc2001_g4635.t1, bc2001_g15978.t1, bc2001_g15978.t2, bc2001_g6060.t1, bc2001_g6908.t1, bc2001_g10543.t1, bc2001_g3202.t1, bc2001_g10453.t1, bc2001_g2626.t1, bc2001_g3127.t1, bc2001_g8237.t1, bc2001_g8167.t1, bc2001_g328.t1, bc2001_g5572.t1, bc2001_g4895.t1, bc2001_g11906.t1, bc2001_g1258.t1, bc2001_g2439.t1, bc2001_g19348.t1, bc2001_g13861.t1, bc2001_g10117.t1, bc2001_g14929.t1, bc2001_g14929.t2, bc2001_g3470.t1, bc2001_g7441.t1, bc2001_g6416.t1, bc2001_g3539.t1, bc2001_g3544.t1, bc2001_g3544.t2, bc2001_g3533.t1, bc2001_g8289.t1, bc2001_g10783.t2, bc2001_g8268.t1, bc2001_g15396.t1, bc2001_g7197.t1, bc2001_g16005.t1, bc2001_g11066.t1, bc2001_g13581.t1, bc2001_g3428.t2, bc2001_g3416.t1, bc2001_g3428.t1, bc2001_g17880.t1, bc2001_g391.t1, bc2001_g18918.t1, bc2001_g1829.t1, bc2001_g9318.t1, bc2001_g6165.t1, bc2001_g5624.t1, bc2001_g2274.t1, bc2001_g3525.t1
OG0000008	bc2002_braker	vverm_g1762.t1	bc2002_g1441.t1, bc2002_g13844.t1, bc2002_g14848.t1, bc2002_g5903.t1, bc2002_g235.t1, bc2002_g9920.t1, bc2002_g11752.t1, bc2002_g14948.t1, bc2002_g10851.t1, bc2002_g13796.t1, bc2002_g16216.t1, bc2002_g2290.t1, bc2002_g16915.t1, bc2002_g10565.t1, bc2002_g15808.t1, bc2002_g7238.t1, bc2002_g7228.t1, bc2002_g5900.t1, bc2002_g7233.t1, bc2002_g1119.t1, bc2002_g182.t1, bc2002_g9327.t1, bc2002_g205.t1, bc2002_g11889.t1, bc2002_g15375.t1, bc2002_g9253.t1, bc2002_g2118.t1
OG0000012	bc2002_braker	vverm_g12773.t1	bc2002_g11083.t1
OG0000012	bc2001_braker	vverm_g12773.t1	bc2001_g14176.t2, bc2001_g14176.t1
OG0000012	acastellanii_braker	vverm_g12773.t1	acastellanii_g11603.t1
OG0000012	dicty_braker	vverm_g12773.t1	dicty_g9325.t1
OG0000012	dicty_braker	vverm_g6937.t1, vverm_g16860.t1	dicty_g7352.t1
OG0000012	bc2001_braker	vverm_g6937.t1, vverm_g16860.t1	bc2001_g3213.t1
OG0000012	acastellanii_braker	vverm_g6937.t1, vverm_g16860.t1	acastellanii_g8418.t1
OG0000012	dicty_braker	vverm_g928.t1	dicty_g2256.t1
OG0000012	acastellanii_braker	vverm_g928.t1	acastellanii_g12458.t1, acastellanii_g13286.t1
OG0000012	bc2002_braker	vverm_g928.t1	bc2002_g250.t1
OG0000012	bc2001_braker	vverm_g928.t1	bc2001_g8222.t1
OG0000012	acastellanii_braker	vverm_g4446.t1, vverm_g8258.t1	acastellanii_g3680.t1, acastellanii_g4280.t1, acastellanii_g2679.t1, acastellanii_g11600.t1, acastellanii_g11814.t1, acastellanii_g11722.t1, acastellanii_g2764.t1, acastellanii_g9933.t1, acastellanii_g367.t1, acastellanii_g6978.t1, acastellanii_g4373.t1, acastellanii_g7979.t1, acastellanii_g4375.t1, acastellanii_g7661.t1
OG0000012	dicty_braker	vverm_g4446.t1, vverm_g8258.t1	dicty_g712.t1, dicty_g2304.t1, dicty_g3329.t1, dicty_g3102.t1, dicty_g2243.t1, dicty_g3232.t1, dicty_g9331.t1, dicty_g3106.t1, dicty_g9592.t1, dicty_g9672.t1, dicty_g3327.t1, dicty_g3254.t1, dicty_g3243.t1, dicty_g5834.t1, dicty_g3523.t1, dicty_g1588.t1, dicty_g9356.t1, dicty_g3105.t1, dicty_g3107.t1, dicty_g9713.t1, dicty_g9575.t1, dicty_g9576.t1, dicty_g3330.t1, dicty_g9570.t1, dicty_g9571.t1, dicty_g9569.t1
OG0000012	bc2002_braker	vverm_g4446.t1, vverm_g8258.t1	bc2002_g775.t1, bc2002_g10879.t1, bc2002_g5695.t1
OG0000012	bc2001_braker	vverm_g4446.t1, vverm_g8258.t1	bc2001_g10520.t1, bc2001_g4920.t2, bc2001_g14259.t1
OG0000012	bc2002_braker	vverm_g5392.t1, vverm_g16666.t1	bc2002_g5690.t1
OG0000012	bc2001_braker	vverm_g5392.t1, vverm_g16666.t1	bc2001_g14254.t2
OG0000012	acastellanii_braker	vverm_g12052.t4, vverm_g12052.t2, vverm_g6574.t1, vverm_g6937.t2, vverm_g14425.t2, vverm_g16666.t2	acastellanii_g11908.t1
OG0000019	dicty_braker	vverm_g9412.t1, vverm_g9391.t1, vverm_g6437.t1, vverm_g839.t1, vverm_g7913.t1, vverm_g2826.t1, vverm_g13924.t1, vverm_g6439.t2, vverm_g6439.t1, vverm_g6264.t1, vverm_g6441.t1, vverm_g6445.t1, vverm_g6444.t1, vverm_g6443.t1, vverm_g7507.t1, vverm_g7508.t1, vverm_g4333.t1, vverm_g11739.t1, vverm_g13905.t1, vverm_g2126.t2, vverm_g2126.t1, vverm_g4212.t1, vverm_g3553.t1, vverm_g2100.t2, vverm_g14411.t1, vverm_g2100.t1, vverm_g14411.t2, vverm_g3552.t1, vverm_g14368.t1, vverm_g14367.t1, vverm_g9215.t1, vverm_g10961.t1, vverm_g10961.t2, vverm_g9230.t1, vverm_g6964.t2, vverm_g6964.t1, vverm_g16306.t1, vverm_g9211.t1, vverm_g9214.t1, vverm_g9213.t1, vverm_g10955.t1, vverm_g6475.t1, vverm_g14369.t1, vverm_g10664.t2, vverm_g10664.t1, vverm_g2129.t1, vverm_g2129.t2, vverm_g6434.t2, vverm_g6434.t1, vverm_g6434.t3, vverm_g6436.t1, vverm_g6433.t1, vverm_g5498.t1, vverm_g6473.t1, vverm_g9428.t1, vverm_g9443.t1, vverm_g8425.t1, vverm_g8425.t2, vverm_g8423.t1, vverm_g8424.t1, vverm_g8520.t1, vverm_g16445.t1, vverm_g2822.t1, vverm_g2821.t1, vverm_g4588.t1, vverm_g11732.t1, vverm_g11733.t1, vverm_g11738.t1, vverm_g11738.t2, vverm_g11737.t1, vverm_g11356.t1, vverm_g16448.t1	dicty_g6325.t1
OG0000020	acastellanii_braker	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1	acastellanii_g2918.t1, acastellanii_g13261.t1
OG0000020	dicty_braker	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1	dicty_g7565.t1
OG0000020	bc2001_braker	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1	bc2001_g2496.t2, bc2001_g2496.t1
OG0000020	bc2002_braker	vverm_g252.t1, vverm_g15641.t2, vverm_g15641.t1	bc2002_g14977.t1
OG0000020	bc2002_braker	vverm_g867.t3	bc2002_g325.t1
OG0000020	acastellanii_braker	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2, vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1, vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1	acastellanii_g5052.t1, acastellanii_g4360.t1, acastellanii_g4022.t1, acastellanii_g4022.t2, acastellanii_g2344.t2, acastellanii_g2344.t1
OG0000020	dicty_braker	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2, vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1, vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1	dicty_g5763.t1, dicty_g5759.t1, dicty_g5678.t1, dicty_g5732.t1, dicty_g10416.t1, dicty_g10416.t2, dicty_g8763.t2, dicty_g8763.t1, dicty_g8764.t1, dicty_g8764.t2, dicty_g7692.t1, dicty_g6065.t1, dicty_g6067.t1, dicty_g8860.t1, dicty_g8360.t1
OG0000020	bc2001_braker	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2	bc2001_g528.t1
OG0000020	bc2002_braker	vverm_g243.t1, vverm_g243.t2, vverm_g4971.t1, vverm_g4971.t2	bc2002_g16498.t1
OG0000020	bc2001_braker	vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1	bc2001_g18812.t2, bc2001_g18812.t1
OG0000020	bc2002_braker	vverm_g13305.t1, vverm_g7402.t1, vverm_g8539.t2, vverm_g8539.t1	bc2002_g4567.t1, bc2002_g4567.t2
OG0000020	bc2002_braker	vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1	bc2002_g17819.t1
OG0000020	bc2001_braker	vverm_g7537.t2, vverm_g7537.t1, vverm_g7536.t1, vverm_g8426.t1, vverm_g8428.t1, vverm_g8478.t2, vverm_g8478.t1, vverm_g4668.t2, vverm_g4668.t1, vverm_g7560.t2, vverm_g10152.t2, vverm_g10152.t1, vverm_g8601.t2, vverm_g8602.t1, vverm_g8601.t1, vverm_g10381.t1, vverm_g4482.t1, vverm_g4482.t2, vverm_g12809.t2, vverm_g2815.t1, vverm_g12343.t2, vverm_g12343.t1	bc2001_g15557.t1
OG0000026	bc2001_braker	vverm_g7254.t1	bc2001_g14773.t1, bc2001_g4538.t1, bc2001_g4539.t1
OG0000026	bc2002_braker	vverm_g7254.t1	bc2002_g9608.t1, bc2002_g1417.t1
OG0000026	dicty_braker	vverm_g7254.t1	dicty_g7971.t1, dicty_g3126.t1, dicty_g7970.t1, dicty_g5407.t1, dicty_g7745.t1, dicty_g5495.t1, dicty_g10878.t1, dicty_g3125.t1, dicty_g1630.t1, dicty_g10586.t1, dicty_g11290.t1, dicty_g4195.t1, dicty_g7740.t1, dicty_g5142.t1, dicty_g1845.t1, dicty_g7257.t1, dicty_g4196.t1, dicty_g3941.t1, dicty_g6141.t1, dicty_g10583.t1, dicty_g10789.t1, dicty_g5473.t1, dicty_g5116.t1, dicty_g5547.t1, dicty_g10658.t1, dicty_g7950.t1, dicty_g9127.t1, dicty_g11082.t1, dicty_g7744.t1, dicty_g8260.t1, dicty_g5496.t1, dicty_g11278.t1, dicty_g1568.t1, dicty_g8288.t1, dicty_g7746.t1, dicty_g11396.t1, dicty_g5407.t2, dicty_g9856.t1, dicty_g10791.t1, dicty_g11482.t1, dicty_g10491.t1, dicty_g3890.t1, dicty_g10586.t2, dicty_g2245.t1, dicty_g3921.t1, dicty_g8259.t1, dicty_g4513.t1, dicty_g5294.t1, dicty_g10872.t1, dicty_g5141.t1, dicty_g2200.t1, dicty_g4028.t1, dicty_g10584.t1, dicty_g1629.t1
OG0000034	bc2001_braker	vverm_g7963.t1, vverm_g7963.t2, vverm_g3092.t1	bc2001_g313.t1, bc2001_g6082.t1, bc2001_g7403.t1, bc2001_g4795.t1, bc2001_g10073.t1, bc2001_g12274.t1, bc2001_g2008.t1, bc2001_g6403.t1, bc2001_g13298.t1, bc2001_g12633.t1, bc2001_g6297.t1, bc2001_g7646.t1, bc2001_g14214.t1, bc2001_g14214.t2, bc2001_g17460.t1, bc2001_g2795.t1, bc2001_g16424.t1, bc2001_g17451.t1, bc2001_g13299.t1, bc2001_g6296.t1, bc2001_g2007.t1, bc2001_g6404.t1, bc2001_g2095.t1, bc2001_g12635.t1, bc2001_g7645.t1
OG0000034	bc2002_braker	vverm_g7963.t1, vverm_g7963.t2, vverm_g3092.t1	bc2002_g12827.t1, bc2002_g4596.t1, bc2002_g3778.t1, bc2002_g16969.t1, bc2002_g12088.t1, bc2002_g4059.t1, bc2002_g1330.t1, bc2002_g3029.t1, bc2002_g7448.t1, bc2002_g10554.t1, bc2002_g15366.t1, bc2002_g13067.t1, bc2002_g14095.t1, bc2002_g18352.t1, bc2002_g2552.t1, bc2002_g15487.t1, bc2002_g568.t1, bc2002_g4474.t1, bc2002_g11701.t1, bc2002_g9484.t1, bc2002_g15495.t1, bc2002_g15367.t1, bc2002_g13066.t1, bc2002_g7447.t1, bc2002_g10555.t1, bc2002_g11340.t1, bc2002_g14094.t1
OG0000035	bc2001_braker	vverm_g4473.t1, vverm_g3776.t1, vverm_g12829.t1, vverm_g7934.t1, vverm_g6547.t1, vverm_g4674.t1, vverm_g15714.t1, vverm_g4674.t2, vverm_g3915.t1	bc2001_g13175.t1, bc2001_g13355.t1, bc2001_g1063.t1, bc2001_g1064.t1, bc2001_g12785.t1, bc2001_g18732.t1, bc2001_g12113.t1, bc2001_g17699.t1, bc2001_g10681.t1, bc2001_g12525.t1, bc2001_g19491.t1, bc2001_g12647.t1, bc2001_g13669.t1, bc2001_g1698.t1, bc2001_g19215.t1, bc2001_g574.t1, bc2001_g11293.t1, bc2001_g4302.t1, bc2001_g1900.t1, bc2001_g18200.t1, bc2001_g14692.t1, bc2001_g6158.t1, bc2001_g13666.t1, bc2001_g12664.t1, bc2001_g15628.t1
OG0000035	bc2002_braker	vverm_g4473.t1, vverm_g3776.t1, vverm_g12829.t1, vverm_g7934.t1, vverm_g6547.t1, vverm_g4674.t1, vverm_g15714.t1, vverm_g4674.t2, vverm_g3915.t1	bc2002_g15419.t1, bc2002_g4266.t1, bc2002_g6326.t1, bc2002_g44.t1, bc2002_g12251.t1, bc2002_g548.t1, bc2002_g1575.t1, bc2002_g15057.t1, bc2002_g10101.t1, bc2002_g1941.t1, bc2002_g3174.t1, bc2002_g1142.t1, bc2002_g16602.t1, bc2002_g6374.t1, bc2002_g2626.t1, bc2002_g7339.t1, bc2002_g15897.t1, bc2002_g9696.t1, bc2002_g12901.t1, bc2002_g5805.t1, bc2002_g17885.t1
OG0000040	bc2001_braker	vverm_g13705.t1	bc2001_g7869.t1, bc2001_g3387.t1, bc2001_g5784.t1, bc2001_g4972.t1, bc2001_g13759.t1, bc2001_g13774.t1, bc2001_g13880.t1, bc2001_g5121.t1, bc2001_g11795.t1, bc2001_g6740.t1, bc2001_g18835.t1, bc2001_g10752.t1, bc2001_g7534.t1, bc2001_g7955.t1, bc2001_g7955.t2, bc2001_g14691.t1, bc2001_g14956.t1, bc2001_g7815.t1, bc2001_g15501.t1, bc2001_g19213.t1, bc2001_g5253.t1, bc2001_g6192.t1, bc2001_g1954.t1, bc2001_g10692.t1, bc2001_g16305.t1
OG0000040	bc2002_braker	vverm_g13705.t1	bc2002_g19249.t1, bc2002_g1384.t1, bc2002_g12727.t1, bc2002_g959.t1, bc2002_g19668.t1, bc2002_g14494.t1, bc2002_g14508.t1, bc2002_g14627.t1, bc2002_g19817.t1, bc2002_g13759.t1, bc2002_g14724.t1, bc2002_g4543.t1, bc2002_g6076.t1, bc2002_g13975.t1, bc2002_g8312.t1, bc2002_g15540.t2, bc2002_g15540.t1, bc2002_g9697.t1, bc2002_g19397.t1, bc2002_g19306.t1, bc2002_g17763.t1, bc2002_g1139.t1, bc2002_g3376.t1, bc2002_g15046.t1, bc2002_g8572.t1
OG0000043	acastellanii_braker	vverm_g6759.t1	acastellanii_g5071.t1
OG0000043	bc2001_braker	vverm_g6759.t1	bc2001_g2484.t1, bc2001_g19025.t1, bc2001_g15542.t1, bc2001_g19187.t1, bc2001_g4903.t1, bc2001_g14447.t1, bc2001_g14447.t2, bc2001_g17151.t1, bc2001_g5610.t1, bc2001_g6279.t1, bc2001_g16471.t1, bc2001_g1318.t1, bc2001_g12686.t1, bc2001_g13442.t1, bc2001_g838.t1, bc2001_g2649.t1, bc2001_g494.t1, bc2001_g7511.t1, bc2001_g8963.t1, bc2001_g5011.t1, bc2001_g14883.t1, bc2001_g5124.t1, bc2001_g16406.t1, bc2001_g13358.t1, bc2001_g19368.t1
OG0000043	bc2002_braker	vverm_g6759.t1	bc2002_g10861.t1, bc2002_g6607.t1, bc2002_g16259.t1, bc2002_g20034.t1, bc2002_g7775.t1, bc2002_g17732.t1, bc2002_g5077.t1, bc2002_g9114.t1, bc2002_g11284.t1, bc2002_g2760.t1, bc2002_g13042.t1, bc2002_g14824.t1, bc2002_g19322.t1, bc2002_g1611.t1, bc2002_g13953.t1, bc2002_g8979.t1, bc2002_g19705.t1, bc2002_g19820.t1, bc2002_g3048.t1, bc2002_g10598.t1, bc2002_g15422.t1, bc2002_g2852.t1
OG0000046	dicty_braker	vverm_g10679.t1	dicty_g7670.t1
OG0000046	bc2001_braker	vverm_g10679.t1	bc2001_g972.t1, bc2001_g10108.t1
OG0000049	bc2002_braker	vverm_g4780.t1, vverm_g12790.t1, vverm_g12790.t2, vverm_g4780.t2	bc2002_g11650.t1, bc2002_g19720.t1, bc2002_g12537.t1, bc2002_g11650.t2, bc2002_g3454.t1, bc2002_g19792.t1, bc2002_g11554.t1, bc2002_g14616.t1, bc2002_g3437.t1, bc2002_g18304.t1, bc2002_g6073.t1, bc2002_g535.t2, bc2002_g535.t1, bc2002_g17590.t1, bc2002_g6631.t1, bc2002_g9497.t1, bc2002_g14653.t1, bc2002_g18565.t1, bc2002_g10945.t1, bc2002_g13015.t1, bc2002_g12396.t1, bc2002_g16672.t1, bc2002_g13188.t1, bc2002_g2692.t1
OG0000049	bc2001_braker	vverm_g4780.t1, vverm_g12790.t1, vverm_g12790.t2, vverm_g4780.t2	bc2001_g5025.t1, bc2001_g11544.t1, bc2001_g5180.t1, bc2001_g5093.t1, bc2001_g425.t1, bc2001_g2902.t1, bc2001_g13871.t1, bc2001_g10749.t1, bc2001_g17712.t1, bc2001_g5196.t1, bc2001_g18807.t1, bc2001_g16619.t1, bc2001_g19164.t1, bc2001_g2265.t1, bc2001_g13909.t1, bc2001_g14033.t1, bc2001_g6254.t1, bc2001_g11681.t1, bc2001_g11874.t1, bc2001_g4237.t1
OG0000050	bc2002_braker	vverm_g6237.t1	bc2002_g13194.t1
